Data da opinião,Nota,Título,Conteúdo
uma avaliação Ontem,5,Ótima localização e atendimento,"Hotel com um preço muito honesto e localização excelente, bem no centro da cidade e próximos das fronteiras. Espaço da piscina muito bom, com atendimento top dos garçons e do supervisor Jonas. Cardápio não é caro, inclusive até mais baratos que restaurantes próximos, bebidas também, valor super compatível. Super indico, inclusive vim por indicação e em uma futura viagem me hospedarei neste hotel novamente!"
10 de dez.,5,Viagem para comemoração de aniversário,"O hotel é excelente e conta com uma equipe de funcionários que tem extrema dedicação com cliente muito atenciosos e prestativos, contando com DJ e Sky bar na cobertura, com drinks e pratos excelentes, não precisar sair do hotel para se divertir, sem contar com a vista incrível, recomendo quando vierem ao hotel pedirem o atendimento do Victor e do Jonas do Sky bar."
9 de dez.,5,Hotel incrível!,"Os apartamentos super aconchegantes, limpeza sempre que solicitada, impecável. Atendimento de recepção e restaurante foi muito bom! Sempre muito solícitos! E o que é aquele ambiente da cobertura? Fantástico! Não usufrui da piscina mas almocei e jantei ali no rooftop! Comida gostosa, ambiente agradabilíssimo e atendimento nota 10! Voltarei com certeza!"
8 de dez.,5,Ótima escolha,O Hotel é ótimo e bem localizado! O SkyBar é obrigatório no fim de tarde! A vista e o por do sol são lindos. O quarto é bem espaçoso e confortável. Funcionários são bastante atenciosos. Os preços do bar da piscina são justos e tem bastante opção.
3 de dez.,5,Nota de Elogio (Bar da Piscina),"Até o momento tudo perfeito! Os funcionários do hotel são extremamente atenciosos. A limpeza nota mil. Mas em especial o atendimento do funcionário Victor que trabalha na área da piscina, excelente no trato, atencioso, educado, tem ao máximo agradar os hóspedes, faz tudo com muito amor e carinho! Quem vier a Foz do Iguaçu e se hospedar aqui procure o Victor."
nov. de 2022,5,"Mesmo a trabalho, vale a pena curtir Foz","Excelente atendimento no restaurante do hotel! Em especial a gentileza, cordialidade e simpatia do supervisor Jonas e sua equipe.  Muito bom , tanto o atendimento no apartamento (Room service) como no restaurante! Estão de parabéns!  Ótimos preços!!"
nov. de 2022,5,"Comida ótima, quarto ótimo.","O café da manhã é super diferenciado, tinha queijo coalho, bolo de abacaxi, quiche. E a noite amei a opção de Risotos. O Chef está de parabéns, podem passar meu elogio ao responsável, por favor.    Apenas uma sugestão de melhoria: Meu apartamento 1505 não tinha água quente no chuveiro, apenas água fresca. Fez falta. No mais, tudo perfeito, quarto limpinho e agradável."
nov. de 2022,5,Vista linda!,"Excelente custo/benefício, comidas e bebidas muito bem servidas, valores justos. Ótimo tendimento principalmente no Skybar , garçom Jonas muito prestativo. Linda vista do por do Sol e do centro da cidade de Foz. Localização privilegiada perto de tudo, da pra ir a pé aos principais bares e restaurantes da cidade. Venho sempre e recomendo."
nov. de 2022,5,"Excelente, eu e minha família recomendamos!","Nós amamos a estadia! O espaço do quarto duplo é excelente, roupas de cama novas e confortáveis. Os aposentos são bem higienizados e os profissionais são extremamente gentis e solícitos! Nós amamos o café da manhã que tem uma ótima variedade até para as crianças! O SKY bar na cobertura tem uma vista de tirar o fôlego, fomos no fim de tarde e conseguimos pegar o por do sol! A localização é a cereja do bolo! Bem no centro, perto dos melhores bares e restaurantes, assim como farmácia, posto de gasolina, etc… da pra fazer tudo a pé! Eu amei, quando voltarmos visitar, com certeza procuraremos por eles! Fomos em 4 pessoas, um casal e 2 crianças (3 e 7 anos)!"
nov. de 2022,5,Equipe extremamente acolhedora,"Ótimo custo benefício, perto de muitos serviços. A equipe de recepção é extraordinariamente educada e acolhedora. Marcelo foi sempre especialmente solicito em todas as necessidades de nosso grupo de trabalho."
nov. de 2022,5,Marcelo foi muito solícito e educado,Ótimo hotel  Muito limpo e organizado  Ótimo atendimento na recepção do hotel feita pelo Marcelo . Muito obrigado pela atenção.  Sempre q possível voltarei neste hotel pelo bom atendimento e ótimo hotel
out. de 2022,4,Confortável,"O hotel é bem limpo, clean e confortável. Bom café da manhã . Staff eficiente e cortês. O rooftop estava em obras, não funcionando o bar e a piscina. Bem localizado, comércio e vários e bons restaurantes e bares ao redor."
out. de 2022,5,Encantada !,Que lugar é esse Braseeelll! Encantada!! Lugar Ótimo desde a recepção até a limpeza! Os colaboradores excelentes com um atendimento diferenciado isso destaca ainda mais a beleza deste paraíso! As bebidas de primeiraaaa! Super drinks ! Apaixonada ! Viale com certeza é o melhor sim! E voltarei sempre!
out. de 2022,5,"Hotel bom, Sky Bar ótimo","Hotel bacana, em especial o Sky Bar: a vista tanto do nascer quanto do por do sol são ótimas, e o atendimento no cair da tarde (em especial do Jonas e do Victor) é muito cordial e bem feito, atendendo bastante às expectativas.  De contra, os barulhos internos do quarto (chuveiro, pia e camas) poderiam ser menores."
out. de 2022,5,Obrigado Jonas e Robson,"Atendimento excelente e pessoas incríveis que realmente se importaram com minha experiência no Viale tower hotel.  JONAS e ROBSON nos atenderam com excelência, principalmente em uma data tão especial pra mim, meu aniversário. Obrigada Viale, por fazer esse momento incrível junto ao meu amor."
out. de 2022,5,Restaurante Sky bar Tower,"Sky Tower bar ótima qualidade !!  Excelente Atendimento do Jonas e Robson muito prestativos, atenciosos e ótimos profissionais. Não deixaram faltar nada na celebração do aniversário da minha esposa. Não só super recomendo como retornaremos !!"
out. de 2022,5,EXCELENTE HOTEL E ATENDIMENTO,"Hotel muito bem localizado e agradavel. Quartos bem grandes, cafe da manhã maravilhoso. Indico muito!! O Marcelo foi extremamente atencioso, desde o chekin e em toda estadia. Deu dicas maravilhosas e tornou a estadia nota 1000. Excelente profissional, assim como a Gislaine. Vamos voltar!"
out. de 2022,5,Maravilhosa,"Hotel Top ! Bem localizado ,  Café da manhã espetacular , equipe maravilhosa, agradecemos muito a acolhida do Jeferson , do Victor e do Jonas que tornaram nossa estadia muito agradável .  Voltaremos com certeza 😃"
out. de 2022,5,Fantástico 👏,"Estadia simplesmente maravilhosa! Funcionários muito atenciosos educados, quarto excelente, muito bem localizado perto de vários bares e restaurantes. Café da manhã 😋 fantástico, com grande variedade. Ambiente muito limpo e organizado."
out. de 2022,5,Restaurante e hotel,"O hotel tem uma ótima acomodação, equipe da recepção e da governança estão de parabéns, todos muito atenciosos.  Restaurante excelente, café da manhã bem variado nas comidas (tudo sempre sendo reposto e servido quentinho). O skybar também possui uma equipe sensacional e atendimento nota 1000 (todos os atendentes estão de parabéns, porém ressalto o atendimento do Victor), porções e pratos bem generosos super vale apena e o preço acessível.  Vale muito apena ficar no hotel, com certeza irei indicar para amigos e familiares, e em breve retornarei."
out. de 2022,5,Sky bar,"Somente fazer um elogio ao atendimento do pessoal do Sky Bar, atendimento nota milllll.  Gerente e os atendentes estão de parabéns!👏👏👏💯. Chefe de cozinha também, excelentes pratos muito bem feitos!  Ótima experiência com hotel, voltarei mais vezes com toda certeza."
out. de 2022,5,Localização e vista sensacional,"O hotel tem uma equipe solicita, vista incrível e os quartos super confortáveis. Tivemos uma experiência muito boa e certamente voltaremos. O hotel fica muito bem localizado com muitas opções por perto, porém também gostamos de curtir o hotel no sky."
out. de 2022,5,Excelente,"Estive neste hotel sendo atendida pelo Marcelo. Um excelente hotel, um bom atendimento, quartos grandes e confortáveis. Serviço de bar e restaurante muito bom com preços bem acessíveis. Uma vista maravilhosa do terraço e contam com passeios para compras no Paraguai e Argentina Recomendo. Obrigada"
out. de 2022,5,Ferias,"Excelente hotel, já fui em vários hotéis em Foz do Iguaçu. Mas realmente sempre volto ao Viale Tower, lugar muito lindo, atendimento de primeira. Café da manhã excepcional! E fica próximo a tudo! Super indico 😉"
set. de 2022,5,Top!!!!,"Hotel com excelente localização, instalações novas é bom atendimento!!!Café da manhã variado, funcionários atenciosos e um terraço com o melhor pôr do Sol de Foz do Iguaçu!Ao lado de bons restaurantes, bares e comércio!!!!"
set. de 2022,5,Hotel Viale Tower,"Hotel excelente. Localização privilegiada, muito próximo a restaurantes de qualidade e farmácia. O recepcionista Marcelo fez toda a diferença nos recebendo e auxiliando em todos os momentos. Além de dar ótimas dicas de passeio e transporte.  Ficamos hospedados por 6 noites no hotel e podemos dizer com certeza que recomendamos o Hotel Viale Tower para todos."
set. de 2022,5,Espetacular para Casal,"Visita a dois com a namorada. Atendimento do Jefferson na nossa chegada foi hiper atencioso, precisávamos deixar as bagagens e rapidamente se prontificou a nos ajudar. A noite houve uma questão de quarto que o Marcelo, além de resolver, nos deu todas as orientações necessárias para não ficar qualquer dúvida.  Conforto, qualidade e excelente atendimento.  O Café da manhã é um caso à parte, completo, tudo fresquinho e reposto ao menor sinal de estar acabando.    Recomendo e voltaremos!"
set. de 2022,5,Casal,"Café da manhã maravilhoso, funcionário Max super atencioso nos trazia comidas diferentes e fresquinhas da cozinha. O terraço muito bem organizado e limpo com a vista da cidade toda, ficamos muito felizes. Toda a experiência foi muito boa ❤️"
set. de 2022,5,Superou expectativas,"Hotel muito limpo, café da manhã muito bom e ótimo atendimento. Possui uma agencia de viagens que atende muito bem. Rooftop fantástico com o melhor por do sol da viagem! Super recomendo! Possui um ótimo custo benefício"
set. de 2022,4,Visita turística,"Excelente café da manhã, banheiro limpo, recepção Bom, e boa estrutura física e bem localizado. Atendimento da recepcionista Gislaine muito bom e atensiosa nota 1000...Sky bar bom restaurante bom comida boa camareira Vera muito boa"
set. de 2022,5,Excelente hotel e ótimos funcionários,"Excelente hotel, e ótimos funcionários, principalmente os funcionários Marcelo e Fellpe, que ajudaram muito.    Um ótimo café da manhã.    Além da visão que tem do andar superior, dando para ver a cidade, e se podendo ver o por do sol, tomando uma bebida."
set. de 2022,5,Encantador!!!!!!,Que hotel maravilhosooooo ! Estrutura e atendimento nota 1000. Um elogio em especial ao recepcionista Marcelo!! Super educado e muito prestativo! Por mais colaboradores como ele!!! 👏👏👏 Já quero voltar novamente!
set. de 2022,5,Excelente atendimento.,Atendimento excelente! Fomos muito bem recebidos no bar. Atendimento nota 10. Garçons e gerente simpáticos e atenciosos. Atendimento rápido. Comida e bebida excelentes. Voltaremos com certeza. Incrível.
ago. de 2022,5,Hotel incrível,"Hotel espetacular, no centro de foz e perto de tudo! Café da manhã excelente, funcionários super prestativos, destaque para o Marcelo que foi muito receptivo e atencioso! Voltarei em breve com certeza!"
ago. de 2022,5,Melhor hotel de Foz do Iguaçu,"Hotel maravilhoso, piscina SKY bar com vista excepcional! Atendimento ótimo, destaque para Jonas Victor. Recomendo hospedagem aqui. Fácil acesso a Bares e Restaurantes. Quarto grande com serviço de quarto."
ago. de 2022,5,Melhor hotel de Foz do Iguaçu,"Melhor hotel de Foz do Iguaçu disparado, atendimento impecável, quarto grande é confortável, comida boa e preço acessível. Visitando pela 6 vez. Agradecimento especial ao Jonas / Victor do SkyBar que sempre nos atendem tão bem."
ago. de 2022,5,1 ano e meio de Viale,"Faz exatamente 1 ano e meio que frequentamos o melhor hotel de Foz, entretanto o Jonas é o Vitor são os responsáveis por sempre nos atender super bem no skybar. Sem falar na comida maravilhosa do Bar. Recomendo muuuito!!!"
ago. de 2022,5,Agradecimento,"Excelente em todos os aspectos, princ  ipalmente os atendendes.  Marcelo, Jefferson e as meninas Larissa e Antonella.  Muito obrigado pela gentileza .  Excelentes profissionais.  Um grande abraço dos ""manezinhos"".  Até breve"
ago. de 2022,5,Turistando Foz,"Uma ótima localização, comida muito boa, antedimento excelente principalmente dos garçons Vitor e Jonas muito atenciosos.  Vista de praticamente toda a cidade de foz cem falar na vista para o rio onde dá para tirar várias fotos."
ago. de 2022,5,"Ótima localização para quem busca turismo e aconchego.
Funcionários muitos atenciosos, destacando Vitor e Jonas do bar","Excepcional os quartos com muito espaço, limpeza do hotel atendimento tudo muito bom mesmo  O espaço da picina 100 comparação com uma vista de toda a cidade e ainda com vista para o rio e o Paraguai, sem falar na comida muito apetitosa"
ago. de 2022,5,Excelente hotel e atendimento,"Experiencia fantástica. Hotel superou expectativa. Atendimento desde a recepcao ao restaurante excelente. Em atenção aos atendendes do restaurante Victor e Herick, atenciosos e profissionais. Nos trataram super bem no bar da piscina. Recomendo assistir ao por do sol na cobertira com um bom vinho e os petiscos deliciosos do restaurante. Voltando a Foz quero ficar nesse mesmo hotel."
ago. de 2022,5,Excelente!,"Hotel ótimo. Excelente quarto, cafe da manha incrivel. Sky Bar com otimo atendimento do Erick e Victor. Vista com lindo por do sol. Todos atendentes do hotel sao atenciosos gentis prestativos e educados. Quarto imenso com duas camas de casal enormes. Banheiro impecavel grande. recomendo muito"
ago. de 2022,5,Turismo,"Amei o Viale Tower.  Excelente hotel, atendimento perfeito, localização maravilhosa, café da manhã perfeito.  Acomodação confortávoel e a manutenção muito boa.  Recomendo.  Hotel nota 10.os funcionários são ótimos e menina que arruma o quarto tbm foi maravilhosa parabéns pelo carinho de todos"
ago. de 2022,4,Passeio,"Ótima localização, estrutura boa, apesar da água do chuveiro que não esquenta. O atendimento da recepção  e principalmente do bar foram de excelência, sempre solícitos e simpáticos, agradecemos ao Victor e ao Jonas o atendimento nota 10."
ago. de 2022,5,Turismo,"Excelente atendimento dos funcionários do hotel, excelente café da manhã, excelente limpeza, acomodação ótima. Vista maravilhosa do por do sol da cobertura do hotel. Excelente bar do hotel. Excelente localização com bares restaurantes próximos."
ago. de 2022,5,EXCELENTE HOTEL,"O Vale está em uma localização ótima, muitos bares, farmácia, igreja e tudo próximo.  Tinha lido alguns comentários negativos recentes mas não vi nada do que li, foi tudo ótimo.    Quartos espaçosos, café da manhã farto e com variedade, funcionários solícitos e gentis.    Conheci o Viale Cataratas e quero fazer um agradecimento especial ao Luciano que nos recebeu de forma impecável e o hotel é fantástico também, com uma área externa incrível com piscinas, bares, academia e tudo que precisamos para nosso momento de férias ficar perfeito.    Parabéns à rede Viale"
ago. de 2022,5,Hospedagem excelentes e funcionários muito cordiais.,"Recomendo o hotel Viale a todas as pessoas que puderem ficar aqui. O Marcelo, que cuidou da nossa recepção, é muito cordial e educado, assim todos o funcionários. O café da manhã é bem servido e muito bom."
