Data da opinião,Nota,Título,Conteúdo
uma avaliação Ontem,4,Pontos forte,"Estadia tranquila, sem intercorrências. Salienta-se a parte das cozinha que realmente fez a diferença. Refeições muito bem feitas e saborosas ! Detalhe para a costela feita no chão !excelente! Hotel antigo, mas com muito boa manutenção."
20 de dez.,5,Estadia em Familia,"Destaque para o responsável pelos animais Clodoaldo e para a Trattoria, especialmente ao garçon Rogério. Fica como sugestão que a Trattoria funcione em todos os dias da semana bem como que haja continuidade e expansão da área de bosques/animais do Bourbon. Como pontos de melhoria entendo que deveria haver modernização da chamada área FUN PLACE, especialmente a parte de fliperama/área de bebês e área de dança. São espaços grandes e que parecem abandonados. Muitas coisas poderiam ser realizadas neste espaço para que houvessem mais opções de lazer às crianças - dos bebês aos maiores. As atividades de adultos, por ex o arco e flecha, poderiam ter uma melhor experiência se houvessem mais arcos de qualidade e flechas disponíveis para a prática. O BAR M Boicy poderia renovar o…"
20 de dez.,5,Excelente!,"Excelente experiëncia! Voltaremos em breve, muita cordialidade entre todos, pessoas com energia muito alta, recomendo aos amigos pra quem quer ter uma experiencia diferenciada, me coloco a diposicao para testemunhar"
20 de dez.,5,Excelente hotel par a crianças!,"O hotel é extremamente bem localizado e a equipe trabalha em total sincronia! O atendimento e a cordialidade foram o ponto alto! O cheff Arlindo é um pessoa maravilhosa e muito carismática! Todos os garçons foram muito educados! A equipe de recreação de igual forma muito prestativa! O Hotel é muito limpo, organizado e percebe-se que pensa no conforto do hospede! Eles contam com uma copa infantil que fica sempre aberta o que possibilita esquentar comida, mamadeira, além de ter disponível para as crianças frutas, cereais e iogurte! Enfim, tudo é feito com muito carinho! Super recomendo!"
20 de dez.,5,Ótimo para crianças e para descansar,"O hotel é top, experiência de resort, atendimento muito bom, os funcionários são treinados e atenderam muito bem. Quarto amplo, cama boa, chuveiro excelente e a comida sensacional. Meu filho brincou com a equipe de recreação. Comida do restaurante, o bar da piscina impecável, atendimento muito rápido."
19 de dez.,5,Excelente !!,Acho que o ponto mais forte é o atendimento pessoal dos funcionários e sempre surpreendendo o hóspede e a culinária excelente!! observei uma manutenção constante e com isso tudo funcionando e muito limpo o hotel.
19 de dez.,5,Ótima floresta com animais,"A parte mais legal do hotel é a floresta para passear e os animais (tucanos, veados, jabutis, pavões, várias aves). Destaque para o ótimo funcionário Clodoaldo.    O restaurante italiano é muito bom. As pizzas têm ótimo custo benefício. Destaque para os garçons Rogério e Adriana.    A recreação infantil também é boa. Chuveiro, cama, lobby (ótima funcionária Silvana), boliche, arco e flecha, sauna seca e úmida, beach tênis, tudo isso torna a experiência muito boa.    A localização é próxima do shopping Catuaí (bom para almoçar) e da Argentina. Também não é longe das Cataratas, Parque das Aves e Paraguai.    Pontos negativos: não tem salva vidas na piscina todos os dias (e quando tem, não está sempre vigiando), vendedores oferecendo palestras (ótimas pessoas, mas as ofertas não solicitadas sempre são cansativas)."
17 de dez.,4,Um momento em família com diversão garantida para as crianças.,"Férias em família muito agradável, a equipe do clubinho foi muito prestativa, nossas filhas amaram as atividades com os monitores que foram super atenciosos. O hotel tem boa infraestrutura mas infelizmente pegamos uma reforma que incomodou um pouco. Piscina bem grande, piscina infantil ao lado do clubinho bem montado e muita atividade para os pequenos."
13 de dez.,5,Excelente,"Tudo excelente, com destaque para a equipe de recreação. Achei excelente que as piscinas estavam climatizadas. Da última vez que fui, não estavam. Ótima melhoria. Gostaria que tivesse uma quadra de tênis. Na musculação, talvez um pulleey (mas os equipamentos são ótimos)"
12 de dez.,5,Excelente,"Excelente hospedagem, café da manhã maravilhoso com muitas opções, quartos muito confortáveiscom itens de higiene e frigobar, piscina bem conservada, atendimento dos bares impecavéis. Voltaremos com toda certeza."
10 de dez.,5,Excelente estrutura e atendimento,"Um lugar em que as pessoas (os colaboradores do hotel) fazem a diferença.  As estruturas das salas, coffee-break, audiovisual, limpeza e rapidez no atendimento foram excelentes.  Um agradecimento especial a Sra Célia que tem no comprometimento e carisma o seu ponto forte, que é a imagem do hotel."
9 de dez.,4,Bom,"Vim com meu marido e filhos e nossa estadia ainda não terminou.  O hotel tem uma estrutura boa para crianças que foi o nosso interesse, mas pecou em alguns aspectos:  Falta wi-fi em algumas áreas, no restaurante do café da manhã tem uma área infantil, lá não pega o wi-fi.  Além disso, o café da manhã é sempre o mesmo todos os dias, não varia paes, bolos, acaba enjoando quando se fica mais (nosso caso, ficamos uma semana). Os cadeirões de alimentação são velhos, alguns com peças quebradas, muito sujos e velhos. Comparada com os cadeirões de Atibaia, são bem ruins.  A piscina não tem salva vidas e a grande (piscina adulto) entre a parte mais rasa para a mais funda, a placa de metal que fica no degrau está solta, perigo para quem bate o dedo.  Nosso quarto é mais antigo, a cortina blackout está cheia de furos e ela não cobre toda a janela, ficam partes claras, meu filho acordou super cedo por conta da claridade. Não conseguimos movê-la para fechar, tem alguma coisa que impede (acho que é uma trave , não consegui ver) e o papel de parede soltando."
8 de dez.,5,Comida muito boa e atendimento excepcional!,"Oitava vez que vou para o Bourbon Cataratas Resort, fomos em família com 02 crianças. Começando pelos colaboradores, serviço prestado por eles nota 1.000! O resort é lindo, muito bem organizado, aconchegante, tudo muito limpo (reparo muito esse ponto). O quarto é bastante espaçoso. Fechamos pensão completa, todas as refeições estavam excelentes, tem de tudoooo o que possa imaginar, muito completo, tudo fresco e gostoso. No geral o hotel é perfeito, tem de tudo (piscinas ótimas, academia, sauna, sala de cinema, brinquedoteca, sala de jogos, zoológico etc)… Destaco os colaboradores Anabel, Lindiane e Eliseu que não pouparam esforços para tornar nossa estadia ainda mais agradável. Recomendo demais!!!"
4 de dez.,5,Hospedagem de qualidade para negócios e lazer,"Com ótima infraestrutura, passei 5 dias no hotel para tratar de negócios, mas voltaria certamente para passar uns dias de lazer com a família. Vale a pena pela localização a poucos minutos dos principais pontos turísticos, bem como do aeroporto."
3 de dez.,4,Recomendável,"ótimas instalações com um bom atendimento. Equipe atenciosa. Alguns pontos precisam ser melhorados, em especial a qualidade do buffet no almoço. Muito abaixo do padrão do hotel. No mais, tem uma excelente estrutura e piscina. Quarto bem amplo"
nov. de 2022,5,Helena,"Fui para o Bourbon por ocasião de um congresso do meu marido, fui de acompanhante, mas aproveitamos para chegar antes e sair depois do evento. Achamos o Hotel muito bom, com uma equipe bastante prestativa e atenciosa. Todos os funcionários das mais diversas áreas do hotel foram sempre muito gentis.  Eu particularmente não tenho como avaliar a área de eventos, como sala de reuniões, internet la de baixo, pois não participei. Mas creio que foi tudo muito bom, pois não vi nem escutei nenhuma queixa ."
nov. de 2022,5,Recreação,Monitores atenciosos e dedicados. Meu filho autista fez aniversário durante o período em que estivemos lá e providenciaram uma comemoração para ele.  Tivemos outro incidente em que ele saiu correndo do restaurante durante o café da manhã e a equipe de recreação se organizou nos ajudando com a situação. Esta foi a terceira vez que nos hospedamos no Bourbon Cataratas e retornaremos em breve.
nov. de 2022,4,Recreação é ótima!!,"A equipe de recreação foi excelente! Meu filho ficou muito feliz e tiveram muitas atividades mesmo nos dias de chuva! A comida é muito boa! Apesar de o lugar parecer já um pouco mais antigo, estava limpo e conservado, inclusive com reformas que com certeza irão melhorar a qualidade. Recomendo muito para quem viaja em família!!"
nov. de 2022,4,Hotel Muito Bom e Integrado com a Natureza,"O hotel é muito bom. Com excelentes instalações e serviço muito bom. A localização é boa. Muito integrtado com a natureza. O jantar é bom, mas o preço do buffet me pareceu um pouco alto para o que foi oferecido. As atividades para crianças me pareceram muito boas. Um hotel muito bom para passear com a família e com os amigos."
nov. de 2022,5,Férias maravilhosas,"Hotel maravilhoso! Comida deliciosa, muitas coisas pra fazer, mesmo com chuva. Viemos em família e todos nós nos divertimos muito. A equipe de recreação é maravilhosa! Obrigada aos tios Morango, Brigadeiro, Scooby, Amora, Paçoca, Pooh, Milico pelo carinho com as crianças! Queremos voltar logo!"
nov. de 2022,5,"Excelente estrutura, especialmente para famílias","Excelente estrutura para famílias. Muito bem cuidado e conservado.  Como pontos a melhorar, a temperatura da piscina interna estava um pouco fria, e os funcionários tentando nos convocar para assistir ao filme sobre a história do Bourbon são insistentes e incômodos."
nov. de 2022,5,Grupo Chegadas e Partidas.,"Boa tarde Pessoal!!!  Muito obrigados a todos pelo carinho e atendimento prestado em especial ao André Terrengui, gestor operacional, Lucas e Jaque da central de reservas!!!  Parabéns Bourbon Cataratas.  Abraço, Thiago Dorneles  Diretor Comercial  Chegadas e Partidas Turismo / Cascavel."
nov. de 2022,5,Hospedagem Maravilhosa,"Me surpreendi pela qualidade, pela estrutura física, pelo ambiente maravilhoso. Estrutura muito boa, das piscinas, da mata ao redor do hotel, horta, área de lazer para crianças. inclusive do ambiente religioso, a Capela é linda, lugar de paz e tranquilidade. O atendimento sempre muito bom. Pessoal atencioso e simpático."
nov. de 2022,5,Voltaremos em Breve,"Hotel para a Família  Desde de a recepção até nossa saída tudo perfeito  Minhas crianças ficaram encantadas  Parque temático da Turma da Mônica , a  Recreação espetacular ,  Alimentação de primeira pratos bem variados  Músicas ao vivo  Melhor de Foz  Vale a Pena  No final ainda ganhamos uns mimos para as crianças"
nov. de 2022,5,Perfeito!,"Simplesmente sensacional! O melhor resort em que já me hospedei, sem dúvida alguma! O café da manhã é saboroso. O atendimento impecável! O hotel é EXTREMAMENTE limpo! Tem MUITAS áreas de lazer. Piscina infantil, adulto, piscina térmica, vários parques infantis, boliche, entre outros! Eu amei!"
nov. de 2022,4,None,"Gostei muito principalmente pela questão da natureza. O Atendimento de boa pate da equipe é muito bom, em especial os garçons nas refeições. Outro aspecto interessante foi a agilidade no atendimento de entrada e fechamento da conta."
nov. de 2022,5,“Hotel para família e crianças!”,"Excelente atendimento, todos extremamente simpáticos e solícitos com muita boa vontade. Quarto excelente, várias atividades no próprio resort e um pessoal sempre cordial. O café da manhã é farto. Os preços são justos. Com certeza um ótimo lugar para se ficar em Foz do Iguaçu."
nov. de 2022,5,Hotel para família c crianças!!,"Ficamos quatro dias no hotel e foi muito bom, ponto forte para a recreação infantil q é simplesmente sensacional todos extremamente simpáticos e solícitos com muito boa vontade nunca vi uma recreação tão maravilhosa tia mulan uma simpatia, brigadeiro, narizesinho,chocolate lembrei dessas mas todas sem escessão queridas demais, comida boa, atendimento dos funcionários muito bom sempre prontos p auxiliar, café da manhã senti falta de algo a mais tipo uma tapioca, ovo feito na hora, limpeza e quartos 👍, piscina coberta achei pequena, as demais água um pouco fria ponto forte recreação e alimentação,no geral gostei da estadia muito bom."
nov. de 2022,5,Estadia perfeita,"Excelente atendimento e espaço para as crianças o melhor da região e área recreativa top comida muito boa bebidas com preço justo e quartos limpos e perfumados localização do Hotel perfeita …………,.. piscina e a água muito bons e os bares aconchegantes e a música ao vivo muito boa e adoramos a capela que foi uma experiência nova é importante , vou voltar com certeza,, adoramos"
nov. de 2022,5,Excelente hotel,"Hotel maravilhoso. Quarto excelente, várias atividades no próprio resort e um pessoal sempre cordial. Dois ótimos restaurantes e um bar fornecem ótimas comidas 2 bebidas. O café da manhã é farto. Os preços são justos. Com certeza um ótimo lugar para se ficar em Foz do Iguaçu,"
