Data da opinião,Nota,Título,Conteúdo
nov. de 2022,5,Excelente hotel,"Fiquei bastante satisfeita com a minha estadia no hotel, o atendimento foi muito bom e as instalações também. Café da manhã bem completo e almoço maravilhoso. O quarto conta com secador, ferro de passar, ar-condicionado, frigobar, TV, ampla janela para ventilação do quarto e boa cama e enxoval."
set. de 2022,5,Satisfação,"Hotel muito bom, ao lado da rodovia, superou minhas expectativas, café da manhã bom, recepcionistas simpáticos, estávamos só de passagem pela cidade, se voltar, me hospedarei lá novamente Existe um shopping a 100m do hotel. Recomendo para quem procura esta categoria de hotel"
jun. de 2022,3,Desta vez foi ruim,"Bom dia, Apesar da recepção de excelência quando de minha chegada, tenho alguns pontos que gostaria de comentar: 1 – O colchão do apto, parecia que estava deitado em uma taboa; 2 – Travesseiros de qualidade bastante ruim, a pessoa acorda pela manhã com dores musculares; 3 – A agua quente do lavatório não estava funcionando, somente a agua fria. Fiz esta reclamação na recepção quando do fechamento de minha conta, me hospedo neste hotel a vários anos e a qualidade sempre foi excelente desta vez decepcionante Espero ter auxiliado com meus comentários, se não foi de seu agrado peço desculpas, mas assim ocorreu Att. Robson Rodrigues (11)99349-0257"
jun. de 2022,3,Já foi melhor,"Café da manhã já foi melhor, poucas opções, acabava os alimentos e demoravam para repor Banheiro precisa de uma reforma, chuveiros entupidos Não tinha touca de banho para minha esposa Lençol tinha manchas de sujeira"
jun. de 2022,5,Excelente hotel,"Cama confortável, tudo sempre bem limpo e excelente café da manhã! Como plus, fica do lado de um bom shopping da cidade, com várias opções de alimentação. O time de atendimento é sempre muito solicito e educado."
jun. de 2022,3,Já foi mais Confort,"O hotel ainda é bom, mas precisando urgentemente de uma atualização/reforma. A internet é praticamente decorativa, cai o tempo todo e quando funciona a velocidade é muito baixa. Sofá e cadeira do apartamento todos manchados, cortinas surradas e caindo nas pontas, banheiro precisando de uma repaginada. O atendimento continua sempre cordial, mas os preços de produtos no interior do hotel abusivos."
jun. de 2022,4,RESERVAS CASAMENTO,"Estivemos hospedados por ocasiao do casamento de nossa filha. Foram quase 40 quartos reservados e todos elogiaram o hotel e o atendimento. Otima localização, proximo ao shopping Catuai. Nosso agradecimento a Bruna que nos atendeu nas reservas."
jun. de 2022,1,Quarto e banheiro um nojo,"Péssima experiência, quarto sujo, lençol e travesseiro fedido, até a cortina encardida, banheiro um nojo sujo desde a parede até o piso, a ducha é boa o café da manhã parece até que vc está em outro hotel."
jun. de 2022,5,Ótimo hotel,Fomos muito bem atendidos por todos os funcionários que são bastante atenciosos. Não tivemos qualquer problema que poderia impactar negativamente a nossa estadia. com certeza está nos nossos hotéis favoritos para hospedar novamente quando necessário!
jun. de 2022,4,Muito bom,"Hotel muito bom. Aconchegante, desde o lobby até o quarto. O aspecto externo não condiz com o interno. Por fora tem um aspecto um pouco de velho, mas, internamente é muito bonito e aconchegante e com aspecto de novo. Seria legar uma asfaltamento de piche no estacionamento."
mai. de 2022,1,Péssima experiência,"O principal objetivo de um hotel deveria ser oferecer uma boa noite de sono aos clientes, o que não aconteceu. Durante a madrugada começou a disparar um alarme alto e continuo. Ligamos na recepção várias vezes e ninguém atendeu. Precisei descer na recepção de pijama as 2:30h da manhã. O recepcionista disse que o telefone do meu quarto deveria estar com problemas. Sobre o alarme, apenas falou que “iria avisar a manutenção”. Resumido: o alarme tocou continuamente até as 09:00h da manhã. Não dormi. Falei com a recepcionista da manhã (muito gentil), que nos informou que o problema deveria ter sido resolvido nos trocando de quarto, o que não foi oferecido pelo recepcionista da noite. Como fomos embora naquela mesma manhã, não houve troca de quarto. Passamos uma noite péssima."
mai. de 2022,2,Deixou muito a desejar,"Ficou bem aquém das Fotos , cama muito ruim , dava pra sentir as molas !  Banheiro velho , encardido . Lençóis e toalhas desagastados .  Bonito do a fachada  Não vale o valor que cobram que é caro.  Café da manhã razoável , sou alérgica a Glutem e não tinha nada sem Glutem , deveriam pensar isso ."
mar. de 2022,4,Confortável e limpo,"As instalações do quarto são ótimas! Espaçosas, tem tábua e ferro de passar, tudo extremamente limpo. Só acho que o hotel deixa a desejar a parte da inclusão alimentar. Não há opções sem glúten, sem lactose no café da manhã, além de poucas opções de frutas."
mar. de 2022,5,Limpo e confortável com preço justo. Capuccino delicioso!,"Fiquei com a família neste hotel por 5 dias. Excelente acomodação, chuveiro, restaurante e piscina. Apartamento modernizado com TV e WiFi. Tudo muito limpo e organizado. Atendimento muito cortêz. Recomendo!"
jan. de 2022,3,"Bom , mas não surpreendeu","Boa localização , bom café da manhã como encontramos na rede Comfort e boa limpeza . Porém a terceira pessoa dorme num sofá cama muito desconfortável. O mobiliário do quarto por ser um Comfort suítes também achei que deixou a desejar . A unidade é inferior a outras que conhecemos nesse ponto ."
dez. de 2021,4,Atendimento show,"Hotel sem grandes luxos que compensa com o atendimento muito gentil de todos os funcionários e uma localização muito próxima ao Shopping Catuai ( da pra ir a pé subindo uma ruazinha lateral em ladeira ). Lobby pequeno, Wi-Fi fraco, estacionamento grátis , não tem nada no frigobar , tudo é vendido na recepção. Café da manhã apenas bom , sem grandes opções de pedidos como ovos diferentes do mexido , tapiocas , etc mas , pode pedir omeletes. Apto de bom tamanho com sofá e mesa de trabalho , ar condicionado bom , cama de bom tamanho mas baixa e com travesseiros fora do padrão Banheiro com bancada grande , secador bom, não tem espelho de aumento , chuveiro quente/frio bom , toalhas demonstrando muito uso , já gastas . Cofre, tomadas na lateral da cama , tem tábua e ferro de passar ( ótimo ) , TV com alguns canais bloqueados . No geral, semelhantes á outros da cidade do mesmo padrão , a escolha depende da localização que você vai preferir. O atendimento ê a diferença"
nov. de 2021,4,Ao lado ao shopping,"Localização é de fácil acesso a rodovias. Pode ir andando até o shopping e demais lojas na região. O café da manhã é gostoso e muito bom! Equipe de atendimento são bem atenciosos. Estacionamento é gratuito.  Enfim, vale a pena e recomendo a visita"
out. de 2021,4,Muito bom!!!,"Localização de fácil acesso.  Muito próximo ao Shopping Catuai (uma quadra)  Café da manhã, gostoso e simples, mas muito bem servido, sem contar que o atendimento é muito bom e extremamente cordeal!  Vale a pena!"
