Data da opinião,Nota,Título,Conteúdo
16 de dez.,4,"Hotel com excelente custo benefício, exceto por um funcionário.","Tudo no hotel foi espetacular, café da manhã, receptividade e área de lazer, com exceção de um funcionário, que se intitulou como o responsável e encerrou a área de lazer externa (snooker e piscinas) antes do horário estabelecido pelo hotel, tendo sido obrigado a me retirar. Depois, fez de tudo para que meus filhos saíssem da piscina porque os funcionários foram embora e não tinham ninguém com curso de salva vidas para ficar lá (numa piscina de 1m de profundidade) e que eu me responsabilizaria por qualquer coisa!!! Lamentável uma atitude dessa, e totalmente incondizente com o resto da equipe que sempre foram muito amáveis."
nov. de 2022,1,Minha experiência,"Tivemos uma péssima experiência com o hotel , quarto beeem simples pelo menos limpo piscinas excelente mas tem muito mosquito , tinha um som externo que incomodou. Mas tenho que elogiar o cafe da manhã que tem varias opções e é bem saboroso !!"
nov. de 2022,5,Superou todas expectativas!,"Superou todas as expectativas, TODOS os funcionários muito bem educados e prestativos, nos tratavam com muito carinho. O gerente do restaurante (acho que o nome dele é Wagner não me lembro rsrs) simplesmente um funcionário muito muito atencioso, receptivo e educado. A empresa de passeios Colibri que fica dentro do hotel, também nos proporcionou uma experiência maravilhosa, incrível e agradável, desde os funcionários Ângelo e Daiana até os motorista (não sei os nomes), mas todos eles fizeram nossos passeios agradáveis e maravilhosos. Hotel um pouco distante do centro de Foz do Iguaçu, porém nos atendeu de acordo com os passeios que programamos fica praticamente ao lado das cataratas do Iguaçu, parque das aves e complexo dreamland, fora que fica próximo a aduana da Argentina. …"
nov. de 2022,5,Ótima experiência.,"Gente eu me surpreendi com esse hotel! Que lugar incrível, aconchegante, funcionários receptivos e educados… Tem muito espaço para crianças, trilhas para caminhadas tendo a possibilidade de ver os animais em diversos lugares… Piscinas, escorregador, balanços e etc… Recepção prestativa, garçons excelentes mas o meu coração foi cativado pelas meninas da recreação… Quanto amor com meu filho, quanto carinho e cuidado, eu estou apaixonada por elas! Equipe da tia Catrina é demais mesmo sem palavras!! Tenho apenas duas observações sobre o hotel. Sugiro perguntar ao hóspede se a pessoa se importa em ficar naqueles quartos conjugados, eu dormi muito mal todos os dias, pois no quarto ao lado tinha uma bebê que chorava a noite toda e eu acabava acordando, além do colchão ser bem usado e…"
nov. de 2022,5,Me senti em casa,"Fomos bem recebidos, por todos os funcionários, da recepção ao restaurante, todos muito obrigado. O hotel compõe, lojas onde comprei lembranças da viagem, sem precisa, agência de viagens onde fiz os pacotes de passeios, restaurantes, que além de oferecer um maravilhoso café da manhã ( melhor e mais completo café da manhã que ja tomei em hotel) inclusive, oferecer também almoço e jantar a parti. Lugar Agradável , estalação confortável, pertinho do parque das aves e das Cataratas Brasileira."
nov. de 2022,1,Péssimo.,"higiene precária, piscinas sujas, a música na área externa altíssima, tocando sertanejo o tempo todo. precisei ir ao banheiro com minha filha a descarga estava quebrada e tinha um coco no vaso. Não recomendo para ninguém esse hotel. os unicos pontos positivos são o café da manhã e a localização, ademais, não pretendo voltar."
nov. de 2022,3,"café da manhã é bom, mas precisa melhorar muito o hotel","unica coisa boa foi o café da manhã que tem muitas opções, mas o local é um pouco sujo, e se voce quer descansar lá, esqueça, a acústica dos quartos é pessima, e logo bem cedo a gente ouvia as camareiras batendo as coisas nos quartos limpando, os hospedes tambem gritando logo cedo no corredor..."
set. de 2022,1,"PÉSSIMA COZINHA E GERÊNCIA ,MUITO RUIM.","Fomos em 12 pessoas e ficamos 7 dias e por mais de uma vez , encontramos cabelos nos pratos, bicho na salada. Pedimos a troca do jantar pelo almoço e disseram que trocaram porem cobraram o dobro no check out , a gerente depois de muito Insistência da nossa parte resolveu nos atender, porem não fez nada para reverter a situação. Nos sentimos lesados! Infelizmente Não recomendo a hospedagem nesse hotel, desrespeito e descaso da parte de quem poderia resolver o problema e nada fez!!! Pagamos por algo que já estava pago!"
set. de 2022,1,O banheiro só tinha odor de urina,"Horrível. A higiene é precária. O quarto fedia muito. Os funcionários da recepção me enrolaram por dois dias para um late check out e no final não conseguiram. Nos deixaram em um quarto que só fedia a mijo. O banheiro era precário, as instalações elétricas pareciam do seculo XIX.  Já vi muito albergue em melhores condições.  Tudo datado. A recepção até engana.  Gostei muito mais do Tarobá e do Whyndham.  Infelizmente, não recomendo. Não voltarei."
ago. de 2022,5,Lugar perto da natureza e com pessoas trabalhadoras,"O hotel fica próximo ao Parque das Aves e as Cataratas , nós fomos caminhando . O espaço do hotel foi muito bem aproveitado, espaçoso , arejado , quartos grandes .  Gostaríamos de parabenizar a toda equipe ,  Recepção nos recebeu em todo tempo com muita atenção Francisco , Leonardo , Cristiano e Oliveti .  Glória que deixou nosso quarto impecável , organizado , cheiroso .  Café da manhã com diversas opções , parabéns a Nadir e Wevelen pelo carinho conosco e por deixar o buffet sempre organizado .  Almoço e jantar Wagner , Ester e um recém contratado Argentino todos muito atenciosos , prestativos , simpáticos e ágeis no atendimento.  Parabéns a toda equipe !!  Um diferencial que achamos é valorizar os funcionários brasileiros e os estrangeiros , que estão tentando uma vida melhor no Brasil ."
ago. de 2022,5,Simples e confortável,"Tudo muito limpo, quarto confortável, ótima localização e muito silêncio ótimo para relaxar, possui piscina aquecida, café da manhã delicioso o atendimento dos funcionários é ótimo! Vale a pena conhecer !"
