Data da opinião,Nota,Título,Conteúdo
17 de dez.,4,Opinião sincera,"O hotel tem uma proposta meio hostel, pode usar a cozinha, geladeira, e tem água disponível, e sempre tinha um cafezinho também, quarto tem um espaço muito bom (principalmente comparado aos íbis que nem encontra nesse valor) e o chuveiro é muito bom, fica em uma localização excelente, próximo a locais para comer e próximo ao terminal rodoviário (além disso tinha computadores disponíveis para uso). Custo benefício muito bom. Achei negativo que não tem a opção de comprar água no hotel e nem tem disponível no frigobar, mas tem mercados próximos, o que pra mim não foi um incômodo grande. Piscina e banheira estavam em reforma e não tive acesso. Oferece pacote com café mas você pode escolher comprar no hotel pelo mesmo valor então é legal deixar para comprar na hora para ver se é do…"
10 de dez.,1,"Funcionários fumam dentro do hotel. Quarto decadente, área de lazer fechada e elevador quebrado.","Quarto mal cuidado, paredes imundas, tomadas quebradas, roupas de camas velhas, televisão sem funcionar adequadamente e ar condicionado fraco. Café da manhã é servido muito tarde! Não pude usufruir na área de lazer, pois a mesma estava fechada. Mas outro hóspede comentou que a mesma está totalmente decadente. Pra finalizar, atendimento péssimo na recepção! Parece que estão te fazendo um favor em lhe receber. O único aspecto positivo é a localização. De resto, procure outro hotel."
10 de dez.,1,"Funcionários fumando dentro do hotel, quarto depreciado, elevador quebrado, mal atendimento e área de lazer fechada.","Avistei alguns funcionários fumando dentro do hotel. Meu quarto fedia a cigarro e sou alérgico. Atendimento na recepção tem uma moça muito mal educada. O quarto apresentava paredes sujas, roupas de cama velhas e cortinas com mal aspecto. TV com imagem ruim. Só vale a pena pela localização. O café da manhã é servido tarde e o atendimento é horrível. A área de lazer estava fechada. Elevador quebrado. Enfim, não volto mais."
nov. de 2022,4,Bom hotel,"Hotel simples, mas bom. Quarto limpo, roupas de cama limpas, mas as paredes do quarto estavam um pouco sujas. Bom café da manhã com bastante opção. Não possui estacionamento. Recepção e funcionários da cozinha nota 10. Gostei muito apesar dos itens mencionados."
nov. de 2022,1,Recepcionista mal educada e quarto fedendo a cigarro!,"Falta de educação da copeira e da atendente da recepção! Já fiquei neste local outras vezes pelo preço e boa localização. Desta vez escolhi este hotel pra hospedar meus convidados pra minha formatura. No café da manhã, você tem que apresentar um cartão (a maioria dos meus convidados já tinham adquirido), ocorre que alguns poucos familiares meus não sabiam, pensavam que podiam pagar em seguida ou que seria contabilizado na conta (como é comum em hotéis). O que a copeira fez? Como em uma cena de novela, realizou uma baixaria, parou o salão todo e começou a nos denegrir. Desci na recepção, paguei imediatamente o que era devido e relatei tudo ao gerente, que foi muito compreensivo e repudiou o escândalo ocorrido. Uma baixaria! Digno de hotel de beira de rodoviária! Uma copeira…"
ago. de 2022,5,Ótima hospedagem,"Gostei bastante do local. Atendimento de qualidade (primeiro contato foi com a Gabriela, que nos atendeu super bem), o café da manhã com variedade e facilidade para check-in e checkout. O hotel fica super bem localizado, perto de restaurantes, farmácias, lojas, padaria, sorveteria, ponto de ônibus."
jul. de 2022,4,boa localização e custo benefício,"Adiantaram nosso check-in sem taxas. Bem localizado, próximo ao TTU, mercadinho, lojas, bares/lanchonetes na Av. Brasil. Staff sempre ponto a ajudar. Tem uma boate próxima o barulho incomoda (quinta, sexta e sábado). Chuveiro ótimo, limpeza pode melhorar vê-se que não limpam o chão, mas trocam as toalhas sem a gente pedir. Café da manhã, é bom, começa um pouco tarde às 8h."
mai. de 2022,5,Excelente hostel,"O hotel é muito bem localizado, em uma avenida principal, com vários comércios, próximo ao terminal de ônibus. A estrutura está bem cuidada. A área de lazer bem organizada. O atendimento é sempre cortêz, principalmente pelos funcionários Elías e Pedro, que nós explicou como funciona os pontos turisticos. O quarto é amplo, bem estruturado com cofre, televisão, frigobar, ar condicionado, tudo funcionando perfeitamente. A limpeza estava sempre okay. Super recomendo."
dez. de 2021,5,Adoramos,"Achei ótimo. Muito bem localizado, tem restaurante, feirinha, farmácia, ponto de ônibus, tudo muito perto. Os quartos são bem limpos, arrumados e com ar condicionado. Gostamos bastante. Um ótimo custo benefício."
nov. de 2021,2,Não existe flexibilidade,"O hotel até atendeu as expectativas em alguns sentindo , porém não existe nenhuma flexibilidade para com o hóspede. O check in inicia-se as 11hs da manhã, nós só entramos depois da meia noite, ou seja o quarto e serviços ficaram sem uso mais de 10hs. Como nosso voo é a noite, solicitamos compensar essas horas, fazendo o check out um pouco mais tarde e não fomos atendidos."
