Data da opinião,Nota,Título,Conteúdo
20 de dez.,5,Muito recomendado,"Local confortável e aprazível. Instalações reformadas e de boa qualidade. Excelente cama, travesseiros e lençóis. Atendimento cordial. Café da manhã farto e de ótima qualidade. Localização bastante central e com estacionamento anexo, que facilita a rotina. Recomendo muito."
12 de dez.,4,Dentro das espectativas,"Já havia me hospedado anos atrás nesse hotel e ele continua muito bom. Quarto limpo, com frigobar e ar condicionado, banheiro de bom tamanho, chuveiro quente, café da manhã excelente, estacionamento junto ao hotel de fácil acesso, bom atendimento dos funcionários e ótima localização."
nov. de 2022,5,Amamos nossa estadia!,Hotel muito bom! Viajei com meu marido e adoramos! Café da manhã excelente! O café Lumen anexo ao hotel é otimo - teve musica ao vivo na sexta a noite e no sbado no almoço de uma forma muito gostosa e agradável! Acomodações são ótimas! Um ponto somente para a televisão - para assistir ao jogo achei a qualidade baixa!
nov. de 2022,5,Excelência em Hospedagem,"Parabéns a diretoria desse grande grupo hoteleiro que é referência em Ponta Grossa/PR, que tem o melhor time de colaboradores de alta perfomance, que atua com grande expertise em acolher e nos receber como hóspedes, sempre nos deixando a vontade, fazendo diferença, para nos sentirmos em casa, sempre com muita qualidade em todos serviços oferecidos, meu muito obrigada a Diretoria e todo Time do Hotel Planalto pelo carinho e cuidado comigo!!!"
out. de 2022,4,"Hotel com história, charme e ótimo serviço","Ótimo hotel, atendimento da equipe é excelente. Os quartos são agradáveis e com bom tamanho, ótimo estacionamento, café da manhã nota 10, bem servido, localização central e próximo a bares e restaurantes que se pode ir a pé, região segura."
out. de 2022,5,Funcionários atenciosos,"Tivemos um ótimo atendimento no Hotel Planalto .Nos hospedamos no final de semana passado( 8 e 9 de out) para comemorar nosso aniversário de casamento, não haviamos mencionado que era nosso aniversário, mas para a nossa surpresa recebemos uma cortesia no quarto, acredito que a recepcionista tenha visto que nos hospedamos no hotel, na noite de núpcias! Ficamos muito contentes com esse gesto! Também gostaria de agradecer a recepcionista acho que se chama Dani ( uma moça loira de óculos, simpática), quando desci para buscar a pizza que havia encomendado, ela ja estava prontamente com pratos e talheres para me oferecer, um gesto simples mas que demonstra a atenção que ela tem com os hóspedes!"
out. de 2022,5,2º edição do - Café com negócios-,Fizemos a 2º edição do nosso Café com negócios somente para mulheres e a noite foi perfeita! O atendimento do Fábio e do Cassiano foram impecáveis e o café colonial estava simplesmente maravilhoso. Já fechamos parceria para o próximo evento. Super recomendo!
set. de 2022,5,Ótimo Hotel,"Ótima localização, bom café da manhã, quarto com com qualidade de cama e estrutura. Atendimento realizado com qualidade e tem um café anexado ao hotel que é muita qualidade e preços ok. Recomendo a estadia."
set. de 2022,5,Excelente ambiente,"Atendimento personalizado, local bem organizado e bonito. Quartos tendo acesso frigobar, TV, wi-fi e ar condicionado, a limpeza feita todos os dias pelo serviço de quarto, com opção da lavanderia se caso precisar do serviço. Recomendo café da manhã e alimentação."
ago. de 2022,5,Excelente,"Foi uma experiência excelente. São notórios a limpeza do quarto, o profissialismo e a gentileza dos funcionários, a boa localização, o ótimo café da manhã. Mas o que mais me impressionou foi a atenção aos detalhes tanto na decoração como no serviço. Vale a pena!"
jul. de 2022,5,ME SENTI EM FOZ DO IGUAÇU,"Hotel maravilhoso, hospedagem confortável e café da manhã delicioso! Estive no hotel durante 2 noites e me senti como em hotel de cidades turísticas e movimentadas (Foz do Iguaçu). Recomendo a todos que vão passar por PG"
jul. de 2022,5,Viagem de Férias Ponta Grossa- Excepcional Hotel,"Nós nós hospedamos do dia 18/07 /2022 a 23/07/2022 no quarto 105. A hospedagem foi simplesmente fantástica. Começando pela gentileza e a educação de todos os funcionários da recepção, camareiras, restaurante. Sempre muito prestativos e solícitos. O quarto somente elogios, super perfumado, cama e travesseiros maravilhosos, chuveiro e hidromassagem perfeitos, ou seja, sensacional. O café da manhã com muitas variedades e os pastéis deliciosos. Localização muito boa. Ano que vem nas férias retornaremos novamente. O Lumia Café com tortas e sopas deliciosas e funcionários super atenciosos. Parabéns a toda equipe do Select Planalto Hotel"
