Data da opinião,Nota,Título,Conteúdo
uma avaliação Hoje,5,Hospedagem Perfeita,"Excelente atendimento, ótima localização. A equipe é muito prestativa, atenciosa, nota 1000. A vista é deslumbrante, quarto confortável, limpo. O hotel é enorme, possui 6 elevadores, o que facilita a locomoção mesmo quando está cheio. O café da manhã é farto, com reposição constante. Dentro do hotel há um excelente restaurante e dois bares ótimos. Já fui 5 vezes para o Rio e foi o hotel que mais gostei, principalmente pelo atendimento."
dez. de 2022,3,"Se conseguir um quarto de luxo (andar alta) por um preço razoável, vale a pena.","- 3 noites no hotel.  - Ele é localizado na meia altura da avenida Copacabana, uma localização excelente.  - Tem uma estrutura velha, o que significa decoração simples, ar condicionado barulhento e instalações hidráulicas não muito boas.  - O serviço é médio. O atendimento na recepção é muito lento porque eles utilizamos um sistema arcaico. Quando limparam o quarto, retiraram as toalhas sujas e não recolocaram novas.  - O café da manhã é muito bom.  - A vista das janelas dos quartos, da sala do café da manhã e da piscina não podia ser melhor.  - O estacionamento custa R$ 55, mas não tem muitas vagas.  - As camas são moles demais, as toalhas ásperas e no sexto andar tem muitos mosquitos.    Conclusão, recomendo, mas sem empolgação."
dez. de 2022,4,Atendimento do recepcionista Jean,"O hotel conta com uma ótima vista e localização, mas precisa de reforma e aumento do número de funcionários. Em todo caso, destaco o atendimento do recepcionista Jean, que foi muito educado e prestativo."
dez. de 2022,5,Maravilhosa localização,"Excelente localização! Bom atendimento dos funcionarios! Especialmente camareira Carmen. É um hotel antigo, mas mantem o requinte e o conforto no melhor local do rio de janeiro. Passei dias felizes com toda minha familia ( esposo , pais , irmão)"
dez. de 2022,3,"Ótima localização, porem, precisa de muitas melhorias","Hotel muito bem localizado, com várias opções de bares e restaurantes, feira de artesanato bem próxima.  O atendimento é razoável. Café da manha razoável. Achei as instalações do quarto muito antigas e cheias de defeitos. O cofre, por exemplo, não funcionava. Abajur com defeito. Quarto estava com cheiro de mofo (creio que por conta do carpete). Teve um dia que a camareira se quer fez o serviço de quarto. Piscina suja, não dava nem vontade de entrar. Penso que talvez por ser alta temporada, o hotel não estivesse preparado para atender a alta demanda."
dez. de 2022,5,"O atendimento por parte dos funcionários, em especial a camareira D. Carmem!",O hotel possui uma localização privilegiada!  O café da manhã é ótimo. O restaurante também! O Room service funciona 24 horas com um atendimento pra lá de especial!  A camareira D. Carmem é nota 10! Gentil e muito atenciosa.
dez. de 2022,5,Conforto e bom atendimento,"Ótimo atendimento e instalações, principalmente da Dona Carmem (camareira) que nos atendeu com muita solicitude quando precisamos. Área da piscina um espetáculo de vista.. o restaurante muito agradável."
dez. de 2022,5,Avaliação,"O check in realmente demora um pouco, mas a educação e simpatia dos funcionários Diana e Daniel tornaram nossa experiência no hotel maravilhosa e super agradável! Fomos surpreendidos por um bolinho no quarto desejando parabéns pelo aniversário. Adoramos"
dez. de 2022,5,Aniversário em família,"Passei meu aniversário aqui no Othon.  Vim com minha esposa e meu filho e ficamos maravilhados com o atendimento a estrutura e o restaurante.  Menção especial p o atendimento de: Diana, Kaique, Pedro e Wanderson.  Voltarei com certeza!!!"
dez. de 2022,5,Lua de mel,"Ótima hospedagem, maravilhoso o café da manhã. Funcionários muito bem recepcionistas com o hóspede, área de lazer muito aconchegante e com vista ótima para o mar. Serviço de hospedagem impecável..  Dando uma atenção aos recepcionistas João Afonso e ao recepcionista Wanderson pela bela recepção ao chek-in e chek-out. Parabéns"
