Data da opinião,Nota,Título,Conteúdo
abr. de 2020,5,Acrescentar,"Gostei pela localização, foi o melhor. Não gostei por não ter parcelamento no pagamento.. O valor da estadia foi bom, mas sempre penso que a rede hoteleira poderia ter uns preços melhores para as hospedagens individuais."
mar. de 2020,5,Ótimo custo benefício,"O hotel tem um ótimo custo benefício, o café da manhã é ótimo, em especial o mingau de tapioca. O entorno do hotel é bastante turístico , com o teatro Amazonas e o largo São Sebastião. Porém, como todo centro de cidade grande ele pode ficar um pouco esquisito tarde da noite."
mar. de 2020,5,Ótimo hotel,"Hotel bonito e aconchegante, equipe bem treinada, de fácil acesso, recomendaria com certeza para amigos e familiares. Segunda vez que eu me hospedo lá e já sou cliente cativo. Na minha próxima viagem, vou de Go Inn de novo"
mar. de 2020,5,Conforto!,"Quartos agradáveis, café da manhã e almoço muito bons, atendimento de primeira qualidade. Confortável, ótima internet, silencioso, próximo ao centro, do Teatro Amazonas, dos restaurantes e bares. Recomendo!!!"
mar. de 2020,5,Hospedagem,Hospedagem boa e excelente. Estou aguardando apenas a NF de hospedagem. Fora isso todo atendimento excelente e ótimo e sempre vou repetir a hospedagem novamente quantas vezes for necessário. Desde já fico bastante agradecido.
mar. de 2020,1,Não é higiênico,"O hotel realmente não tem melhoria na higiene, desta vez foi pior que a última visita, vazamento no banheiro, higiene precária ao chegar me colocaram em um quarto sujo e a camareira ainda pergunta se eu gostaria que fizesse a limpeza... Mão deveria bem ter me perguntado... Ao tomar café encontrei a pior situação o queijo estava mofado e sendo servido as pessoas, portanto não recomendo este hotel, já que as práticas de higiene não são aplicadas..."
mar. de 2020,5,Hotel bem localizado e excelente atendimento,"O Hotel tem uma excelente localização próximo ao Teatro Amazonas. Nas proximidades, também, há outros pontos turísticos, restaurantes e lojas de artesanato . Os funcionários são cordiais e eficientes no atendimento aos hóspedes. A limpeza dos quartos é satisfatória. Café da manhã é bom, mas pode melhorar. O hotel tem estacionamento, mas é cobrado dos hóspedes. Entendo que esta cobrança é um ponto a ser analisado pela direção."
mar. de 2020,4,Hospedagem quase perfeita,"Eu e minha familia ficamos hospedados por 10 dias na semana do carnaval. Foi tudo perfeito com exceçao do barulho de obras no proprio hotel. Achei desagradavel ser acordado quase todos os dias por ruidos. (Martelo, serra etc...). Fora isso, fui muito bem atendido."
mar. de 2020,3,Carnaval 2020,"Hotel com excelente localização, porém deixa a desejar em alguns ítens, como limpeza do quarto e do banheiro, acabamentos e tamanho do banheiro. A equipe é muito atenciosa e prestativa. O valor do café da manhã é um pouco alto pelo o que é oferecido."
mar. de 2020,5,Prático e confortável,"Excelente custo-benefício! O hotel está muito próximo do teatro Amazonas, e bem acessível à feira de domingo e ao mercado Municipal do cais. Quanto ao conforto, as instalações são agradáveis: a ducha é excelente (quente e frio), as camas são confortáveis, o condicionar de ar funcional, o Wifi atende e café da manhã é honesto."
fev. de 2020,3,Vale pela localização!,"Hotel localizado no centro de Manaus! Café da manhã razoável, com três tipos de frutas, de bolos e de pães. Cama confortável e chuveiro bom. Limpeza deixa a desejar. O atendimento da Fabiana fez nossa estadia mais agradável, sempre atenciosa resolveu todos os problemas que encontramos durante o período em que estivemos hospedados."
fev. de 2020,5,Excelente,"Boa Localização, ambiente agradável e ótimo atendimento dos funcionários. Café da manhã muito bom e opção de janta, Cama confortável e velocidade da internet muito boa. Boa opção para quem vai a Manaus e pretende ficar próximo ao centro"
fev. de 2020,4,otimo hotel,hotel com otima localizacao perto do centro historico e tambem de otimos restaurantes nao precisando de carro para conhecer as redondezas e nem para comer. Quartos confortaveis cafe da manha bom tudo de acordo com o preco
fev. de 2020,5,Praticidade e conforto,"Apesar de não ser luxuoso, este hotel foi um dos melhores que já me hospedei pelo fato de ter funcionalidades simples que deixam a estadia extremamente confortável, sem preocupações. Ar condicionado do hall e do quarto excelente - fundamental com o calor que faz em Manaus. Wi-Fi grátis rápido e estável em todo o hotel. Academia simples, porém funcionante. Roupa de cama macia e limpa, múltiplas tomadas no quarto, bem como prateleiras e ganchos, suporte para shampoo, varal no box...isto é excelente! Os funcionários são cordiais e tem uma boa conveniência com água etc a disposição 24h. A tv tb é ótima, com muitos canais de filmes. Localização excelente próximo ao teatro Amazonas com mtas opções de restaurantes ao redor. Indico e me hospedaria aqui novamente."
fev. de 2020,4,Ótima opção em Manaus para quem deseja conhecer o centro histórico.,"O hotel é relativamente novo, quartos pequenos, cama boa. O café da manhã é bom, mas não dá destaque à culinária local. O hotel disponibiliza uma sala de lavanderia (máquina de lavar e secar), isso é ótimo para quem viaja a trabalho e não quer gastar muito com lavanderia, o hotel fornece sabão líquido e amaciante e cobra R$2,00 por peça e ainda disponibiliza ferros de passar roupa com a opção a vapor. Outro ponto positivo: o Teatro Amazonas fica nas proximidades e em seu entorno existem bons restaurantes e opções culturais. Além disso, há restaurante no hotel."
fev. de 2020,4,Hospedagem para Carnaval,"Esperava que o hotel não fosse tão bom mas gostamos muito. A recepção nos recebeu muito bem, o quarto estava bem limpo e muito confortável. Nos corredores de acesso ao quartos no 5 andar, na saida do elevador, é possivel ver o Teatro Amazonas. Valeu muito a pena a hospedagem."
fev. de 2020,4,Otima localização e custo/beneficio,"O hotel entrega o que promete , uma ótima estadia, ficamos 4 noites e as acomodações e o café da manhã foram muito bons . Muito bem localizado na área próxima ao Teatro Amazonas e ao centro histórico de Manaus"
fev. de 2020,4,Bom custo-benefício,"Hotel básico com bons serviços, bom café da manhã, excelente limpeza e funcionários simpáticos. Só não gostei da densidade do colchão: a cama de casal é bem grande, mas o colchão é muito mole e me deu dor na coluna."
jan. de 2020,4,Experiência gratficante,"O serviço foi bom, bom atendimento. Os quartos tem o suficiente. São bons. Funcionários são atenciosos. A localização é excelente, pois fica no centro de Manaus e facilita o deslocamento. Gostei mais da localização e não gostei tanto do jantar que era servido. Mas o café da manhã foi bom."
jan. de 2020,5,Ótimo hotel,"Hotel com ótima localização no centro da cidade e bem próximo ao teatro Amazonas. Minha estadia foi ótima, viagem a trabalho, mas deu pra curtir um pouco a cidade. Ótimo café da manhã e funcionários bem atenciosos."
jan. de 2020,3,Ótima localização,"Go Inn Manaus possui ótima localização próxima ao Teatro Amazonas e de bons restaurantes. Área social do GO INN esta em ótimas condições, já o quarto é mediano e o WC bem pequeno e sem box, apenas com uma cortina plástica dividindo o vaso do chuveiro. Poderia ser melhor, de qualquer forma tem um excelente custo benefício."
jan. de 2020,5,Excelente localização,"Ao lado do teatro e de vários restaurantes como tambaqui de banda, fitz e caxiri. Otimo custo benefício, da para fazer o mercado, teatro, capela tudo a pe! Cafe da manhã farto e variado.. o Felipe responsável pelas reservas e bem solicito. Voltando a Manaus ficaria la novamente."
jan. de 2020,5,Excelente Estadia,"Ficamos hospedados no Go Inn em manaus e adoramos a experiência café da manhã bom e localização excelente, além dos funcionários cortes explicaram todo o funcionamento do hotel e também a cama muito confortável e o ar condicionado bem silencioso, tirando que o chuveiro não esquentava muito bem, mas voltaremos a se hospedar."
jan. de 2020,3,Localização Privilegiada,"Ponto forte do Hotel indiscutivelmente a localização. Próximo ao Teatro, a Feirinha e ao Centro de Manaus como um todo. Bons quartos, atendimento da Recepção, Atendentes do Restaurante e Camareiras muuuuito bom (Extremamente cordiais sempre!). Possui uma modesta academia, mas com a Bicicleta ergométrica danificada e esteira fazendo muito barulho (notoriamente precisa de manutenção). Área e Salas para pequenos Eventos e Reuniões. Café da manhã no meu ponto de vista (muito pessoal) deixa a desejar...Sucos pasteurizados e já adoçados (sem opções de sucos integrais SEM AÇÚCAR), para quem possui restrições por conta de saúde fica meio fora. Ovos mexidos extremamente gordurosos (Possui gosto forte de maionese misturada). Apartamentos espaçosos e sempre bem limpos pela governança. O…"
jan. de 2020,4,"Bom, mas com banheiro estranho.","Bem localizado e com bom atendimento. Café da manhã simples, mas suficiente. O banheiro é estranho, porque a pia fica no quarto separada do restante do banheiro, o que tira um pouco de privacidade ao escovar dentes e usar fio dental, por exemplo. Além disso, a cortina do banheiro não é longa o suficiente para barrar toda a água, e a qualquer banho o banheiro fica todo molhado. Mas o colchão é maravilhoso e a localização é ótima, o que faz valer a pena a estadia."
jan. de 2020,3,Custo / benefício!,"Boa localização Bom atendimento dos funcionários Boa limpeza e higiene nos quartos e hotel em geral Cobra estacionamento, o que é ruim. Produtos oferecidos na conveniência são caros! Hotel bom pra turismo"
