Data da opinião,Nota,Título,Conteúdo
19 de dez.,1,"Não vá, não caia nessa cilada.","Péssimo, segurança e cordialidade nota zero ! Nunca mais piso nesse hotel, 30 minutos para conseguir fazer um check in, autorizaram uma pessoa que não autorizei a fazer um check in no meu quarto, segurança depois ficou fazendo gracinhas, tive que mudar de quarto."
18 de dez.,5,"Experiência excelente, relaxante e tranquila!","Excelente recepção, funcionários educados. Boa localização! Café da manhã maravilhoso! Piscina limpa, visual clean! Acomodações amplas e arejadas. Serviço de quarto eficiente. Limpeza dos quartos rápida e bem realizada! Foi muito bom !"
16 de dez.,5,Melhor recepção que já vi!,"Um hotel excelente, uma atenção incrível de todos os funcionários, fiz o check-in antes do horário e ainda me deram um quarto maravilhoso no 14 Andar! Parabéns pelo excelente trabalho da recepção Karla e Ana Paula. Ainda me recomendaram Tours e restaurantes na área! Os meninos do Vallet e das malas maravilhosos também! No bar da piscina sem comentários, um atendimento impecável, mesmo sendo tão ocupado! Parabéns pela excelente equipe! Com certeza vou voltar e recomendar a amigos e familiares!"
14 de dez.,5,Atendimento incrível,"Hotel impecável como sempre, mas o melhor é a recepção!!! Fiz questão de mencionar, quem me atendeu foi a Carla que conduziu de maneira incrível, cheguei um pouco antes e ela buscou de todas as formas me acomodar. Parabéns ao Hotel pelo preparo das pessoas e reforço em especial a Carla na recepção! Vou sempre voltar aqui!"
10 de dez.,2,Não venha se tiver de carro,O quarto é razoável mas o serviço de valet é pessimo. Perderam 2 vezes o ticket do nosso carro. Esperei em média mais de 20 minutos todas as vezes que tinha que pegar o carro. Nunca mais eu volto. Não venha se tiver de carro senão é custo e dor de cabeça!!
nov. de 2022,5,Excelente hotel em area tranquila do Rio….. nem parece Rio!,"Estadia para a participação em um Congresso Medico, fomos surpreendidos pela cordialidade dos funcionários mesmo em momentos de grande atividade (e não foram poucos!) Sr. Wagner nos ajudou e orientou todas as vezes que precisei sendo de cortesia e educação impar que ha muito tempo não via em um hotel de grande movimento…  Saindo da recepção chega-se aos elevadores ultra rápidos mas sem sacolejos…. Varias unidades assim quase sempre tivemos um elevador apenas para nos!  Quarto espaçoso, cama de bom tamanha…. Ar condicionado um pouco barulhento, mas incomodou muito pouco….  Banheiro com algumas ressalvas: torneira da pia é em chuveirinho… esparrama agua pela pia!  Não há iluminação no box deixando o banho bastante escuro o que é bastante desagradável, porem a ducha é realmente maravilhosa, fazendo com que esqueçamos tudo isso!  Cafe da manha com bastante variedades de frios e frutas… sentimos falta das máquinas automáticas de expresso e capuccino que sao figurinhas marcadas em hotéis desta classe.  A piscina, apesar de pequena, é aquecida e tem uma vista sensacional!"
nov. de 2022,5,Maravilhoso,"Estadia perfeita na Barra, praticamente a beira-mar!  Toda equipe (manobristas, mensageiros, recepção, camareiros, restaurante), sem exceção, extremamente atenciosa, gentil e competente.  Quarto amplo, com isolamento acústico excelente, colchão confortável, lençóis e toalhas novos, chuveiro delicioso, amenities ótimas.  Café da manhã delicioso, farto e reposto com frequência. Restaurante com opções igualmente saborosas.  Piscina na cobertura, aquecida, com vista panorâmica da orla da Barra  Academia e sauna ótimas.  Opções de restaurantes próximos tb, incluindo o Fratelli!  Minha filha fêz aniversário durante a estadia, e fomos surpreendidas com uma delicadeza: uma torta com morangos e direito a velinha!  Super recomendo!"
nov. de 2022,4,Evite surpresas.,"Quando cheguei no hotel fui informada que a diaria,que ja era bem cara, nao incluía cafe da manhã. Fiquei bem decepcionada porque eu tinha certeza que teria cafė, jamais me  hospedei em hotel cuja diaria nao incluiría cafe da manhã! Tive que pagar por fora 80,00 para consumir um pedaço de fruta ou um copo de suco! Só nao fui questionar porque estava a trabalho e nao tinha tempo para discutir. Mas recomendo que prestem atenção na hora da reserva para nao ter surpresas desagradável. Meu apto pingava agua pra dentro qdo choveu, desagradável, acordei com os pinhos de agua e me assustei. Isso nao era pra ocorrer naquele hotel."
nov. de 2022,4,Ótimo hotel,"O hotel é maravilhoso, café da manhã excelente, jantar excelente… mas tem preços SUPER salgados em qualquer coisa que vc vá pedir… na área da piscina, vc não pode ficar depois das 19 hr… como assim? Vc está de férias, no RJ e não pode curtir ficar sentada lá depois desse horário."
nov. de 2022,4,"Ótimo hotel, com uns poréns.","Hotel com ótima localização, frente ao mar na barra da tijuca, uma boa infraestrutura com piscina aquecida na cobertura que faz toda diferença, só não dou 5 estrelas pois o quarto que fiquei com a minha esposa não tinha nem uma cama comum de casal, e sim duas camas de solteiro que tivemos que junta-las, além do que os travesseiros eram muito ruins, não tinha mais espuma dentro deles, muito baixos e gastos. Sai da minha cama Queen para um hotel, espero ter no mínimo uma cama igual ou king, e os travesseiros estão precisando comprar novos, fora isso o restante foi perfeito, o café da manhã é bem completo, destaco os waffles com calda quente de chocolate."
nov. de 2022,5,Voltaria com certeza!!!!!,"Ficamos muito satisfeitos com a recepção que tivemos, desde os mensageiros que foram muito prestativos, todas as vezes que chegamos com o carrinho do bebê eram solícitos. Todos os funcionários muito educados e a infraestrutura é sensacional. Os elevadores mais rápidos que eu já vi, os quartos excelentes, chuveiro ótimo e a vista linda. Café da manhã muito farto e o restaurante com comida muito boa. O ponto forte pra mim é a piscina que é aquecida na medida e tem uma vista sensacional da praia da Barra."
out. de 2022,5,Final de semana .,"Tudo perfeito ,bom atendimento, quarto maravilhoso ,primeira vez nesse hotel ,foi a melhor experiência que tivemos , super educados e atenciosos, vamos voltar muitas vezes ,a localização é perfeita .    O único ponto negativo foi a demora no check-in."
out. de 2022,5,Vista incrível. Atendimento excelente do Wagner.,"Hotel praticamente na frente da praia. O ambiente da recepção é lindo e fomos atendidos bem rápido, mesmo com várias pessoas fazendo check in ao mesmo tempo. Fomos recepcionados pelo Wagner, que já deixou uma excelente primeira impressão, pois é a simpatia em pessoa, foi super gentil conosco, educado, indicou restaurantes e conseguiu um quarto incrivelmente lindo no último andar. A vista do apartamento 1633 é de tirar o fôlego, nada para atrapalhar o cenário. Recomendo o hotel."
out. de 2022,5,Excelente localização,"Simplesmente maravilhoso, com toda certeza na Barra da Tijuca foi a melhor opção de hospedagem. Equipe atenciosa, localização perfeita, bem em frente a praia. O hotel é grande e moderno, com quartos limpos e café da manhã variado. Super recomendo."
out. de 2022,2,Esperava mais,"De VIP esse hotel não tem nada! Reservei pelo Hotéis.com e não recebi NENHUM dos privilégios Gold.  Check-in e Check-out muito demorados, o box é super escuro, a coberta muito fina e a cortina não possui blackout, aí entra uma claridade enorme quando amanhece. O café da manhã custa R$ 88 e não vale nem a metade disso.  Ponto positivo é a piscina no terraço que possui uma temperatura bem agradável.  Já fiquei em hotéis muito melhores que esse. Pelo alto valor da diária, não vale a pena!"
set. de 2022,5,Excelente hotel,"Hotel na barra excelente, funcionários cordiais. Vista muito bonita para o mar, hotel silencioso principalmente a noite.  Café da manhã com diversas opções e comidas frescas.  Restaurante variado com porções bem servidas.  Wifi gratis e centro de eventos muito espacoso. Recomendi  O"
set. de 2022,5,Excelente opção na Barra,"Excelência no atendimento (desde o checkin), mesmo com o estabelecimento bem cheio. Quartos amplos com vista da praia da Barra. Café da manhã excelente com reposição bem rápida (diversas opções). Ótima piscina no último andar."
set. de 2022,1,Lua de Mel Cancelada,"Fiquei impressionado com a péssima estrutura dos quartos.  Escolhi o hotel pra Lua de Mel com minha esposa.  Ao chegar, mesmo tendo reservado com “cama de casal grande” nos deparamos com duas camas de solteiro.  Questionei na Recepção na pessoal de Carla que me disse que “o hotel era assim mesmo, que era só juntar”.  O serviço de quarto juntou e a cama manteve um “buraco” pelos 5 dias que estivemos lá.  Eu reclamei em vão, pois fui absolutamente IGNORADO pelo Hotel em minhas solicitações.  Pra piorar, sábado e domingo não arrumaram o quarto e às 22:00 de domingo bateram a campainha perguntando se queríamos que trocassem a toalha kkkkkk  Lamentável pelo preço, localização e reputação, uma frustração tão grande com uma data tão importante.  Foram os 5 dias mais mal dormidos da minha vida.  Mas pelo menos esse filme de terror teve fim na segunda.  Certamente iremos marcar uma nova semana de lua de mel, porque essa não valeu.  Obrigado Windsor Oceânico e Obrigado Recepção dele, por todo desgosto e decepção."
set. de 2022,4,"Muito bom, mas tinha tudo pra ser excelente.","O Windsor Oceânico tinha tudo para receber cinco estrelas, no entanto há falhas.    Os pontos positivos:  - localização: excelentes restaurantes por perto, poucos passos da praia.  - staff: todos bastante atenciosos e educados.  - quarto: espaçoso. Bem grandes mesmo. Banheiro igualmente grande e com um excelente banho.  - elevadores: extremamente rápidos. O que vale levantar dado ao fato de que o hotel é enorme e possui 16 andares de apartamento mais a cobertura.  - vista da piscina: estonteante.  - check in e check out ok.    Pontos negativos:  - o hotel é enorme, certo? A piscina não. É uma luta conseguir um lugar. Ela claramente não comporta o número de hóspedes.  - o salão do café é igualmente enorme, no entanto não é fácil passar pra pegar os sucos e o cafe. As mesas são muito em cima e, quando lotado, fica inviável se servir.  - o cafe… é gostoso, variado. Mas é exatamente o mesmo todos os dias. Foram seis dias. E todos os dias exatamente igual.  - LIMPEZA: ela só ocorreu um dia, mesmo assim porque pedimos. Lembrando que foram seis dias. Então foi bem estranho. Não achei compatível.  - cama bem mais ou menos… travesseiros TERRÍVEIS. Não há cobertores no quarto… e fez bastante frio. O ar não esquentou também. Foi difícil.    Hotel muito bom, sim. Mas precisa se atentar a esses detalhes."
set. de 2022,5,estadia perfeita,"o atendimento desde a chegada ao hotel com os mensageiros abrindo as portas do carro e carregando a mala até o check in foi perfeito. A acomodação é ótima, nos fizeram um up grade de quarto, a acomodação em perfeita condição e muito bem limpa. A localização é ótima perto dos principais pontos da barra. Em pleno Rock in rio conseguiram manter um ótimo padrão. Uma ótima escolha pra barra da tijuca, voltarei com certeza"
ago. de 2022,2,Não vale o preço.,"Seja acordado as 07:00 por um “blackout” que não funciona. Fotos em anexo!  Considere chegar no café da manhã e não encontrar uma simples misteira (sanduicheira).  Pense em um check-in completamente demorado, aonde poderiam pensar em um sistema que evite uma fila gigante, e não faça o cliente ficar 1 hora em pé ao chegar. Por vários motivos e detalhes, não vale a pena. Existem outros muito melhores pelo mesmo preço."
jul. de 2022,3,Muito fraco em comparação com os outros da mesma rede,"Muito abaixo do padrão Windsor. O quarto luxo com cama de casal tem um tamanho bom mas deixou muito a desejar, os amenities como roupões, chinelos, shampoos não foram colocados. O hotel estava lotado deixando os serviços ainda piores, a piscina que já é pequena estava impossível de usar, a academia nem se fala, além de já ser MINÚSCULA estava com OS DOIS APARELHOS DE MUSCULAÇÃO (detalhe, só tem esses dois) E UMA ESTEIRA ESTRAGADOS, OU SEJA, tinha duas esteiras, duas bicicletas e um transport para o hotel inteiro. Os elevadores são outro ponto que precisam de melhoria, eles passam direto dos andares, e ficam com filas enormes. O café da manhã é bom porém lotado e tudo que pede para o garçom demora. A recepção estava inviável, sempre com filas gigantes, péssimo para realizar o check inn e check out. A manobra também é extremante demorada, peçam o carro antes de descer do quarto para esperar menos."
jul. de 2022,1,Lamentável recepção.,"Lamentável a recepção de nós, clientes. Escolhemos o Windsor Oceânico para comemorarmos 27 anos de casados. Pagamos a vista e de forma adiantada uma semana de hospedagem. Tudo bem, sem problemas. Mas no check in as coisas mudaram. Nos pediram um caução de $1.400 no cc. Ora, pagamos antecipadamente uma hospedagem acreditando que seria boa. A vista. E de cara o hotel "" duvida"" que se tomarmos uma água sairemos sem pagar???? Estão de sacanagem, perdemos o prazer de conhecermos a Barra."
jul. de 2022,4,Ótimo Hotel na Barra,"Estive hospedada no hotel e me surpreendi!  Hotel está muito bem conservado, funcionários cordiais! Mensageiros e a arrumadeira Raquel quem estava responsável pela arrumação do nosso apartamento sempre muito ágil.    Salva vidas da piscina muito cortes juntamente com o maître do restaurante do período da manhã.    Único ponto em alerta mas que não desabona o hotel é o café da manhã sempre com as mesmas opções para quem fica muitos dias acaba não tendo muitas mudanças no cardápio.    Mas o hotel é ótimo!    Ah cereja do bolo por do sol no rooftop onde se encontra a piscina!"
