Data da opinião,Nota,Título,Conteúdo
uma avaliação Ontem,5,Quero voltar!!!,"Os atendentes Tiago e Flávio tornaram tudo mágico! Tudo foi excepcionalmente maravilhoso!! Parabéns, Vila Galé!! Queremos voltar em Janeiro/2023. Somos cariocas apreciando o menor do Rio de Janeiro!!!"
20 de dez.,3,"Hotel bom, antigo, local desagradável.","O hotel é razoável, antigo, mal localizado e já deve ter sido, um dia no passado, classificado como um 4 estrelas que não se atualizou e com manutenção que deixa a desejar. O café da manhã é muito bom e a maioria dos funcionários é atenciosa. Tudo antigo, mobiliário, televisão, não há conexão RJ-45. O sistema de cartão-chave é péssimo e requer recodificação diariamente, muito desagradável, pois a recepção é longe, sempre com filas e só nos lembramos dessa deficiência ao chegarmos no quarto, muitas vezes já cansados. Serviços de malas, arrumação e cozinha conta com profissionais simpáticos. Não há qualquer amenidade nos quartos, além de um frigobar que não é uma geladeira e um secador de cabelos. Sabonete líquido apenas. Para o nome Vila Galé deixa a desejar."
15 de dez.,5,Hotel maravilhoso,"Mais uma vez estivemos no Villa gale Rio de Janeiro, e fui muito bem atendido pela ANTONIA como sempre excelente no atendimento...e a cozinha com pratos excelentes .O Manoel foi muito atencioso com a gente ...parabéns a aquipe ."
11 de dez.,5,Experiência que queremos repetir,"É um hotel super agradável, porém como fica distante das praias boas, você tem que se programar pra ir de carro ou reservar dinheiro pra Uber. O metrô é uma boa opção (pegue um Uber até a estação da Lapa e vá às praias). O quarto é impecável na limpeza, o café da manhã é muito bem servido. A piscina não importa o quanto fique cheia, tá sempre com aparência de limpa, boa temperatura. O check in e o check out demoram um pouco, filas grandes, mas nada que não possa esperar (não conseguimos adiantar o check in mesmo chegando 9h). O preço dos petiscos na piscina é justo e é tudo muito saboroso. Destaque para a simpatia e trabalho excelente do Tiago, na piscina, que trabalha demais mas sempre sorrindo e sempre pronto a agradar (merece um aumento!). Destaque também para Yasmin super…"
10 de dez.,5,localização excelente,"Instalações excelentes como todos da Vila Galé. Casarão lindo, tipo colonial, jardins bem cuidados, quarto espaçoso, ar condicionado excelente. Roupa de cama de boa qualidade, no entanto as toalhas de banho estavam esgarçadas e ásperas. Chuveiro excelente, funcionários simpáticos, limpeza ok. Frigobar é necessário pedir para reabastecer já que é cobrado. Café da manhã bom. Poderia ter mais variedade. Notamos quadro de funcionários reduzido, o que eventualmente causa alguma demora. O unico problema que vejo na realidade é a localização. Há a necessidade principalmente para quem não conhece o RJ, de um certo cuidado. Porém ao mesmo tempo, a localização é ótima, próxima do aeroporto Santos Dumont, Cinelândia, Arcos, Santa Tereza, fácil deslocamento para o Centro, Zona sul etc."
8 de dez.,4,"Hotel ótimo, restaurante a desejar!","Acomodação, piscina, café da manhã, localização e custo benefício bom! Uma crítica construtiva seria melhora do restaurante do hotel, o mesmo não é muito saboroso!  Experimentamos uma salada no entanto esta era bem simples e o macarrão estava sem tempero! Uma pena porém tem potencial!"
5 de dez.,1,Não vale a pena ! Pura enganação,"Decepção desde a reserva até o check out. oferecem desconto porém não cumpriram com o combinado !  Hotel sujo, serviço de quarto só trocou toalha e retirou lixo, tive que pedir todos os dias para refazer a limpeza, o banheiro destinado a evento estava sujo e cheirava muito mal, em momento algum no período de 5 dias vi um staff limpando, não tem nenhuma informação no quarto quanto aos ramais de restaurantes e serviços, ligamos para a recepção e demora muito para atender principalmente a noite. As 6:30 fomos tomar café e não tinha funcionário para fazer tapioca e omelete, não tem álcool gel nos quartos nem um folheto informativo. Zero amennities apenas um shampoo sabonete e mais nada não vale o que cobra. Vários eventos acontecendo e pouquíssimos funcionários.  Não volto me hospedar nessa rede ."
5 de dez.,1,Não vale o preço que cobra pura enganação quartos sujos não limpam ofereceram descontos por conta do eventos e não deram,"Nota 1 horrível  Corredores sujos, o quarto só limpam quando pedem pelo preço da diária que você paga que já é muito caro não vale a pena ofereceram descontos por conta do curso que foi no hotel 6 dias e não deram na recepção. Enfim não indico  Ruimmmmmmmmmm"
5 de dez.,5,Lugar Incrível,"Já é minha terceira vez neste hotel maravilhoso. Funcionários super atenciosos , principalmente da recepcionista Yasmin e do Bar Tender Thiago. Pessoas maravilhosas que fizeram a nossa estadia ainda melhor. Café da manhã super gostoso e bem variado. Quarto e cama confortável.Piscina TOP!"
nov. de 2022,5,Relaxando,"Todo o hotel é fantástico! Ótimos serviços na recepção, na piscina, nos bares e restaurantes. Com certeza voltarei em breve com a minha família novamente. Excelência em atendimento. Quartos grandes, limpos. Todos funcionários a postos a nos atender a qualquer momento. Sala e quartos próprios para crianças."
nov. de 2022,4,Boa experiência,Só o barulhos entre os quartos que é bem ruim e o filtro do ar condicionado sujo. O resto é bom .    Yasmin tem atendimento top e diferenciado.    O tamanho é bom    Ruim também que o Cage da manhã só começa 6 30 e a chapa para omelete sempre atrasa
