Data da opinião,Nota,Título,Conteúdo
16 de dez.,5,Equipe de primeira,"Se tivesse mil estrelas daria toda equipe e estrutura são ótimos . Acomodacao com limpeza impecável, de frente para o mar , piscina incrível, academia, sauna . Restaurante com várias opções no cardápio Recomendo sempre."
13 de dez.,5,"Vim a trabalho mas aproveitei o dia para curtir um pouco do hotel e praia, conhecer também mais sobre o Rio de Janeiro","O Elizeu bar man, foi sensacional super receptivo, vim sozinha e ele ficou o tempo todo dando atenção e indicando as coisas do hotel, muito show o tratamento do início ao fim! Melhor capuccino e drink"
12 de dez.,4,Hotel agradável e com ótima localização,"O hotel é agradável e tem ótima localização. O quarto tem bom tamanho e a varanda de frente para o mar é bem grande. O café da manhã tem muitas boas opções. A equipe do hotel é bem solícita e disponível para resolver o que for preciso. Aliás, agradeço ao Ricardo e a todos pela gentileza do bolo e dos parabéns no café da manhã no dia do meu aniversário e pelas caipirinhas nos dias dos jogos do Brasil na Copa, no bar da piscina. Certamente voltaria a me hospedar."
11 de dez.,5,Passeio,"Lugar sensacional, tudo excelente! Com certeza pretendo voltar o quanto antes. O café da manhã é super completo, o atendimento de todos os funcionários é maravilhoso e super acolhedor. Um cuidado em detalhes com tudo."
10 de dez.,4,Hotel bom.,"Cama confortável. Banheiro razoavelmente limpo. Haviam moscas de ralo, o que indica falta de uma limpeza mais detalhada. Banheira tinha cabelo. Banheiro com respondia de creme dental na pia. Atendentes não muito amistosos. Falta cortesia. Café da manhã muito bom."
10 de dez.,5,Excelente,"Desde a nossa chegada em família, equipe do hall ( todos, sem exceção, solícitos, gentis e muito atenciosos,café da manhã muito bom,restaurante com ótimo atendimento e pratos deliciosos, nossa vista frente mar espetacular, Conceição da limpeza muito querida,sempre solicita e sorridente,a toda a equipe do hotel a nossa gratidão, até a próxima"
9 de dez.,5,Hospedagem,"Ótima experiência, já fiquei em outros hotéis da barra, mais o reale hotel foi uma grata surpresa, ótima recepção pelo Marcelo, Sr Antônio, uma simpatia. Voltarei com certeza e recomendo. Obrigado reale pelo atendimento a minha família, isto não tem preço"
9 de dez.,4,"Estadia agradável, ótima localização e preço justo. Indico com certeza","Fiz duas reservas neste hotel e o Horário de check in era 14:00, cheguei às 15:00 e os quartos ainda não estavam disponíveis, por enquanto, esta é minha única recomendação, que atentem ao que está divulgado no site, principalmente horários."
9 de dez.,5,Excelente localização e estrutura,"Ótimo hotel com ótima localização, excelente estrutura, piscina, café da manhã bem servido e variado, quartos confortáveis e limpos, vista magnífica e bom atendimento principalmente do Pedro, gerente de recepção.  A área de piscina é super agradável e na praia em frente o hotel oferece guarda sol e cadeiras."
5 de dez.,5,Excelente,"Este hotel tem um excelente café da manhã , a dormida é muito boa dá para relaxar, os funcionários foram muito atenciosos, sempre a disposição para ajudar e realizar um atendimento de qualidade! Tudo muito bom!!!!"
5 de dez.,5,Excelente,"Excelente estádia ,bela vista em frente ao mar, atendimento excelente principalmente o do Ricardo, piscina linda ,Excelente lugar para vir com a família e amigos na Barra da Tijuca ,venha aproveitar essa maravilhosa hospedagem !"
5 de dez.,5,Excelente atendimento,"Encantada com o hotel e a simpatia de todos. Hotel tranquilo e de muito conforto, tudo limpo e cheiroso. Café da manhã maravilhoso e os jantares no restaurante com muitas opções! Será sempre minha opção quando for à Barra, perto de tudo!"
2 de dez.,5,Ótima experiência!,"Tivemos uma ótima experiência no Riale Brisa Hotel! O hotel nos permitiu check-in antecipado devido ao jogo do Brasil na copa do mundo às 13h. Assistimos aos jogos do Brasil no telão do bar da piscina. A localização é ótima, de frente para a praia, só atravessar a rua. O quarto é muito confortável e limpo, com varanda com vista de frente para o mar. Banheiro com bom espaço, chuveiro maravilhoso! O café da manhã é delicioso, com muita variedade, frutas frescas, tapioca e omelete feitas na hora. O atendimento foi impecável, os funcionários foram muito educados e responderam prontamente às nossas solicitações. Ótimo custo benefício! Recomendo!"
1 de dez.,5,Boa estadia para família.,"Ótima, estadia ambiente bom. Boa recepção. Cafe da manhã. Bom só faltou melhor atenção ao pedido de itens sem glúten para minha esposa. Mais logo atendido c que tinha disponível. Apesar de ter avisado na reserva.  Quarto bom c vista para o mar, mais precisando de pequenas reformas nos móveis e retirar umidade de mofo no teto. E cama precisando trocar colchão com diferença de alturas na cama de casal.  Mais ótima piscina e bom atendimento dos funcionários e instalações."
