Data da opinião,Nota,Título,Conteúdo
15 de dez.,5,Hotel perfeito. Vista e localização maravilhosas. Café da manhã de hotel mais completo que já vi. Tudo muito bom. Hotel,Hotel perfeito. Vista e localização maravilhosas. Café da manhã de hotel mais completo que já vi. Tudo muito bom. Hotel muito bonito também. Fiz reserva de última hora sem problema algum. Adorei absolutamente tudo. Acho que a melhor estadia minha no Rio de Janeiro até hoje.
6 de dez.,5,UM LUXO SÓ,"Atendimento perfeito. Consegui fazer chekin antecipado, e checkout tardio. Café da manhã farto e delicioso. Localização perfeita de frente a praia. Piscina pequena, mas nada q atrapalhe. TV, limpeza, cama, e chuveiro perfeitos Sugestão de piscina climatizada, e receptivo de praia."
nov. de 2022,4,Otima hospedagem.,"Hospedagem de 17 a 20/11/22 com meu marido na suíte Luxo Plus, frente para o mar com vista espetacular, atendimento e estrutura do hotel excelente. A piscina fica no 17 andar também com vista para o mar. É realmente lindo. Café da manhã alto padrão, com tudo o que se tem direito. O que deixou a desejar nessa hospedagem é a localização que fica distante dos principais pontos de diversão da Barra ( pontos 2 e 3). O hotel fica no Ponto 7, cerca de 5km, onde se gasta muito com táxi. Na frente do hotel tem 2 quiosques que são muito caros. O hotel e voltado para Business."
nov. de 2022,5,Excelente!!,"Gostaríamos de agradecer a hospitalidade e o profissionalismo dos excelentes funcionários da recepção, Leandro e Matheus; do S. Raimundo, metri, do garçom Leonardo e de toda a equipe de governança, q conseguiu resolver as pendências c excelência na suíte!! Ótimo café da manhã e almoço, excelente limpeza, recepção eficiente e cordialidade!!"
nov. de 2022,5,Ótimo em todos os quesitos,"Hotel Excelente em todos os quesitos, quarto num tamanho muito bom, isolamento acústico perfeito, colchão e travesseiros de excelente qualidade, o café da manhã é bastante diversificado e os alimentos de excelente qualidade. O atendimento do staff do hotel é maravilhoso. O hotel fica numa região muito bom da praia da Barra da Tijuca e para chegar à praia basta atravessar a rua. O hotel oferece toalhas de praia para os hóspedes. Em geral recomendo muito o hotel e me hospedaria novamente nele com certeza!"
nov. de 2022,5,Estadia,"Foi ótimo! Só acho que poderiam ter cadeiras na praia com guarda sol para os hóspedes, faz falta mais esse conforto, fora isso estava tudo ótimo, desde a recepção até o café da manhã! Não temos oq reclamar"
nov. de 2022,5,Conforto e Comodidade,"Quarto com espaço amplo, cama King muito confortável e ducha com pressão boa.  Limpeza diariamente feita nos apartamentos.  Poderia melhorar um pouco no check in muita fila as 14h, poderia iniciar a partir das 12h."
nov. de 2022,4,Excelente Hotel a Beira Mar,"Hotel localizado frente ao mar! Não possui estrutura de praia , porém, existem 2 estruturas que o hóspede pode escolher para desfrutar a praia ! Atendimento e cordialidade dos funcionários , excelente ! Café da manhã , ótimo! Quarto amplo, limpo, toalhas de banho boas !"
nov. de 2022,5,Ótimo!,"Todo os colaboradores muito educados e gentis, o café da manhã é bem servido até para quem não quer sair da dieta pois fazem tapiocas e omeletes na hora.  O Hotel é bem localizado , fica beira mar na Barra da Tijuca. Vale muito a pena para quem quer ter conforto de ir para praia e voltar para o hotel andando."
nov. de 2022,5,"Hotel luxuoso, extremamente elegante. À beira mar na Barra, arquitetura clássica, com mármore e granito.","Hotel fantástico, chique. Muito bem localizado na beira mar da Barra. Funcionários educadíssimos, bem treinados. Ótima opção para uma hospedagem com muito estilo e conforto. Café da manhã farto e variado. Quarto grande, silencioso……."
out. de 2022,5,Excelência e ótimo custo benefício!,"Excelente custo benefício! Conforto, quarto bonito e organizado e limpo! Roupa de cama, de boa qualidade!  Os funcionários são muito educados; a Luana camareira super gentil, os garçons Sérgio e Roberto Carlos muito cordiais e educados no café da manhã, sempre tentando agradar e fazer um trabalho individualizado, profissional bem diferenciado. Lucas e o Luan que são maleiros, são excelentes também! O Davi segurança muito cordial!  Enfim todos os funcionários são muito profissionais!  O salmão no café da manhã é algo que amo! Devem Manter! Já me hospedei em outro hotel da rede que também tinham!"
out. de 2022,5,MUITO BOM!! SUPER RECOMENDO,"AMEI TUDO!!  Ficamos eu e meu marido e mais uma amiga por 3 diárias ! O hotel lindo, desde a recepção até os quartos !  Atendimento dos funcionários impecável !  Pedimos toalhas que usamos a mais, chegou muito rápido  Pedíamos mais água e bebidas e chegava rápido também  Café da manhã uma delícia  O bar de dentro do hotel muito bom também!  Voltaria com certeza e recomendo muito!!!!!  Atendimento, beleza, limpeza , TUDO muito bom! Parabéns"
out. de 2022,2,Gerador Insuportável,"O hotel é bom, mas não adianta ter um tratamento vip e na hora de dormir, ou a noite, um gerador incomodar tanto. De 7 duas na semana, 5 tem gerador. E não bastasse o barulho, a atendente de eventos sempre trata os pedidos de silêncio após 22h com descaso. Dizendo que não pode fazer nada, que tem que aguardar o evento acabar, que o hotel gera empregos... enfim. Detalhe: eventos que vão pra lá das 00h/01h sa manhã tá... isso quando não fica a noite toda. Ela sabe."
out. de 2022,3,Não condiz com 05 estrelas! Não mesmo. Serviço de Praia Engana o hospede.,"Escolhi o hotel pela proximidade da praia e por dizer ser cinco estrelas, ao retirar as toalhas de praia na recepção com minha família, chego a praia em frente. Cadeiras novas e guardas sol novos com logomarca W! o que pensamos, que bancana!!! o hotel oferece aos hospedes, para nossa surpresa depois de uma hora que permanecemos no local vem a atendente do quiosque da praia nos dizer que tinhamos que pagar o aluguel das cadeiras e do guarda sol mesmo sem ao menos consumir, que aquilo não pertencia ao hotel, indignado liguei para recepção do hotel acreditando que esta sendo enganado, para minha surpresa a resposta da recepção foi de que se aproveitam do nome do hotel para efetuar a cobrança mas que realmente não faz parte do serviço do hotel!!! Pois bem, minha indignação é como um hotel 05 estrelas deixa uma barraca na praia utilizar guardas sol e cadeiras com logotipo claro do hotel e não faz nada!!! me senti enganado não pelo valor cobrado e sim por um péssimo serviço do hotel. em resumo, café da manha razoavel sem nada de 05 estrelas, quarto razoavel sem nada de 05 estrelas tambem. conclusão, hoteis ao lado 04 estrelas são cerca de 40% mais baratos, não façam a besteira de achar que esse será melhor."
out. de 2022,5,Hotel é incrível. Vale a pena.,"A experiência foi incrível. O hotel está super bem localizado na Barra. Tem um quiosque bem em frente, basta atravessar a rua. Os funcionários são extremamente educados e competentes. A cama do quarto é maravilhosa. A comida então sensacional. Além do café da manhã que já estava incluso, nós almoçamos um dia no restaurante. O preço (R$ 90 e poucos reais por pessoa para comer a vontade). A piscina fica localizada no último andar e tem uma vista indescritível. Como estava muito nublado o tempo, nem utilizamos muito pq a água não é tão quente e ventava muito, rs. A única coisa que eu acho que podem melhorar é na academia do hotel. Deveria ter pelo menos um banquinho lá. Mas obviamente nada que atrapalhe a estada. Enfim, vale muuuito a pena se hospedar lá. Com certeza voltaremos mais vezes."
out. de 2022,5,Hotel nota 1000,"Vivi momentos mágicos nessa viagem, nesse hotel maravilhoso, foi intenso o prazer de estar aqui, quero voltar muito em breve, foi uma viagem curta que valeu cada centavo gasto, foi um investimento perfeito, com muito amor e prazer envolvido."
set. de 2022,2,Falta de informacao no checkin e péssimo atendimento nos bares,"Estavamos embarcando no taxi após consumo no bar, quando veio um garçom com a maquininha cobrando este consumo pois nao haviamos deixado cartao para cobranca na recepcao, sendo que essa opcao nao foi dada no checkin. Parece que iamos sair sem pagar e estavamos fugindo no taxi...  E nao foi a primeira vez, aconteceram 3 vezes durante a hospedagem."
