Data da opinião,Nota,Título,Conteúdo
20 de dez.,3,Experiência Rio a preço justo,"Hotel com custo-benefício excelente, localização ótima, estrutura boa, café da manhã justo e atendimento dos mensageiros do hotel excepcional... A única infelicidade são recepcionistas indispostos e que prestam um atendimento péssimo. Destaco MUITO positivamente o atendimento do mensageiro Odair, o qual prestou um serviço de excelência."
out. de 2022,4,Ótimo custo x benefício,"Estava receiosa com os comentários mas Esse hotel foi uma ótima surpresa, fizeram um upgrade e ficamos num quarto com banheira, bem confortável, limpo, cama e chuveiro perfeitos, bom atendimento e café excelente. Minha única ressalva é pro ar condicionado extremamente barulhento sendo impossível dormir com ele ligado. Somente por isso não darei 5 estrelas mas o hotel compensa muito, Com certeza voltarei."
out. de 2022,1,Fuja desse lugar!,"Terrível. Atendimento péssimo. Cabelo no box e na cama. Café da manhã péssimo. Tudo sujo. Não volto nunca mais. O valor da diária altíssimo. As fotos enganam. Uma zorra de hotel. Atendentes mal educados. Limpeza ruim. Em resumo, não recomendo pro meu pior inimigo."
out. de 2022,1,Desorganização na recepção,"1 Péssima, recepção com mais de 40 minutos esperando para fazer check in. Atendimento horrível. Extremamente desorganizada a recepção dos hóspedes. Chegamos no hotel antes do horário do check in, não pudemos fazê lo e depois no retorno nos deparamos com toda essa desorganização e desrespeito com o cliente. Primeira e última vez no local!"
out. de 2022,5,Excelente,"Nossa estadia foi ótima! Todos os funcionários são muito atenciosos, prestativos e educados! Boa localização, perto de metrô, mercados, restaurantes e da orla de copacabana! Café da manhã excelente, pena que acaba enjoando ficando muito tempo, pois todo dia é a mesma coisa. Tudo muito limpo e conservado!"
set. de 2022,5,Bom atendimento e espaço lazer agradável,"Hotel com boa estrutura, minha avaliação nota máxima se deve ao ótimo atendimento do Leandro Cruz da recepção que ajudou a resolver os problemas com muita agilidade e ao Odair, muito educado e prestativo para ajudar a levar as malas, meio ao hotel cheio, um bom atendimento deixa a experiência leve e boa. Vale a pena, estrutura da piscina e hall muito bonitos também."
set. de 2022,2,Insatisfeito,"Quarto com cama ruim e banheiro cheio de mofo.  Sem falar no barulho da parte hidráulica dos quartos vizinhos que durante a madrugada acordava e incomodava a gente. Camareiros(a) com rádio em volume alto na porta do nosso quarto bem antes das 8h da manhã, fazendo barulho e trazendo desconforto ao descanso. Não recomendo !  Pela estrutura e localização, esperávamos um serviço melhor."
set. de 2022,1,Nos trataram como lixo,"Royal Rio Palace Hotel  Resumo de avaliações do Google  4,4  Muito bom  4.618 avaliações  Quartos  2,7  Localização  4,7  Serviço  3,4  O que os hóspedes estão dizendo  ""Quarto com boa organização de espaço, serviço de troca e arrumação bom.""  ""Show de bola, piscina linda ótimos quartos e o serviço excelente""  ""Diversa opções de itens entre pães, frutas, ovo e sucos.""  Mais    Casais  3,9    Famílias  4,0    Sozinho  3,8    Negócios  3,8  Avaliações  Pesquisar avaliações  Assuntos frequentes    Matheus Machado  1/5  agora mesmo no Google  CUIDADO!  Minha pior experiência em um hotel.  Estive no Rock in Rio 2022, já era minha terceira vez no evento e sempre mesmo com a cidade lotada tive boas experiências em outros hotéis da cidade.  Como os hotéis estavam muito cheios conseguimos uma reserva apenas para o dia seguinte ao show que assistimos, então deixamos nossas malas em um guarda volumes da cidade e aguardamos em uma lanchonete até por volta das 10h do dia da nossa reserva.  Chegamos extremamente exaustos e querendo uma ajuda do hotel. Mais de 24h sem descansar, molhados, enfim, numa situação desumana...  Os funcionários da recepção extremamente mal educados, despreparados e arrogantes não tentaram em nada nos ajudar para entrar um pouco mais cedo.  E não era por falta de disponibilidade, pois ofereceram para entrar as 12h pagando o valor de mais uma diária, ou seja, um abuso.  Observamos as pessoas fazendo seus checkouts e nenhuma ajuda nos era oferecida quando implorávamos por está.  No meio disso tudo ainda tinha um senhor, não sei se gerente ou proprietário que ficava andando pelo hotel gritando, brigando com os funcionários e reclamando.  Um desastre, minha vontade era sair correndo daquele local, mas infelizmente eu não tinha condições físicas pra isto.  O quarto estava com cheiro de mofo e as paredes estouradas, tudo com um aspecto de mal cuidado.  Único ponto que foi ok era o café da manhã que tinham boas opções e a vista da cobertura, mas a piscina não é aquecida.  Antes de irmos embora ainda cobraram uma taxa por termos usado o maleiro na entrada, ou seja, a única ""ajuda"" que nos deram ainda foi cobrada  Não volto nunca mais, não indico para ninguém.  A falta de respeito que passamos é fora dos limites. Não estou exagerando, apenas narrando os fatos. Cuidado ao escolherem um hotel pelas fotos.  Ninguém deve ser mal atendido como fomos, nem um animal, nem nada merece um atendimento desse, ainda mais por estarmos pagando um alto valor."
set. de 2022,4,Royal Rio durante o RiR,"Minha segunda vez hospedada no hotel durante um evento do RiR.  Pontos positivos:  - Proximidade ao metrô, o que facilita MUITO a ida e volta do evento;  - Conforto, acho que o hotel atende as expectativas (camas, cobertores, toalhas sempre bons);  - A localização é muito boa, facilita o acesso aos pontos turísticos mais populares, e também ao aeroporto e rodoviária;  - Café da manhã é organizado, mas vá antes das 9hrs para evitar filas :)    Ponto negativo:  - Um dos senhores da recepção é EXTREMAMENTE grosseiro, ele inicia o turno dele sempre as 6h30 (nível máximo de grosseria na primeira e na segunda vez que estive no hotel);  - Custo da diária estava 3x maior que o preço normal (isso em todo Rio de Janeiro)"
set. de 2022,2,As fotos enganam,"As acomodações do quarto 618 são péssimas. Volta cheiro de esgoto do ralo e o quarto tem cheiro mofo. Pelo que escutamos é um problema recorrente. Fomos transferidos para o quarto 325 que é ok, mas esperávamos mais do hotel."
