Data da opinião,Nota,Título,Conteúdo
17 de dez.,4,MUITO BOM,"Achei o hotel muito bom, quarto super ok, espaço bom pra duas pessoas. fomos super bem atendidos pela equipe do hotel. café da manhã bom, não tão variado, mas o que tinha era de boa qualidade. localização ótima. minha unica ressalva fica para uma das luzes do banheiro que não estava funcionando, banhos foram a meia luz kkkk. e tambem o barulho de obra que estava havendo desde cedo. ainda assim nao acho que estragou minha experiencia."
nov. de 2022,5,Sobre o hotel,"Quarto aconchegante, café da manhã super variado e delicioso, funcionários prestativos e educados. Não tive nenhum problema, tudo foi agradável, recomendo e já estou planejando a próxima estadia em breve!"
out. de 2022,2,Não recomendo,"Hotel antigo, foi feita uma reforma da fachada, mas os quartos ainda têm mobílias, colchão / roupas de cama e ar condicionado central bem antigos, o que provocava um odor desagradável no quarto. Sou alérgica a cheiros fortes e informei à recepção. Haviam apenas outros dois quartos disponíveis, com as mesmas características. Funcionários cordiais e educados, mas não senti disposição para resolver o problema. Fiquei em andar alto, mas o ruído da avenida, ainda assim, era forte, pois a janela não é acústica. Café da manhã ok. Área da piscina boa, mas não fornecem toalhas para uso no local. Estou acostumada em me hospedar na rede Windsor, mas este hotel não faz jus ao padrão de hospedagem da rede. Não volto e não recomendo!"
set. de 2022,4,Ok,"O hotel tem uma localização ótima, os quartos são confortáveis, banheiro espaçoso. Não sei se for por causa do Rock in Rio e estavam com mais trabalho, MAS: recepção mto confusa, na hora de check in e check out não davam conta de fazer as coisas, fizeram confusão com as minhas reservas. E também fila pro café da manhã (de esperar 20min pra comer). Entendo que era um período atípico, mas deviam ter se programado melhor pra isso."
set. de 2022,5,Me surpreendi com a qualidade,"Hotel excelente! Mesmo não sendo um hotel novo não tem nada de velho, é mt bem cuidado. Os funcionários são bem educados. A limpeza é ótima e as roupas de cama e banho também. Mas o melhor de tudo é o café da manhã, completíssimo, com certeza um dos melhores que já vi, além de muitas opções que são repostas a todo minuto, tudo mt fresco e delicioso. Recomendo muito e com certeza voltaria! Um detalhe: a piscina é bem pequena."
ago. de 2022,4,"Casal, 3 dias no Rio","Boa localização, bem próximo a pé de Copacabana. Hotel super clássico e bem conservado. Ótimo atendimento por parte dos funcionários, super cordiais. O quarto na categoria inicial, como o que pegamos é bem pequeno mas tem o necessário. A roupa de cama é muito boa. Conseguimos um andar alto, o que melhorou a experiência. O café da manhã é super completo, tudo fresco, bem servido e variado. Piscina pequena as com uma vista agradável a morros de vegetação da região, também é possível ver a praia mesmo que um pouco distante. Foi uma boa experiência, já ficamos em um hotel da mesma rede na Barra e por um valor bem próximo você tem muito mais conforto no que diz respeito ao quarto. Mas a localização realmente é ótima, próximo a vários pontos turísticos."
jul. de 2022,5,Ótima experiência,"Primeira vez que me hospedo em um hotel da rede Windsor. Na hora chekin fui informado que minha reserva feita via Booking não incluia o café da manhã. Levei um susto pois sempre faço reserva incluindo o café. Ao conferir no meu e-mail vi que eu tinha me equivocado. Mas a recepcionista gentilmente incluiu o café como cortesia. Ponto para o hotel. O quarto é amplo, aconchegante e o banheiro também é bem espaçoso. O único problema são os dispensers de shampoo e sabonete líquido que não são bons. O da pia nem consegui usar e não há sabonete em barra. Vi reclamações sobre os colchões que eram moles, mas sinceramente gostei e achei confortável. O café da manhã é bom e os funcionários repõe tudo rapidamente. A piscina fica na cobertura e é pequena e gelada. O WI-FI funciona bem e os…"
jul. de 2022,5,Espetacular!!!,"EXPERIENCIA MARAVILHOSA!!! Com certeza voltarei mais vezes, serviço de qualidade limpeza, organização e conforto dos quartos.café da manhã super balanceado, não tive nenhum problema com a minha dieta e o trabalho de toda equipe cozinha, camareiras umas fofas super atenciosas a governanta nos presenteou com um chocolate delicioso e destaque para o Sr. Francisco e Carlos, Maciel e Ary. O melhor foi a troca de quarto, que maravilha sai do 406 que constataram problema hidráulico e fomos para o 910, que maravilhaaaaa, o hotel é bem localizado, amei a experiência com vocês."
jun. de 2022,1,Péssima experiência,"O primeiro problema foi o estacionamento, assim como outras pessoas acreditavam que ele estava incluso também, porque aparece na lista mas chegando lá é 79 a diária, inclusive tinham vários hóspedes questionando a mesma coisa. Fui fazer o check in demorou muito e quando liberaram disseram que eu teria direito a fazer o check out mais tarde (o mínimo, né?), mas mesmo assim não era interessante para nós pois realmente só poderíamos ficar até o horário do check in regular mesmo..."
mai. de 2022,5,Excelente hotel e serviço,"O hotel é excelente. Tem todos os requisitos de um quatro estrelas de respeito. A localização é ótima. Em uma avenida importante da região, permite um acesso muito fácil à outras partes da cidade e locais de potencial interesse, como o aeroporto Santos Dumont, um excelente shopping, que fica a 500 metros do hotel, com opções excelentes de alimentação (recomendo o restaurante Gurumê, no térreo do shopping, pra quem curte um japa de qualidade). O terraço do hotel tem um bar, uma piscina que não é grande mas acredito ser suficiente pra curtir em uma época de muito calor, e uma academia bem equipada. O café da manhã é bom, com opções bem variadas, e o atendimento dos garçons é um espetáculo a parte. São todos muito simpáticos, agradáveis, estão sempre com um sorriso no rosto e…"
