Data da opinião,Nota,Título,Conteúdo
uma avaliação Hoje,4,Hotel muito bom com algumas coisas a melhorar,"Hotel tem um atendimento ótimo. Decoração moderna e bem linda. O quarto família tem um tamanho ótimo, mas as camas auxiliares são péssimas, tamanho menor do que uma cama de solteiro.  O restaurante deixa a desejar, comida não é tudo aquilo e cara. Final de semana faz fila no restaurante. As áreas comuns são muito pequenas para a quantidade de quartos que o hotel oferece, inclusive espaço na piscina."
uma avaliação Hoje,5,Natal.,"O quarto frente mar é excepcional. Excelente serviço, comida e atendimento. O responsável José pelo Golden Lounge do hotel é super simpático e nos atendeu super bem! Todos os funcionários atenciosos e corteses. O SPA é de nível internacional."
uma avaliação Ontem,5,Inesquecível!!!,"O Fairmont Rio proporciona uma experiência sofisticada, relaxante, acolhedora e única aos hóspedes.  A equipe do hotel é fantástica. Um agradecimento especial ao Netto, Chef Jeromè, Zé Carlos, Silvio, Pereira, Márcio, Anderson, David e Diego Matos que tornaram a nossa hospedagem ainda mais especial."
uma avaliação Ontem,5,Uma experiência única,"Estivemos pela segunda vez no Fairmont, na parte Gold.  Foi uma experiência única, a atenção do José todos os dias no lounge, o serviço impecável e muito atencioso da Gabi e do Douglas fizeram nossa estadia maravilhoso.    Pedidos especiais de panquecas e waffles sempre atendidos com um sorriso.    Recomendo fortemente que comparem o fairmont com outros hotéis e escolham ficar aqui.  Irão se surpreender!"
22 de dez.,5,Hospedagem com vista privilegiada,"Acomodação e áreas de lazer muito bons. Serviço de limpeza e atendimento geral são de primeira qualidade.    Na Gold Area, o serviço de atendimento foi excepcional, agradecemos e parabenizamos o maître Sr José pelo profissionalismo.    O SPA oferece tratamentos diversos e bons, no entanto encontramos certa dificuldade para agendar."
22 de dez.,5,⭐️⭐️⭐️⭐️⭐️,"O hotel é incrível! Produtos de extrema qualidade e bom gosto! Localização perfeita!  O chuveiro é maravilhoso! Roupas de camas de qualidade! Limpeza impecável!  O concierge não soube nos indicar um local com samba e feijoada para almoçarmos!  Infelizmente não consegui late checkout, apenas mediante o pagamento de meia-diária!"
21 de dez.,5,Super experiência com a família,"Uma das melhores localizações do Rio, hotel novo, moderno e com staff super educado. Opções de piscinas e alimentação para vários gostos. Vista sensacional dos quartos frente mar. Café da manhã diverso, opções na piscina e restaurante. Spa muito bom!"
19 de dez.,5,Maravilhosos em tudo,"Estivemos pela 2 vez no hotel, não tem como não se encantar vcs são exemplos de hospedagem , tudo é perfeito , atendimento com excelência , alimentação e drinks maravilhosos, quarto com uma vista linda e a piscina é um caso de amor insuperável"
19 de dez.,5,Hotel Fairmont Copacabana - Navio alemão Europa,"Sou o guia John do Rio de Janeiro. Gostaria de agradecer à todos os funcionários do Fairmont Copacabana, em particular à Rita e à Paula do setor de reservas, ao Vinicius e à Célia do Concierge, ao Leonel chefe do Concierge, ao José Carlos e a sua equipe que cuidou da bagagem dos hóspedes A operação toda foi complexa, mas bem sucedida. Todos eles foram determinantes pelo seu êxito. Parabéns!"
19 de dez.,5,Quanto 743 - Goiania 🤩,"Atendimento excelente desde os atendentes ao entrar, quartos( limpeza e roupas de cama), Halls , restaurantes especialmente o garçom Dhom, mega simpático, atencioso, cordial, sempre pronto e atento aos atendimentos em todos os pedidos …    Massagista Roseli muito simpática e excelentes mãos !    Carol do checkin uma doçura !"
