Data da opinião,Nota,Título,Conteúdo
18 de dez.,5,Experiência incrível,"Hotel muito top. Muito bem localizado, limpo. O café da manhã é muito bom, comida fresquinha. Os funcionários são super educados e solícitos. Amo me hospedar nesse hotel. É a segunda vez que me hospedo e pretendo voltar. Recomendo ficar em um quarto com vista para a praia."
13 de dez.,5,Ótimo Hotel,"Excelente, de frente para o mar, café da manhã gostoso, bem variado. Os funcionários são bem atenciosos e muito educados. E sempre um prazer me hospedar no Arena Leme, super recomendo!!! A vista é um espetáculo à parte. A piscina poderia ser um pouco maior."
13 de dez.,5,Minha segunda casa,"O Arena de leme é meu hotel favorito no Rio de janeiro. Quando penso no Rio penso no Arena leme, a vida de quem viaja a trabalho é corrida mais a super equipe da recepção com etodos os meninos é SENSACIONAl! A vista é linda, minha única sugestão é a reforma da piscina. No restante super indico e recomendo com experiência de quem tem o Arena como uma segunda casa"
13 de dez.,5,Incrivel,"Estive no Arena no inicio de novembro e foi uma experiencia incrível. Desde o atendimento na recepção até o bar da piscina. O café da manhã do hotel é muito bom, nao deixa a desejar em nada. Queria agradecer ao Fabiano e ao Edimilson da recepcao e ao rapaz que fez nosso atendimento na piscina também muito atencioso."
9 de dez.,5,Muito feliz com minha estadia no Hotel Arena Leme no RJ,"Minha estadia foi de total descanso na mente, assim como pro corpo físico! Em termos gerais, todos os que te atendem no hotel são extremamente educados e você é muito bem tratada, a começar com Eduardo e Igor na recepção e mais quem te acompanha até seu quarto, as camareiras, o serviço de manutenção bem executado quando necessário A localidade não poderia ser mais especial, saiu do hotel, está com pé na praia, e outros serviços prestados ao cliente do hotel. O restaurante do hotel tbm é de muito bom sabor Resumindo: só tenho excelentes recomendações. Parabéns pelo trato ao cliente Ainda mais pra mim, uma senhora que estava viajando sozinha, me senti bem tratada, muito segura e recebendo todas as informações e pedidos que solicitei. Recomendação Especial ao Hotel Arena Leme,…"
nov. de 2022,4,Melhor atendimento !!,"O melhor atendimento que já tivemos. O pessoal da recepção é fantástico!!! Sempre bem humorados, atenciosos e muito simpáticos, em especial o Gilberto e o Miguel, o rapaz que fica na porta e que infelizmente não lembro o nome, também é muito gentil e atencioso. Nos sentimos em casa podendo bater um papo com todos, que nos ajudaram com dúvidas sobre a cidade, locomoção e pontos turísticos. O café da manhã é sensacional, o senhor que organiza as mesas um doce de pessoa. Todos que nos atenderam foram maravilhosos. No dia do meu aniversário, após passar o dia em passeio, voltei para o hotel e me deparei com um mimo muito especial deixado no quarto pelo Gilberto e o Miguel que eu amei muito !!!  A localização do hotel é muito boa, tem uma vista linda, o terraço é uma delícia para relaxar, comer ou tomar um drink.  Os quartos precisam um pouco de carinho com as cortinas e travesseiros. A limpeza pode ser melhorada com um pouco de atenção aos painéis, cabeceira de cama... Mas no geral o hotel é muito bom, recomendo."
out. de 2022,5,Ótima experiência,"Foi ótima a estadia no Arena Leme Hotel, boa localização, atenção no atendimento, limpeza impecável, variedade no café da manhã e a vista do rooftop é perfeita!!! Ainda temos a opção de restaurante e bar no local."
out. de 2022,5,O Rio continua lindo.,"O hotel é bem localizado em relação a restaurantes e comércio, a praia em frente é muito boa, com quiosques legais e gentis. A equipe de funcionários do hotel é atenciosa e competente. A limpeza e tamanho dos quartos são ótimos. Bar da piscina com vista espetacular."
out. de 2022,5,Sensacional,"O local é, sem dúvidas, uma experiência única. Segundo o concierge ficamos num dos melhores quartos do hotel, o qual conta com um aparador externo para vislumbrar a lindíssima praia de Copacabana. O quarto é incrível, banheiro espetacular, café da manhã muito bem servido, a acústica do quarto é ótima, te permite fechar as janelas e não ouvir praticamente nada ou abri-las e ouvir o mar e o movimento da orla da praia.  Os funcionários são educadíssimos, muito bem preparados.  Infelizmente não possui estacionamento, mas logo a frente possui vagas públicas e você consegue ver pela janela do quarto, o policiamento é constante também.  Recomendo com tranquilidade!"
set. de 2022,2,Aglomera-Leme: um bom hotel não se faz apenas com a vista,"A princípio, parece que tudo vai dar certo e que você terá a melhor experiência da sua vida: ótima localização, decoração muito bem feita, funcionários atenciosos. Porém, na medida em que você conhece o hotel, as estrelinhas vão despencando...Para começar, os quartos contam com travesseiros, roupas de cama e colchões de qualidade que não condizem com a prometida sofisticação. O café da manhã é sem graça, repleto de bacons, salsichas, e pratos de duvidosa qualidade. O espaço na cobertura é subaproveitado. Os elevadores não dão conta da demanda. Resultado: turistas se acotovelando nas filas do restaurante, do elevador, do restaurante, da cobertura, até da porta giratória..."
set. de 2022,5,melhor atendimento,"Estrutura do hotel e atendimento são absurdamente impecáveis, melhor vista do Rio de Janeiro e gostaria de evidenciar a cordialidade do gerente Fabiano, grande profissional. Voltaremos mais vezes com toda certeza!"
set. de 2022,5,Atendimento excelente,"Uma vista incrível, café da manhã bem servido, os funcionários são super atenciosos e carismáticos. Eu e a esposa pretendemos voltar em breve e ficar mais dias. Indico a todos os amigos que me perguntam sobre o hotel."
set. de 2022,5,Localização e atendimento perfeitos,"O hotel tem 7 anos de funcionamento, o que garante instalações mais conservadas que a maioria das redes. Localização perto à pedra do Leme, seguro, ao lado de bons restaurantes, num local que inspira tranquilidade (no Rio sempre é com manter cautela). Quarto com ótima ducha, vista de toda a orla (se ficar no 801). Excelente atendimento dos recepcionistas Fernando e Gilberto, que indicaram excelente passeio. O café da manhã tem menos opções que esperado, mas é satisfatório. O restaurante cumpre com o atendimento para quem não quer se arriscar muito longe. O por do sol visto do teto merece homenagem"
set. de 2022,5,Extraordinário,"Uma das melhores experiências que já tive em hotéis, já me hospedei em diversas lugares no mundo e posso afirmar que o Arena Leme é simplesmente extraordinário e não deixa a desejar em nada comparado a hotéis na Europa, com uma localização de fácil acesso, próximo de restaurantes com cuisines variadas, perto de pontos turísticos e sem falar que todos da equipe são simpáticos, prestativos e prontos para ajudar, especialmente o gerente Fabiano e recepcionista Edmilson, um atendimento 🌟 🌟🌟🌟🌟, que com certeza fez com que nossa estadia fosse ainda mais prazeroso pela simpatia e prontidão emprestar o melhor serviço, com indicações fantásticas.  A vista do quarto e rooftop são perfeitas, todos os ambientes são extremamente limpos e cheirosos, o quarto parece ser tudo novo, a roupa de cama e banho cheirosas e macias, sem palavras para agradecer a toda equipe por todo cuidado nos mínimos detalhes, com produtos da natura nos quartos, ficamos impressionados. Sem contar que parece ser uma empresa que se preocupe com a diversidade e sustentabilidade.  Nota 10000"
set. de 2022,5,Excelente escolha,"Hotel bem reformado, frente à praia do Leme e ponto de táxi na frente do Hotel. Hotel com super custo benefício e atendimento geral fora da média. Restaurante espanhol muito bom.  Gostaria de fazer menção aos excelentes atendimentos do Eugenio e Eduardo.  Eduardo por ter resolvido um problema de reserva complexo (por problemas pessoais cheguei dois dias após e precisaria de uma nova diária na semana do Rock in Rio)  Ele fez um trabalho minucioso e preciso, atendendo 100% nossa expectativa e ao mesmo tempo atendendo outros clientes em check out.  Fez a total diferença em minha estadia (Eugênio) pela simpatia e Eduardo pelo foco no cliente, solução de problema e atendimento.  Vale muito a pena, voltarei com certeza.  *lembrando que tentei resolver este meu problema por telefone antes da viagem por alguns dias e não tive a solução pela equipe de reserva."
