Data da opinião,Nota,Título,Conteúdo
28 de dez.,1,"Hotel com chuveiro quebrado, lençol rasgado e ar barulhento. .","Após uma experiência incrível no Carmel Cumbuco eis que chego ao Carmel Magna e me deparo com uma diferença abismal entre dois hotéis da mesma rede e tão próximos um do outro. Queria destacar alguns pontos: 1- cheguei no dia 28/12/22 e a rampa de carro para embarque e desembarque estava fechada para a instalação de um deck temporário, com isso não tinha sequer onde fazer embarque e desembarque de malas. 2- check-in super lento. Somente uma pessoa no térreo, cuidando de malas, check-in, atendendo telefonemas dos quartos e extremamente confuso (como uma rede que sabe fazer hotelaria, treinar os funcionários e já provou que sabe isso em outras unidades não se incomoda de ter um atendimento tão ruim tendo o know-how de como treinar?) 3- ao subir toda a decoração é muito velha,…"
23 de dez.,4,Ótima estadia,"Fiquei no quarto “vista mar” e tanto eu quanto meu namorado adoramos o hotel. A vista é encantadora. A localização é excelente na praia de Iracema à beira-mar. O café da manhã é muito bom, apesar de ter ido em um domingo as 9 e já ter pouca variedade, provavelmente pelo fato do hotel estar muito cheio. A limpeza do quarto é muito boa, porém troca de toalhas e organização do quarto aconteceu 1 dia sim e outro não. No mais, me hospedaria novamente com toda certeza!"
20 de dez.,4,"Foi boa , apesar de ter pago dois aps com vista pro mar e um ficou na lateral","Apesar de eu ter pago dois aps com vista para o mar , e um dos aps foi na lateral e o recepcionista me dizer que o de vista pro mar foi um brinde, a estadia foi boa, só quero deixar bem claro que paguei os dois com vista pro mar, isso nao foi brinde."
15 de dez.,5,Hotel com infraestrutura e atendimento de muita qualidade.,"Foi uma estadia maravilhosa. Localização excelente, próximo a feirinha. O atendimento, sem exceção, recepção, restaurante, camareiras, todos os funcionários foram maravilhosos. O atendimento imediato, sempre que solicitado, com um sorriso e uma educação ímpar. Não tenho nenhuma reclamação. O café da manhã muito bom, atenção dos funcionários e simpatia incrível. Vi hóspede reclamando do tamanho do quarto, isso a gente vê no site, achei bem distribuído. Super recomendo, voltaria com certeza."
15 de dez.,4,Excelente Custo x Beneficio,"Os pontos altos do Carmel Magna são: localização e o café da manhã, que é super completo e uma delicia. A acomodação é confortável e nos atendeu durante todo o período de estadia, porém a decoração é bem antiga. O custo beneficio nos atendeu!"
13 de dez.,5,O BOM DE FORTALEZA,"EXCELENTE RECEPÇÃO, EQUIPE ATENCIOSA, BOA LOCALIZAÇÃO, CAFE DA MANHA BOM, PROXIMO DE TUDO, ATENCIOSOS, NAO POUPAM ESFORÇO PRA NOA ATENDER COM AMIOR DEDICAÇÃO E PROFISSIOLISMO...PARABENS TODA EQUIPE E FELIZ 2023"
10 de dez.,5,Maravilhaaa,"Muito bom!!! Quarto de frente para o mar, serviço do hotel e café da manhã muito bons!!! Localização muito boa perto perto de tudo, a única coisa ruim é o estacionamento que não tem, e para estacionar no entorno do hotel é zona azul…"
7 de dez.,5,Melhor hotel para se hospedar na praia de Iracema.,"Atendimento muito bom.  Quarto climatizado, espaçoso, e com uma vista encantadora do mar.  Com certeza uma experiência Maravilhosa!  Café da manhã servido no quarto, com muitas opções e delicioso. Show!"
nov. de 2022,4,Carmel Fortaleza,"Ficamos 1 semana no hotel e no geral a experiência foi positiva. Bom atendimento por parte dos funcionários. Sempre ajudaram quando precisamos de algo. Café da manha com opções variadas, tapioca e omelete feitos na hora e com vários recheios disponíveis mas no decorrer da semana as opções se repetiam. O quarto que ficamos era o comum, tinha um bom tamanho, tv grande e com vários canais, frigobar pequeno mas suficiente. A parte do box e vaso é apertada, mas da conta.  As fotos dão impressão de um hotel mais moderno, e na verdade ele já é um jovem senhor, alguns itens no quarto mostram um certo desgaste.  A praia em frente ao hotel é meio ruim, fomos todos os dias para outras, como a do futuro ( 20,00 de Uber) e valia mais a pena.  Calçadão a beira mar com bastante policiamento, me senti seguro para visitar as barraquinhas e caminhar a noite.  Tem uma boa piscina que apesar de ter dado tempo de usar, me pareceu sempre bem limpa e agradável.  No geral pelo preço que pagamos, não tenho nada do que reclamar e se fosse o caso de uma nova viagem, ficaria novamente no Carmel.  Única sugestão que deixo, seria a troca do ar condicionado por um split, o barulho as vezes incomodava um pouco."
nov. de 2022,3,"Boa localização, mas deixa a desejar","Não gostei dos travesseiros e a cortina muito velha, não veda da luminosidade. Acabei tendo dificuldade para iniciar a dormir por conta da luz externa e acordei muito cedo por conta da luz tbm. A localização é excelente, mais esse aspecto da luminosidade principalmente me incomodou muito."
nov. de 2022,5,Passeio,"Perfeito tudo muito agradável, recepção muito educados e cordiais, café da manhã maravilhoso e avontade, serviço de quarto muito bom, localização perto de tudo, vista magnifica, area da pscina muito linda, roll perfeito e uma equipe muito boa e atenciosa.  Aprovado e indico."
nov. de 2022,5,Agradável,"Muito bem recepcionado, serviço de quarto ótimo e café da manhã maravilhoso, localização excelente, área da piscina muito boa, colaboradores muito educados, acomodações excelente, vou muito bom hospedar aí, e se Deus quiser voltaremos!"
nov. de 2022,5,Excelente hotel,"O hotel é bem localizado, os funcionários foram muito receptivos e atenciosos e o café da manhã muito delicioso. Em especial, gostaria de deixar registrado o meu agradecimento ao funcionário Régis, que sempre se mostrou solícito e educado durante toda a nossa estadia. Recomendo muito o hotel. Espero voltar outras vezes."
nov. de 2022,5,Ótimo hotel,"Hotel muito bem localizado, limpo, funcionários atenciosos, café da manhã muito gostoso, não tenho do que reclamar. Queria agradecer em especial ao funcionário Régis, que está sempre com um sorriso no rosto ao nos ver, muito educado, atencioso e solícito."
nov. de 2022,5,Voltarei mais vezes,"O hotel é bem localizado. Os funcionários são muito atenciosos. É limpo e organizado. O café da manhã é muito bem servido. O ar condicionado funciona muito bem. Tenho duas observações só para a melhoria: 1- seria bom ter algum lugar para que possamos pendurar as roupas de banho molhadas (tipo um varalzinho de chão).  2- tem algumas janelas no quarto que estão com o ferrinho quebrado, então não dá para deixá-las abertas, pois ficam batendo.  São só observações para melhorar ainda mais.  Com toda certeza eu indico esse hotel."
out. de 2022,4,Excelência e Qualidade,"Equipe de recepção bem atenciosos.  Café da manhã maravilhosooooo  Localização maravilhosa, perto de restaurantes, barzinhos e principalmente da feirinha. Kkkkk  Equipe de limpeza muito prestativa e cuidadosa com seus serviços."
out. de 2022,5,Excelente,"Quarto sempre limpinho quando chegávamos dos passeios, café da manhã maravilhoso, com uma cozinheira que fazia nossa tapioca do jeitinho que queríamos. Vista da praia nem se fale... Expetacular  Organizados e atenciosos. Recomendo. Não deixou a desejar."
out. de 2022,5,Excelente hotel,"Quarto com vista deslumbrante para o mar. Cama confortável, chuveiro forte e todo conforto que quem viaja a trabalho precisa. Café da manhã excelente, equipe da recepção muito solícita. Espero voltar a passeio para aproveitar mais!"
out. de 2022,3,Razoável,"Dizer que o hotel é ruim seria um exagero, o hotel tem pontos positivos como a localização, o pessoal muito simpático com os hóspedes e o café da manhã. Porém há coisas que não achei interessante, o restaurante do hotel fecha seis horas, o bar da piscina fecha duas horas da tarde e os quartos tem um mobiliário já antigo, a pia fica fora do banheiro, sinceramente para o preço que cobram eu não voltaria."
out. de 2022,2,Apartamento suíte,"Hotel muito abaixo das minhas expetativas, achava que era bem melhor pelas fotos. Estrutura velha, apartamento suíte, de valor alto que não correspondia a altura do preço. Ar condicionado bastante sujo, tive crise de alergia. Apartamento bem fora do preço aplicado. Não vale a pena."
out. de 2022,5,Perfeito,"Minha melhor escolha em Fortaleza, camas confortáveis e café da manhã impecável! Serviço de quarto com lavagem de roupa dentro do hotel, funcionários gentis e educados, nota mil. Recomendo muito para quem for a Fortaleza."
out. de 2022,5,Férias,Muito ótimo minha estadia .....adorei...recomendo tudo organizado quarto sempre limpos. Café da manhã maravilhoso...funcionários receptivos. Tem aptos frente a calçada tudo perto. Restaurantes tudo que precisar
out. de 2022,5,Excelente estão de Parabéns,"Muito bom excelente atendimento, quartos sempre limpos e aconchegantes, café da manha muito farto  com muita variedade de alimentos frutas ,sucos e outras iguarias.  Localização beira mar com uma vista maravilhosa para o mar."
out. de 2022,5,Melhor hotel de fortaleza,"Amei a experiência, des dos entrada até a saída. Os funcionários são muito educado e atencioso, vale a pena conhecer o hotel, café da manhã excelente.  Só tenho a reclamar, com a camareira, que deixou eu sem toalha de banho duas vezes."
out. de 2022,5,Maravilhosa!!!!!,"Estava tudo excelente!  Muito obrigada pela acolhida. Atendimento de qualidade e com excelência! Colaboradores muito atenciosos e prestativos, me senti muito a vontade e satisfeita, como se estivesse em São Paulo, não deixaram nada a desejar. Parabéns!"
out. de 2022,5,Férias em Fortaleza,"Viajei com minha esposa e achamos o hotel maravilhoso, fomos bem atendidos e assistidos desde a entrada, o funcionários sempre muito solícitos e alegres. Tem boas acomodações e uma vista maravilhosa para a praia."
set. de 2022,5,Viagem a Fortaleza,"O hotel é muito bom, localização muito boa, funcionários muito atenciosos e solícitos, café da manhã excelente. Enfim, o hotel atendeu todas nossas expectativas e tivemos só experiências positivas durante nossa estadia."
set. de 2022,5,Eu simplesmente amei,"Muito bom esse hotel,gostei muito .Fiquei hospedado aí com meu esposo, e foi muito bom os funcionários muito educados, e sem falar do café da manhã que é perfeito,tem de tudo um pouco.. sem falar que o quarto que ficamos foi maravilhoso,dava pra ver o mar até sentada no vaso.....amei...recomendadissimo.  Obs: todas as fotos tiradas foi do meu quarto."
set. de 2022,5,MARAVILHOSO,"Minha estadia foi maravilhosa, hotel super bacana, funcionários simpáticos, café da manhã estrapolou minhas expectativas, localização sensacional. Espero vir mais vezes pra aproveitar. Estão de parabéns!"
set. de 2022,1,Falta manutenção!!! cheiro de esgoto que subia do ralo!!!! péssimo,"Única coisa boa do hotel é a Localização!  O quarto voltava cheiro de esgoto do ralo da pia que ficava dentro do quarto!  o Café da manhã cheio..  O elevador sempre cheio, passava umas 3 a 4 vezes cheio para você conseguir entrar!!!"
set. de 2022,5,Férias,Hotel excelente. Me hospedei quando casei em 2011 e ano passado meu esposo faleceu pela covid. Ficar no Magna me trouxe ótimas lembranças e continua maravilhoso como eu lembrava. Voltarei com certeza.
set. de 2022,5,Lugar aprazível,"Excelente hotel, atendimento agradável e ambiente aconchegante com uma excelente localização. Estas qualidades faz do Carmel Magna Hotel uma referência para férias.  O restaurante permite você experimentar o que há de melhor da culinária nordestina."
set. de 2022,5,Carmel Magna Hotel,"Recepção incrível , acomodações impecáveis , café da manhã de qualidade, funcionários bem simpáticos, área da piscina com boa infraestrutura e ambiente agradável ! Ar condicionado, TV , Cama bem espaçosa e confortável. Voltarei concerteza , super recomendo !"
set. de 2022,5,Hospedagem Fortaleza,"Excelente hotel, funcionários muito gentis, café da manhã farto e variado. Sua localização é fantástica frente ao calçadão que foi todo reformado, muito iluminado e com policiamento por toda orla. Pra quem conheceu antes de 2018 vale a pena voltar. É outra cidade"
set. de 2022,5,Ótima,"Em Fortaleza, será referência para minha agência. Hotel impecável, organizado, equipe atenciosa e bem localizado. São vários fatores positivos que contribuem para que possamos trabalhar com o hotel. Parabéns"
set. de 2022,4,muito boa!,"hotel bem localizado, tudo limpo, funcionarios educados. Deixa a desejar que nao tem estacionamento e as ruas laterias tem zona azul. Sugiro tb que a iluminação do quarto fosse lampadas brancas, as lampadas amarelas deixam o quarto escuro e pincipalmente no lavabo onde fazemos a maquiagem."
set. de 2022,5,Recomendo e volto,"Os funcionários muito atenciosos e educados.  Ficamos uma semana.  Cafe da manhā simples com variedades, sempre quentinho.  Ar condicionado bom.  A limpeza do quarto tambem gostei.  Guardei na mala um cartāo da porta, e estava com dificuldades de encontrar, liguei na portaria, fui informada que nao tinha problema, e ainda perguntaram se precisava de ajuda para carregar as malas.  Fiquei muito safisfeita.  MARLI APARECIDA"
set. de 2022,5,Fiquei encantada,"Ótima localização, café da manhã excelente, om muita variedade de bolos, pães,  doces, iogurtes ,frutas etc funcionários sempre dispostos a ajudar.  Serviço de quarto bom. A recepção com ambiente acolhedor, o restaurante tem acesso a área da piscina, de frente para o calçadão e início da praia de Iracema e Meireles. Piso de mármore, um luxo só."
ago. de 2022,4,Sul,"Muito bom!  Como sugestão seria colocar sistema de água quente para chimarrão.  Nosso quarto não conseguimos dormir com ar condicionado ligado, muito barulho.  Parabéns a todos funcionários, fomos muito bem atendidos.  Abraço!"
ago. de 2022,5,Férias em Família,"Ótima experiência!  Colaboradores educados e prestativos, excelente café da manhã com várias opções, quartos limpos, espaço da piscina como as demais áreas do hotel limpos e organizados e ótima localização."
ago. de 2022,5,PERFEITOO,"Eu e o meu namorado adoramosss!! Localização muito boa, quarto limpinho, café da manhã espetacular com tapioca doces e salgadas feitas na hora além de muitas outras variedades.  Funcionários solícitos.  Piscina linda.  Só achei o box um pouco pequeno e as janelas e portas um pouco antigas mas não atrapalhou em nada minha estadia, achei perfeito, confortável, lindo.."
ago. de 2022,5,Visita turística,"Amei tudo desde o atendimento, acomodações, café da manhã, camareira, todos são muitos simpáticos, solícitos, e a vista do quarto é deslumbrante 😍  A área da picina é maravilhosa, os drinks são muito bons,a comida é bem gostosa.  Amei e super recomendo, já quero voltar ❤️"
ago. de 2022,5,Hotel e Localização perfeitas,"Hotel maravilhoso, camas super confortáveis, café da manhã farto, localização super privilegiada. Única coisa que talvez ressaltasse é o box que é um pouco pequeno, mas não atrapalhou minha estadia, quero voltar em breve!!"
ago. de 2022,5,Viagem,"muito bem localizado em frente há uma grande faixa de areia com pista para andar de bicicleta e caminhadas, bons quiosques, Hotel bom, funcionários muito atenciosos, uma ótima experiência super recomendo"
ago. de 2022,4,Bom custo benefício e boa localização,Bom custo benefício. Banheiro um pouco apertado. Senti um odor um pouco desagradável que eu acredito que tenha vindo do ralo. Chuveiro razoável. Ar condicionado razoável. Bom atendimento na recepção. Pedi para mudar de quarto porque haviam me oferecido o primeiro andar de frente para a piscina e imediatamente me mudaram para o quinto andar de frente para o mar. Hotel muito bem localizado.
ago. de 2022,5,Para retornar,"Quarto extremamente confortável, localização excelente e um café da manhã que dá vontade de não sair mais do hotel, muito diversificado. O atendimento do pessoal da cozinha é muito. Detalhe só pra os elevadores que demoram."
