Data da opinião,Nota,Título,Conteúdo
dez. de 2022,1,Nao eh 5 estrelas,"Esse Hilton nao eh 5 estrelas de forma alguma. Staff mal fala ingles, quartos antigos, cheiro de esgoto vindo do banheiro e nada de tomadas perto da cama. Falta MUITO para ser 5 estrelas. Pedimos servico de quarto e a comida nao so era pessima, como a pessoa que veio trazer ao quarto fez piadinhas com o fato de ser muita coisa para duas pessoas, achando que nenhum de nos falava Portugues. Ainda nos cobraram a mais e trataram meu namorado Ingles supermal. Ate deixei uma review no Google e eles apagaram varias vezes. Entrei em contato com o atendimento ao cliente da rede e fui surpreendida com mais despreparo da equipe. Nunca mais, mesmo."
jun. de 2021,5,Sensacional!,"O Hilton Copacabana é realmente um hotel à altura da sua imponência! O único ponto que fica na média é o café da manhã, que é bem normalzinho. Talvez valha a pena comprar diárias sem o café. No mais, tudo incrível! A vista do 36º andar, do quarto virado para Copacabana, é absurdamente linda! Acredito que somente dos andares 36 e 37 você também consiga ver o Cristo Redentor, além de toda a orla de Copacabana. Dá para passar horas admirando, principalmente à noite ao deitar na cama e ver o Cristo iluminado pela janela. Sobre o quarto, a cama é super confortável. TV gigante, moderna. Chuveiro muito gostoso. Armários amplos. Tapete grosso e alto, ótimo para pisar descalço. O rooftop é outro capítulo de destaque. Piscina levemente aquecida, espaço repleto de mesas e sofás, bar com…"
dez. de 2022,4,Ótimo,"Hotel muito bom, poderia ter uma manutenção melhor nos quartos. Café da manhã ótimo. Rooftop com uma vista linda e ótimos drinks. Localização muito boa. Checkout com sistema de entrega de chaves nem necessidade de atendimento, perfeito."
dez. de 2022,4,Comemoração de Aniversário,"Sou moradora do Rio e me hospedei no Hilton Copa com a minha mãe. Foi incrível do início ao fim. Funcionários atenciosos, uma vista inexplicável, comida gostosa e com um valor muito justo. Destaco os seguintes funcionários: Jeter do restaurante, Pedro e Marjorie de reservas. Eles foram SENSACIONAIS! A única coisa que destaco de uma forma não muito positiva, foi o SPA. Pelo valor, eles deixaram muito a desejar. As recepcionistas com uma postura nota 0 (parecia que elas só estavam alí para tirarem pedido de cliente) e uma massagem bem ok, para um hotel tão renomado quanto o Hilton. Independente disso, com certeza voltarei!"
dez. de 2022,5,Excelentes dias em família!,Condições excelentes do quarto com vista para o mar. Piscina com jacuzi e piscina de água quente no topo do hotel com uma vista soberba para o Leme e Copacabana. Atendimento excelente por parte dos funcionários. Pequeno almoço bastante completo.
dez. de 2022,5,Deixou saudades,"A piscina é simplesmente incrível, aquecida e com uma vista inesquecível. Atendimento impecável, café da manhã com muita variedade. Vista linda da janela, cama grande e confortável. Simplesmente adorei."
nov. de 2022,4,Localização e tradição no RJ,"Quarto muito bom, com banheira, vista de toda a Av. Atlântica, e muito confortável. Conta com piscinas no 4º e 39 andares. Funcionários atenciosos e wi-fi incluído bem satisfatório. Sugiro apenas que à beira da piscina haja opções mais palatáveis para as crianças."
nov. de 2022,5,Hotel incrível,"Tive o prazer de ir junto com minha família. Que experiência incrível cara . Fiquei encantada com cada funcionário que interagi , todos muito carinhosos e atenciosamente atendeu cada pedido meu . Voltarei em janeiro !"
nov. de 2022,4,ótimo hotel,"Funcionários muito atenciosos e gentis, hotel limpo, bem localizado. Hotel preparado para receber bebes (emprestaram bercinho e banheira em boas condições ambos). Apenas o restaurante principal deixou a desejar por poucas opções no menu."
nov. de 2022,5,Excelente opção !,"Hotel muito bem localizado e com excelente acomodação! Funcionários atentos e simpáticos. Café da manhã com uma fartura grande de frutas e boas opções em geral, e duas piscinas com águas aquecidas numa excelente temperatura."
