Data da opinião,Nota,Título,Conteúdo
14 de dez.,5,Um dos melhores Hotéis que já me hospedei,"O hotel é maravilhoso, estrutura impecável. Sou carioca e estava receoso quanto a segurança da localidade, mas me surpreendi positivamente. Apenas algo que observamos e seria interessante melhorar é o Check-out, eu e minha esposa descemos para fazer o Check-out e tivemos sorte pois não tinha ninguém na fila naquela hora, ainda assim notamos um o nosso check-out foi extremamente demorado, quase 10 minutos esperando não sei exatamente o que. Reparamos que o Check-out de todos que estava ao nosso lado também era muito demorado, ao olharmos novamente a fila que antes estava vazia, já tinha ao menos entre 30 a 40 pessoas, o saguão estava completamente lotado. Então é apenas um toque de algo que pode ser melhorado, o processo de check-out precisa ser revisto internamente para…"
10 de dez.,4,Ótima opção apesar do setor de reserva atrapalhado!,"A localização é perfeita para visitar o Cristo Redentor e o Pão de Açúcar. Praia do Flamengo a poucos passos, agora limpa e própria para banho. Museu do Catete reaberto, visita gratuita imperdível, praticamente ao lado do hotel, fui 2 vezes de tão bom, além do acervo rico, tem um lindo jardim. O hotel é confortável, tem um café da manhã muito bom e variado, piscina na cobertura com boa vista, quartos confortáveis, banheiro grande. Viajando com crianças, reservei quartos conjugados que não foram honrados no check-in. O mais bizarro foi que outra família que chegou meia hora após e estavam conosco, conseguiu quartos conjugados. Acabei ficando num quarto família com 4 camas, pelo menos tinha isolamento acústico eficaz mas o valor seria inferior aos 2 quartos que reservei pra minha…"
7 de dez.,5,Funcionários atenciosos,"Os funcionários foram TODOS muito atenciosos, do carregador de malas ao garçom do restaurante. O quarto também estava muito asseado, e a limpeza se estendia às áreas coletivas do Windsor Florida Hotel."
6 de dez.,1,Péssimo atendimento! NÃO RECOMENDO!,"Péssimo atendimento da recepção , principalmente da gerente noturna. Já havíamos decidido que não voltaríamos a nos hospedar nesse hotel desde a nossa última experiência ruim com check out onde havia uma fila com mais de 20 pessoas de manhã. Tínhamos reunião e voos agendados e não nos deixaram sair ou deram alguma solução mais ágil para que não fosse necessária a inspeção do quarto. Agora precisamos retornar ao hotel pois não tinha disponibilidade onde costumamos ficar. Notamos que estava havendo um grande evento corporativo que coincidiria o check out com a nossa data, verificamos com a organização do evento que nos comunicou que haveria por volta de 107 pessoas realizando check out no mesmo momento que a gente. Perguntei na recepção se haveria a possibilidade de fazermos o…"
out. de 2022,2,Péssima experiência no Check in! Ma vontade! Incompetência!,"Péssima experiência no check in! Fizemos o pré check in as 12:30, o quarto só seria liberado as 14:00. Retornamos as 17:30 e, ainda não havia quartos disponíveis! Esperamos por mais de 1:30, por fim, depois de muita má vontade da atendente Fernanda, liberaram os Aptos , um em péssimo estado que precisou ser trocado p outro. Já o segundo ok, mas demorou mais 30 minutos de espera!"
out. de 2022,5,Pré viagem,"Fomos ao Rio para pegar o voo para BA que sairia do galeão. Como seria muito cedo, nós hospedamos de véspera no Florida. Foi uma noite apenas, mas uma noite super agradável. Cama, quarto, banheiro e café da manha excelente."
set. de 2022,5,"Ótimo, pela segunda vez.","Segunda vez que me hospedo. Duas ótimas experiências. Funcionários muito educados e solícitos. Estrutura muito boa, inclusive pra cadeirantes. Quarto adaptado amplo, todo acessível. Roupas de cama e banho limpinhas. Quarto limpo e organizado. Café da manhã gostoso. Facilidade no check in. Recomendo e voltarei."
set. de 2022,3,Diária muito alto para pouca qualidade,"Preço da diária muito alto para a qualidade e o atendimento que recebemos.    O hotel não estava preparado para receber as pessoas porque tinha fila de aproximadamente 50 minutos para check in, fila de mais de 10 minutos para usar elevador, o café da manhã era um caos e faltava tudo.    Falta ventilação no quarto e também a coberta era antiga e péssima para quem tem alergia.    Além disso não existe comunicação entre os funcionários."
set. de 2022,5,Muito Bom,"Hotel atende todos os requisitos para quem quer uma hospedagem tranquila, em ambiente familiar. Funcionários atenciosos, quartos limpos e organizados. Café muito bom e diversificado. Localização excelente para quem quer conhecer regiões diferentes do Rio, próximo à Zona Norte, Centro e Zona Sul. Rua do Catete com diversos comércios populares, que podem fazer você gastar menos na viagem."
set. de 2022,4,Hotel confortável,"O hotel fica localizado em frente ao palácio do catete no Rio de janeiro. Ideias para quem tem algum compromisso na região do Flamengo, botafogo ou quer ficar próximo ao aeroporto Santos Dumont. Quarto confortável, camas grandes, banheiro grande. Banho com ducha quente e fria. Café da manhã ficou devendo em variedade. Poucas opções de pães, principalmente. Mas a qualidade dos alimentos é muito boa. Não usei a piscina nem a academia para avaliar. O ponto relativamente negativo é o processo de check out demorado. Na recepção o cliente precisa esperar até que um funcionário do hotel vistorie o quarto para conferir consumo. Muitos estavam reclamando porque demorou uns dez minutos por cliente."
