Data da opinião,Nota,Título,Conteúdo
21 de dez.,3,None,"o hotel é bem localizado, o café da manha é bom, bom atendimento, mas não gostei o fato de cobrarem R$ 15,00 de estacionamento, por ser um hotel, e tendo estacionamento para os hospedes, cobrar por isso, não acho legal."
21 de dez.,5,NoneO MELHOR HOTEL DO RIO DE JANEIRO,"Excelente hotel, excelente localização e excelente atendimento. Desde a chegada até a saída o serviço e o atendimento foram impecáveis. Equipe sempre solícita e atenciosa. O serviço de quarto é impecável."
13 de dez.,5,Fantástico,"Excelente café da manhã, ótima localização, local bem tranquilo, quartos amplos e limpos, atendimento nota 10 e vista maravilhosa, perto da praia, acesso facilitado por transferência de hora em hora de ida e hora."
8 de dez.,4,Esperava mais um pouco da marca do hotel,"O ar condicionado estava com as aletas de distribuição do ar quebradas o que fazia com que o ar fosse direto na cama sem possibilidade de modificar. O café da manhã bem fraco pela qualidade do hotel, poderia ter mais itens e os funcionários tem que ter um pouco mais de paciencia, 5 para 10 ja estavam tirando as coisas e avisando que estava encerrando, é uma pressa que ta louco."
4 de dez.,5,Melhor hotel do Rio.,Todos funcionários respondem qualquer dúvida com cordialidade mesmo que esta dúvida não faça parte da sua atividade. Café da manhã ótimo. Impecavel a higiene dos quartos. Próximo de shopping centers com todo tipo de comércios e serviços.
21 de dez.,3,None,"o hotel é bem localizado, o café da manha é bom, bom atendimento, mas não gostei o fato de cobrarem R$ 15,00 de estacionamento, por ser um hotel, e tendo estacionamento para os hospedes, cobrar por isso, não acho legal."
21 de dez.,5,NoneO MELHOR HOTEL DO RIO DE JANEIRO,"Excelente hotel, excelente localização e excelente atendimento. Desde a chegada até a saída o serviço e o atendimento foram impecáveis. Equipe sempre solícita e atenciosa. O serviço de quarto é impecável."
13 de dez.,5,Fantástico,"Excelente café da manhã, ótima localização, local bem tranquilo, quartos amplos e limpos, atendimento nota 10 e vista maravilhosa, perto da praia, acesso facilitado por transferência de hora em hora de ida e hora."
8 de dez.,4,Esperava mais um pouco da marca do hotel,"O ar condicionado estava com as aletas de distribuição do ar quebradas o que fazia com que o ar fosse direto na cama sem possibilidade de modificar. O café da manhã bem fraco pela qualidade do hotel, poderia ter mais itens e os funcionários tem que ter um pouco mais de paciencia, 5 para 10 ja estavam tirando as coisas e avisando que estava encerrando, é uma pressa que ta louco."
4 de dez.,5,Melhor hotel do Rio.,Todos funcionários respondem qualquer dúvida com cordialidade mesmo que esta dúvida não faça parte da sua atividade. Café da manhã ótimo. Impecavel a higiene dos quartos. Próximo de shopping centers com todo tipo de comércios e serviços.
3 de dez.,2,Recepcionistas necessitam de maior qualificação.,"Melhorar treinamento aos recepcionistas - Se não houver o voucher no modelo padrão no sistema do Hotel para reservas da BBTUR, os mesmos afirmam que não tem reserva no nome do hospede, mesmo apresentando o numero de confirmação da reserva.....ja passei esse problema com mais de um recepcionista e em outras ocasiões que me hospedei no Bourbon Barra....por esse tipo de inconveniência não irei mais solicitar reserva neste hotel....Na rede Windsor, por exemplo, nunca tive esse tipo de problema em toda a vida...."
1 de dez.,3,Recepção ruim e debochada,"Recepção ruim, serviços (piscina) não disponíveis por todo período de hospedagem; Recepção não colaborativa em fornecer informações de forma correta e com cordialidade. Perdemos atividades prestadas pelo hotel devido a falta de vontade do recepcionista em repassar a informação de forma correta e educada."
nov. de 2022,5,Estadia maravilhosa,"O melhor hotel do Rio que ja fui!  Localização boa, proximo a praia e o melhor atendimento dos seus colaboradores. Muito obrigada!  Pretendo voltar muitas vezes!  Parabéns pela equipe e atendimento.  Sucesso"
nov. de 2022,2,Até a entrada foi tudo muito bom. Após o check in os problemas iniciaram,"Limpeza do quarto muito ruim.  Tomadas do quarto não funcionavam  Serviço de quarto para entrega de coberta muito demorado e após primeiro pedido inexistente.  Café da manhã: Bom porém abaixo da expectativa.    O layout do quarto (06 pessoas) foi muito bom, eram dois quartos separados por um pequeno corredor."
nov. de 2022,3,Experiência boa mas com ressalvas.,"Sou membro do destination club bourbon, e estive com minha esposa no hotel bourbon barra por uma diária, pois fomos comemorar nosso aniversário de casamento na barra e resolvemos descansar no hotel. Ocorre que o quarto que ficamos estava muito deteriorado. Portas com grandes lascas de madeira faltando, mesas e cadeiras desgastadas, azulejo box banheiro rachado, manchas pretas no banheiro que não cheguei a constatar se eram sujeita ou mofo. Foi algo até constrangedor pois conhecemos outros hotéis da empresa e este foi de longe o mais desleixado. Tentamos obter alguma informação do porque do quarto estar daquela maneira mas, inclusive chagando a mostrar fotos mas os atendentes procurados, não souberam responder, afirmando somente que iriam enviar pessoa de manutencao para análise. Este, muito simpatico por sinal. Sobre funcionários, especificamente os atendentes de check-in (os dois) e os de check-out, foram protocolares. Sobre todos os outros, muito cortezes, simpáticos e prestativos."
nov. de 2022,3,Preço justo para um hotel modesto.,"Hotel com boa localização e fácil acesso a outras áreas da Barra da Tijuca por aplicativo.  Café da manhã incluso mediano; opções de doces escassas; opções salgadas sem variedade (espera-se café da manhã com ovos, bacon, salsichas, etc, o padrão. Apenas ovos eram servidos diariamente).  O quarto é antigo; ar condicionado com as pás quebradas (não funcionava a oscilação das pás); o colchão tinha mola saindo por um buraco na lateral, que se não atentasse machucava a perna ao sentar na beirada da cama.  O atendimento dos colaboradores é muito bom, todos muito solícitos e simpáticos, o que faz com que muitos dos pontos medianos/baixos sejam relevados.  O cartão do quarto desmagnetiza com extrema facilidade. A cada saída do quarto era preciso passar novamente na recepção para nova magnetização.  Limpeza é boa.  Acabamos não consumindo nada no restaurante do hotel além do café da manhã."
nov. de 2022,3,None,"O atendimento prestado pela recepção não foi adequado. Demora na resposta as solicitações e até, falta de boa vontade. O quarto possuía luminárias queimadas e tomadas sem funcionar. Ao solicitar qualquer coisa na recepção, não percebi boa vontade nos funcionários"
nov. de 2022,5,Estadia incrível,"Quarto amplo com uma sacada, tudo bem limpo e organizado, o banheiro possui secador de cabelo, funcionários educados e atenciosos, café da manha simplesmente incrível, vc tem a opção de receber o café no quarto, mas isso vai custar um valor a mais. Eu recomendo!"
out. de 2022,3,Experiencia desagradável,"Banheiro extreeeeeeeeeeeeeeeeeeeeemamente sujo e nojento, tenho fotos se quiser, no quarto tinha resto de cigarros, pedi uma coberta pra passar a noite e só foi entregue no outro dia, não possuía toalha de rosto, somente banho, conforto estava bom, internet boa, funcionários educados e café da manhã simpático."
out. de 2022,1,pessimo,"Hotel sujo, banheiro IMUNDO..  e não é exagero, tinha catarro nas paredes do banheiro.  Funcionarios despreparados, serviço de café da manhã limitado  pessimo pessimo pessimo  Equipe despreparada... não recomendo a ninguem"
