Data da opinião,Nota,Título,Conteúdo
19 de dez.,5,Recomendo fortemente,"Apesar de estar um pouco distante das estações do metrô, o hotel é bem localizado, a poucos metros da praia e com os demais de serviços nas proximidades. As dependências, não luxuosas, são limpas e confortáveis. O atendimento tem alto padrão e o preço é justo no período em que lá estive."
17 de dez.,5,Localização excelente,"A localização é excelente!  Bem pertinho do Forte de Copacabana, do Arpoador, de Ipanema. Funcionários educadissimos! O quarto com um tamanho ótimo e está sempre limpo. O café da manhã é completo. Gostei muito do serviço. Indico e pretendo voltar. Excelente custo benefício."
nov. de 2022,5,Estadia Windsor Martinique,"Excelente estadia, destaque para o atendimento, Sérgio, Flávio e Fernando superam com cordialidade, competência e gentileza, mas todos estão de parabéns, voltaremos com certeza, só evitem o 7º andar, fica logo abaixo da academia, ou seja, barulho na certa, a princípio nos colocaram lá, porém após um pedido nos realocaram para o 319, sem comparação. Obrigado."
nov. de 2022,4,Ótimo custo-benefício,"Restaurante excelente, ambiente seguro e bem limpo. Decoração mais antiga mas nada que atrapalhe. Poderia ter tomadas próximo à cama. Muito perto da praia de Copacabana, supermercado Pão de Açúcar é forte de Copacabana."
out. de 2022,3,"Hotel bem localizado, porém muuuuito apertado.","Pontos positivos:  Excelente atendimento dos funcionários, exceto o de uma moça da recepção.  Ótima localização,em Copacabana, a 50 metros da praia.  Bom café da manhã.    Pontos negativos:  Elevadores pequenos, quarto muito apertado, banheiro pequeno, toalhas pequenas e finas.  Secador de cabelo fraco, funcionando mal.  Hotel barulhento, sem isolamento acústico.  Sala de ginástica minúscula, horrível.  Ärea da piscina, na cobertura, acesso ruim, mal cuidada e com pouca vista para o mar."
out. de 2022,5,"Maravilhoso, amei tudo!","Localização excelente, funcionários extremamente educados e queridos! Destaque ao Tiago da recepção, que nos atendeu de uma maneira excepcional do inicio ao fim da viagem. Eu já conheço a rede Windsor e sempre me surpreendo com a qualidade dos hotéis, mas os funcionários deste em particular me surpreenderam com a cordialidade e carisma, desde o restaurante, recepção, portaria, tudo maravulhoso! Recomendo."
ago. de 2022,4,Excelente custo beneficio e localizacao.,"Atendimento excelente. Staff amigavel, solicito e flexivel. Localizacao te deixa Ipanema e Copa a curtas caminhadas. Ficam viaturas quase que 24hrs na esquina a frente (Rs... nao descobri porque, mas me senti completamente seguro na regiao).    Vale ate investir num quarto superior em relacao a pegar um ap standart em outros hoteis mais conhecidos.    Cafe da manha normal. Bem servido, descia tarde e sempre tinha tudo no buffet! So nao era um cafe da manha colonial, ne? Mas sim, haviam opcoes suficientes de frutas, bolo, paes, 2 tipos de queijo, frios. ovos, bacon, Iorgute, suco...    A limpeza era eficiente. E eles limpavam o quarto em horarios que outros hoteis 3 estrelas nao fariam mais a limpeza. Porem, o chuveiro molhava a parte externa.    Quarto superior espacoso e bem conservado. O ar faz um pouco de barulho e imagino que no verao ele nao seja tao eficiente."
jul. de 2022,3,Muitos pontos a melhorar,"O hotel tem muitos a pontos melhorar pessoal. A localização é ok, Copacabana perto da praia. Tamanho do quarto é ok também. O café da manhã é justo pelo preço que cobra (não é o melhor e nem o pior). Pontos a melhorar: a acústica do quarto, eu, literalmente era acordado sempre que o meu vizinho de quarto tomava banho ou dava descarga. Um absurdo, parecia que o encanamento de água estava passando do lado da cama, você acorda no susto. Nem hotel mais barato já havia visto isso. Você paga o hotel no momento da reserva, antes do check-in e eles querem te empurrar uma ""pre-liberacao"" no cartão no valor de 800,00 para eventuais consumos"". Isso é outro absurdo que nunca vi, mas que depois eu entendi, eles jogam na sua hospedagem itens adicionais na esperança que a pessoa perca o controle no consumo. E detalhes 1 copinho de água lá no frigobar custa 7,00. Será que alguém, em sã consciência perderia o controle pagando 7 reais num copinho de 300ml? Pois bem, difícil. Enfim, há muitas outras opções no RJ na mesma faixa de preço, não justifica uma nova hospedagem lá."
mai. de 2022,5,Ótimo custo benefício,"Hotel com ótimo custo benefício, café da manhã muito bom e funcionários da recepção super simpáticos, cama bem grande. piscina pequena porém como é no quarteirão da praia não importou. Possui boa variedade de canais de TV aberta e fechada. Recomendo"
abr. de 2022,4,Bom custo benefício,"O hotel tem uma boa localização. O café da manhã é gostoso, o quarto é adequado ao preço que se paga, chuveiro também é bom. A equipe da recepção não é das mais simpáticas, o tratamento é um pouco frio. Os funcionários do café da manhã e os seguranças são simpaticos. A piscina é ruim, pequena, parece um tanque. No geral, vale o custo benefício. Já fiquei antes na rede Windsor no Leme e no Windsor Miramar, os quais são bem melhores, porém mais caros."
