Data da opinião,Nota,Título,Conteúdo
nov. de 2022,3,Insatisfação,"Sou hóspede frequente. Deveriam urgentemente renovar o enxoval! Toalhas velhas e desgastadas, travesseiros também há necessidade de serem renovados. Limpeza dos quartos deixa muito a desejar. Localização excelente. Estacionamento caro demais. Deveria ser incluso na diária."
out. de 2022,3,Ibis barra,"O hotel muito bom, quarto pequeno  Chuveiro e limpeza ótima  Café da manhã repetitivo todo dia aa msm coisaa e pão duro e o presunto babava  Bolo duro  Localização ótima , sossegado e sem perigo  Barra e família"
out. de 2022,3,"SEM tapete no banheiro, não tem e não fornecem, que agonia…","Corredores com mau cheiro e NÃO TEM tapete no banheiro, liguei pra pedir na recepção e eles não fornecem, ou seja, vc sai do banho com o PÉ DIRETO NA LAJOTA, que agonia… o ponto positivo é a vista para o mar, mas eu trocaria fácil por um tapetinho…"
set. de 2022,5,Excelente atendimento!,"Hotel impecável , limpo e com funcionários super atenciosos. Localização perfeita. Com fácil acesso e deslocamento para várias praias, restaurantes, quiosques. Taxi , uber e 99 sempre disponíveis no hotel."
set. de 2022,4,Hotel super estratégico para o Rock in Rio,Ótima localização e serviços gerais do hotel! A única ressalva é o colchão que é super duro e poderia ser mais confortável.  O chuveiro é muito gostoso e o café da manhã bem honesto.  A praia fica bem na frente e tem fácil acesso.
set. de 2022,2,Pior atendimento da rede Ibis,"No check in não recebi a folha de instruções, no papel com o cartão do quarto não havia o numero do quarto, recebemos apenas um cartão para abrir a porta, check-in as 14horas e o quarto não estava pronto, passei por 2 quartos onde o ar condicionado não funcionava. Funcionários mau humorados recepção péssima, nunca fui tão mau atendida em um Ibis, comida muito ruim e preço muito alto, café da manhã pobre e com doces duros e ruins sem muita variedade."
set. de 2022,4,Bom!,"Hotel bem localizado, sempre com policiais por perto, táxi a disposição, atendentes super atenciosos e limpeza ok!  Tive problemas com o cartão da porta, troquei duas vezes, não conseguia entrar no quarto e não funcionava no elevador, frigobar não tinha nada rs, mas o resto impecável, inclusive café da manhã muito bom, só o ovo que pode melhorar 🫰🏼"
ago. de 2022,5,Muito booom,"O atendimento foi ótimo e a limpeza do quarto impecável. Já fiquei em outros hotéis da rede, mas esse surpreendeu. A governanta Sonia, e demais da equipe muito solicitos. A localização do hotel é perfeita. Ambiente muito agradável."
ago. de 2022,5,Ótima limpeza,Hotel limpinho bem pertinho da praia e com ótima equipe. Parabéns a menina baixinha que limpou meu quarto e a equipe de café da manhã também. A senhora de cabelo branco que falou comigo nos corredores também muito simpática.
jul. de 2022,4,Recomendado,"Localização excelente e muito aconchegante. Porém faltou alguns detalhes muito importantes como shampoo no banheiro e itens como: água, refrigerante, cerveja e afins, no frigobar.  No mais, foi uma ótima experiência, com bom atendimento."
