Data da opinião,Nota,Título,Conteúdo
nov. de 2022,1,Experiência muito ruim.,"A primeira vez que me hospedei neste hotel foi em 2019. Tudo correu bem na hospedagem. Muito diferente do que aconteceu agora. Foi uma sucessão de momentos desagradáveis. Primeiro, fiz o checkin online para agilizar minha entrada no quarto, conforme mencionado no e-mail enviado pela Accor. Mas não foi o que aconteceu. Haviam 2 pessoas pessoas tentando fazer meu checkin, colocando a culpa no sistema. Demorou mais de 20 min até finalmente receber minhas chaves. Ao chegar no quarto, sempre verifico se o mesmo está em ordem. A TV não funcionava. O telefone do quarto estava cheio de pó e até mesmo etiquetas de bagagens de hospedes anteriores estavam jogadas no chão. Falar na recepção era um transtorno. Demorava quase 5 minutos ate alguém atender o telefone. Foi chamado um técnico por…"
nov. de 2022,4,Boa localização para quem precisa se hospedar no Centro do Rio,"Minha experiência foi muito boa, gostaria de frisar alguns pontos para vocês melhorarem como por exemplo a comunicação do hotel com os hospedes, fiz o check-in o valor cobrado pelo café da manhã que aparece na televisão da recepção não estava de acordo com o que tentaram me cobrar no restaurante, um dos atendentes me informou que já tinha sido alterado há mais de 10 dias, outro exemplo é que na porta dos elevadores existem um banner dizendo que o hotel disponibiliza bicicletas para os hospedes, quando me informei me disseram que pararam com este serviço antes da pandemia!! Oras, então precisam tirar esta propaganda. O Café da manhã é o padrão Novotel mesmo bem variado. Gostaria de relatar que também que furtaram o meu celular a noite, cheguei no hotel muito tenso, subi para…"
out. de 2022,1,Fora do padrao Ibis,"Hotel de rede no Rio de Janeiro Ibis Santos Dumont, onde a marca Ibis , não segue os mesmos preceitos de outros da rede. Banheiro com limpeza falha com mofo nas portas e tetos, e cabelos de usuários anteriores nos azulejos do banheiro. Simples falta de zelo e capricho, basta limpar. Sistema de cobrança de consumos internos de forma imediata dificultando a administração de gastos por hóspedes a negócios. Em um única estadia, tem-se que ter várias passagens no cartão corporativo para cada consumo seja no checkin ou no bar ou no restaurante."
set. de 2022,3,Precisa melhorar o atendimento,"Liguei no restaurante e pedi uma taça e a resposta foi “você tem que vir pegar porque não temos ninguém para levar”. Além disso, na recepção os funcionários não fazem a menor questão de ser simpáticos e ajudar. Mas o quarto é grande e a localização é boa para quem quer ficar no centro. De resto um hotel razoável sem padrão Novotel e caro para o que oferece."
set. de 2022,4,Conveniente,"Utilizei os serviços deste hotel durante minha estadia no Rio para o Rock in Rio 2022. Confesso que a opção se deu pela falta de vagas em outras regiões, portanto, a escolha não foi ""voluntária"". Porém, em que pese as tarifas elevadas por conta do evento, tive grata surpresa com o serviço prestado nesta unidade. Pessoal solicito e cordial, estrutura adequada e com boa aparência. Quartos de bom tamanho e com equipamentos adequados a garantir boa qualidade de sono. Vista ao aeroporto Santos Dumont, sendo possível acessar o aeroporto com uma caminhada de poucos minutos."
set. de 2022,5,Elogio ao atendente do café,"O Atendente do Café, Axel, foi muito cordial e educado no nosso atendimento, a despeito da grande quantidade de pessoas. Éramos em 5 pessoas e fomos atendidos prontamente, estando todo o tempo preocupado em bem atender a todos os presentes."
set. de 2022,3,Razoável,"Hotel muito próximo ao aeroporto Santos Dumont, essa é a única vantagem deste hotel. Ficamos 1 noite apenas. Funcionários bem atenciosos, porém os quartos são bem antigos, ar condicionado split com um barulho alto e a TV não ligava. Não voltaria, buscaria outra opção!!"
set. de 2022,5,"Boa estrutura, bom atendimento e boa localização!","Gostei muito do hotel! Boa estrutura, bom atendimento, boa localização. Muito perto do aeroporto Santos Dumont! Dá pra ir andando! Recomendo para quem quiser ir para o Rio! Boa opção! Bom custo-benefício! Quarto legal, banheiro bom, bom café da manhã!"
set. de 2022,3,Pré viagem,"Ficamos no hotel para podermos viajar no dia seguinte, excelente localização pois fica perto do aeroporto, quarto confortável, comemos no restaurante do hotel, o bife estava fino e tostado, achei caro para o que nós foi servido, o garçom bastante atencioso."
ago. de 2022,3,Péssima surpresa na estadia,"Bom hotel, limpo, bom café da manhã, mas, infelizmente, na hora de reservar e pagar pela internet, não fica claro que o café da manhã não estava incluído, pareceu uma pegadinha. Péssima surpresa saber que teríamos que pagar o café da manhã à parte."
ago. de 2022,4,Hotel Muito bom com ótimo serviço! Localização deixa a desejar.,"Hotel com funcionários bem treinados, ótimo atendimento e padrão Novotel. A localização fica privilegiada apenas para o aeroporto porque para sair, almoçar, etc, a localização é muito ruim. Serviços do hotel seguem o padrão Novotel"
jul. de 2022,4,Ótima localização para chegar facilmente no Rio e explorar o centro.,"Bom custo benefício para dois pernoites em que nosso objetivo era fazer turismo no centro. Café da manhã excelente. Ótima academia. Staff prestativo. Gostamos bastante. Pontos a observar: A limpeza do piso do quarto e carpetes nos corredores pode melhorar, nessa mesma linha, o serviço de camareiras deveria vir mais cedo, quando chegaram ao nosso quarto já estávamos descansando de volta dos passeios."
jul. de 2022,5,Garçom Axel - Novotel Santos Dumont,Gostaria de parabenizar o garçom Axel pelo excelente atendimento que me foi dado no restaurante do hotel no almoço do dia 06/07/2022. Muito atencioso e prestativo. O hotel possui um excelente profissional dentro do seu corpo de funcionários.
