Data da opinião,Nota,Título,Conteúdo
nov. de 2022,3,Eu esperava muito mais,"Chamaram minha atenção:    Aspectos Positivos  * Na suíte onde me hospedei a vista para o mar de Copacabana é estonteante, sem dúvida um dos melhores colírios  * Suíte bem equipada e bem decorada    Aspectos Negativos  * Checkin às 15h, mas eu só consegui entrar no quarto depois de 17h. Os mimos oferecidos durante esse período não foram suficientes para amenizar a minha insatisfação  * Garagem inadequada para veículo tamanho médio, disseram que meu carro ficaria na calçada, depois o colocaram pra dentro e quando foram entregá-lo voltaram a dizer que ele não deveria ter sido colocado no interior da garagem. Fica a dúvida sobre o que realmente aconteceu nesse ínterim, já que a justificativa oferecida não convenceu  * Café da manhã não incluído na minha diária e o registro dessa informação não foi encontrado no e-mail de confirmação da reserva  * Na suíte todas as tomadas servem ao padrão americano, brasileiros que quiserem utilizá-las têm que solicitar adaptador  * Em um hotel desse nível e em uma suíte para mais de uma pessoa, eu não entendo por que as toalhas não são diferenciadas"
set. de 2022,5,Rock in Rio 2022,"Hotel que tem excelente estrutura e o atendimento é um grande diferencial  Tive um problema com a reserva, não causado pelo hotel, mas o diferencial foi a equipe e principalmente o Sr Daniel Lobão que resolveu tudo com a maior presteza e atenção  Parabéns pela equipe"
set. de 2022,1,Worst Marriot worldwide,"Rooms were spacious and clean but the service is far from a Marriot rank and the reason why I’m submitting this review! What the female staffs have in charisma and knowledge in how to handle customers, the male staffs spoil it with their lack of professionalism!  1- At the Pool bar area, I asked for the menu and was ignored by the waiter who told me to wait and just disappeared,  2- At the executive lounge, I asked the waiter for another round of whiskey on the rocks and instead of bringing me another glass he brought a shot and dumped in my empty glass like if he was serving an animal,  3- and the most baffling!! At the check out, both of the goofs that were at the reception refused to call my family a taxi cab alleging “they didn’t have any taxi contacts”! We had to throw a tantrum and teach those lazy goofs that any insignificant one star hotel would call us a cab with no problem and that being platinum status we have stayed in Marriotts worldwide and that was the first one to refuse to call us a cab and the worst service worldwide!! And voila… they not only called us a taxi, it took them less than 2 minutes    Os quartos são espaçosos e limpos mas o serviço bem abaixo de padrão da Marriot e eh a razão de eu estar dando essa avaliação! O que as profissionais femininas tem de carisma e conhecimento de como tratar os clientes, os profissionais masculinos estragam com falta de profissionalismo!  1- Na área do bar da piscina, pedi o menu ao garçom ele pediu para esperar e sumiu completamente ignorando,  2- Na area executiva peço ao garçom outra rodada de drink e ao invés de me trazer outro, traz um daqueles medidores com mais whiskey e joga no meu copo vazio como se ele estivesse servindo um animal,  3- e o mais inacreditável de todos no check out, os patetas que estavam na recepção disseram que não podiam nos chamar um táxi pois eles “não tinham contatos” tivemos que abrir um barraco e ensinar aos preguiçosos que qualquer hotelzinho de uma estrela nos chamaria um táxi sem problema e que sendo clientes platinum hospedamos em vários Marriotts mundialmente e essa era a pior de todas e a primeira vez que nos recusam a simplesmente chamar um táxi! E voila…eles não somente chamaram um táxi, chamaram um que chegou lá em menos de dois minutos"
ago. de 2022,5,Enaltecer o Recepciniista Leon,Quero avaliar o Recepcionista Leon pela sua Educação e sua hamabilidade de nos receber tão bem no Hotel. Chegamos de madrugada e ele nos recepcionou tão muito bem c oomo a muitos anos não eramos tão bem recebidos em nenhum hotel . Esse diferencial faz a diferença ficamos encantados com ele. Muito obrigada pela recepção.
abr. de 2022,5,"Atendimento bom, ar condicionado ruim.","O atendimento nesse hotel é impecável, em especial feito pela recepcionista do café da manhã joode.    Tem uma vista linda da praia, os corredores são silenciosos e o café da manhã completo, cheio de opções!    Não foi a primeira vez que ficamos nesse hotel e nem será a última, mas peca ainda pela cortina no banheiro, poderia ter um box melhor.  Ficamos a semana inteira com o ar condicionado ruim (inclusive estou mal por isso), o rapaz foi lá consertar 2 vezes, e disse que estava muito sujo. Conclusão, ficou por isso mesmo!"
abr. de 2022,3,Regular,"Quartos com carpete, cheiro de cigarro no quarto, utensílios deixados para somente 1 pessoa quando éramos 2 hóspedes. O hotel deixa muito a desejar. Os funcionários são fantásticos e gentis. Alto número de estrangeiros"
fev. de 2022,1,Atendimento,"Um péssimo atendimento, principalmente durante as principais refeições. Fiquei sem o café da manhã durante 1 dia de estadia! Almoço tive que implorar por tel e mesmo assim veio atrasado e frio. Não recomendo. Muita humilhação!!!"
fev. de 2022,5,Hotel Classudo,"Esse hotel da rede Marriot está localizado na praia de Ipanema. Destaco o atendimento dos funcionários, sempre atenciosos. A piscina é pequena para o porte do Hotel. Excelente café da manhã!  Ótima academia! Estacionamento é pago, 60 reais por dia."
jan. de 2022,4,Alguns pontos a melhorar,"Hotel muito bonito, os quartos são grandes, camas confortáveis o único ruim que ainda é carpete e banheira ao invés de box. Academia é pequena mas bem equipada, a piscina também é pequena. O café da manhã é muito bom porém as reposições não são feitas ou demoram demais, o omelete demora mais de meia hora para ser feito."
jan. de 2022,1,Atendimento é péssimo!,Pessimismo atendimento! Nada q é solicitado na recepção da certo. Ou esquecem deliberadamente ou demoram tanto que é melhor esquecer. Muita pompa pra baixíssima qualidade de serviço. Horrível!!! Experiência desastrosa!
