Data da opinião,Nota,Título,Conteúdo
15 de dez.,1,Hotel quality rio de janeiro,"Hotel ruim, atendimento ruim, estrutura sem conservação, quartos com qualidade de limpeza duvidosa, informação conflitantes sobre o serviço disponível, cada funcionário fala uma coisa, enfim... Não recomendo."
mai. de 2022,5,Atendimento,"Ótimo atendimento!Funcionarios super atenciosos! Quarto maravilhoso, limpeza, cama super confortável! Café da manhã delicioso ! Shopping próximo ao hotel! Super recomendo, seja qual for o tipo de visita!"
15 de dez.,5,Hotel excepcional na Barra,"O hotel é bem organizado, café excepcional, toda a equipe bem atenciosa e resolvem tudo rapidinho. O quarto é bem espaçoso e tem uma vista linda. A qualidade da internet sem fio deixa um pouco a desejar, fiquei hospedado no nono andar e a conexão sem fio pelo celular é ruim, dependendo a localização no quarto, ela não funciona. De resto tudo incrível, super recomendo."
15 de dez.,5,Tudo excelente....,"A recepcionista foi muito atenciosa, garçons atenciosos e sempre organizado o bifê e trocando utensílios já utilizados nas mesas... Um dos melhores atendimentos que já recebi em hotéis incluindo os de redes de maior renome. Parabéns...."
nov. de 2022,5,Hotel bem localizado é muito bem arrumado,"A experiência foi positiva desde o check in, passando pela arrumação dos quartos, limpeza dos ambientes comuns, refeições muito saborosas, super indico. O Rhajid e toda equipe da recepção são incríveis! Atenciosos e educados. Hotel e funcionários excelentes!"
nov. de 2022,5,Avaliação da atendimento da recepcionista dayana,"Gostaria de parabenizar a recepcionista Daiyana do qualite av salvador alende 500 Rio de janeiro ,pelo disposição e proficiência em achar um item muito importante para mim,ela não poupou esforços para resolver e com êxito resolveu. Obrigado dayana"
nov. de 2022,5,A trabalho!,Parabéns ao recepcionista Rhajid pela total atenção e dedicação às informações do Hotel ! Nota 10 ! Ótimo check-in ! Foi passado todas as instruções corretamente ! Parabéns pelo excelente trabalho !!!
nov. de 2022,5,Hotel muito bom!,"Excelente atendimento realizado pelo recepcionista Rhajid no momento do check in, colaborador muito prestativo, educado, e atencioso... O alimento é muito bom, o quarto bem amplo e limpo! Excelente estadia no hotel!"
out. de 2022,5,Adorei,"Atendimento, segurança maravilhoso. Me senti em casa , com tanto conforto, recomendo demais nem vontade de ir embora tenho. Quando voltar ao Rio com certeza estarei aqui , bem localizado , não tive problemas com locomoção tudo bem acessível."
out. de 2022,5,12 Anos Muito Bem Comemorados!,"A experiência de comemorar nossos 12 anos de casamento neste hotel foi maravilhosa. O quarto é muito bonito, cama extremamente confortável, vista para a natureza. Nunca vimos uma ducha tão boa quanto a do Quality Barra da Tijuca. O atendimento é excelente! Agradecemos, em especial, ao recepcionista Rhajid, que sempre foi muito gentil, atencioso e preocupou-se em garantir que nossa estadia fosse excepcional. O café da manhã... sem palavras. Utilizamos a academia do prédio, que dispõe de equipamentos bem conservados e limpos. Em fim, foi marcante estar no Quality e ficará na nossa história."
out. de 2022,4,Ok para negócios,"Hotel muito bom! Cama, chuveiro, café da manhã! Tudo muito bom! Embora bastante potente, ar condicionado meio barulhento. Hotel só perde na localização. Muito ruim… O Rhajid, recepcionista, é excelente! Bem Humorado, prestativo. Parabéns!!!"
out. de 2022,5,Melhor recepção do Rio de Janeiro.,"Qualidade 1000 no atendimento. Sempre fui muito bem recebida pelo recepcionista Rhajid, com ele não falta simpatia e educação, junto ao Pedro com seu excelente bom humor e boa vontade todos os dias. Merecem todo o reconhecimento. Voltarei mais vezes!"
out. de 2022,5,"Lugar maravilhoso, atendimento pelo Rhajid top dos top","Tive um grande prazer em conhecer o Rhajid melhor atendimento que já tiver, rapaz atencioso, muito gente boa !!!, hotel muito bom, ambiente lindo, quarto melhor ainda, voltarei sempre que puder, indico com muito certeza!"
set. de 2022,5,MUITO BOM!!,"Fiquei hospedada nesse hotel por conta do rock in rio, fica próximo à cidade do rock, da pra ir andando. O banheiro é bom e o quarto era muito espaçoso. Não cheguei a tomar o café da manhã. Funcionários muito simpáticos. Recomendo!"
set. de 2022,2,Não vale a visita,"Esperava mais desse hotel. A rua é uma avenida, não tem nada por perto a não ser que a de 1km e meio até Abelardo Bueno. Fui para utilizar o centro de convenções que achei muito pequeno e pouco recepcionavel, sem contar que não tinha informação. Ninguém para atender e tirar dúvidas"
ago. de 2022,5,Férias em família 2022,"Ficamos hospedados por 5 dias e nossa experiência foi perfeita desde a pré reserva até o checkout. Pedro e Marcelo foram super atenciosos e solícitos desde as cotações e durante a estadia. Chegamos muito tarde no hotel para o checkin e o Segurança da noite “ esquecemos o nome dele” sei que é flamenguista e fez aniversário no domingo dia 31/08, nos auxiliou com as malas! Uma educação fora do comum mesmo não sendo a atividade dele. Dia seguinte elogiamos a equipe para a Gerente Márcia super educada e proativa, e comentamos que um casal de amigos estava interessado mas estava analisando ainda pois a filha havia feito 8 anos a 15 dias e contaria como adulto. Na mesma hora ela solicitou a recepção que caso optassem pelo hotel a criança seria grátis. Fomos para a piscina e quando retornamos ao quarto haviam mimos (fotos abaixo) para nossa filha, uma caixa de biscoitos e um bilhete fofo! Sensacional a atitude da equipe e da Gerente! A Carine foi uma simpatia e ainda conseguiu ingressos para assistirmos o mengao no Maracanã. Nossa filha amou! A piscina e boa e a estrutura também. O salva vidas também foi muito simpático e atencioso com a nossa pequena na piscina! Hotel com estrutura boa e próximo as principais vias de acesso. Café da manhã boa qualidade também! Só temos elogios!"
ago. de 2022,5,Avaliação de atendimento José Carlos,"Funcionário sempre solícito e disposto a atender.  Pontual e educado no seu atendimento. Hotel com boa qualidade e localização, serviços em geral oferecidos com ótima qualidade e pontualidade. Já me hospedei e me hospedaria outras vezes."
ago. de 2022,5,Estadia à trabalho,"Hotel excelente, restaurante muito bom e staff de primeira qualidade. Atendente José Carlos foi extremamente profissional e simpático. Quarto limpo e arrumado, estrutura do hotel de qualidade e bem preparada"
