Data da opinião,Nota,Título,Conteúdo
18 de dez.,5,Hotel Otimooo,"Hotel ótimo, com uma equipe super atenciosa. Um destaque especial para o querido Lopes, que nos auxiliou em tudo que precisamos, com muita atenção, simpatia e carinho. E, claro, um grande sorriso no rosto. cafe da manha super gostoso!!!!!"
out. de 2022,5,Adorei!,"Maravilhoso hotel, equipe muito atenciosa, local excelente, sem críticas, somente elogios! Muito satisfeita com minha visita! Restaurante pato com laranja também é incrível, roof loop deles muito charmoso porém poderia ser aberto pelo menos com uma janela pra ficar ainda melhor!"
set. de 2022,1,"Hotel x balada, sujeira, café da manhã horrível.","Hotel ruim.  Barulho em todos os lugares. INTERNET NÃO funciona! Se vc estiver precisar trabalhar remoto, esquece!  Elevadores pequenos, sujos e lentos.  Café da manhã é péssimo e tumultuado, é servido no bar anexo, local sujo e desorganizado.  O hotel é pequeno, antigo, está precisando de reforma, o vidro do box está imundo, camadas de sujeira antiga, tem que passar por uma limpeza pesada.  O quarto é pequeno, ficamos no quarto denominado “Superior”, mas é um quarto normal.  A localização é excelente, tem tudo por perto: praia, lojas, restaurantes, bares…  O atendimento é razoável, tem alguns funcionários educados, e outros mal humorados.  Saímos na 3a feira, o hotel estava vazio, como nosso voo foi adiado em 2h, pedimos para estender o horário de checkout de 12:00 para 13:00, a pessoa nem esperou terminarmos de falar e já negou."
ago. de 2022,1,Despreparo total,"Ficamos hospedados nesse hotel e nos arrependemos amargamente. Quarto ok, mas banheiro apertado, principalmente o Box, não dá para abrir os braços pelo pequeno espaço e o registro de abertura da água fica no lado oposto ao da abertura da porta. O quarto foi encontrado sujo, cheio de areia no chão. Mas isso não é o pior. No térreo fica um bar que fica aberto até tarde e o barulho incomoda bastante, e olha que ficamos em andar alto. Se tivéssemos em andar baixo seria terrível. O café da manhã é muito ruim, e é servido no bar, que fica aberto até tarde. O café da manhã é muito fraco e observamos tudo muito sujo, talvez pelo fato de ser servido no mesmo local que funcionou como bar até tarde e não deve dar tempo para limpar tudo adequadamente. Percebemos uma falta de postura profissional, de conhecimento de técnicas de serviços, falta de treinamento, em todos os setores que pudemos observar.  Para fechar com chave de ouro, no ato do check in, pedimos para a recepcionista verificar a possibilidade de estender a estada mais um dia, além dos dois que havíamos reservado previamente. Ela checou com o setor de reservas e confirmou que sim, fizemos o pagamento, só que ela esqueceu de cobrar pela diária a mais que solicitamos. Fomos para o quarto e ficamos tranquilos, entendendo que estava tudo ok. No último dia de nossa estada, havíamos acabado de chegar no quarto, cansados de um passeio, começamos a descansar. Minha esposa de camisola, eu de camiseta e cueca. Um mensageiro sem mais nem menos abre a porta do apartamento, sem anunciar, sem bater na porta, sem ligar antes, e ao perceber que estávamos no apartamento, mesmo vendo que estávamos em trajes íntimos, continuou ali, e disse que tínhamos que ir até a recepção imediatamente pois tínhamos pendências a resolver, que não havíamos pago. No momento do check in não conferimos o valor cobrado. Fomos tratados como se fôssemos caloteiros, como se fôssemos ficar sem pagar. Foi um tratamento horrível que recebemos. A vontade era de deixar o hotel e ir embora naquele mesmo momento. Nunca mais voltaremos a esse hotel. Despreparo total. Não há treinamento ou orientação adequada."
jan. de 2022,3,Já não é mais o mesmo,"Até início de 2020 era um 3 estrelas ótimo, com bom custo benefício: quartos bons, decoração clean e moderna, atendimento ok mas profissional, boa manutenção geral e localização excelente. Voltei no pós pandemia e de bom ficou só a localização. Manutenção geral péssima, atendimento baixou um bom nível (dá para ver que trocaram o staff, talvez para reduzir salário), quartos passaram por uma mudança de decoração que ficou feia e aproxima o hotel de um econômico como o Ibis. Aliás, parece que querem posicionar o hotel como um econômico.    Resumindo: se vc quer localização, o hotel é razoável para um fim de semana. Mas não espere mais que isso e feche os olhos para o restante."
jan. de 2022,2,Hotel x Balada,"As qualidades: equipe da recepção atenciosa e prestativa, bem localizado, café da manhã dentro da média.  O problema sério: existe uma balada no térreo do hotel, com música eletrônica alta até às 2 da madrugada, que se houve do quarto. Hotel contraindicado para quem pretende estar dormindo nesse horário"
jan. de 2022,4,Excelente localização!!,"É a minha terceira vez no hotel. Localização perfeita! A duas quadras da praia, perto de excelentes restaurantes e bares. Os quartos são pequenos, mas dessa última vez fiquei num apto de luxo no 10 andar. O apto é um pouco melhor. A limpeza dos apartamentos é feita diariamente com troca de toalhas. O hotel está em reforma, então  nem a piscina nem a academia estão funcionando. Café da manhã poderia ser um pouco  melhor. Não tem opções para quem é celíaco . Pedi um tapioca sem recheio e me cobraram R$ 40,00, sendo que se você for pagar por fora, o café da manhã é R$ 45,00. Os Colaboradores são todos muitos simpáticos, porém, gostaria de destacar o Ivan que nas duas últimas vezes que estive no hotel me ajudou prontamente com um problema que tive na hora do checkin ."
jan. de 2022,3,Boa localização,"O hotel é bem localizado, perto da praia e de varios comércios, academias (smartfits a poucas quadras dali) e metrô. O restaurante embaixo do hotel é o mesmo do room service. Possui um cardapio bem interessante (e rapido pra roomservices!), porem, o cafe da manha tem pouca variedade - um ponto a ser melhorado. A limpeza dos quartos é muito boa, td bem limpo e cheiroso. Notamos, porem, que as bandejas com os restos de roomservice ficam acumulados numa mesinha de centro no corredor, de frente aos elevaodres por periodos completos do dia (viamos de noite e na tarde do dia seguinte ainda seguiam la). Os 2 elevadores nao suportando o fluxo de pessoas em periodos de alta temporada, como Reveillon, e acabam atrasando para descer e subir. A recepcao é tão profissional que acaba sendo pouco empatica e às vezes grosseira. Acredito que sejam pontos importantes a serem considerados. Ah, um ponto positivo muito importante que vale destacar: o hotel solicita na hora do check-in a apresentação do cartao de vacinação contra covid. A apresentacao e envio por email, quando virtual. Inclusive, avisam que podem cancelar o check in caso nao haja a apresentacao do documento. Isso mostra que, alem de seguir a lei estadual, o hotel preza pelo bem estar e saude coletivos."
jan. de 2022,1,Experiência absurdamente ruim!,"Me hospedei para o reveillon, pagando apartamento superior (mais de mil reais a diária) e o quarto era horrível e assustador. Infiltração na parede e banheiro aparentemente mofado. Realizei a reclamação na recepção e me informaram que não poderiam trocar porque o hotel estava cheio. O problema não é meu se deixam disponível quartos como esse para hospedagem. Nunca mais volto e nao indicaria para ninguém."
dez. de 2021,1,Hotel do Barulho,"Já me hospedei por diversas vezes neste hotel. Porém, com a pandemia, deixei de viajar por um tempo. Retomei as viagens recentemente e percebi uma queda absurda nos serviço e atendimentos prestados neste hotel. Uma das recepcionista me disse que a empresa estava sob nova administração, em fase da adaptação. Mas o que ficou evidente foi o descaso com os hóspedes. Pra começar há um bar no térreo do hotel com muito barulho até altas horas da noite, por isso sempre optei por ficar em andares mais altos. Desta vez me colocaram no quarto andar e mesmo eu sendo cliente Golden do Hoteis.com, com direito a upgrade, o recepcionista Ivan disse que não poderia alterar. E o pior é que no quarto andar há uma copa para as camareiras. No período da tarde quando vc volta da praia e quer dar uma descansada, fica impossível pelo barulho que elas fazem. Conversas, portas batendo. Nunca tinha visto isso em um hotel. No meu último dia de hospedagem, fui à praia e quando voltei o quarto ainda não havia sido arrumado. Desci para o almoço e pedi uma prioridade na arrumação, visto que não sairia mais à tarde. E o mesmo recepcionista, Ivan, em vez de falar que iria providenciar, simplesmente disse, de forma seca, que o horário da arrumação era de 9h às 15h... Até o mensageiro do hotel se surpreendeu com a resposta dada."
