Data da opinião,Nota,Título,Conteúdo
dez. de 2022,3,Razoável para uma noite,"O hotel é bem localizado. Bom café da manhã. Funcionários educados e prestativos. Nosso quarto era apertado, sem frigobar e a área do chuveiro e vaso sanitário separadas, muito pequena. Ideal pra apenas passar uma noite."
dez. de 2022,1,Dor,"Não gostei! Fiquei 2 noite terríveis. Travesseiro horrível, acordei com dor no pescoço, lençol ruim, colchão péssimo. Acordei com dor no corpo. Tenho alguns problemas na coluna/quadril/ombro então também não fico bem com qualquer coisa, precisa de ter uma qualidade melhor para eu ficar bem.  Quarto tão pequeno que dps que colocar as duas malas no quarto, eu tinha que me movimentar pulando. Pulava da porta fa entrada para a cama direto. O espaço era horrível mesmo! Parecia um quarto de brinquedo.  Sem secador!  A localização é boa, perto de shopping e de ponto de ônibus. Para acessar pelo uber precisa fazer um contorno mais na frente."
dez. de 2022,5,Ótimo custo benefício,"O hotel fica bem localizado, cerca de 100 metros do shopping jardim pamplona... o quarto é pequeno mas bem confortável. Café da manhã bom e o estacionamento fica ao lado. Nos hospedamos por uma noite e não temos nenhuma reclamação!"
nov. de 2022,3,Hotel beeemm simples mesmo. Quarto apertado.,"Colchão e travesseiros bons. Roupa de cama horrível e toalhas de banho ásperas. Quarto sofrível. Realmente um 2 estrelas. O que salvou foi o café da manhã, pago à parte, mas tinha ovos mexidos e frutas. Queijo e presunto de baixa qualidade, pães idem. Café (a bebida) horrível. Enfim, não sei se dá para conseguir coisa melhor pelo preço cobrado, mas não ficaria lá de novo. Prefiro pagar mais e ficar em local melhor."
out. de 2022,2,Ruim,"Bem localizado, sem dúvidas ! Mas o quarto é horroroso, pequeno, pia separado do banheiro. Atendimento bem mais ou menos. Não voltaria. Estacionamento pago a parte. Não tem nada no quarto, frigobar, secador, nada..."
jul. de 2022,5,Excelente localização.,"O hotel tem uma localização muito boa, permitindo excelente deslocamento entre as principais atrações turísticas de São Paulo. Funcionários muito atenciosos. Tive dificuldade para pagar a estadia com pontos Accor e o sistema do hotel também estava fora para pagamentos com cartão de crédito Mastercard. Iria parcelar em 3x minha estadia e tive de pagar a vista no débito."
jul. de 2022,5,Ótima localização!,"Atendimento padrão, quarto limpo e tudo nos conformes. Localização excelente perto de padaria, shopping, bares e restaurantes. Dando para fazer tudo a pé. Ponto de ônibus em frente ao hotel. Praticidade e o valor excelente. Voltarei mais vezes!"
jul. de 2022,3,Um Íbis Budget com cara de Íbis Budget,"Dentro do que um Íbis Budget oferece, há pequenas variações que podem fazer a nota oscilar um pouco. Quando escolhemos esse formato sabemos que é super-econômico. Esta unidade e bem localizada. Check-in rapido e eficiente, com atendentes simpáticos. Cheguei tarde, com fome, e consegui comprar um sanduíche, una cerveja e uma água pra levar pro quarto. O quarto parecia um pouco mais apertado do que o normal. Tenho sentido falta de TV a cabo nas unidades do Íbis Budget. No mais, roupas e toalhas limpas, assim como o piso e toda a acomodação. Não custava colocar uma ducha higiênica no cubículo da privada."
jul. de 2022,5,Possui excelente custo/benefício,"A vantagem de escolher o Íbis é que você não terá surpresas. Possui todo o básico em excelentes condições. Bom atendimento! O quarto é bem pequeno, não recomendo para quem vai ficar muito tempo no quarto ou vários dias seguidos..."
jun. de 2022,3,AS ACOMODAÇÕES MERECIAM UMA REFORMA,"O hotel é muito bem localizado por isso a escolha, mas as acomodações mereciam uma reforma, a porta do banheiro tinha uma mola que ficava travando a porta, poderia ter um frigobar no quarto e tomadas na cabeceira, não tem telefone, somente o interfone no corredor, mas a recepção não atende, a limpeza também poderia ser mais caprichada pela grande rotatividade de hóspedes."
