Data da opinião,Nota,Título,Conteúdo
uma avaliação Hoje,2,Precisa melhorar muito!!!!,"Apesar da simpatia de alguns funcionários, não há como deixar de observar alguns pontos de melhoria: 1. É notória a necessidade de manutenção, pelo menos da unidade em que estivemos. As arandelas dos abajures estão manchadas (acredito que pela maresia), paredes precisando de pintura urgente, espelhos das tomadas extremamente envelhecidos, sofá encardido; 2. Serviço de governança ineficiente: ao chegar na unidade não havia toalhas suficientes, mas que foi logo reposto. Porém, nos dias subsequentes somente tive toalhas após muito insistir, sendo que em um dos dias me foram dadas toalhas usadas na praia. Aliás, as toalhas precisam de reposição mais que urgente: todas as que utilizei, exceto as de praia, estavam extremamente desgastadas. 3. Outro ponto sobre a governança: não sei…"
8 de dez.,1,Horrorozo. Pessimo custo beneficio,"Pessima experiencia. Recepção horroroza, terrível. Pessoal inexperiente, sem preparo., Pior que a recepção de um IBIS. Não desmerecendo o ibis, mas pelo valor, não da para comparar. Ridiculo. Teria que ter um outro nivel. E nao resolve. Estamos em familia, crianças e nada. Absurdo atras de absurdo"
2 de dez.,1,Hotel em péssimas condições,"Fizemos a reserva no Quarto Queen luxo do dia 24/11 a 04/12, primeiro dia já deparamos com os problemas e reclamamos no site da reserva e recepção do hotel.  Quarto sujo, mofo nas paredes, traças, cortinas manchadas e sujas. ( o que pode ser comprovado através dos vídeos e fotos)  Cama Box de péssima qualidade, com um prego visível onde machuquei minha perna.  Roupas de cama manchadas e sujas, tivemos que comprar lençóis e fronhas, pq era inaceitável dormir no que é oferecido pelo hotel. (Olhem as fotos)  Porta de acesso a sacada não abre totalmente, uma parte está “soltando”e cadeira em péssimas condições.  Conversamos com o supervisor, mostramos as fotos e a situação do quarto, a solução que encontraram foi dar um vale jantar como recompensa do transtorno que estávamos passando, como se falta de higiene e estrutura fossem supridas com “brindes”  Sempre reservamos vários hotéis no Rio de Janeiro, mas é a primeira vez que passamos por essa situação, não pagamos barato pela nossa estada, então o mínimo que esperamos è uma local limpo e bom atendimento dos funcionários.  Inaceitável um hotel desses ser classificado como 4 estrelas e permanecer no mercado lesando tantos clientes."
nov. de 2022,1,VENDEU E NÃO ENTREGOU,"O hotel é péssimo, acreditem nos comentários. Afirmo que eu, enganado por fotos bonitas do local, não levei em consideração a péssima avaliação do Hotel.    Minha Esposa fez uma reserva para nossa família em suíte chamada ""master"", porém, ao chegarmos no local, fomos surpreendidos com a entrega de quarto de categoria inferior, sujo, sem qualquer preparo, e que acomoda apenas 2 pessoas.    Ao questionarmos o Supervisor Daniel, este respondeu que é isso, não há o que ser feito. Resumindo, você compra um carro com ar condicionado mas, na hora que recebe o veículo, percebe que ele não possui este item.    Ponderei ao Supervisor a possibilidade de crime contra o consumidor e acionamos a Polícia Militar, porém, ainda assim parece que não se sentiram incomodados.    CUIDADO, FUJAM DESTE LOCAL."
out. de 2022,1,Péssimo serviço,"Hotel sem manutenção, tive que comprar toalhas, fiquei por 48 horas sem troca de toalhas no quarto. Três dias sem limpeza do quarto. Enfim, estragou o passeio. Embora a área da piscina seja muito boa, não recomento para ninguém."
out. de 2022,2,"Desorganização, desrespeito e descaso com o hóspede",Absurdo! Mais de 3 horas de atraso pra liberação do quarto. Fizemos reserva com bastante antecedência e fizemos check in pela manhã. Informaram que quarto só ficaria pronto as 14 que era hora oficial do  Check in. Sao 17:30 e continuamos sem quarto. Após 2 horas de atraso nos alojaram em um quarto temporário pequeno (sendo que somos 3 pessoas) e nosso quarto continua sem previsão.  Desorganização e falta ade respeito com o hóspede.
out. de 2022,2,Serviços Ruim,"Infelizmente dessa vez não foi bom, trocas de toalhas precário, as toalhas já bem velhas algumas até rasgando e com muitas manchas de uso, limpeza do quarto em nenhum dia o chão foi varrido e passado pano, fomos a praia logo no primeiro dia com isso o chão sempre fica com areia tivemos que ficar toda a estadia sentido ateira nós pés o que é horrível, a caipirinha que dão como cortesia é uma vergonha copo pequeno e sem direito a escolha de sabor deveria ser cortesia como a que é vendida (sei que esse serviço é terceirizado) mas deveriam conversar com a empresa.  Área para crianças deveria ter um espaço Kids coberto e com mais variedades de brinquedos, quando chove as crianças ficam sem ter onde brincar.  Das outras vezes que estive nesse hotel foi melhor mas caiu muito nos serviços.  Pela nossa decepção acho que merecemos um final de semana por conta do hotel.    Marilene Alves  Sidney Damasceno Maia  Márcia Penteado  Danilo Penteado"
set. de 2022,1,Atendimento péssimo,"Vim passar o final de semana nesse lugar que acha que é um “hotel”, o problema já começa na recepção, funcionário mau educado, lento e sem a mínima vontade de ajudar, demora de mais de 1h para ser atendido no checkin, fiz o pagamento direto no hotel, depois do pagamento o funcionário me informou que deveria deixar um cartao para ser feita uma pré reserva no valor de 1000,00, achei bem absurdo, mas ok, ele fez com uma má vontade. Chegamos no quarto, só tinha uma cama de casal e um sofá cama, deixei minhas duas amigas na cama e fiquei com o sofá cama, observação, tenho 1,85, tive que tirar as almofadas do sofá e improvisar uma cama no chão, não tinha travesseiro, lençol, nem edredom, tudo foi solicitado na hr, pq nem isso eles se atentaram, totalmente despreparados. A fora que levamos nossas malas no carrinho sozinhos pq nos largaram na recepção. Não foi passada nenhum número para contato com ninguém, acho que era por adivinhação. A noite mais uma surpresa, muito barulho nos corredores e nas varandas, elevadores fazerem muito barulho também. Quarto com odor forte de fechado, limpeza péssima, cupim nos móveis de madeira, cortina suja, varanda suja também, condicionador/shampoo/sabonete nenhum dispenser estava funcionando, sorte que trouxe os meus, toalhas não foram trocadas, tomamos banho com toalha molhada, tudo que era solicitado demorava muito para ser resolvido. Como disse, sempre pode piorar, quando fomos enfim fazer o checkout, o cartão da pré reserva não conseguiram estornar o valor, dava erro e estou indo embora na esperança do estorno vir algum dia, o funcionário que nos atendeu por último fui incrível, eu estava furioso, mas ele não tinha culpa e fez o possível para nos ajudar, inclusive o outro cara que nos atendeu, não colocou os comprovantes que pagamos na entrada e fomos cobrados na saída, a sorte era que eu tinha o comprovante. Realmente não sei o que foi pior, NUNCA MAIS passo na frente."
set. de 2022,5,Viagem com a família,"Hotel maravilhoso nossa estadia foi perfeita,nada a reclamar.  Atendimento do Rafael Leal na recepção do hotel foi impecável, perfeito.  Café da manhã do hotel e maravilhoso.  Minha família simplesmente adorou."
set. de 2022,1,Experiência frustrante,"O hotel se diz ser 4 estrelas, de fato é grande com cafe da manhã farto. Porém tem alguns problemas, não façam viagem de negócios e se hospede la. Internet não funciona, em nenhum ponto do hotel, e eles não ajudam a resolver o problema, oferecem mudar de quarto e alegam que a rede está instável no dia. Somado a isso ha alguns problemas como chuveiro que não esquenta, não fazem reposição de shampoo e condicionador e demais pequenos problemas que tornam viagem desgostosa"
