Data da opinião,Nota,Título,Conteúdo
20 de dez.,1,Restaurante fora de serviço,"Não é a primeira vez que acontece, vc chega tarde da noite e o restaurante não está funcionando sempre com alguma desculpa de algum problema. A recepção caga pro hóspede e não te ajuda com nenhuma opção. Quando acontece isso, porque não fazem um serviço de pedido de pizza ou qualquer outra coisa pra faturar no hotel? Fico no hotel pela empresa que trabalho, então infelizmente tenho que usar esta porcaria."
14 de dez.,5,Visita a passeio,"O Hotel presta excelentes serviços aos hóspedes. Seus colaboradores são muito solícitos e educados. As acomodações do hotel são impecáveis em todos os aspectos (quarto, restaurante, área de lazer). O café da manhã é bastante variado e delicioso. Enfim, merece ostentar a categoria cinco estrelas. Parabéns!"
6 de dez.,1,"Limpeza, iluminação dos quartos","Em quarta vez que hospedei no hotel, todas a trabalho, tive um contratempo com banheiro sujo de cabelo com hóspede anterior.  Na segunda feira pedi para limpar, não limparam, na terça cheguei do trabalho, pedi mais uma vez, não limparam, até que cansei e vir fazer uma avaliação. Coloco todo o processo de limpeza e higienização do hotel em cheque."
nov. de 2022,5,Atendimento Restaurante,"Atendimento excelente de toda equipe, em destaque Maria Tereza, Tadeu e Rita Cássia do restaurante. Duas profissionais de altíssimo nível e atendimento excepcional. Além disso q comodidade e de alta qualidade com vista privilegiada."
nov. de 2022,4,Boa opção em Vitoria,"Mais uma vez uma boa estada neste hotel , bom atendimento, quartos confortáveis , merece somente um ponto de atenção quanto a sistema de armazenamento de sabonete e shampoo. Ofertar amenities com sabonete em barra e pequenos frascos de shampoo traz uma experiência melhor que os dispenser dentro do chuveiro ."
nov. de 2022,3,"Hotel antigo, bom e bem localizado","A localização é muito boa, em frente a praça do papa, local tranquilo, o hotel está precisando de alguns ajustes, como uma modernização, trocar suas toalhas, pós algumas estão passando da hora, No geral está bom, camas bem confortáveis, bom ar condicionado e um bom café da manhã. Limpeza dos quartos também vale destacar."
nov. de 2022,3,Bom hotel.,"Fiquei neste hotel por um mês e posso dizer que minha avaliação é que é um boa experiência. O quarto era escuro, muito escuro mesmo tanto que pedi pra trocar e fui pra outro mais claro pois a iluminação era só de luminárias. O quarto é bonito, ótimo designer de tudo. Restaurante excelente e café incrível. Piscina muito boa. Ótima academia. Linda vista do Convento da Penha e do mar. Ótima localização."
out. de 2022,5,Passeando em Vitória,"Hotel bem localizado, acomodações excelentes, funcionários absolutamente prestativos e cordiais, restaurante muito bom. Tudo isso mesmo com o hotel muito lotado. Não houve nada que desabonasse a qualidade desse excelente hotel na capital do Espírito Santo, isso sem contar que fica exatamente em frente à sede do projeto Tamar, magnífico local para visitação e aquisição de conhecimento sobre a vida da tartaruga marinha"
out. de 2022,4,Quase tudo perfeito....,"Nota 1000 para o conforto da cama e qualidade do edredom, realmente muito confortável! O quarto também estava muito limpo e bem arrumado. O check-in também foi bem rápido. Mas o café da manhã deixou a desejar.... Música alta, poucas opções, muito tumultuado..."
set. de 2022,5,Excelente opção de hospedagem,"Hotel com muito boa localização, serviço atencioso e eficiente. Café da manhã muito bom, com variedade e qualidade no preparo e apresentação. Quarto muito confortável e bem higienizado. A iluminação poderia ser melhor, pois há um.unico ponto de luz além das luminárias ao lado da cama."
