Data da opinião,Nota,Título,Conteúdo
22 de dez.,1,A pior experiência em Hotéis da Rede ALL,"O Hotel tem uma estrutura tradicional da rede IBIS. E é muito bem localizado. Mas tem um detalhe que precisa ser dito: ele não aceita o pagamento de forma parcelada; somente à vista. O problema é que isso não é informado no site da ALL (ACCOR) muito menos pelo Hotel, no momento da reserva. Então só tive acesso a essa informação na hora de fazer o check in (o que comprometeu completamente o meu orçamento e a minha viagem). Sou cliente da ACCOR há mais de 10 anos. E isso nunca havia acontecido. Eu ainda expliquei a situação para a recepcionista. Mas ela simplesmente disse que não poderia fazer absolutamente nada. Sobrou o prejuízo para o Hóspede, que teve que se virar pra arrumar um dinheiro que não estava reservado para esse imprevisto que destruiu toda a experiência da…"
16 de dez.,1,Apenas para dormir um fds,"Quarto velho, sinais de poeira , tinta ressecada e rinite atacada . Toalha estava suja e extremamente antiga. Não recomendo para uma noite. Além do preço da reserva on-line ter sido diferente do pagamento . Os demais hotéis e mesmos outros ibis da região estão um padrão muito acima."
14 de dez.,3,Um Ibis antigo com alguns problemas,"Bem localizado em uma região de muitos bares (Tipo sem conforto com muita aglomeração na rua), defronte à um Pub bem frequentado e a poucas quadras da praia de Camburi (A mais famosa e mais extensa da cidade e com muitas atracações e facilidades).  Tem um restaurante e pizzaria anexo e estacionamento privativo, coberto e gratuito.  Suas instalações são antigas e este padrão de Ibis não existe mais (padrão antigo que não é Stiles nem Budget).  O quarto é confortável e com isolamento a luz solar perfeito, mas com isolamento acústico com possibilidade de melhorias.  O colchão é de baixa densidade (muito macio) e os travesseiros são apenas razoáveis.  Tem frigobar abastecido e alguns comes.  O ar condicionado é muito barulhento mas rende bem.  As tomadas são em número insuficiente e mal posicionadas.  O Wi-Fi funciona razoavelmente nos quartos e as vezes não funciona.  A Tv é um dos pontos fracos, por ser pequena, não ser smart, não ter guia de canais impresso, possuir uma imagem bem ruim e apenas canais abertos.  A iluminação do quarto é boa mas o controle tem possibilidade de melhorias.  O armário é aberto mas tem cabides e boas prateleiras.  Não existe desligamento automático das luzes e tomadas, apenas o acesso é através de cartão magnético.  O banheiro é pequeno mas possui o básico, como uma boa ducha, espelho grande, secador de cabelos e ducha higiênica.  O acesso aos andares é controlado por cartão magnético, mas obriga o hóspede a digitar o andar correspondente (poderia ser automático como em vários outros hotéis, ou seja: Você apresenta o seu cartão e automaticamente o andar respetivo é acionado).  O café da manhã é básico mas com um bom custo x beneficio em virtude do valor cobrado que é R$ 32,00.  Claramente tem problemas de supervisão e de falta de colaboradores ou melhor distribuição das tarefas, assim vemos hóspedes retirando louça suja das mesas, limpando as mesas e ainda falta de café passado aliada a falta de reposição de café na máquina automática, resultando em 10 minutos sem qualquer café.  O checkin foi rápido mas continua o problema da falta de integração da rede Accor e assim mesmo que eu já tenha me hospedado em mais de 100 hotéis da rede, sou um ilustre desconhecido.  Um ponto muito positivo foi ter sido antecipado o horário do check in pois eu estava muito precisando de um descanso.  Parece ser uma marca do hotel, sempre que disponíveis os apartamentos serem liberados para os hóspedes antes do meio dia e isso é muito elogiável.  O atendimento é muito simpático, mas várias vezes a recepção ficou à deriva, sem nenhum colaborador presente ou com apenas um assoberbado e não podendo nem atender o telefone.  Cuidado quando solicitar aplicativo de transporte, porque o hotel não é localizado automaticamente e ou diz que você está num pet shop atrás do hotel ou no PUB defronte. Ajuste manualmente e mostre que você está no hotel, pois o erro pode provocar cancelamentos, como ocorreu comigo duas vezes.  O custo x beneficio é apenas razoável."
10 de dez.,5,Ótima estadia,"Acomodação excelente, limpa, ampla, muito confortável e ainda com uma linda vista da cidade. Fui super bem atendida pelo Luiz Henrique, que me auxiliou a conseguir uma acomodação de última hora, ótimo profissional."
1 de dez.,5,Café da manhã no Ibis Praia do Canto,"Atendimento de excelência. Equipe nota 10, com destaque para a funcionária Andréa Loureiro. Comida deliciosa. Alimentos frescos e acolhimento completo. Sugestão de melhoria apenas no espaço de circulação próximo ao balcão."
nov. de 2022,5,Hospedagem Ibis praia do canto,O café da manhã ótimo. Localização é fantástica. O atendimento dos funcionários é sensacional. Um dos melhores locais onde já me hospedei. Deixo aqui um agradecimento especial a Andreia pelo ótimo atendimento e cordialidade.
nov. de 2022,3,Estadia Ibis Praia do Canto,As frutas estavam maduras demais e até mesmo passadas. Faltou opção de mais frutas e a salada de frutas estava com frutas maduras demais também. Excelente cereal e ótima variedade de chás. Boa variedade de pães e os frios estavam muito bons. Ótimo atendimento da Andréia!  Na parte da noite não gostei do atendimento do restaurante. Ficamos esperando por atendimento e resolvemos ir embora depois de muita espera e nada. Há opções melhores no entorno da praia do canto para jantar.
nov. de 2022,4,Bom hotel,"Bom hotel, bem localizado, atendimento cordial principalmente pelas atendentes do café da manhã Jadelane e Eriane, poucas mas boas opções de pratos. Precisa melhorar um pouco nas roupas de cama e banho mas pelo valor e localização está coerente"
nov. de 2022,5,Ibis praia do canto,"Atendimento muito bom, cordialidade e dedicação das profissionais. Super recomendo.  Eliane está de parabéns.  Sempre que venho para o ES fico hospedado aqui, pelo ótimo atendimento da equipe, principalmente o da cozinha."
nov. de 2022,5,Uma excelente experiência.,"Atendimento muito bom! Café da manhã diversificado e muito saboroso, com muitas opções! Fui atendido pela Jocillayne, muito educada e atenciosa! Recomendo o hotel a todos! Tive uma excelente esperiencia!"
