Data da opinião,Nota,Título,Conteúdo
uma avaliação Ontem,5,Ótimo café,"Quero deixar aqui minha avaliação sobre minha hospedagem no hotel Ibis praia de camburi. O café da manhã tem bastante variedades de coisas. Fizeram uma omelete pra mim maravilhosa . Obrigada a Luana, a lany e a Raquel pelo ótimo tratamento no café . Vcs são demais ! Espero voltar mais vezes."
22 de dez.,5,Café da manhã.,"Excelente café, excelente recepção e atendimento da equipe como um todo. Restaurante com respostas rápidas aos pedidos, somente os preços do frigobar que não estão mais atrativos. Do restante o hotel está de parabéns"
21 de dez.,5,Café da manhã,Café da manhã completo todos os dias. Excelente atendimento das meninas e em especial da Luana. Refeições inclusive tarde da noite. Cardápio bem diversificado. Inclusive pode-se fazer pedidos especiais.
21 de dez.,5,Café da manhã excelente,"O café da manhã e maravilhoso, com bastante variedades de alimentos, um ótimo atendimento das meninas, principalmente da Luana, variedades de frutas, de pães, de frios, sucos, cafés, tudo ótimo e agradável."
17 de dez.,5,Ibis Vitória praia de Camburi,"Lugar bem localizado e confortável: perto da praia, perto do aeroporto e perto da universidade. Café da manhã super diverso. Funcionários muito atenciosos e agradáveis. Obrigado a todos, em especial, a Luana."
17 de dez.,5,Café da manhã,"Gostaria de elogiar o atendimento da Luana e Damiana, muito gentis e prestativas... Todo o café de excelente qualidade e preparado com muito carinho. Gostaria apenas de sugerir uma mudança na marca da salsicha que não é muito gostosa e também o iogurte que é muito ralo... Os demais ítens, estão de parabéns."
16 de dez.,5,Café da manhã,"Deixar registrado que o café do hotel é sempre muito bom, poderiam voltar com o leite condensado para a salada de frutas, faz falta este item.  As meninas do café são muito simpáticas em especial a Luana como atendente é nota 10."
9 de dez.,4,Ótimo Staff,"Bom Ibis, o quarto era muito bom com vista Praia de Camburi, limpeza excelente. O Café da manhã era bom, mas já estive em outros Ibis que tinham mais opções. O Staff é muito competente. Era semana de Halloween, fomos para um passeio voltamos e o Elevador estava no tema. São os detalhes que mostram a atenção da equipe com o hotel. Sim voltaríamos."
8 de dez.,4,Hotel ibis,"Ótimo atendimento. Café da manhã ótimo, um omelete feito com muito carinho pela funcionária Luana.  Muito bom o atendimento prestado desde o check in até o nosso check out. A localização do hotel é excelente próxima a farmácias, restaurantes, salões de beleza... RECOMENDO!"
8 de dez.,5,Avaliação,"Gostaria de parabenizar a equipe principalmente a Luana pelo atendimento sempre feito com carinho e dedicação, parabéns pelo cardápio que sempre supera as espectativas, com produtos sempre bem feitos ."
3 de dez.,5,Voltarei novamente,"A minha estada no Íbis foi excelente! O atendimento e acomodação estavam como esperado, e um destaque que gostei muito foi o atendimento da Luana. Com certeza eu voltarei mais vezes com meus familiares e amigos"
3 de dez.,5,Excelente,"Fui atendido muito bem pela equipe ibis vitória praia de camburi.  Luana, Luiza, noeli, Andrew, Felipe, kenia, Englica, Cris, todos muito gentis. Além de excelentes profissionais, são ótimas pessoas. Deram dicas de lugares para sair e divertir.  Recomendo muito."
