Data da opinião,Nota,Título,Conteúdo
set. de 2022,5,Ótima hospedagem,"Hotel excelente em atendimento, acomodações e localização. Super recomendo! Seja a passeio ou a trabalho, vale a pena se acomodar neste hotel. Roupas de cama cheirosas, boa internet, boa culinária. Ótima vista do quarto!"
set. de 2022,1,Quarto sujo,Infelizmente por duas vezes me deram um quarto sujo. Apenas na terceira tentativa me colocaram num.quarto limpo. A chave desmagnetizou. Desta vez não gostei. Uma funcionária sugeriu a camareira prar eu esperar por 15min no corredor. Total absurdo. Exausta da viagem a trabalho e ter que esperar no corredor do quarto? Ouvi outros hospedes reclamando no café da manhã. Pelo menos desta vez havia alternativas no cafe da manhã como batata doce.
set. de 2022,5,"Estadia muito confortável! Hotel limpo, seguro, confortável e café ótimo. Perto de alguns pontos principais da cidade. 👍","Estadia calma e confortável! Hotel limpo, seguro, silencioso e perto de alguns pontos principais da cidade. Perto do Tribunal de Justiça, Shopping Vitória, Praça do Papa e da 3ª ponte. Café da manhã com muitas opções. Com certeza voltaremos."
set. de 2022,4,10 dias bem acolhido...,"Pontos fortes: Gostei muito do atendimento: funcionários muito prestativos, educados e cordiais. Roberia, Cássia, Felipe apenas pra citar alguns, mas todos, sem exceção me atenderam muito bem...as arrumadeiras são educadas e trabalham com sorriso no rosto. Café da manhã de boa qualidade e bem diversificado: senti falta apenas da tapioca Passadoria à disposição dos hóspedes me salvou. O clima do hotel é leve e aconchegante A música suave no elevador é bom pra acalmar pq o equipamento é lento como uma tartaruga Pontos a melhorar: Elevador poderia ser menos lento, Preço de itens a venda no hotel estão altos: exemplo uma garrafa de água 1,5 Lt por R$ 9,00 Ruido da vizinhança nos quartos do fundo incomodou no final de semana, mas mudei para um quarto da frente e a paz…"
set. de 2022,4,Ótimo custo benefício,"Ótima localização, com fácil acesso, atendimento muito bom, quarto amplo e bem arejado, café da manhã bem diversificado. Boa estrutura com praticidade no check in e checkout e estacionamento incluso. Recomendo."
ago. de 2022,3,Bom custo X benefício,"Café da manhã razoável e acomodações boas.  No geral o atendimento é bom, com destaque positivo para a Roberia e negativo para o Eduardo.  O hotel fica próximo aos principais pontos, mas em virtude da comunidade localizada no entorno, é necessário atenção quanto à segurança nos programas noturnos.  As fotos são da vista da janela."
jul. de 2022,3,Bom mas dentro da favela,"O hotel fica incrustado em uma favela. Assim, se você precisa se deslocar pela cidade, não conseguirá fazer nada a pé porque e cheio de noia no entorno. O hotel em si é bom. Quarto novo. Cama boa. O atendimento é excelente. A Roberia é excelente."
jun. de 2022,4,Confortável e Limpo,"Pessoal do atendimento é muito gentil, o café da manhã tem muita variedade, não gostei das opções de doce que servem de manhã, mas num geral é bem completo e bom. Os quartos são bem limpos e a internet funcionou bem, foram dias tranquilos."
jun. de 2022,5,Recomendo,O Go Inn Vitória oferece WiFi gratuito e estacionamento privativo de cortesia em Vitória. A acomodação ocupa um edifício moderno exclusivo para não fumantes e apresenta quartos com ar-condicionado. Recomendo
jun. de 2022,2,recepção ruim demais,"Recepcionista grossa se não me falha a memoria o nome da recepcionista é Roberta, as fotos não tem nada haver com a recepção apresentada, sofás desconfortável para agradar o check in, no quarto não tem copo de vidro se quiser um copo tem que pegar o de plástico, o café de manhã fraco e repetitivo. OU seja, não indico. Já a moça da limpeza e uma pessoa super mega prestativa educada."
jun. de 2022,3,Bom,"Fiquei apenas um dia a trabalho e nem usei o wi-FI . mas gostei da hospedagem e do tratamento.  A comida também foi boa. A localização ótima bem perto do meu destino, o aeroporto. num geral otima estadia."
jun. de 2022,5,Melhor e maior cama que todas,"Quarto bom, a cama além de enorme é muito confortável. O banheiro precisa de um exaustor para se livrar de odores, tirando isso o tamanho é ótimo. A garagem precisa ser redividida, vagas muito pequenas, carros grandes ocupam 2 vagas para caber. O atendimento é ótimo, localização e preço também!"
jun. de 2022,3,Podia ser melhor!,"Deixou bastante a desejar no atendimento;  No Quarto só havia uma manta pequena;  Não tinha nada no Frigobar a disposição;  O Hotel fica bem próximo de um morro, dependendo do horário você já não consegue um carro, tanto pra ir quanto pra voltar (os motoristas ficam com medo);  Região com música alta, pessoas falando alto e barulho de polícia;"
jun. de 2022,5,Excelente hospedagem,"Muito limpo, confortável e todos atenderam super bem. Quarto limpo, grande e cama suuuuper confortável, banheiro ótimo tbm. Café da manha top, atendeu todas as expectativas, voltarei e recomendarei com ctza."
mai. de 2022,3,Falta de informações.,"A localização é boa, porém o hotel não oferece serviço de quarto, o espaço do café da manhã é pequeno. O horário do restaurante é reduzido. O telefone informado para informações não funciona, eles não retornam via e-mail e mensagens. Estou aguardando até hoje minha nota fiscal para prestar contas e não recebo."
abr. de 2022,4,Gostei bastante!,"O hotel é confortável, café da manhã gostoso e completo e a equipe de funcionários muito educada e receptiva.    A única coisa que não gostei é que a limpeza do quarto deixava um pouco a desejar e a vista do quarto não é das mais bonitas.    No mais, é um hotel com ótimo custo benefício e com ótima localização."
