Data da opinião,Nota,Título,Conteúdo
out. de 2022,5,Quarto Limpo e aconchegante,"Ótima localização próximo de supermercado, farmácia. Atendimento ótimo e objetivo. Quarto limpo, com o necessário e funcionamento do ar condicionado, televisão e chuveiro sem nenhuma intercorrência. Excelente."
set. de 2022,5,Ótimo,"Muito bom. No dia da hospedagem, eu ganhei uma massagem express. Foi muito bom. Deu para relaxar devido ao cansado da viagem. O quarto estava limpo, o ar condicionado estava em perfeitas condições, a janela acústica estava funcionando bem."
ago. de 2022,5,Atendimento VIP,"Perfeito para quem está a trabalho, o atendente Sr. Diego resolveu todas as minhas pendências. O quarto muito confortável e um valor bom para uso a trabalho e lazer. Gostei muito da localização O café da manha não teve muita variedades, pode ter mais itens da região do Espírito Santo.."
ago. de 2022,5,Super Recomendo,"A prosposta do hotel supriu as minhas expectativas tanto pelo preço, como também a localização, o conforto e a recepção excelente, muito atenciosa, amável e sempre disposto para me ajudar no que fosse possível, em especial o recepcionista Diego"
ago. de 2022,5,Excelência em atendimento,"Estive no hotel e fui muito bem recebido é recepcionado pelos funcionários como também amei todos os serviços, excelente localização área de estacionamento, serviços de quarto excelente, muito bem recebido por Diego Ramos Maia"
ago. de 2022,5,Cliente satist9,"Ótima localização, preço imbatível, recepção hospitaleira,parabéns pelo atendimento, vi que existe até pessoas mensalistas nesse hotel.Isso signifia serviço de excelência qualidade. Hotel econômico com Serviços acessível."
jun. de 2022,4,entrega o que promete,"sabendo qual é o padrão Ibis Budget o hotel cumpre o que promete. Nao espere frigobar nem shampoo, é um quarto pequeno e simples, com pequena mesa, chuveiro separado do vaso sanitário.. Também nao tem armário nem prateleira, apenas 5 cabides. Café da manhã padrão , com frios, ovos mexidos, iogurte, frutas, pães... atendimento muito simpático. processo de checkin e checkout foram ágeis. estacionamento gratuito, 2 andares, mesmo no feriado tinha vaga em frente tem um pequeno shopping com pequena praça de alimentação e supermercado"
jun. de 2022,5,Ótimo atendimento e Café da manhã maravilhoso!,"Pela proposta do hotel de ser ""compacto"", é bem fiel. - Toda a equipe de atendimento ao hóspede bem treinada, super cordial e prestativa; - Quarto simples, mas que me atendia, chuveiro forte e temperaturas bem reguladas; - Localização do hotel perto de tudo; - Melhor foi o café da manhã, muitas variedades por um preço ótimo!!"
jun. de 2022,5,IBIS BUDGET,"Ótimo atendimento. O hotel conta com equipe que está sempre pronta e disposta para atender, desde a recepção, segurança, serviço de limpeza em geral. Todos prestativos e atenciosos. Quartos sempre limpos, café da manhã excelente. Valeu a estadia!"
mai. de 2022,5,me surpreendeu positivamente,"Gostei muito do ibis budget Vitoria mesmo sendo um hotel econômico o café estava ótimo, o quarto com um cheiro de limpo e isso é o mais importante, e a internet também que funcionou perfeitamente, hotel bem cuidado"
mai. de 2022,3,"Um típico Ibis Budget, mas precisando de mais cuidados","A equipe é legal, pessoas prestativas. Mas os quartos precisam de alguma manutenção. Cortinas meio sujas e mofadas, paredes externas da área de chuveiro com infiltração... A cama é boa, colchão bom, chuveiro bom. Mas a manutenção vai ajudar a melhorar a experiência de estadia. A rua do hotel é bem suja (fiquei no hotel por vários dias e a rua esteve sempre suja), os jardins externos estão completamente abandonados. Isso tudo faz muita diferença, passa a impressão de desleixo. Perto do hotel não há nenhuma opção de alimentação após as 22h. Há um shopping do outro lado da rua com restaurantes, academia etc., mas fecha às 22h. E há um café interessante no prédio ao lado do hotel. Um detalhe importante: nenhuma sinalização do hotel é bilíngue. O Brasil está longe de ser um país…"
abr. de 2022,5,Ótimo atendimento,"Hotel simples mas funcional, funcionários prestativos e os funcionários da recepção muito educados sempre a nossa disposição para necessidades e dividas, além de ótima indicações do que fazer em Vitória!"
mar. de 2022,5,Elogio,"Gostaria de elogiar o recepcionista Diego, muito atencioso, o atendimento dele é acolhedor, muito simpático e educado, ele não é aquele tipo de recepcionista que atende com má vontade, ele realmente se importa com o hóspede. Estão de parabéns pela equipe."
mar. de 2022,5,Elogio,"Recepcionista Diego foi muito atencioso no auxílio para conseguir um quarto de última hora. Extraordinariamente acolhedor. Gratidão por esse profissional maravilhoso, um ser de luz. Recomendo a hospedagem"
mar. de 2022,4,Hotel Barato,"Hotel sem o padrão econômico da rede IBIS, na minha hospedagem a recepção estava passando por reforma, mas nada que incomodou muito na hospedagem. Quarta limpo e organizado com ar-condicionado e a opção de frigibar."
mar. de 2022,5,Elogio!,"Ótimo hotel. Quarto bem aconchegante, com tudo funcionando, e o que mais me surpreendeu foi os aplicativos de filme, um diferencial maravilhoso. Gostaria de elogiar especialmente a atendente Sayene, me atendeu com muito carinho, com muita simpatia e atendeu a todas as minhas necessidades."
mar. de 2022,5,Boa internet,"Já me hospedei várias vezes em vários hotéis espalhados no Brasil, mas fui pego de surpresa pelo ótimo atendimento do checkin ao checkout, todos muito educados, apartamento bom e muito bem localizado, excelente café da manhã e Wi-Fi muito estável."
mar. de 2022,5,Ótima hospedagem,"Já me hospedei algumas vezes, paguei barato, fui super bem atendido do checkin ao checkout, todos muito educados, apartamento maravilhoso e muito bem localizado, em todas as vezes saí com um certo saudosismo e a certeza de que irei retornar muitas outras vezes."
mar. de 2022,5,Uma boa experiência,"Foi uma experiência muito legal eleva-te são bem atenciosos e tudo e muito pratico, a localização é muito boa perto de tudo, adorei toda experiência, super recomendo o custo benefício vale muito a pena, uma opção excelente pra quem quer uma boa experiência gastando pouco"
mar. de 2022,5,Melhor hotel da cidade,"Já me hospedei outras vezes, porém desta vez foi ainda melhor, paguei barato, fui bem atendido do checkin ao checkout, preocupação com a higienização das áreas comuns, apartamento impecável e bem localizado, principalmente pra quem busca curtir um barzinho depois de um dia de trabalho."
mar. de 2022,5,Ótimo atendimento,"Já me hospedei duas vezes, todas as duas fui super bem atendida, sem contar que é um dos melhores custo benefícios. Além de ser em frente ao supermercado sendo bem acessível também a transportes, voltarei mais vezes. Café da manhã top."
fev. de 2022,3,razoável,"Ficamos hospedados no hotel dois dias (15 e 16/02). Como o objetivo da viagem era férias, achei longe da praia. Para quem viaja a negócios, talvez esteja melhor localizado. A recepção é muito pequena e estava em obras. Poucos lugares pra sentar no hall da recepção."
jan. de 2022,3,Hotel Razoável,"O quarto é pequeno mas acomodou bem três pessoas,o banheiro é pequeno e apertado (pessoas com mais de 1,70m tem dificuldade em usar), a recepção está em reforma e o wi-fi não pega nos quartos, a localização é boa e fomos bem atendidos pelos funcionários, se você quiser um frigobar é necessário pagar á parte assim como o café da manhã, num geral é um hotel bom apenhas para passar a noite (acredito que seja mais voltado para pessoas que viajam a trabalho)."
jan. de 2022,2,Ainda bem que foi só por uma noite.,"O atendimento é vagaroso, o loby nem se pode considerar, está em reforma, com poeira e sugeira em todos os lados, o café da manhã é no loby então é apertado, lotado e fica com fila para retirar comida até os balcões da recepção, as pessoas se trombam lá, no quarto encontrei cabelos longos e poeira em vários cantos, inclusive no banheiro (detalhe: sou careca), e a pior de todas: não tive espaço para guardar o carro, o estacionamento estava lotado segundo a pessoa que me atendeu com muita má vontade pelo interfone quando cheguei após o jantar, e a pequena rua sem saída estava lotada, tive que parar o carro bem longe. A cama não era ruim. A comida do café da manhã também não era ruim. A localização não era ruim."
jan. de 2022,1,Pior hotel de Vitória,"Os quartos são horríveis, o banheiro minúsculo e sem ventilação, Wi-Fi não pega e em raros momentos acontece isso. O estacionamento não tem vaga pra todo mundo, os quartos pacote que só arrumam a cama e não tem frigobar, então não consegui armazenar nada."
