Data da opinião,Nota,Título,Conteúdo
uma avaliação Hoje,5,Excelência Define,"Sempre venho ao NovotelMorumbi com minha família e somos muito bem recepcionados. O hotel é lindo, equipe preparada e excelente, fazem com que nos sintamos em casa. O restaurante é maravilhoso, atendimento do Alexandre e da Maria sensacional. Destaque para o Rafael e Vítor que sempre nos recepcionam com muito carinho. Obrigada time Novotel Morumbi! Voltaremos sempre! Vocês são incríveis."
uma avaliação Ontem,5,Ceia de Natal espetacular!,Atendimento SENSACIONAL!! Parabens especial para toda a equipe que não atendeu na Ceia de Natal!! Com certeza voltaremos!! Agradecimento especial ao garçom Kennedi que transformou a noite com Atendimento ainda mais especial!
uma avaliação Ontem,5,Excelente natal em família!,"O ponto forte definitivamente sao os comes e bebes! Além do excelente atendimento dos funcionários, em especial o Mecias, muito querido e atencioso! Outro ponto muito positivo é a piscina aquecida, mesmo com o tempo feio conseguimos aproveitar super a estadia! Recomendo fortemente para quem quer um sossego na grande São Paulo"
uma avaliação Ontem,5,Natal,"Atendimento excelente, com funcionários muito prestativos. Vale muito a pena conhecer. Experiência no natal muito boa. Funcionários que prestam um excelente atendimento, sempre muito solícitos e adequados no atendimento. Recomendo."
uma avaliação Ontem,5,Natal lindo!,"Natal incrível com eles. O Time é sensacional. Garçons extremamente atenciosos, educados. Joana do restaurante um amor. Tudo impecável. Quarto excelente. Recomendo muito. Em Sp um dos melhores hoteis."
uma avaliação Ontem,5,Natal em família,"Ótimo hotel. As acomodações provavelmente passaram por reforma há pouco tempo. Drinks do bar muito bons e piscina aquecida! Mecias, garçom do hotel, nos atendeu muito bem no jantar do natal. Recomendo"
uma avaliação Ontem,5,Hospedagem em família (crianças),"Hotel excelente, sempre somos muito bem recepcionados, estrutura muito confortável, cardápio maravilhoso. Equipe maravilhosa frentistas, recepção, hotelaria, garçons.  Vamos embora sempre com a vontade de retornar.  Parabéns a todos."
23 de dez.,5,Ótima estada,"Atendimento ótimo. Funcionários muito prestativos, em especial a Laura. Incrível atenção! Comida excelente e tem um pudim de leite maravilhoso. Adoramos a estadia. Localização ótima tanto para negócios quanto para turismo em São Paulo."
22 de dez.,5,Viagem com minhas riquezas - Aniversário da minha esposa,"Amamos novamente o hotel, pois não foi a primeira vez que nos hospedamos. Quando gostamos retornamos. A limpeza, impecável, o atendimento desde a recepção com o Diogo, até o restaurante com o Alexandre ""Ser humano sensacional, que possui um carisma fabuloso"", conforto, comodidade e bem próximo do Morumbi Shopping que nesta época fica ainda mais lindo. Não superou e sim reforçou tudo que já conhecíamos deste ótimo hotel para família. Com certeza retornaremos. Destaco a atenção toda especial que tiveram com a minha esposa, pois ontem 21/12 foi aniversário dela, e fomos surpreendidos com um delicioso bolinho em nosso quarto com um cartão muito bem escrito. Ah, já ia me esquecendo, tem também o Kennedy do restaurante da parte da noite, com uma atenção impecável. O cardápio é bem diversificado, experimentamos algumas opções, e adoramos, além de possuir um preço justo.    Obrigado pela atenção e carinho comigo e com minhas riquezas (Esposa e filhos).    Resumindo. Simplesmente Sensacional!"
21 de dez.,5,Viagem com família,"Adoramos o hotel. Limpeza, organização, atendimento, conforto e comodidade.. Superou as expectativas. Com certeza voltaremos. Destaco o atendimento do Alexandre garçom da área do café da manhã, pessoa simpática, atenciosa e faz tudo para encantar os hóspedes. Nota 10 para equipe do atendimento do café da manhã. Show. Obrigado pelo carinho com minha família"
