Data da opinião,Nota,Título,Conteúdo
11 de dez.,1,Pessima,"Experiência horrível. Hospedei minha família de Goiânia em 5 apartamentos de 6 diárias cada. Restaurante horrivel, café da manhã medíocre, tivemos que tomar água da torneira porque não se abastece o frigobar. E quando se pede água no telefone diz que na cobertura tem filtro. De uma pobreza, incompetência cruel. Bacteriano tem hotéis melhores e até mais baratos. Não se hóspede no confort Ibirapuera."
9 de dez.,5,Ótima experiência,"Hotel maravilhoso!! Atendimento muito bom, inclusive um destaque para o Reginaldo. Localização excelente, em frente a estação de metrô de Moema! Excelentes acomodações, tudo muito limpo, e uma vista super bacana!"
6 de dez.,5,Ótima estadia,"Ótima estadia, hotel bem localizado, o bairro tranquilo e com vários restaurantes e bares aos arredores, fomos andando até o Parque Ibirapuera. Quarto super limpo e confortável, funcionários atenciosos, somente o café da manhã que poderia ser um pouco mais incrementado. Super recomendamos e esperamos retornar em breve."
nov. de 2022,5,ótimo atendimento,"Hotel com ótimo atendimento na recepção, restaurante e segurança. Localizado em frente ao metrô e próximo ao consulado americano. Muitos bares e restaurantes ao redor. Café da manhã gostoso. Recomendo."
nov. de 2022,4,Bom custo benefício.,"Excelente localização, quarto e cama muito bons. Piscina boa e limpa. Café da manhã justo. Quanto aos travesseiros merecem uma atenção por parte do hotel. O atendimento é muito bom e atencioso por parte de toda equipe"
nov. de 2022,2,Mau atendimento,"Eu cliquei errado e, ao invés de colocar 2 pessoas, coloquei uma pessoa. Além disso, gostaria de estender minha estadia. A moça me diz que teria que pagar 200 reais por dia, num valor total de 160 reais + 10%, sendo que uma nova reserva é de 450 reais... ridículo.  Enfim, foi melhor cancelar e fazer uma nova reserva..    Segue os prints da conversa.."
out. de 2022,5,Funcionários atenciosos e lugar confortável,"Tudo foi muito bom, confortável e todas as solicitações foram atendidas. Os funcionários todos foram excelentes.  Usufruídos da piscina que é muito boa.  Sentimos falta de ter alguma área para fumantes."
jul. de 2022,4,Viagem em férias de julho com família,"Hotel com ótima localização, bem na frente do metrô Moema. Banheiro com chuveiro bom, quarto limpo, colchão bom, espaço bacana. Atendentes muito educados e solícitos . A área da academia bem restrita , para quem faz questão tem apenas 2 esteiras sem manutenção adequada , e a piscina fica na cobertura , vista legal . O único ponto fraco real é o café da manhã , bem simples, alguns dias até ruim … só serve para quebrar o galho , mas eu sou amante de cafés da manhã de hotel , então acabo sendo mais exigente . Porém troquei este item pela facilidade do  ponto."
jun. de 2022,4,Muito bom serviço e atendimento!,"Muito bom serviço e atendimento. Bem localizado, em frente ao metrô,  estação Moema. Estadia agradável.Quarto confortável e silencioso e arejado. Jantar bom. Porém alguns pratos necessitam melhorias e mais cuidado no preparo. Solicitações atendidas. Recomendo o hotel!"
jun. de 2022,5,ÓTIMO,"Tudo ótimo, minha prioridade para me hospedar quando retorno a SP. Ótima localização, tem padaria, farmácia, metrô e igreja bem próximos e atendentes muito solícitos. Café da manhã bom. Recomendo....."
jun. de 2022,4,Ótimo,"Bem localizado, perto de ótimos restaurantes, metrô e acesso de carro  Necessita maior cuidado em reposição de utensílio de banho  Atendimento do pessoal do Lobby Muito Bom  Excelente atendimento no café da manhã"
jun. de 2022,4,Muito bom! Porém caro,"Muito agradável e confortável. Atendimento é o diferencial, equipe de recepção e restaurante são inigualáveis. Cardápio requer atenção sendo caro e fraco em opções, academia deixa muito a desejar, mas sempre limpa."
mai. de 2022,4,Boa opcao,"Quarto limpo, espacoso, bem decorado. Bem localizado proxima a Av Ibirapuera. Metro e comercio bem farto na regiao. Atendimento bem atencioso.    Preco razoavel pela localicao 370 pela diaria. Mas existem opcoes mais em conta com qualidade similar."
mai. de 2022,5,Ótima experiência,"Ficamos hospedadas no mês 05/2022. Primeiro, que a região de Moema é umas das melhores de SP, tem de tudo por ali, restaurantes, mercados, praça, igreja, bike pra alugar, metrô... o bairro é muito tranquilo, andamos pelas ruas tranquilamente tanto de dia quanto a noite, com cuidado sempre, mas nunca percebemos algo que nos fizesse sentir inseguras, por isso vale muito a pena ficar nessa região. Sobre o hotel, todos os funcionários são muito cordiais, atenciosos e prestativos. O quarto é amplo, limpo, tem uma varandinha ótima e como ficamos em andar superior, a vista é excelente. A cama é aconchegante e bem grande, daria pra dormir 3 pessoas nela. O banheiro também é espaçoso, água quentinha e com controle de temperatura. Não aproveitei o café da manhã, então não poderia opinar sobre, escolhi dormir até mais tarde para aproveitar melhor a noite. Enfim, o hotel é ótimo, valeu a pena a experiência. Já estive em outro hotel na mesma região, de categoria mais elevada, e achei o Comfort tão bom quanto. Única sugestão que daria ao hotel, é sobre o local de espera dos hóspedes, que fica bem na entrada onde tem um banco e umas poltronas, poderia ser um local mais privativo, tipo uma salinha de vidro de espera, com poltronas mais aconchegantes, ficaria mais confortável para o hospede que ficaria um certo tempo aguardando o check in, o voo ou o Uber para sair."
abr. de 2022,3,Localização excelente!,"O hotel fica em frente à estação de metrô de Moema, tem restaurantes próximos e mercado! E fica 900 m do Shopping Ibirapuera - localização excelente!  O café da manhã é bom.  O serviço de recepção foi muito bom!  Não recomendo para família com crianças, pois tem umas varandinhas sem rede de proteção !  Recomendo limpeza na saída das duchas do chuveiro para direcionamento da água, melhorar a qualidade do papel e disponibilizar mais sabonetes!a"
fev. de 2022,5,Experiência mais qee incrível :),Fiquei hospedada no comfort Ibirapuera pela segunda vez e super recomendo recepcionistas são uns amores. Cheguei no quarto e tinha uma cartinha de boas vindas achei mto fofo 🥰 café da manhã mto delicioso funcionários mto educados super recomendo se hospedarem no comfort Ibirapuera sem contar qee fica a 20 min do Ibirapuera e de frente pra estação moema.
