Data da opinião,Nota,Título,Conteúdo
16 de dez.,5,Exatamente o que você espera do budget,"Fui para um show e o hotel era bem localizado, 8 minutos para ir e voltar. Tudo que você sabe do Ibis Budget, facilidade para entrar e sair, loja com preços extorsivos, mas que você paga na hora e vai embora no check out sem filas. Quarto com cama confortável, pequeno, naquele estilo que para um funciona, se for o com beliche para dois é mais complicado. TV com imagem ótima, mas com seleção de canais bem fraca. Mas isso nem é o objetivo do hotel. Wifi ok, café da manhã muito bom pelo preço. Cama confortável e atenderam meu pedido de quarto alto e silencioso. Custo beneficio excelente se você entende que é um Ibis Budget e estiver por perto do que você pretende fazer."
nov. de 2022,5,Boa Localização,"Hotel bem localizado, ao lado do metrô. Redondeza tranquila, vários barzinhos e restaurantes. Equipe prestativa, quarto limpo e organizado com boa estrutura. Wifi de qualidade, cama confortável e chuveiro decente. O único porém é o valor em relação às outras opções, considerando o custo benefício há melhores opções - principalmente se não precisar ficar no Paraíso ou imediações. Porém voltaria a me hospedar."
nov. de 2022,5,Atendimento muito cordial e ágil!,Tenho utilizado o room office do Ibis Budget Paraíso desde o início do ano e não tenho do que reclamar. As instalações atendem super bem e a localização e o sistema de check-in/check-out são super práticos! O atendimento é ótimo! Todos os funcionários são muito cordiais e estão de parabéns pela atenção e serviços prestados. Grande abraço à equipe!
set. de 2022,3,Simples,"Esse íbis Budget tem uma boa localizava , e um bom atendimento. Mas achei que o preço da diária é alta pelo que oferece . Acredito que dei azar com o café da manhã , os pães pareciam amanhecida , e o café com leite estavam frios . Tem muitos hotéis similares a esse Íbis , por preços menores ."
set. de 2022,5,Excelente hospedagem!,"Este hotel da rede Ibis é do tipo mais simples, o que representa um excelente custo- benefício. Está localizado ao lado da estação Paraíso do metrô, o que facilita o deslocamento por toda a cidade. Tem o café da manhã tipo buffet bastante variado, pelo qual se paga à parte e ainda aceita animais!"
set. de 2022,5,Boa opção e excelente atendimento,Sem dúvida uma das melhores equipes de atendimento da rede Accor. Além disso o hotel é muito bem localizado (ao lado do metrô e é possível ir a pé para muitos locais ali próximos. É de categoria econômico e cumpre bem o que se propõe. Uma boa opção para quem viaja a trabalho e também com família
ago. de 2022,2,Muito frio! Muito velho o enxoval do hotel!,"Fiquei no pior quarto do Ibis! O ultimo do corredor, um quarto especialmente montado para um deficiente fisico, apenas ressalto isto pois como não necessito de atendimento especial achei que poderia ser reservado a quem mais o necessitaria.  O que mais me chamou a atenção negativa foi o fato que o enxoval do hotel está muito velho, já havia ficado na semana anterior e tinha percebido isto, mas com o frio deste ultimo dia e o quarto sem aquecimento este detalhe negativo se exacerbou."
ago. de 2022,5,NÃO HÁ NADA MELHOR NA CATEGORIA,"òtimo hotel, comodidade, traquilidade ,segurança,excelente local, perto de metr^, fácil acesso, a shopping, perto de uma das mais famosas avenidas de são paulo, restaurantes perto, bairro muito bom e acesso a transporte público"
ago. de 2022,2,Pior Íbis Budget em SP,"Pior Íbis Budget que já fiquei em São Paulo. Cama dura e desconfortável (no quarto com cama de solteiro) e com ar condicionado barulhento, o que torna impossível o seu uso. Reclamei na recepção e fui informado rapidamente de que todos os quartos têm o mesmo problema. Café da manhã ok no padrão da rede. Existem hotéis com melhor padrão na faixa de 200 reais em São Paulo (e mais próximos da Av. Paulista)."
ago. de 2022,4,Normal,"Categoria mais econômica da rede. Tem como diferencial esta referida unidade pela presença do metrô ser literalmente ao lado do hotel, sem qualquer distância física entre elas a não ser da porta da estação até a porta do hotel. Os quartos são básicos, bom para estadias curtas ou inesperadas, dentro do padrão da rede e principalmente da categoria do hotel. O quarto em que eu estive hospedado, o banheiro era separado.    O vaso sanitário em uma porta e na outra o chuveiro, um bom. Para os odores não ficarem concentrados em um mesmo local.    Porém, minha avaliação em quatro estrelas se dá pelo fato de que, da pequena mercearia que existe dentro do hotel, os preços são bons, mas há a obrigatoriedade de se ter que pagar na hora em que pega o produto, sendo algo muito, mas muito difícil para algum hóspede descer com o cartão de crédito, débito, dinheiro, ou até mesmo celular que contém cartão, já por estar dentro do complexo do hotel.    Poderiam estar revisando desta opção e, possibilitando, de que os hóspedes, devidamente identificados, possam criar uma conta dentro da sua estadia a serem pagas no checkin, se torna mais prazeroso, aumenta o consumo.    Fora isso, nada mais"
ago. de 2022,3,Custo-beneficio ok,"É uma opção bem ok. Entretanto, a estrutura dos quartos é bem mais ruim em comparação com outros ibis.  Boa localização e ótimo atendimento são os pontos positivos!  Vale o custo beneficio para estadias curtas."
ago. de 2022,4,Custo benefício,"Excelente localização, ali próx tem farmácias restaurantes, ""perto"" de tudo!!  Quarto, banheiro e ar condicionado ok.  Disponibilizam secador e chapinha na recepção e para passar roupa só ir num andar específico que lá fica a disposição ferro, tábua...  Funcionários solícitos, certeza que se precisar, eu volto!!"
