Data da opinião,Nota,Título,Conteúdo
nov. de 2022,4,Praticidade para uma noite rápida,"Primeira vez que fiquei nesse hotel. - VALOR: as diárias variam de R$ 300 a R$ 400, os quartos são todos bem parecidos, o que muda é a quantidade de camas. - LOCALIZAÇÃO: literalmente 3 minutos a pé do aeroporto de Congonhas. Você sai pelo local do check in da Latam e já pega a passarela em direção ao hotel, tem escadas e elevador. É muito mais rápido e prático que você pegar um carro/táxi pois tem que dar uma volta grande. Estava receosa quanto a segurança, mas a passarela é bem iluminada, sempre tem gente passando e foi tranquilo. Andei pela passarela às 22h e às 4h30 da manhã. - QUARTO/BANHEIRO: tive um contratempo pois ao entrar no quarto estava com muito cheiro de cigarro (apesar do hotel ser exclusivo para não fumantes), mas ao solicitar a troca de quarto fui…"
nov. de 2022,4,Bom custo x benefício pela localização.,"O hotel atende bem a quem precisa ficar uma ou duas noites em transito ou a trabalho. Boa localização, cama confortável, quarto espaçoso. Amenites muito fraco, sabonete sem cheiro e só dá para um banho, não tinha shampoo e nem toca de banho, travesseiro muito baixo."
out. de 2022,5,Conforto em Congonhas,Muito melhor que os Ibis Budget. Café da manhã delicioso e farto. Equipe pronta para ajudar e solucionar as questões. Lobby super moderno. Internet muito boa e estacionamento em frente com manobrista. O hotel fica - LITERALMENTE - em frente ao Aeroporto de Congonhas e você consegue acessar o aeroporto sem maiores problemas.
out. de 2022,2,"Acomodação precisa de renovação, não é confortável","A localização é ótima se precisa de estar perto do aeroporto de Congonhas - basta atravessar a avenida usando a passarela ao lado do hotel. O visual externo e a recepção são muito bonitos, têm a aparência de novo e moderno. Mas isso contrasta com a realidade da acomodação. Estive num quarto família - cujo tamanho é surpreendentemente amplo. No entanto, a impressão é que todo o acabamento utilizado tem qualidade inferior, totalmente diferente do que aparenta a entrada do hotel. As paredes, por exemplo, usam textura de chapisco rolado. A sensação no quarto é de estar numa pousada. Além disso, todo o mobiliário já tem sinais de desgaste e precisa ser reformado: mesa bamba, espelhos de tomadas amarelados, porta do box no banheiro que fecha com dificuldade, teto do banheiro sujo,…"
out. de 2022,5,Muito bom custo benefício,Pagamos 358 reais para uma noite com café da manhã. Quarto família (691) bem espaçoso. Bom café da manhã. Pagamos 45 reais por um buffet simples mas suficiente (crianças não pagam). Senti falta de copos no quarto e de um travesseiro extra. Copos tive que pegar no bar
set. de 2022,4,Excelente localização,"Excelente localização.  Bom café da manhã e jantar!  Tem ferro de passar roupa disponível em 2 andares no hotel, o que achei muito bacana, só não tem essa informação no site.  Só achei péssimo pra conseguir falar com alguém ligando para o número do hotel. Ninguém atendeu e eu tentei por varios dias antes de viajar."
ago. de 2022,1,Desrespeito e falta de conforto,"Já foi melhor, reservei um quarto parA 4 pessoas sendo q seria uma cama casal , uma solteiro e um sofá cama.  O ruiiiimmm de tudo que o sofá cama tem uma madeira no meio e arrebenta a coluna d quem usa. A gerência cara de que nada pode fazer e é isto , quando em família não se hospedar neste hotel . É sofrimento"
jul. de 2022,4,Localização top em hotel Ibis “raiz”,"Padrão Ibis em todos os aspectos: rapidez no checkin/checkout, sem burocracias de acesso, café da manhã com sabores “Ibis”, estacionamento a preço justo (diária a R$27 para hóspedes) e, o mais importante sobre esta unidade: está a apenas uma passarela de distância do aeroporto de Congonhas!  Perdeu uma estrela pois os quartos precisam de uma renovação no mobiliário (já desgastado, bancada solta…), banheiro (portas do box não fecham, chuveiro encardido de ferrugem…) e paredes pedem uma nova pintura."
jul. de 2022,1,péssimo,"minha reserva não dava direito a trocar de andar, fui no restaurante e eles não tinha troco e minha reserva não dava direito a anotar a despesa no quarto. solicitei minha bebida de boas vindas e também não tinha direito. ou seja, só por que fiz com bastante antecedência e estava com descontos, não tinha direito a nada. sem contar que esqueci minha jaqueta no quarto, no mesmo dia horas após o check out liguei e informaram que não encontraram nada. experiência horrível nesse hotel."
jul. de 2022,4,Bom Custo Benefício,"Pelo preço, achei excelente custo benefício. Quarto espaçoso, boa cama, excelente chuveiro. Nada a reclamar da limpeza. Café da manhã muito bom, com bastante variedade e qualidade. único ponto desfavorável foi que ficamos no 4º andar, de frente para 3 bares bem próximos, com música ao vivo até de madrugada. Isso dificultou bastante nosso sono."
