Data da opinião,Nota,Título,Conteúdo
nov. de 2022,1,Péssima experiência,"Como já relatado por muitos aqui, a experiência foi a pior possível. No café da manhã tive a pior experiência gastronômica. Comer uma coxinha com coca-cola na esquina torna-se uma ideia mais agradável inclusive. O ar-condicionado simplesmente não funcionava, acordei a noite suando de calor. Inclusive isso é bem relatado por aqui. Foi uma noite horrível. Nunca mais."
out. de 2022,5,"Íbis Burget é o melhor hotel com café da manhã em avaliar custo benefício, parabéns a equipe 👏🏻👏🏻👏🏻","Gostaria de agradecer ao funcionário Diego que atendeu e recebeu minha família com toda atenção e gentileza, resolveu durante o check-in um probleminha de quarto. Sou muito grata, ele merece nota 1000 como funcionário excelente. E o café da manhã está ótimo como custo benefício foi o melhor !!!!"
set. de 2022,5,Excelente localização,"Para quem gosta do centro histórico de São Paulo, ficar próximo a rua das motos na General Osório, Bar Brahma e estar perto dos acessórios vendidos na Santa Efigênia, o Ibis São João possui uma excelente localização além de um custo X benefício atrativo."
ago. de 2022,1,Pior experiência hoteleira.,Horrivel. Ar condicionado nao funciona e nao resolveram. Falaram que eu poderia sair caso eu achasse melhor. Isso as 2 da madrugada. Quarto mal limpo. Uma das piores experiência que tive em hotelaria. Não indico nem pra um inimigo. Falta de respeito mesmo.
ago. de 2022,2,Desleixos fundamentais.,"Sou, ou melhor, era hóspede constante desta unidade e sempre recebi o bom serviço Accor padrão, mas desta vez, foi horrível. Quarto sujo, limpeza precária, reaproveitamento de toalha que estava no chão para pisar, inaceitável. Quatro dias hospedado e em nenhum deles limparam o banheiro decentemente."
ago. de 2022,4,"Bom, mas com surpresas",Recepcionistas Fantásticos - Seguranças bem orientados e pró ativos. Acomodações ótimas. Já é a terceira ou quarta vez que ficamos neste hotel. O que nos causou surpresa foi o atendimento do restaurante. Má vontade e falta de preparo. Fomos em um grupo de 20 pessoas e todas reclamaram.
jul. de 2022,3,Detalhes fazem a diferença,"O hotel é muito bom, precisa do apenas melhorar na questão da limpeza e arrumação. Sai pela manhã e quando retornei no final do dia, percebi que o chão estava sujo e as toalhas foram retiradas e não foram colocadas outras limpas, infelizmente."
jun. de 2022,1,DEPRIMENTE !!!,"Outra péssima experiência com o Ibis.    É tanta coisa pra falar desse hotel, que nem sei por onde começar, mais vamos lá.    O primeiro ponto que mais chama a atenção, e de forma negativa claro, é a localização, pois o hotel está na cracolandia, praticamente impossilitando qualquer saída noturna.    Segundo ponto negativo, são os quartos, o que que é aquilo, são feios, escuros, mal cuidados, a privada estava com vestígios de urina de outro hóspede e para usar passei álcool em tudo, tinha manchas na parede e no teto do banheiro. Nessas minhas andanças, nunca tinha visto um hotel com cama de beliche sobre a cama de casal.    Outros pontos negativos:  - Passa muito som de outros quartos e do corredor.  - Janela nâo veda totalmente o som da rua mesmo estando em mandar mais alto.  - limpeza deixa e muito a desejar, o chão dos corredores que é coberto de carpete é sujo, da pra ver até tufos de cabelo.  - Café da manhã é o básico do basico.  - alguns funcionarios mal-educados e sem paciência para atender.  - as mesas do restaurante ficam sujas desde o café da manhã.    Ponto positivos:  - wifi bom  - chuveiro esquenta bem e tem boa pressão."
jun. de 2022,4,Satisfação !,"Hotel atende a proposta! Limpo , bom atendimento , café da manhã satisfastorio , boa localização ! Chuveiro maravilhoso !  Único ponto negativo : falta ducha higiênica no banheiro . Já me hospedei outras vezes e voltarei a me hospedar lá ! Recomendo!!!"
mai. de 2022,3,O Atendimento foi a salvação.,"Eu posso dar nota 10 para o atendimento de todos, a gerente foi espetacular ao lidar com a péssima infraestrutura dos elevadores que eles projetaram lá. Por causa disso, precisei usar as escadas para subir e descer 11 andares (sem contar mezanino etc.). Tendo eu problemas de coluna, é inaceitável. O meu consolo realmente foi o atendimento da Gerente Daniela Almeida. Inadmissível a Rede Accor não ter pensado em projetar um elevador auxiliar em outra parte do prédio, para atender em casos de emergência como o ocorrido na primeira semana de Maio22, quando eu estava hospedada. Inadmissível. Fique frustrada, especialmente porque sou/era uma hospede contumaz da unidade São João."
