Data da opinião,Nota,Título,Conteúdo
set. de 2022,5,"Boa localização, excelente atendimento - Padrão ibis","Fiquei por apenas 1 noite, me atendeu super bem, achei com uma boa estrutura. Funcionários bastante educados e prestativos. Tem um bar/pizzaria no térreo que parece ser muito bom. A localização foi ótima para o objetivo da minha viagem. Achei os quartos bem espaçosos, só os travesseiros que era bem ruinzinhos, mas para uma noite não prejudicou meu sono. O café da manhã é suficiente, atende muito bem. Adorei os pain au chocolat. Rápido check-out."
set. de 2022,5,Eficiência,Gostaria de Parabenizar as atendentes que foram super prestativa atenciosas devido ao atendimento com certeza voltarei a me hospedar acredito que um bom atendimento faz uma grande diferença notei que os atendentes estão super capacitados para resolver qualquer que seja a situação do cliente. Não consigo agora lembra da atendente porque após ao meu retorno fiz um procedimento cirúrgico e não consigo lembra dela mas pelo sistema encontrará quem me atendeu queria parabeniza lá se todas empresas tivesse uma funcionário nesse nível de competência dificilmente teria reclamações.
ago. de 2022,5,Restaurante Sponta muito bom e estrutura de hotel de categoria superior,"A experiencia foi ótima, principalmente pela quebra de expectativa (positiva). A grande vantagem dos hotéis de rede é já sabermos o que vamos encontrar, mas o Ibis Barra Funda entrega mais do que o padrão Ibis oferece. A academia é muito boa, inclusive tão boa quanto alguns hotéis da categoria Premium e o restaurante Sponta muito bom. Sobre o atendimento, foi muito bom, principalmente o pessoal do restaurante Sponta e café da manhã (todos), a Helena e a Martinha (espero não ter errado o nome). Certamente será uma boa opção quando eu precisar me hospedar na região."
jul. de 2022,5,Loja,"Ainda não foi possível avaliar, acabei de chegar, portanto seria impossível falar sobre o o que o que o hotel tem de bom e os pontos a serem melhorado. Um ponto desfavorável é na ter serviço de quarto"
abr. de 2022,4,Ótimo custo benefício,"O hotel é bem bonito, ótima localização, próximo de metrô. Tem um bar bem agradável e o café da manhã estava delicioso, inclusive com uma máquina de fazer sucos e ingredientes para que cada pessoa fizesse seu próprio suco personalizado. O quarto era confortável e bem limpo. É um quarto pequeno mas com ótimo espaço, cama confortável, espaço para guardar roupas, mesa para trabalho. O chuveiro era muito gostoso. O atendimento segue o padrão Ibis de qualidade e foi uma ótima estada."
abr. de 2022,4,Ótima localização,"Muito bem localizado, padrão Ibis, conforto razoável,café da manhã legal e muito próximo aos locais das feiras, Expo Center Norte e Anhembi. Tem uma bar ao lado com boa comida e cerveja gelada. É uma ótima opção na região. Atendimento cordial."
mar. de 2022,5,Otima hospedagem,"Foi minha quarta vez hospedando no hotel e amei mais uma vez! Se você gosta de um hotel tranquilo, com otimo custo e bem localizado. Este é o ideal hotel para quem vem a trabalho, ou ir para algum evento na cidade de Sao Paulo. Amei."
mar. de 2022,5,perfeita,"perfeito custo beneficio,hotel a menos de 1km do restaurante coco bambu,perto do centro de convencoes anhembi ,funcionarios atenciosos,cafe da manha delicioso,pizza de calzone do hotel deliciosa.em fim muito agradecido"
nov. de 2021,5,Negócio,"Excelente semana, obrigado por tudo que foi feito por mim, que Deus continue abençoando sempre este estabelecimento, o nosso dia seja abençoado pra aproveitar está hospedagem e que Deus continue abençoando esse estabelecimento"
nov. de 2021,5,Excelente!!!,"Me hospedei para um evento de negócio por 2 dias, o quarto estava muito limpo, os funcionários atenciosos e um excelente café da manhã, a decoração de muito bom gosto. Achei que o custo benefício valeu muito a pena."
set. de 2021,5,Ótimo,"Ótimo Atendimento , check in e check out rápido e eficiente! Limpeza do quarto e hotel muito bom ! Bar e restaurante do hotel, muito bom e rápido . Viajamos em família, e fomos muito bem recebidos . Voltarei com certeza"
set. de 2021,2,Péssima experiência,"Nessa última hospedagem ocorrida no mês de setembro (que deveria ser de 9 dias e saí antecipadamente) fui distratado duas noites seguidas pelo manobrista do hotel.  Além da falta de educação, falta de trato com o hóspede, ficava encarando com ar ameaçador e debochando junto do segurança do turno.  Embora o hotel seja OK e o restaurante (para jantar) muito bom (Duda), não recomendo essa unidade. O café da manhã, nesse período, não justifica os R$ 32 cobrados. Existem opções melhores na região.  Ante a postura incomum desse manobrista fiquei com medo de pegar o carro danificado (o que não aconteceu)."
ago. de 2021,5,Ótimo.,"A hospedagem é bastante organizada e aconchegante. A decoração é bem moderna, o que contribui para um ambiente aconchegante e o atendimento foi bastante satisfatório, os funcionários bastante cordiais e atenciosos."
ago. de 2021,4,Boa relação Custo-benefício se reservar em dinheiro!,"Programa de Fidelidade:    Me hospedei com pontos All Accor e acredito que a cotação não fica muito boa comparando que 2.000 pontos deveriam equivaler a 40 euros. Talvez seja melhor negócio reservar pela booking mesmo. Além disso, a flutuação de valores que ocorre na booking (um dia 173 e outro 240) não acontece no Accor, que mantém a precificação mais alta um pouquinho. Resumindo: na conversão não é tanta vantagem. Melhor pagar em dinheiro e usar a pontuação pro All Limitless.  Ainda quanto ao fidelidade: O preço em pontos já deveria constar na reserva do aplicativo/site, pois a conversão no balcão da recepção não favorece o direito à informação clara e precisa que aduz o Código de Defesa do Consumidor.    Quanto às instalações:  Quarto excelente, bom tamanho, confortável, banho delicioso, rouparia de boa qualidade. Como fazia muito frio, pedi cobertor a mais, o que me foi entregue com presteza e cordialidade.  O que fez um pouco de falta foi ter ar-condicionado que esquentasse, pois como me foi informado O AR SÓ FUNCIONA PRA RESFRIAR O AMBIENTE. Então, considerando que saí de um clima de 38 graus, sofri um pouco até conseguir aclimatar pra sair do banho e ter um sono de qualidade.    O telefone do quarto (canal pra recepção) não funcionava direito, mas trocaram imediatamente.    Localização excelente para transitar até os pontos centrais de SP.    Ponto extra para o atendimento dos funcionários, em especial para um recepcionista com dread no cabelo, o qual foi durante toda a estadia muito cordial, prestativo e educado. Excelente profissional!"
