Data da opinião,Nota,Título,Conteúdo
10 de dez.,1,Com certeza será a pior experiência da sua vida,"Se não valoriza seu sono, este é o local ideal para se hospedar, começando por um heliponto que existe em frente e funciona 24hs, além disso as janelas são horríveis e não reduzem o barulho externo em nada, então vai ouvir o trânsito intenso de São Paulo que começa bem cedo. O quarto não tem conforto algum, cama dura, o travesseiro parece ter plástico, então além de desconfortável faz um barulho infernal, confesso que foi mais fácil usar a toalha como travesseiro que usar aquilo. Nem pensem em ligar o ar condicionado a não ser que tenha costume de dormir com o barulho de uma britadeira. É impossível dormir com o barulho daquele ar. Além disso fui incomodado por diversas vezes por outros hóspedes tentando abrir a porta do meu quarto por estarem enganados de quarto, numa única…"
nov. de 2022,5,Experiência Positiva,"Gostaria de registrar minha ótima experiência com serviço rápido , eficaz e limpo. Um elogio especial ao colaborador Italo da recepção que além de muito simpático e solícito, forneceu todas as informações que eu precisei com carisma e atenção. Colaboradores assim humanizam a estadia e fazem a diferença! Recomendo Go inn Jaguaré! Sugestão: colocar a poltrona massageadora na ante sala mais reservada, ficamos tensos com o alto fluxo do elevador e não relaxamos o suficiente."
nov. de 2022,3,Barulhento,"O Edifício fica ao lado de um heliporto e o lado par fica de frente para esse local. O barulho 'e bem alto mesmo com as janelas fechadas. Sugiro a quem for se hospedar escolher os andares mais altos do lado ímpar. O café da manha é bem servido e com bastante variedade de pães, cereais, proteínas e frutas."
nov. de 2022,2,A falta de manutenção vai fechar este hotel,"Já conhecia o hotel de outras oportunidades, mas agora, com a economia porca que a administração adotou, é para afastar qualquer hóspede. A limpeza do quarto não foi feita, e consequentemente, não houve troca de toalhas. Ao comentar no check out, fui informado de que tanto a limpeza quanto a troca de toalhas deveriam ser solicitadas pelo hóspede. Não existe nenhuma informação no balcão, e também não nos foi informado deste procedimento em nossa chegada. Em tempos de Covid, fica fácil espalhar cartazes pelo hotel, e mais fácil ainda não fazer o básico com relação a limpeza. Não volto mais."
out. de 2022,4,go inn - cirque di soleil,"Hotel no geral é muito bom, camas boas, café da manhã com várias opções e incluído no valor da diária. Pães, bolos, suco de laranja, ovos mexidos, frios todos frescos e com bastante reposição. Acredito que no final de semana por causa do circo estava lotado, mas mesmo assim não faltava nada. Os quartos são de bom tamanho, com camas boas e travesseiros confortáveis. Atendimento legal por parte de todos, um senhor que acredito ser o gerente, as moças da recepção e também o pessoal do estacionamento. Pedimos mais toalhas e travesseiros e rapidamente levaram pra gente. Secador do quarto não estava funcionando, avisamos e foi colocado um novo. O barulho da rua não atrapalhou o sono e apesar de ter um heliponto perto, só ouvi durante a manhã. Para quem vai até o Villa Lobos ver o…"
set. de 2022,4,Bom custo benefício,"Hotel muito bem localizado, bom custo benefício . Estacionamento pago, mas dentro do hotel. Atendimento excelente no Checkin. Ponto negativo. A região é movimentada e há muito barulho de trânsito . Imprescindível a instalação de janelas anti ruído ."
ago. de 2022,1,PÉSSIMO HOTEL,"Péssimo hotel. Já começa pelo atendimento das pessoas no check-in que falta cordialidade e qualidade. Não fazem a mínima questão de te ajudar e havia um erro na minha reserva que me deixou uns 15 minutos esperando. No quarto que é bem pequeno, o barulho da marginal e dos helicópteros é infernal. Você não consegue dormir pois as janelas não são acústicas e além do barulho, passa vento pelo ar condicionado que é daqueles antigos. Tentei trocar o meu quarto e mais uma vez a recepcionista voltou ao péssimo atendimento de antes. Não reservem este hotel."
jul. de 2022,3,MÉDIO MÉDIO,"cama boa e quarto pequeno, mas jeitoso, de resto muito médio, banheiro pequeno, para low budget hotel é ok, mas não é central e muitos quartos por andar que resultam em barulho. E o café da manhã frugal."
jun. de 2022,4,Ótimo hotel,Hotel com ótimo atendimento e excelente acomodação. Cama muito confortável. Barulho um pouco excessivo. Isolamento acústico para outras acomodações insuficiente. Local com bastante barulho externo também.
jun. de 2022,3,Esperava mais,"Café da manhã simples, razoável. Pão de queijo e pão francês duros. Quartos sem nenhum isolamento acústico, da pra ouvir todo o movimento da rua e do heliponto em frente ao hotel, péssimo pra dormir. Cortinas não fazem blackout completo e quarto fica super claro pela manhã cedo. Cama super confortável e chuveiro gostoso, únicos pontos positivos. Sem opção de alimentação fora o café da manhã e nada próximo."
