Data da opinião,Nota,Título,Conteúdo
uma avaliação Ontem,5,EXCELENTE,"Hotel lindo, excelente localização, facil acesso. Quartos confortáveis, banheiro limpo, roupa de cama e toalhas muito bons. Destaque especial para o café da manhã espetacular com opções saudáveis, ilha de tapioca, omelete feitos na hora! Almoço executivo de ótimo custo e delicioso. Recomendo muito!"
jun. de 2021,5,Melhor Omelete do Brasil!,"O Vanderlei da cozinha prepara simplesmente O MELHOR omelete que já comi nesse país. Passei por 22 estados da federação e já fiquei em mais de 500 hotéis diferentes, o omelete dele é imbatível! Parabéns ao Vanderlei, vale uma promoção a ele. Profissional de mão cheia, valorizem seu capital humano."
uma avaliação Ontem,5,Café da manhã espetacular,"Hotel ótimo! Me surpreendi positivamente com o delicioso café da manhã. O Alex da live kitchen tem um atendimento excelente, além de fazer a melhor tapioca que já comi na vida. Hotel com instalações novas e Reformadas! RECOMENDO!"
22 de dez.,5,"Comida excelente, atendimento excelente","Comida excelente,com um excelente cozinheiro. Alex,nos proporcionou um incrível experiência sensorial de sabores. Atendimento de alto nível,com acomodações extremamente confortável e aconchegante. Hotel Holiday lnn nota 10 em excelência."
22 de dez.,5,Hotel Holindy Inn,"O Hotel possui ótimas acomodações, boa variedades de comida mais o principal é a educação e treinamento que os funcionários possuem, foi surpreendido hoje no café da manhã pelo chefe de cozinha Alex um profissional muito educado e carismático sem falar da omelete e tapioca nota 1000 que preparou! Fica aqui meus parabéns Alex obrigado pela experiência"
19 de dez.,5,Hotel maravilhoso,Hotel muito confortável. Todos os colaboradores muito simpáticos e atenciosos. Alex e Vanderley que fazem a melhor tapioca e o melhor omelete . Café e Almoço com muitas opcoes. As meninas que mantém nosso quarto impecável. O pessoal da recepção. Não tenho nada a reclamar. Serviço perfeito.
15 de dez.,5,Estão de parabéns!,Hotel excelente! Equipe cordial e atenta! Café da manhã espetacular! Principalmente a tapioca feita pelos chefes Vanderley e Alex! Assim recomendo o hotel em todos os momentos! Parabéns! 👏👏👏👏👏👏👏
12 de dez.,4,Boa localização,"O hotel fica próximo ao Terminal Tietê e dentro do complexo do Centro de Convenções do Anhembi, o que facilita muito para quem trabalha ou visita algum evento realizado por lá. Café da manhã muito bom e variado, com um ótimo atendimento e profissionais prestativos."
10 de dez.,5,Melhor tapioca da zona norte de SP,"O melhor café da manha, mas o ponto ápice foi a tapioca especial do Alex e Vanderley! Além do sabor, o capricho deles no preparo fez toda diferença! Já comecei o dia feliz com a animação deles! Fora isso, o café tem muitas variedades. Frutas, pães e doces!"
9 de dez.,5,"Estadia sem problemas, hotel atende tudo muito bem!","Estadia muito boa no hotel, gostaria de destacar o atendimento do Alex e do Vanderlei na parte de tapioca e omelete no café da manhã, opção diferenciada para o início do dia e ambos preparam as duas opções com perfeição!"
7 de dez.,5,Ótimo,"Ótimo atendimento e arrumação do quarto, feita pela Juliana que deixou o quarto impecável, indico o hotel e a arrumação feita, a Juliana foi muito atenciosa, com eficiência e simpática, gostei do atendimento"
3 de dez.,5,Tudo muito bom!,"Hotel espetacular, café da manhã é surreal de tão bom. Os quartos muito bem limpos e arrumados, Carolaine foi perfeita! Os detalhes do atendimento em todos os setores que usufruirmos foi excelente!!!!"
nov. de 2022,5,Me senti em casa!,"A acomodação e a estrutura do hotel é sensacional, e o ponto alto foi o atendimento de todo staff. Foi tanta atenção, respeito, sorrisão no rosto que já estou sentindo falta de estar lá! Vontade de ficar com aquele galera querida... Café e almoço super variados com o preço super justo. Quarto super limpo, reformado... tudo impecável. Ainda que nesses dias que estive hospedada, tinha mais de 1000 atletas paraolímpicos também hospedados e mesmo assim o atendimento foi surreal! Atenção e sorriso realmente é a marca de vocês. Gratidão por isso! Já tenho hotel certo para voltar a cada vez que tiver em SP!"
nov. de 2022,5,Hospedagem Maravilhosa,Ambiente super aconchegante e acolhedor. Café da manhã delicioso. Equipe preparada e muito receptiva. Espaço de eventos super confortável e ao lado do hotel. Amei o carinho que a camareira cuidou dos detalhes. No meu apartamento quem cuidou de tudo foi a Juliana. Toda equipe de parabéns!
