Data da opinião,Nota,Título,Conteúdo
out. de 2022,2,Apenas queria relaxar como uma pessoa normal de um dia de trabalho duro,"Frequentei o Hotel inicialmente em Festas de Família, depois com meu marido no restaurante da cobertura, porém recententemente retornei em 3 ocasiões ao Hotel e não tive boas experiencias. Ontem 10/10 foi a minha última estada no Hotel, cheguei sozinha e fui tomar uma bebida e comer um amendoim. Até aí foi excelente, pessoas ótimas me atenderam, porém, ao solicitar um serviço simples, começou uma sucessão de desrespeitos da equipe administrativa. Segundo os funcionários, o Hotel não dispunha de carregamento de celular e como era importante para mim falar com uma pessoa, tive que pedir a conta para ir embora. Deste momento em diante fui maltratada pelo corpo admirativo e julgada por minha estada lá e por minha conduta, nunca pensei passar por isso num hotel renomado e que deveria…"
jul. de 2022,5,Superou mto minhas expectativas!,"Um hotel lindo, com um restaurante espetacular, uma piscina e vista incríveis! Meu marido e eu fomos pra comemorar nosso aniversário de casamento e posso dizer com toda certeza q foi uma das melhores estadias que já tive na vida. Vale cada centavo. Funcionários extremamente educados. Eles mimam mto seus hóspedes, em todos os detalhes! Desde a chegada com uma taça de champanhe de boas vindas, suíte extremamente limpa e aconchegante, ainda ganhamos sobremesa, chinelo e late check out de cortesia. Melhor café da manhã de hotel é do Unique! Saímos de lá com vontade de ficar mais. Com certeza voltaremos! Simplesmente perfeito!!"
jul. de 2022,5,Arquitetura e conforto,"O hotel é um ícone arquitetônico de São Paulo e até mesmo da América Latina. Além dos quartos amplos e bem decorados, o hotel possui fácil acesso a tudo em São Paulo, além de ter um ótimo restaurante no rooftop, dica especial é pedir a pizza de marguerita!"
abr. de 2022,4,Problema no café da manhã 🥣,"Não gostamos do atendimento no café da manhã. Não havíamos assinado o papel que registrava nosso consumo, imaginando que já estava registrado pois informamos o quarto na chegada, e fomos pegar o elevador pois tínhamos compromisso. Nisso veio um funcionário gritando e fazendo escândalo ""estão saindo sem pagar, estão saindo sem pagar"". Constrangedor. Tentamos não deixar isto estragar o final de semana, pois estávamos comemorando uma data especial. Mas temos de registrar aqui: o café da manhã não vale os 125 reais conbrados por pessoa. Um funcionário estragou a experiência e a avaliação do hotel, parabéns."
mar. de 2022,5,Experiência memorável,"Essa foi a minha segunda vez no Unique e só tenho elogios a fazer. Desde a recepção (Nina, que nos recebeu há 5 anos atrás, nos atendeu novamente de forma impecável). Um agradecimento especial à incrível equipe que nos recebeu com tanto carinho e paixão no restaurante: Fátima e Andreza. A atenção e cuidado com detalhes delas é excepcional tornando nossa estadia especial. Todos os aspectos do Hotel vão além das expectativas. Além disso, a equipe do spa Caudalie foi incrível: Gorete e Rosangela fizeram uma massagem memorável. Eu e minha esposa apreciamos muitíssimo nosso aniversário de 5 anos juntos."
mar. de 2022,4,"Hotel muito bom, recomendo.","Como sempre faço, consultei meu agente de viagens da Elite Resorts, e a indicação não poderia ser melhor. O hotel Unique oferece uma excelente estrutura e serviços de primeira, com destaque para o restaurante do terraço, com uma piscina incrível. Recomendo demais."
fev. de 2022,3,"Bom, mas esperava mais...","Staff muito atencioso e cordial. Instalações bonitas e modernas. O diferencial é a famosa piscina e a vista que se tem de Sampa. Pontos a melhorar : as janelas não são a prova de som e estar de frente para a Brigadeiro, com muito ônibus para quem tem sono leve como eu é um problema. Pela categoria do hotel deveriam investir nisso, para mim foi um ponto bem negativo. - Tive que ligar para limpar o meu quarto, coisa que em outros hotéis na mesma categoria nunca aconteceria. - Uma camareira entro no meu quarto enquanto me vestia, sem bater ! Isso imperdoável ! De verdade escolhi para passar meu aniversário e esperava mais..."
jan. de 2022,5,Nota 10,Passei uma diária hospedado no meu aniversário e adorei. Não saímos do hotel e aproveitamos tudo o que ele tinha a oferecer. Restaurante Skye sensacional. Piscina interna também. Não usamos a externa pois estava frio e chovendo. Vale a experiência
nov. de 2021,5,Quase perfeito,"Experiência de luxo, onde o ponto forte é o serviço, impecável. Todo o staff pronto sempre a lhe mimar e atender todos os seus pedidos. Uma aula de customer experience, acima de tudo. Os únicos pontos a melhorar são o sinal de Internet que, nos dias que ficamos oscilou muito, e o café da manhã, que pecava pela repetição dos itens, e por pequenos detalhes, como pães frios, poucas frutas, que acabam ficando abaixo da expectativa."
nov. de 2021,3,"Bom, mas esperava bem mais","O hotel é lindo, quarto uma delicia e a arquitetura não tem o que falar, maravilhosa. Também adoramos a piscina interna, uma delica. De modo geral ficar hospedado lá é uma experiencia. Porém, pelo preço que cobram e por ser um hotel tão conhecido para noivos, nós esperavamos muito mais. Passamos a noite de nupcias lá e esperava algo especial. Fomos recebidos apenas com uma taça de champagne e uns balões. Tudo era cobrado extra, até a sandalia do quarto tinha preço se quisesse levar. Esperava que tivessem mais ""mimos"" e que o hotel, por ser tão famoso nisso, preparasse algo bem mais especial. Minha irmã teve muito mais ""mimos"" quando foi passar aniversario de namoro há um tempo atras, a gente, que comemorou o dia do casamento, não teve quase nada de especial, comparando com a…"
nov. de 2021,5,Fantástico,"Equipe atenciosa e muito prestativa . Espaço da piscina e restaurantes muito aconchegante . Suíte sem comentários, incrível e uma banheira que te permite abrir ao lado da cama. Café da manhã diferenciado e muito bom gosto. Parabéns, um dia melhores hotéis de São Paulo"
out. de 2021,5,Excelente estadia,"Estadia excelente em hotel icônico. Ótima localização, limpeza nota 10, confortável. Pessoal muito competente, gentil e atencioso faz toda a diferença. Todos te tratam pelo nome e não poupam esforços para lhe atender extraordináriamente bem. Fátima e Eliane no Sky, obrigada pela gentileza. Samuel no Concierge, perfeito! Obrigada pela reserva no restaurante, por toda ajuda e atenção!"
out. de 2021,5,Experiência incrível!,"Adorei o hotel Unique. A primeira impressão é dada pela imponência de seu prédio, uma obra arquitetônica fantástica, com uma decoração linda e requintada. Mas preciso destacar a PRINCIPAL riqueza do hotel, que são os funcionários, um grupo de pessoas gentis, solícitas, simpáticas e prestativas, num grau que vai além da competência profissional, fazendo-nos sentirmos em casa. Aproveito para elogiar a comida do restaurante, com pratos diferenciados e um sabor delicioso. Recomendo muito!!!"
out. de 2021,5,Hospedagem no Unique em 08-12/10/2021,"Novamente nos hospedamos nessa maravilha de hotel, aonde tudo e todos trabalham para fazer da experiência algo único e memorável. Em especial a equipe ultra profissional, dedicada e extremamente atenciosa. Alguns highlights incluem o excepcional café da manhã, a piscina ""roof-top"" mais descolada de SP, o restaurante e bar Skye, a qualidade da comida e o ambiente e ambiance de luxo e modernidade. O destaque maior são os hosts: Fátima, Edinalva, Nádia, Andrea e outros que tudo fazem para nos agradar. Espetacular, excepcional!"
