Data da opinião,Nota,Título,Conteúdo
15 de dez.,4,"Hotel com localização maravilhosa. Café da manhã perfeito e área de café muito bonita. Ganhamos welcome drink, adorei!!!","Hotel com localização maravilhosa. Café da manhã perfeito e área de café muito bonita. Ganhamos welcome drink, adorei. Fomos não nessa data marcada, mas em um carnaval passado, fazendo reserva de última hora e tudo estava maravilhoso, sem defeitos."
jun. de 2022,5,Excelente hospedagem,"Ótimas instalações e localização excelente. Equipe atenciosa e farto café da manhã. O hoel fica numa zona de pouco movimento de tráfego, próximo a estação de metrô. A região tem muitos bares, restaurantes e lojas."
jun. de 2022,4,Bem confortável,"O hotel fica muito bem localizado, além de ser muito confortável. Os colaboradores são muito atenciosos e prestativos. Apenas o café da manhã que, pelo nível do hotel, não corresponde muito, tendo apenas o trivial de qualquer hotel. Mas ainda assim, o recomendo muito."
jun. de 2022,3,Bem localizado,"Bem localizado pertinho do metrô Clínicas. Ótimo custo benefício porém atendimento pelos funcionários na recepção poderia ser melhor. No Check in fui atendido com descaso pela recepção. Higiene dos quartos é adequada, nada excepcional."
jun. de 2022,5,"Conforto, atendimento e localização excelentes","O conforto da cama King Size, o café da manhã super farto, de excelente qualidade e sabor, me supreenderam depois de ler tantas críticas. Deixo o meu elogio especial ao Igor e ao Joel que não pararam de repor todas as estações do café da manhã (mesmo cheio, não deixaram faltar nada em nenhum momento, sendo super rápidos e simpaticos), me chamou tanto a atenção da dedicação, que perguntei o nome deles. A parte de fora do café da manha com um jardim incrível, com barulho de riacho, tambem foi ótimo. A localização é excelente as camareiras, os manobristas e os recepcionistas sao muito simpáticos. Quarto super limpo e confortável. Entrou pra minha lista de preferidos."
jun. de 2022,5,O melhor custo benefício,"Hotel fica em uma localização privilegiada, o preço da estadia é muito honesto, a qualidade do Hotel, dos quartos e dos serviços é ótimo. Em São Paulo é onde procuro me hospedar. E o atendimento dos funcionários é espetacular!"
jun. de 2022,4,"Não tem aquecedor nos quartos, no frio incomoda bem","Não tem aquecedor nos quartos, no frio incomoda bem e da pra ouvir barulho de outros quartos facilmente. Academia só tem duas esteiras, então não é bem uma academia, produtos de quarto também são bem inflacionados, o bom que tem um supermercado do lado"
jun. de 2022,4,"o hotel é muito bom, porem.","O hotel é excelente, a localização é otima, o check-in foi o mais rapido que ja fiz na minha vida, os funcionarios são bem treinados, muito educados e solícitos, desde a recepção até o pessoal da limpeza. precisa melhorar na limpeza, achei alguns locais com mofo no banheiro."
jun. de 2022,5,Muito satisfeito,"Muito confortável e num preço justo. Passamos um final de semana complementando uma viagem de Bodas de Prata e fechamos muito bem no Quality Suítes. Muito bem localizado. A única ressalva era a acústica dos quartos, você escutava barulhos no corredor."
jun. de 2022,5,Excelente,"Hotel com espaço, conforto, excelente cafe da manhã perfeito para passar uma semana de negocios em SP. Custo benefício excelente. Ponto negativo - esse espaço pra feedback te obrigar a escrever 200 caracteres, quase desisto."
