Data da opinião,Nota,Título,Conteúdo
14 de dez.,5,Pessoas fazem a diferença,"Atendimento impecável. Equipe da recepção super atenciosa. Os quartos do 13 andar são excelentes. Música ao vivo a noite. Café da manhã muito bom. Localização muito conveniente, dentro do complexo do D&D shopping de decoração. Uma estadia realmente excepcional."
jul. de 2022,5,Excelente hotel,"Um hotel que possui tudo dentro dele em termos de evento, culinária e até mesmo o shopping de decoração e arquitetura. Experiência única fica e ter a vista de São Paulo, quartos amplos, café da manhã excelente e equipe muito cordial como a rede já está acostumada!"
14 de dez.,5,Sheraton DD São Paulo,"Hotel muito bom, area de acesso fácil de carro ou caminhando bastante opções no entorno, pessoal muito gentil, instalações ótimas, processo de atendimento ágil, ótima área da piscina e bom restaurante do hotel"
nov. de 2022,5,Espetacular,Melhor hotel de SP O café da manhã top demais Os funcionários muito educados A limpeza nota mil Localização esplêndida Conforto dos quatros E ainda a academia super equipada Desejo voltar em breve e usufruir dessa maravilhosa experiência novamente ! Super indico !!
out. de 2022,3,Não vale o custo/benefício.,"Hotel bastante caro para o que retorna, sendo ruim a relação custo/benefício. Quartos bons, serviço somente básico. Café da manhã não incluído, numa diária de valor bastante elevado. Não forneceu taças adequadas, quando solicitado. Enfim, não espere receber o quanto pagou."
out. de 2022,4,Ótima experiência,O pessoal do hotel fez de tudo p me dar um atendimento diferenciado. quarto olhando p a ponte/ com tomadas perto da cama /upgrade / HH no clube do 15th andar . Foi show ! A Cris e o Ade foram ótimos !
out. de 2022,5,Evento em hotel,"Gostaria de deixar minha avaliação para o trabalho e empenho da equipe do hotel que nós salvou em evento que estávamos organizando, obrigada ao gerente Lindoval e aos incríveis profissionais Renato e Helio pela empatia e disponibilidade em nos atender da melhor forma e resolver nossos [problemas]. São realmente pessoas diferenciadas e de alta performance minha Eterna gratidão 🙏🏻"
out. de 2022,5,Reunião ABRACASE,"Muito bom o espaço e atendimento nota 10, recomendo o hotel Sheraton Wtc em São Paulo. Ótima localização com acesso as principais avenidas em tempo pequeno. Quero agradecer pelo atendimento e receptividade"
out. de 2022,4,Bom conforto hotel de negócios,"Hotel dento de padrão 5 estrelas , apto andar executive estão reformados, cama e toalhas boas, tamanho razoável inclusive do banheiro. O ar condicionado é antigo e liga e desliga o tempo todo, qualidade sono fica ruim. Local dentro de shopping e centro de convenções o que facilita muito."
out. de 2022,5,Atendimento,"Atendimento excelente e muito atencioso da Keit, da Michele e do Nelson!    Tornaram nossa experiência muito mais fluida e maravilhosa!    Nós da Smart Money Education vamos adorar continuar a ser atendidos por estes profissionais!"
out. de 2022,3,Atendimento muito bom hotel antigo,"Funcionário Felipe maravilhoso. Alegre, solicito e muito educado. O quarto que ficamos era velho e cheirava mofo. Fiz uma avaliação breve e no mesmo dia ele providenciou outro, melhor. Tem um bar com bom atendimento. Xxxxxxxxxxxxxxxxxxxcccccccccccccccccccvvv"
set. de 2022,5,Excelente hotel,"Hotel excelente em São Paulo. Acomodações limpas, bem conservadas e aconchegantes. Fui acomodado em um quarto Executivo, com uma vista sensacional para Ponte Estaiada. Funcionários extremamente educados e atenciosos. Ótimo serviço de room service, bar e restaurante. Recomendo um drink no bar do lobby, ao final do dia, com som de rock clássico. Academia muito bem estruturada, bem como espaço da piscina. Ponto forte é a localização, está dentro do WTC, um complexo com shoppings, centro empresarial e centro de convenções. Próximo ao aeroporto e vários pontos de interesse da capital. Sem dúvida uma ótima opção de hospedagem em São Paulo."
ago. de 2022,5,mais do que excelente!,"o serviço e a atenção é algo que não encontrei em muitos hotéis do mundo e viajo muito a trabalho. O tratamento de todos os funcionários do Sheraton foi incrível, qualquer preocupação e solicitação eles fizeram sem hesitação. Volto sem dúvidas!"
ago. de 2022,4,"Muito bom, mas podia ser melhor!","Fui bem tratado e bem atendido pela equipe do hotel. O Fitness Center é espetacular, assim como o café da manhã. O hotel é grande e bem localizado. Apenas não dei 5 estrelas pois achei as acomodações antigas e o meu quarto não era bonito. O custo benefício, nesse caso, fica um pouco a desejar. Preços bastante salgados."
ago. de 2022,5,Visita,"Gostamos muito do hotel e da experiência. A Mariana foi uma funcionária muito simpática que nos atendeu super bem e deixou o quarto impecável. Gostamos também do café da manhã, ambiente muito bom. Ter um shopping no hotel é um diferencial. Obrigada."
ago. de 2022,2,Hotel de programa? Um Sheraton?,"Uma vergonha o que se passa no bar do hotel todas as noites, com garotas esperando clientes à vista de todos. O bar fica na entrada por isso é impossível evitar.  Não pode acontecer num hotel desta categoria.  Tudo o resto é muito bom, excelente café da manhã e pessoal muito simpático."
jul. de 2022,5,Encontro de amigos 🇧🇷 🇺🇸,"Hotel magnífico recomendo muito, sem dúvida nenhuma o melhor que já conheci, parabenizo toda equipe pelo ótimo trabalho, cortesia, agilidade e profissionalismo, em especial para o Gustavo da recepção."
jul. de 2022,2,Avaliação Hotel,"Atendimento forçado pela recepção logo na chegada, os valores cobrado por pet custa 350.00 + 50,00 a diária ou seja 400,00 em apenas um dia.e problemas com Lounge do hotel, atendimento ruim. Sem grandes produtos durante o dia."
jul. de 2022,5,Sheraton impecável,"O melhor hotel de São Paulo! Do café da manhã até o lounge. Mas os melhores são os funcionários Renato e Hélio. Na receptividade são os melhores do Brasil!impecáveis no trato.  Apenas uma melhora no quesito chuveiro precisa ser revisto.  No mais, tudo perfeito."
jul. de 2022,5,Maravilhoso,"Atendimento nota 10, ficamos na suíte presidencial que é linda e enormeeee, piano, cozinha, sala, escritório, duas suítes. Garçons do room service nota 1000. Atrativos do hotel tudo perfeito. Gerente sempre disponível, funcionários sempre sorridentes."
jul. de 2022,5,Ótima experiência,"Hotel super bem localizado e com fácil acesso (vim de Congonhas e foi super tranquilo). O serviço de comida no quarto é bom e até que bem rápido, o apartamento confortável e o café da manhã nota 8. Ponto de destaque foi o atendimento do recepcionista Raul. Recomendo a visita."
jul. de 2022,5,Noite de núpcias,"Muito legal! Atendimento muito prático e educado. Os atendentes foram extremamente gentis e atenciosos comigo e minha esposa. Agradecemos principalmente ao Raul (telefonia), Tiago (garçom), Gabriel (cozinha) e Márcia (recepção)."
jun. de 2022,4,Cordialidade dos Funcionários,"Sempre que volto ao Brasil fico no Sheraton por conta da minha conta Bonvoy e de sua localização. Cordialidade dos funcionários é um plus! Especialmente o chefe do bar do lobby e o time de manobristas!! O hotel somente precisa realizar algumas manutenções, principalmente no banheiro."
jun. de 2022,3,Apenas razoável para um 5 estrelas,"Quando viajo a trabalho minhas prioridades são: silêncio, conforto, limpeza e internet rápida.  O conforto e a internet são muito bons no Sheraton WTC.  Já o silêncio, fica devendo. Fiquei um quarto no andar Club (quarto 208) e o isolamento acústico com o quarto do lado era bem fraco. Ouvi meu “vizinho” dar a descarga, abrir e fechar armário, falar ao telefone.  A limpeza do quarto e do hotel era boa. Mas o meu banheiro tinha um detalhe no teto: uma traça, que estava ali quando cheguei e permaneceu até eu sair (anexei foto dela aqui).  Outro problema sério no quarto 208 é que todos as tomadas elétricas eram de modelo antigo, e não consegui plugar nenhuma tomada de 3 pinos sem adaptador (anexei fotos também)  Considerando que o Sheraton se classifica como 5 estrelas, quando comparo ele com outros 5 estrelas de São Paulo (como o Intercontinental, o Tivoli, o Hilton Morumbi e o Grand Hyatt), o Sheraton é o mais fraco de todos. Por exemplo, em todos estes outros hotéis havia máquina de café no quarto, no Sheraton não. Havia um display no quarto com número de WhatsApp para solicitar serviço de quarto - enviei mensagem e depois de um tempo esperando recebi resposta me dando outro número de WhatsApp! Achei estranho e tentei contato com esse outro número, e nada de resposta por 10 minutos. Conclusão, desisti do room service e desci para comer algo no shopping ao lado.  Daria mais estrelas de avaliação caso fosse um hotel 3 ou 4 estrelas."
jun. de 2022,5,Sheraton SP,"Todos os funcionários são super simpáticos e atenciosos.  Mariana,a camareira, excelente. Deixa tudo impecável. Além de ser super atenciosa. Renato da recepção sempre muito simpático.  Infraestrutura muito boa. (Só faltou a TV ser SMART).  Parabéns a todos os funcionários do Sheraton. Ficamos 1 semana lá, e foi muito agradável. Com certeza voltaremos."
jun. de 2022,5,Ótima Escolha Para o FDS,"Equipe ótima, localização perfeita, café da manhã espetacular.    A organização, limpeza e recepção tudo um espetáculo, nota se o cuidado de todos em servir bem e fazer da sua estadia um momento único.    Sr. Reginaldo muito atencioso e simpático."
jun. de 2022,5,Agradecimentos a Ana Carolina,"Agradeço muito a Ana Carolina pelo capricho na limpeza e cuidado com a organização do quarto. Fez um ótimo trabalho enquanto estive hospedado no hotel. Gostei muito de poder chegar cansado depois de um longo dia de trabalho e encontrar tudo arrumado, agua e chocolate reposto, para um descanso e noite tranquila de repouso. Muito obrigado Ana Carolina. Excelente trabalho. Você é muito atenciosa."
jun. de 2022,5,Nota 10,Atendimento perfeito!  Cafe da manhã maravilhoso!  Todos os funcionários sorridentes e atenciosos!  Arrumação do quarto impecável! Nota 10 para a camareira Vilma!  Ficamos pelo menos uma vez ao mês no hotel! Localização ótima! Uma das melhores opções em Sp!
jun. de 2022,5,Satisfação,"Na nossa estada pelo Sheraton WTC São Paulo foi fantástica, do checking ao checkout. Deixo minha gratidão aos senhores Hélio e Renato, super cordiais, de extremo respeito e elegância ao atendimento prestado. Recomendo mil vezes."
mai. de 2022,5,Magnífico,"Super bem acolhida. O apartamento era muito charmoso e confortável. Café da manhã farto e saboroso. Piscina simplesmente fabulosa. Atendimento incrível dos funcionários, principalmente do senhor Raul."
mai. de 2022,5,Experiência incrível,"Adorei tudo! Inclusive o atendimento.  Profissionais capacitados e simpáticos. Resolvem tudo a tempo.  Agradeço, em particular, ao Léo! Um colaborador eficiente, simpático e bem profissional!  Obrigada a todos"
