Data da opinião,Nota,Título,Conteúdo
dez. de 2022,5,Agradável,"Quarto espaçoso, cama confortável e limpo! Colaboradores da recepção super simpáticos e solicitos. TV do quarto grande e excelente com canais de filmes telecine e HBO. Área da piscina grande e academia completa."
dez. de 2022,5,Manhattan Plaza,Recepcao rapida e com nom atendimento. Quarto espaçoso com uma cama de casal King. Confortável. Mesa para trabalho. Localizarão boa. Perto de tudo. Fácil acesso. Possui estacionamento cortesia so aos finais de semana. Durante os outros dias é pago.
dez. de 2022,5,Hotel ótimo,Nossa estadia foi maravilhosa! Funcionários muito prestativos. Hotel é bem localizado e super limpo. Voltaremos em breve. Café da manhã com muita variedade. Área social agradável e academia completa. Foi maravilhoso!
nov. de 2022,4,Falta estacionamento….,"Falta estacionamento para hóspede durante a semana. Estacionar defronte do hotel requer “muita” paciência… talvez não voltaria a me hospedar… o Sr que faz a tapioca é muito bom e prestativo. Os quartos são bem confortáveis, mas… sem estacionamento tem que avaliar muito"
nov. de 2022,4,Boa estada.,"Experiência foi boa. Localização é privilegiada. Academia bem montada. Cafe da manha com boa variedade. O único senão foi a limpeza dos quartos. Deixou a desejar, pois passamos 3 dias e o quarto só foi limpo 1 vez."
dez. de 2022,5,Agradável,"Quarto espaçoso, cama confortável e limpo! Colaboradores da recepção super simpáticos e solicitos. TV do quarto grande e excelente com canais de filmes telecine e HBO. Área da piscina grande e academia completa."
dez. de 2022,5,Manhattan Plaza,Recepcao rapida e com nom atendimento. Quarto espaçoso com uma cama de casal King. Confortável. Mesa para trabalho. Localizarão boa. Perto de tudo. Fácil acesso. Possui estacionamento cortesia so aos finais de semana. Durante os outros dias é pago.
dez. de 2022,5,Hotel ótimo,Nossa estadia foi maravilhosa! Funcionários muito prestativos. Hotel é bem localizado e super limpo. Voltaremos em breve. Café da manhã com muita variedade. Área social agradável e academia completa. Foi maravilhoso!
nov. de 2022,4,Falta estacionamento….,"Falta estacionamento para hóspede durante a semana. Estacionar defronte do hotel requer “muita” paciência… talvez não voltaria a me hospedar… o Sr que faz a tapioca é muito bom e prestativo. Os quartos são bem confortáveis, mas… sem estacionamento tem que avaliar muito"
nov. de 2022,4,Boa estada.,"Experiência foi boa. Localização é privilegiada. Academia bem montada. Cafe da manha com boa variedade. O único senão foi a limpeza dos quartos. Deixou a desejar, pois passamos 3 dias e o quarto só foi limpo 1 vez."
out. de 2022,5,Vista Maravilhosa,"Apto excelente, ambiente agradável, tudo muito limpinho. Roupas de cama super macias, chuveiro aquece super bem. Atendimento excelente, gostamos muito demais. Televisão e frigobar em bom e perfeito funcionamento. Tudo joia"
out. de 2022,5,CONFORTO E SOSSEGO.,"GOSTAMOS MUITO DO LOCAL APARTAMENTO COM VARANDA COM VISTA PARA O PLANALTO LUGAR FANTÁSTICO E CONFORTÁVEL INDICO MUITO COM CERTEZA. LOCAL MUITO BOM, PONTOS QUE PODIA MELHORAR E A RESPEITO DO ESTACIONAMENTO QUE E MUITO COMPETITIVO E AO RELENTO. FOMOS ATENDIDO PELO RECEPCIONISTA SR. WAGNER MUITO ATENCIOSO PARABÉNS."
out. de 2022,5,Ótima acomodação em Brasília,"Muito confortável, bom atendimento e linda vista para a esplanada dos ministérios. muito bom o café da manhã também. Quarto espaçoso e banheiro bem dividido. Não usamos a piscina mas o espaço da piscina é bem agradável."
out. de 2022,5,Vista excepcional para a Esplanada dos Ministérios,"Localização excelente. Instalações amplas e confortáveis. Quarto grande, com sala de estar e ambiente de trabalho. Vista deslumbrante. Ducha com jato forte. Shampoo e condicionador de boa qualidade. Poucos itens no frigobar. Room service ágil e muito gostoso; o picadinho JK é delicioso. Café da manhã farto, porém comum, nada muito saboroso; atende ao esperado. Limpeza perfeita. Tayná recepcionista é extremamente cordial e simpática, uma ótima funcionária. A equipe de camareiras é super educada."
out. de 2022,5,Hospedagem tranquila e prestativa,"Minha segunda estadia no hotel. Quarto agradável com vista fantástica para a torre de tv (fiquei no 918 e no 1516). Senti falta de tomada perto da cama para carregar o celular. Poderia ser oferecida uma variação de canais. Além dos canais de noticia, a maioria é de canais religiosos. O café da manhã é bom. As gratuidades no banheiro ficam para sabonetes e toca plástica. Há shampoo, condicionador e sabonete liquido em dispenser. As camas são muito confortáveis, garantindo uma boa noite de sono. Nas duas vezes que me hospedei tive problemas com o cartão/chave do meu quarto, precisando a manutenção nos socorrer. Os funcionários são muito atenciosos e simpáticos."
set. de 2022,5,Hotel Manhatan,"Hotel muito aconchegante. Os quartos sao maiores e mais espacosos que os demais hoteis. Todos os quartos com varandas e anti-sala. Sao novos e modernos, com TV no quarto e na anti-sala. Excelente escolha. Vai ser o meu hotel preferido quando for a Brasilia."
ago. de 2022,5,Hospedagem agradável!,"Boa localização, quartos amplos e limpos, bom café da manhã, funcionários atenciosos.  Hospedagem agradável com linda vista nos andares mais altos. internet rápida, funcionado bem. Chuveiro e tv funcionando. Muito tranquilo e sem barulho o quarto em que fiquei."
ago. de 2022,5,A melhor rede de hotéis em Brasília,"Foi uma excelente estadia, tudo muito limpo, organizado, super confortável e ótima localização. Cordialidade dos funcionários excepcional, café da manhã de excelentíssima qualidade e com opções variadas."
ago. de 2022,5,"Perfeito, mas tenho uma sugestão","No site mencionam pagamento antecipado parcelado no cartão, não consegui realizar. Entrei em contato diretamente por telefone e me foi informado que o valor poderia ser pago parcelado no check-out, porém isto não ocorreu. Precisei fazer o pagamento do valor total a vista, sendo que eu preferia ter pago antecipado parcelado. Tirando isso, tudo perfeito, quartos amplos, limpos e ficamos super bem acomodadas."
ago. de 2022,4,Tem uma ótima relação custo benefício,"O Hotel, apesar de não ser novo, se mantém atualizado e tem um bom atendimento, bom café da manhã, com várias opções , tamanho ideal do quarto e ótima localização.  O único senão é para o colchão que é um pouco duro mais foi colocado um pillow top e resolveu o problema.  É limpo e organizado."
ago. de 2022,5,Excelente Hospedagem,"Hotel com uma ótima vista. Atendimento bom, quartos amplos e café da manhã bem servido.  Area da piscina muito boa.  Infelizmente passei só um dia pois viajei a trabalho mas queria ter aproveitado mais ."
ago. de 2022,5,Ótimo.,"Perfeito. Equipe educada , Bom restaurante.  quartos, mesmo cm móveis antigos, camas grandes. banheiro grande.  varanda com vista linda para va praça dos poderes e catedral.  recomendo. Restaurante bem servido e comidas tópicas"
ago. de 2022,5,Excelente Hospedagem em Brasília,"Hotel com excelente localização, dispondo de estacionamento e segurança. Funcionários extremamente atenciosos, educados e resolutivos. Acomodações confortáveis, amplas, com isolamento acústico, lençóis e toalhas novos e limpos. Banheiro com ducha forte, amenidades boas. Café da manhã excelente e variado, servido em restaurante grande. Super recomendo!"
jul. de 2022,4,Excelente experiência,"Hotel tradicional de brasília, um excelente atendimento tanto na recepção quanto no serviço de quarto.  Os quartos são bem funcionais, divididos em um ambiente com sofá, mesinha para trabalho, banheiro, quarto e varanda.  Ficamos no 1321, um ótimo quarto com vista para a esplanada e uma varanda incrível!  A cama é enorme, super confortável, o banheiro é amplo só faltou uns ganchinhos para pendurar roupas e toalhas.  Usei o wifi para trabalhar, bem estável e com velocidade razoável.  O café da manhã tem boas opções. Frutas, pães, iogurtes, tapioca e omelete feitas na hora.  Porém ficou faltando o buffet de feijoada na quarta feira! Com o pudim mais delicioso do universo!!!  Espero voltar quando esse serviço estiver disponível novamente!"
jul. de 2022,5,Ótima experiência,"Muito bom. Quarto limpo, com ótimo café da manhã, restaurante e funcionários educados. Estrutura mínima de academia e piscina que atende bem as necessidades. Lugar ideal como ponto de parada para conhecer Brasília e dwscansar antes de viajar para Chapada dos Veadeiros."
jul. de 2022,4,Hospedagem com bom custo X benefício,"Hotel bem localizado, quarto limpo, confortável e silencioso. Ótimo café da manhã. Perto de um shopping, a poucos minutos andando a pé. Recepção com profissionais solícitos. Perto também de um dos pontos turísticos de Brasília, a torre de TV. Tem ponto de táxi em frente ao hotel caso esteja sem carro e precise se locomover de madrugada (que é um horário muito difícil de conseguir uber)."
jul. de 2022,5,"Amplo, confortável e uma vista maravilhosa!","Local excelente, pessoal atencioso e delicioso café da manhã.  O apartamento é amplo com camas muito confortáveis.  A ducha é maravilhosa também.  O apartamento que fiquei tinha uma vista muito bonita para o lado do congresso nacional, esplanada dos ministérios, catedral, museu e o lago."
jun. de 2022,5,Limpo e confortável,"Passamos uma noite para uma viagem rapida com familia. Otimo custo benefício! Quarto limpissimo e espaçoso, cama confortável com roupa de cama e banho de boa qualidade. Cafe da manhã mediano, como outros hoteis do mesmo estilo, boa variedade de frutas."
jun. de 2022,5,"Hotel limpo, amplo e confortável!","Excelente atendimento, funcionários educados, quarto amplo, bem limpo, aconchegante, dois ambientes com mesa para trabalho e iluminação adequada, uma ducha forte e eficiente, café da manhã muito bom, somente elogios da minha parte."
jun. de 2022,5,Confortável e próximo a muitas coisas,"Excelente hotel, serviço de quarto, café da manhã, quartos e estrutura excelentes, destaque para o café da manhã com chefs que preparam tapioca e ovos frescos na hora, uma experiência que valeu o investimento"
jun. de 2022,5,Excelente hotel,"Excelente hotel, todos os funcionários muito educados e muito gentis. Os quartos são muito bons, bastante amplos! Hotel muito aconchegante, com uma localização próxima de serviços essenciais. Recomendo muito!!"
jun. de 2022,5,Bem localizado e confortável,"Excelente hotel, quartos amplos, camas confortáveis e bom café da manhã. Equipe atenciosa.Oferece quartos triplos com camas de solteiro grandes e separadas, uma coisa rara de se achar mas muito conveniente para viagens em família."
jun. de 2022,4,Acomodação top,"Tudo muito bom, atendimento e acomodação top, só a internet wi-fi que deixou a desejar mas de resto foi tudo perfeito. Quartos bem espaçosos, camas muitos confortáveis, perto de tudo e muito bem localizado."
jun. de 2022,3,Bom hotel,"Boa opção para se hospedar em Brasília. TV poderia ter internet, que não tem. Havia reservado quarto com cama de casal, mas ao chegar deram cama individual. Quarto com 02 ambientes mal dividido, ambiente da sala muito espaçoso e vazio, ambiente da cama muito apertado. Como sugestão, poderia ter um umidificador de ar no quarto, pois Brasília tem clima muito seco."
jun. de 2022,5,Excepcional serviço no restaurante,Gostaria de parabenizar os funcionários Michael (garçom) e Júnior (faz omelete) que atuam no café da manhã do restaurante. Ambos muito prestativos é extremamente atenciosos com os hóspedes. Desempenham suas atividades de forma diligente e alegre.
jun. de 2022,5,Ótimo atendimento e acomodação,"Acomodação muito boa. Excelente suporte aos clientes, especialmente no café da manhã. Michael, um dos garçons do café , foi sempre muito simpatico e atencioso durante todo o tempo em que estivemos no hotel. Recomendo!"
mai. de 2022,5,"Recomendável, com certeza. Excelente","Hotel já tradicional em Brasília, localizado no Setor Hoteleiro Norte, com acesso fácil a todas as comodidades, como shoppings, restaurantes, centros de convenções, e varias atrações como a Catedral, o Teatro Nacional, a Biblioteca, o Museu e, claro a Esplanada dos Ministérios e a Praça dos Três Poderes. Quartos bastante amplos, modernos e com excelente manutenção. Cama confortável, ar condicionado eficiente e silencioso, bom projeto de iluminação e varanda. A vista, no quarto 819 era sensacional! Banho muito bom, banheiro bem organizado e equipado..O café da manhã é razoável, suficiente, em termos de variedades e qualidade. O ambiente do restaurante é amplo e confortável. O serviço é muito bom. Check-in e check-out ágeis, eficientes é muito cordiais. Uma excelente opção de hospedagem em.Brasilia, certamente."
mai. de 2022,5,Excelente!,"Confortável, atendimento rápido, cortesia dos colaboradores. Os quartos são aconchegantes, bem estruturados, TV com várias opções de canais que fogem do padrão de hotel. Café da manhã completo, tem de cuscuz a tapioca. Agrada todos os paladares. Recomendo!"
mai. de 2022,1,"Demora no check in
Atrasamos nossos compromissos por falta de tolha","Quartos bons tamanho, simples mas ok    Recepção com pouco funcionário deixa o check in muito demorado. Ao chegar avisaram que os quartos estavam sem tolhas mas que as 18h entregariam  Sao 19:40 e nao entregam nossas toalhas  Um absurdo"
mai. de 2022,4,camas confortaveis e cafe da manha muito bom,"cama muito boa , café da manha muito bom e otima localização. quartos silencioso e boa limpeza. nos atendeu perfeitamente. chegamos num horario que para fazer check in foi demorado, mas estavam chegando musicos no momento, dai tivemos qu aguardar"
mai. de 2022,5,Muito Bom,"Hotel excelente, limpo, acomodações confortáveis, café da manhã muito bom.  Estive hospedada pela segunda vez e sempre que necessitar estar em Brasília irei me hospedar neste hotel, vale muito a pena.  A localização também é excelente."
mar. de 2022,4,Muito bom!,"Hotel bom, cama boa, banheiro ok. Café da manhã também achei bom, não tem muita variedade (por exemplo, no dia não tinha bolo), mas achei ok. Check-in e check-out foram rápidos. Fiquei apenas uma noite, então me atendeu muito bem."
mar. de 2022,5,Muito bom!,"Hotel ótimo, muito organizado, limpo e café muito bom. Perto de tudo indo de uber. Tem uma salinha separada do quarto e duas tvs, uma no quarto e outra na salinha. A vista da varanda é incrível. Vale a pena."
mar. de 2022,4,Acomodação executiva e eficiente em Brasília,"Quarto limpo e bem cuidado. Limpeza bem feita e cuidadosa. Serviço de quarto também eficiente e bem servido., com um cardápio bem diversificado. Bom café da manhã. Para viajem de trabalho é excelente.  A estrutura de piscina e academia também são de boa qualidade, para combinar o lazer com o trabalho."
mar. de 2022,4,Muito bom,"O hotel é mto bom, muito limpinho e arrumado. Um bom café da manhã. Funcionários muito atenciosos e educados.  Único problema foi a noite que estava um cheiro forte de esgoto. Fora isso foi tudo ótimo."
mar. de 2022,5,Experiência para a vida.,"o Serviço Prestado pelo Hotel deixou-me muito satisfeita, para mim foi um alívio, não atrapalhou o trabalho que foi fazer naquela cidade, fiquei segura, pois o serviço de quarto muito bom, além do conforto e da localização do hotel. O restaurante muito bom, excelente o café da manhã, o que eu menos gostei, o tempo muito curto gostaria de ficar mais uma semana."
mar. de 2022,4,Ótima localização e café da manhã muito bom.,"O abastecimento do frigobar não foi feito diariamente. Precisamos buscar água mineral na recepção todos os dias. As camas são novas, mas achamos o colchão um pouco duro. A localização é ótima e o café da manhã é muito bom. Solicitaram que o pagamento integral fosse realizado no check-in."
fev. de 2022,5,Boa estadia,"A estadia no hotel foi excelente, ótima localização, apartamento espaçoso com 2 ambientes, surpreendeu pelo espaço. Banheiro ótimo. Excelente café da manhã. Contudo não foram emitidas notas fiscais no check out. Tive que fazer contato por e mail."
fev. de 2022,4,Apartamento espaçoso,"Fomos muito bem atendidos pelo recepcionista, solicitei um quarto alto e com vista bonita e fui atendida. Vista para os ministérios. O quarto é muito espaçoso e tinha uma sacada muito gostosa. Cama confortável. Única observação é que o sofá estava manchado de algo que derramaram e o serviço de quarto é terceirizado e demorou o lanche que havia pedido."
fev. de 2022,3,Localização boa. Atendimento ruim.,O hotel é extremamente bem localizado. O café da manhã muito bom.  O atendimento na recepção e grosseiro. Atendente sem máscaras.  O serviço de quarto não é feito no hotel. É realizado em um hotel próximo. A demora é impressionante. Mais de 1 hora de espera para receber.
jan. de 2022,1,Problemas na recepção,"Bom dia!    Realizamos a reserva e tivemos problemas para realizar o chekin. Esperamos mais de uma hora aguardando a confirmação do hotel. Fomos informados de que não havia nenhuma reserva. O hotel solicitou deixar o cartão de crédito ou um depósito caução, no entanto, apresentamos o voucher e mesmo assim deixamos os dados do cartão, do contrário não conseguiríamos o quarto. Enfim, depois de algumas hora foi-nos permitida a entrada com a condição de deixar os dados do cartão e a reserva não confirmada. Ainda não sabemos se a estadia será descontada pelo próprio hotel."
jan. de 2022,5,MELHOR LUGAR PARA SE HOSPEDAR EM BRASILIA,"O Hotel é muito bem localizado , todo pessoal muito educado e prestativo . Quarto maravilhoso , hiper amplo , constando de quarto , varanda grande, banheiro e sala . O sofá-cama , poltrona da sala e as camas do quarto , muito confortáveis, roupa de cama e banho muito limpas e boas , ducha excelente ! A sala muito ampla com frigobar bancada grande e uma mesa maravilhosa ! Tv nos 2 ambientes ! O café da manhã bom , podendo solicitar tapioca , omelete ,à gosto . Poderia melhorar os sucos No quarto poderia melhorar a qualidade do secador de cabelo A porta do banheiro tava rangendo ( mas nada disso atrapalhou"
jan. de 2022,4,Réveillon em família,"O que fazer em Brasília, com muita chuva, e duas crianças pequenas na noite do Réveillon? Passar a noite no hotel, ver as luzes dos fogos na varanda, tomar um gostoso café da manhã. E foi isso que aconteceu! Avós, netos e filho e nora fomos muito bem atendidos pela equipe e tivemos um alegre e relaxante réveillon."
dez. de 2021,5,Muito bom!!,"Um ótimo hotel, repetiria a estadia lá com certeza. Bem localizado, porém os pontos críticos a destacar são: comida servida no quarto sem sabor algum, não possui estacionamento coberto aos hóspedes e a sauna não estava funcionando. Tirando esses graves o restante é maravilhoso!!"
dez. de 2021,5,Ótimo hotel!,"Ótimo hotel, quarto espaçoso , banheiro grande , chuveiro ótimo! Quarto enorme com 3 camas , bem confortável, café da manhã muito bom, academia e sauna! Piscina muito bonita também! Todo o lugar muito limpo, tv não tem muitas opções de canal , mas não me fez falta pois estava com a família. Me surpreendi muito com o quarto pelo tamanho grande e do banheiro, reservei quarto triplo, muito confortável."
dez. de 2021,5,Incrível,"Amei a estadia. Quarto ótimo, com sala de estar, varanda, ducha perfeita, cama confortável e vista incrível, café da manhã maravilhoso, com chef fazendo tapiocas e omeletes deliciosos. Voltarei em breve."
dez. de 2021,4,Atende a minha necessidade,"O hotel é muito bem localizado, é possível ir caminhando até o escritório da minha empresa. O café da manhã é satisfatório mas percebi que as opções eram exatamente as mesmas nos quatros dias em que amanheci lá. Uma sugestão seria oferecer algumas opções diferentes em cada dia da semana e também a opção de salada de frutas.  O quarto era bem grande, com dois ambientes e com uma varanda enorme.  Em um dos dias da hospedagem o hotel teve algum problema com a água. Por um momento só havia água quente, em outro apenas água fria e em outro ficou sem água alguma durante alguns instante. A recepção informou que houve um problema com a caixa d'agua e que logo seria resolvido e foi o que aconteceu após um período curto de tempo.  O cofre do meu quarto (1120) não estava funcionando, acredito que estava com a bateria fraca, mas não utilizei ele, então não foi um inconveniente durante a minha estadia. Os funcionários foram todos educados e gentis em todos os momentos."
nov. de 2021,3,Falta de flexibilidade e cortesia no atendimento,"Infelizmente não prezam pelo atendimento e atenção ao cliente.  Me atrasei por 2 horas para o checkout e tive de pagar 1/2 diária, mesmo tendo ligado com muita antecedência e avisado que eu atrasaria 2 horas, na hora que cheguei ao hotel foram inflexíveis e nada cortes no atendimento."
nov. de 2021,2,Poderia ser melhor,"Período de estadia: de 11/11 à 16/11    Pontos positivos: localização, café da manhã.  Pontos negativos: limpeza ruim, falta de comunicação por falta de energia elétrica para manutenção no dia 12/11, indisponibilidade de ferro de passar, elevador apresentou problemas, chuveiro não funcionou direito, banheiro com piso escuro dando sensação de sempre sujo, varanda grande sem nenhuma cadeira ou mesa para poder apreciar a vista, atendimento muito deficiente, demorado."
nov. de 2021,4,Final de semana em Brasilia,"Ficamos hospedados apenas um final de semana no hotel Manhattan, fomos bem atendidos no check in e direcionados ao nosso quarto uma suite com dois ambientes quarto, sala, banheiro e uma varando muito interessante. Pontos positivos a localização, o atendimento dos colaboradores do hotel, pontos a serem melhorados mobília antiga do apartamento, a sala tinha um sofá cama , uma poltrona e uma mesa de vidro (sem cadeiras) a varanda enorme sem nenhum mobiliarios para poder disfrutar a vista. O quarto de casal era bom porem um colchão bem antigo que não era ruim mas longe de ser uma cama inesquecivel alem disso o ar condicionado apresentava problema no dreno e vertia agua para dentro do quarto, o banheiro era bem limitado para uma suite de casal em um hotel 4 estrelas. Mas como fomos para aproveitar Brasilia esses pontos foram secundários em uma estada maior com certeza seria um complicador."
