Data da opinião,Nota,Título,Conteúdo
20 de dez.,1,Atendimento péssimo!!!!!,"Primeiro hotel que não disponibiliza check in antes das 14h. Funcionários mal educados e rudes. Funcionária Tabita fez questão de chamar pro quarto as 13:46, sendo que estávamos sentados no sofá desde as 11h da manhã. Outro funcionário Gustavo com uma fala arrogante. Hotel caríssimo … Já fiquei diversas vezes nesse hotel. O atendimento nunca foi o forte mas dessa vez se superaram. Última vez … atendimento péssimo!!!!!! Enquanto esperávamos, escrevia essa avaliação…"
nov. de 2022,5,"Boa localização , hotel limpo e organizado, além de um café maravilhoso.","Hotel muito bom, quartos de tamanho excelente. Limpo, organizado, café da manhã excelente e funcionários super atenciosos desde a entrada. Localização excelente, próximo a museus, Sesc é muito mais. Fica próximo à avenida Paulista e a todas as atrações que ela oferece . Excelente lugar ."
nov. de 2022,1,Péssimo início de experiência,"Check in as 14h. Chego às 10h e peço se o quarto já está disponível. A recepcionista me responde que não. Tudo bem. Aguardo mais de 3 horas no lobby, almoço no restaurante do hotel. As 13:20 Passo novamente na recepção para ver se o quarto está disponível. A recepcionista me responde que sim, o quarto está disponível e limpo. Mas que se quiser entrar antes das 14h será cobrado 15% adicional. Por 40 minutos de “gentileza”. Entendo que não custaria nada nos deixar fazer o check in 40 minutos antes. Um pequeno agrado sem custo nenhum para o hotel. Mas não, preferem estragar minha experiência já de início. E eu aguardo até as 14h, enquanto escrevo essa avaliação, tudo bem. Mas prefiro nunca mais pisar neste hotel."
out. de 2022,5,Equipe atenciosa e quarto confortável,"Recepcionistas e camareiras muito atenciosos! Quartos lindos e confortáveis. Café da manhã com muitas variedades e a localização do empreendimento é muito próximo à avenida Paulista, o que facilitou muito para nós."
ago. de 2022,3,Dentro do Esperado,"O hotel tem a localização excelente para qualquer lugar que você vá dentro de SP. Os apartamentos são OK, antigos mas atendem bem a necessidade de quem vai ficar fora do hotel o tempo inteiro. Café da manhã OK também."
jul. de 2022,3,Pode melhorar,"O staff, principalmente do café da manhã, é pouco atencioso. Pratos e copos precisam ser melhor higienizados. O café da manhã é repetitivo e não muito atrativo. A localização é muito boa, as camas são boas, mas, pelo preço que se paga, poderia ser uma experiência mais agradável e amigável."
jul. de 2022,5,Excelente,"Atendimento excelente desde o primeiro contato na recepção, funcionários educados, acessíveis e prontos pra ajudar, quartos bem confortáveis, café da manhã excelente. Muito satisfeito em geral com o serviço e o hotel."
jul. de 2022,2,Fazer uma cirurgia,"Local e ambiente muito bom e aconchegante ; Café da manhã muito bom e variado! Outro ponto bom é a limpeza diária e tudo bem organizado. Pontos que devem melhorar…. 1. Os quartos não tem muita privacidade- se ouve as madrugadas a intimidade de alguns casais hospedados; isto é um ponto crítico e preocupante; 2. Os funcionários, principalmente os atendentes do balcão não são prestativos na ajuda e soluções de problemas e dificuldades- são muito “carícias”, inflexíveis e as vezes ásperos! Tive uma experiência com um responsável bem constrangedor e difícil . Estive hospedado no hotel burbon no mês de Junho/22 e percebe-se a grande diferença nesse aspecto. 3. Deve um dia que precisamos Jantar e compramos no ifood; quando a comida chegou percebemos que não tinha vindo talheres;…"
jun. de 2022,5,Avaliação Radisson,"Hotel excelente, ótimo café da manhã, ótima recepção. Cama grande e confortável, quarto limpo. Único ponto negativo pra mim, seria o alcance do wifi e velocidade da internet, pois no meu notebook ficava caindo a conexão."
jun. de 2022,2,Bem localizado. Instalações modestas.,"Pontos fortes: ótima localização e bom preço. Mas acaba aí. Banheiro muito pequeno, péssimo isolamento acústico. Travesseiros ruins. Café da manhã vem razoável. Bons funcionários .Não se se voltaria …"
