Data da opinião,Nota,Título,Conteúdo
6 de dez.,3,Razoável,"Hotel bem localizado, mas preço não muito condizente com o que oferece. Café da manhã deixou muito a desejar. O quarto é bom, confortável e espaçoso. O atendimento é razoável, poderia ser melhor. Já fiquei em outros hotéis da rede melhores que este."
nov. de 2022,2,Não vale a pena,"O hotel não corresponde às descrições. Está localizado numa rua bem erma à noite e não traz segurança de circular à pé. O quarto é espaçoso, com boa cama e chuveiro, mas não se vê manutenção. A porta do banheiro estava descascando e a torneira da pia espirra água para todos os lados em pequenos fios de água. Mesmo em andar alto é extremamente barulhento e não há nenhum isolamento acústico. Ouve-se tudo dos quartos ao lado. O café da manhã é bem fraco e contém poucas opções. Mobiliário velho. Staff desatento e serviço precário. Com tantas boas opções em SP, não recomendo."
nov. de 2022,2,Não recomendo: antiquado e nada atraente. Academia sofrível.,"Hotel precisa de reformas e revitalização urgente. Em todo lugar, mesmo recepção, defeitos estéticos aparentes. A academia do prédio é uma vergonha. Máquinas antiquadas, da década de 90. Mesmo a piscina é ruim. O quarto tem um aparência melhor, mas ainda assim com baixa qualidade. Pelo que cobra se diária, não parece ser justo. Diria que 90% do que se paga é pela localização."
jul. de 2022,3,Boa localização,Pontos positivos: - Localização - Check in rápido - Check out descomplicado - Itens do Café da manhã - Quantidade e qualidade dos travesseiros Pontos a melhorar: - Atendimento no restaurante - Qualidade amenities - Substituir o cobertor por edredom
jun. de 2022,5,Hospedagem incrível no Quality Faria Lima,"Hospedagem incrível no Quality Faria Lima, reservei para o final de semana no hotel e estamos muito felizes com a hospedagem. Apartamento moderno e com varanda gigante. Hotel com piscina, café da manhã de excelente qualidade, ótima localização."
jun. de 2022,5,Melhor picadinho do MUNDO !,"Olá a todos ! Uma breve avaliação para registrar que, nunca provei um picadinho tão especial quanto o daqui do Quality Hotel Faria Lima. Almoço realizado no dia 26/06/2022! Parabéns!!! Eu simplesmente amei ! Gefferson Alves Luxury Hotelier"
jun. de 2022,2,Cansado …,"Hotel com quartos simples e velhos. A recepção diz que pode pedir comida por delivery mas cobra taxa de 8,00 para usar um talher e um guardanapo….a situação deve estar bem ruim. O forro da cama não tinha nem elástico."
jun. de 2022,5,Sensacional,"Sem palavras. Foram dias maravilhosos. Cama confortável, ambiente tranquilo, serviço de quarto muito bom. Atendimento da equipe bem receptiva, iluminação adequada, academia bem equipada e café da manhã maravilhoso."
jun. de 2022,1,Atendimento ruim e preço alto,Recepcionista que fez meu check in foi extremamente mal educado. O frigobar do meu quarto estava desligado e vazando água quando cheguei. Preço muito elevado pelo serviço oferecido. Localização boa...
jun. de 2022,4,Gostei,"Um hotel econômico, sem muitos luxos, mas que atende às expectativas. Poderia revitalizar portas dos quartos, estão com pintura descascada. Alguns quartos têm carpete também, o que é ruim para pessoas alérgicas. Achei que a limpeza do banheiro deixou a desejar. Café da manhã com boas opções, bem variado. O atendimento foi ótimo, desde o checkin ao checkout."
