Data da opinião,Nota,Título,Conteúdo
out. de 2022,1,Péssima experiência,"Grand Mercure Ibirapuera: Péssimo hotel! Eu e minha família vivemos diversas experiências ruins. Check-in se inicia às 15h e no dia de nossa reserva, chegamos às 19h após longa viagem de carro e simplesmente não conseguiram quarto para nós. Depois de conseguirem, notamos que o ar não funcionava, tentamos várias vezes ligar no ramal da recepção ou room service e ninguém atendia, também tentamos no número de telefone de contato e nada. Vieram diversas vezes e voltavam para trás dizendo que veriam com outro técnico o que fazer e nada foi resolvido. No nosso terceiro dia, chegamos da rua após passeio e nossas camas estavam todas amassadas,os travesseiros jogados e cobertas mal dobradas. O chão estava sujo e com pedaços de embalagens, as garrafas de bebidas vazias que tinham sido…"
out. de 2022,5,Muito bem localizado e um bom atendimento,"Hotel muito confortável com um ótimo café da manhã, possui espaço kids e a unica dificuldade é encontrar a entrada do hotel de carro ( dar a volta no quarteirão ), possui estacionamento ( R$ 43 a diária ) ."
set. de 2022,2,Hotel necessita de reforma urgente!!,"Hotel já teve o glamour de um Sofitel, mas está parado no tempo desde então. Precisa de uma reforma e atualização urgente, desde a recepção até os quartos. Os quartos são muito amplos, mas tem carpetes velhos e mau cheirosos. Localização é boa, você consegue ir a pé ao Ibirapuera. No hotel tem uma boulangeire com itens deliciosos. Café da manhã achei com preço exagerado..."
ago. de 2022,3,Precisando de Reforma,"Me hospedo em meses alternados devido a ótima localização para meus afazeres em SP. já foi um belíssimo hotel. Os quartos são amplos, o mobiliário está muito desgastado, velho. As cortinas estão cinzas e deveriam ser brancas. A limpeza é ruim. precisa urgente de reforma. café da manhã muito bom. Restaurante bom."
ago. de 2022,4,Ótimo em todos os aspectos.,"Apesar de não ser um estabelecimento novo, é um hotel com muito charme, conforto, boa localização e ótimos lounges. A Cafeteria é simplesmente maravilhosa. Apreciar um café no fim de tarde com um Mil folhas, não tem preço."
jul. de 2022,1,Decepcionado,"Já fiquei várias vezes nesse hotel, fui dessa vez novamente pois era meu aniversário e queria um quarto com banheira. Fiz a reserva de sempre mas não sabia que esses quartos haviam passado por reforma e retirado as banheiras, fiquei bem decepcionado. Além disso achei péssimo o atendimento na recepção e no café da manhã. Antes eles eram mais receptivos e atenciosos, algo que não aconteceu dessa vez! Infelizmente!"
jul. de 2022,5,Melhor impossível!,Maravilhosa estadia! Quartos silenciosos com roupas de cama bem aconchegante! Funcionários bem educados e receptivos! Café da manhã sem igual com todas variedades possíveis. A torta mil folhas da Boulangerie surreal e inesquecível! O bar muito aconchegante e com um serviço de primeira! Simplesmente amei e super indico!
jul. de 2022,4,Boa localização.,"O hotel têm estilo internacional. Muitos estrangeiros e tripulantes de companhias aéreas. O atendimento da recepção deixa à desejar, devido serem poucos na recepção, atendem com profissionalismo, porém é percebido a falta de carisma e brilho nos olhos. Minha filhinha pequena estava junto no momento do check-in, nem olharam para o rosto dela. São extremamente frios....Ainda mais na chegada... No check-out pareciam um freezer - (45 graus) deixei minha família distante dessa vibe, triste. Lamentável a falta de carisma. O mesmo não se pode dizer do pessoal do restaurante e do pessoal dos manobristas e estacionamento. Gente de verdade! Puro carisma, atenção e respeito. Talvez voltaremos um dia!"
jun. de 2022,5,"otimo hotel, bem preparado","equipe bem preparada, atenciosos em todos os setores, todos com boa disciplina e de bom animo. local muito agradável e acomodações com bom espaço. atendimento do pessoal do estacionamento também de boa qualidade"
mai. de 2022,3,Decepcionado,"Atendimento deixa a desejar. Quartos antigos não estão a altura de um Grand Mercure. Café da manhã e atendimento do café são maravilhosos. O quarto não estava muito limpo, roupas de cama manchadas. Não vale a pena para o nível do hotel."
abr. de 2022,5,Gran hospedagem,"Hotel com excelente padrão. Ótima localização. Café da manha excelente. Em sua maioria os hóspedes são estrangeiros. Restaurante com ótima comida e preço compatível e acessível, exceto o suco e a água com preço mais alto. Recomendo"
mar. de 2022,3,Atendimento decaiu muito,"Minha primeira experiência foi ótima, a segunda infelizmente ñ foi boa. Em primeiro lugar o atendimento é muito lento, pedimos um ferro de passar que demorou 2 horas e 3 ligações para nos atenderem, no quarto tinha um frigobar vazio e vazando água e por diversas vezes liguei na recepção e ñ atenderam. Eu precisava procurar algo no achados e perdidos e o recepcionista me informou qie estava fechado e que eu teria que mandar um email, sendo que eu sou de outro estado e estou aaui agora."
mar. de 2022,5,Hospedagem em alto estilo,"Gran Mercure Ibirapuera Todas as redes hoteleiras devem ter um hotel como este. Um hotel que agrega um quarto espaçoso, uma cama confortável, um chuveiro generoso. Um hotel com um serviço impecável, funcionários atenciosos, empenhados em atender o cliente. Uma grata surpresa ver que após tantos anos que conheço o hotel, ele se mantém bem cuidado, com um bar com várias opções, uma Boulangerie com pães deliciosos, dentre tantos pontos positivos. Detalhes como a recepção com uma caixinha de brigadeiros e um bolo surpresa para a aniversariante foram pontos de pontos sensacionais. Parabéns a todos."
dez. de 2021,5,Excelente,"Ótima proposta de qualidade com custo beneficio. Hotel reformado e bem localizado. Café da manhã muito bom. Precisa contratar alguém para auxiliar no atendimento ao telefone interno, A equipe é muito boa."
dez. de 2021,5,Excelente hotel,"Reservamos o hotel e após inúmeros perrengues na viagem o hotel foi nosso ponto de conforto. Quarto espaçoso, bom chuveiro, mobília meio antiga, piscina, spa, academia e principalmente excelente atendimento por todos, com destaque ao André da recepção. Todas pessoas nos atenderam demasiadamente bem, foram solícitos e cordiais. O banheiro é meio velho, mas não prejudicou em nada a hospedagem. O café da manhã embora não tenha uma gama de variedade, prezam pela qualidade. Tudo delicioso. A hospedagem foi nota 1000. Recomendo a todos."
dez. de 2021,2,Pra quem precisa sair cedo não vale a pena,"Apesar da beleza e conforto do hotel, Não recomendo para quem precisa sair cedo, pq só tem café a partir das 7. E a boulangerie maravilhosa no hall só abre às 9. Tive que sair cedo a trabalho e sai com fome . Não sem antes comer um pouco do que tinha na geladeira a preço de ouro: batata a 19 reais barrinha a 9 reais e por aí vai.. Não tem room service as 5 da manhã. E no checkin me falaram que teria…"
nov. de 2021,5,Conforto no Ibiraquera,"Atendimento exemplar na recepção, rápido e eficiente. Quarto muito bem decorado, confortável e todos seus equipamentos em perfeito estado. Café da manhã excelente. Todos funcionários gentis e eficientes. Infraestrutura de conforto impecável."
out. de 2021,4,Excelente localização.,"Quartos amplos, limpos e higienizados conforme padrão instituído na pandemia. Staff atento. Equipe de recepção merece destaque, fazendo de tudo para resolver as pequenas questões que aparecem. Café da manhã é bom, mas falta um pouco de espaço e mais funcionários no local"
out. de 2021,5,ótimo hotel,"Atendimento impecável, destaque para a ""Boulangerie"", minha estadia não peguei com o café da manhã incluso, porém a ""Boulangerie"" que fica no térreo é MARAVILHOSA, com excelentes produtos com preços bem acessíveis. Adorei!"
out. de 2021,2,Hotel bem localizado e confortável com péssimo atendimento,"Hotel antigo, mas bem conservado. Confortável. Limpo. Bem localizado. Silencioso. Café da manhã saboroso. Precisa treinar a equipe. Camareiras são eficientes e educadas. Equipe do café da manhã muito pequena, tem dificuldade na reposição no atendimento aos pedidos dos clientes. Bebidas quentes dependem de solicitação a cozinha, tanto como omeletes e tapiocas, mas apenas dois funcionários para isso. Tudo lento e difícil. Precisa melhorar. Equipe da recepção muito fraca. Atendimento decepcionante. Precisa treinamento urgente. Pela gestão de pessoas ruim, tanto em número de funcionários quanto em qualidade, não merece a hospedagem. Há hotéis melhores na região, pelo mesmo preço."
set. de 2021,4,Check-in burocrático / Sem mil-folhas no café da manhã,"Se não me engano antigamente tinha os deliciosos mil folhas da boulangerie no café da manhã. Espero que seja só por conta da pandemia e não definitivo. Quanto ao processo de check-in, poderia ser melhorado. Por que eu preciso mostrar o mesmo cartão que usei para fazer a reserva e até já foi faturado e pago durante o check-in? Aliás, se já foi feito early check-in porque eu deveria fazer check-in de novo? Eu uso cartão virtual e por motivo de segurança não carrego o app comigo"
