Data da opinião,Nota,Título,Conteúdo
11 de dez.,5,"Hotel Aconchegante (Homelike place), Funcionários Perfeitos, Localização Maravilhosa","O Clarion Faria Lima é nossa casa quando em São Paulo. Um Hotel charmoso por fora e moderno e limpíssimo por dentro. Os quartos estão renovados, as camas sçao maravilhosas e o isolamento acústico é perfeito (visto que a região tem uma noite agitada e excelentes opções de resutarantes e bares, além de ficar algumas quadras a pé do Shopping Iguatemi na Faria Lima). O time que nos atendeu à ultima vez foi perfeito, como sempre. Obrigado especial para a Pamela, o Rafael e o Marcelo da Recepção, que foram sempre fantásticos e atenciosos às nossas demandas, nos fazendo realmente nos sentirmos seguros e em casa. Além de outros destaques do time com o Júlio, manobrista do estacionamento, que sempre foi muito gentil e o time de governança e camareiros que conhecemos, Ana, Rogério e…"
nov. de 2022,5,Excelente em todos os aspectos!,"Fiquei hospedado em um apartamento recentemente reformado, que ficou muito bem decorado. A localização do hotel é excelente. O café da manhã é primoroso. O atendimento é impecável. Recomendo porque retornarei ao Clarion com toda a certeza!"
out. de 2022,1,Não vale o custo,"Péssima experiência. Piscina interditada, buffet do café da manhã que não condiz com as fotos. Bandeja de comida em frente so meu quarto. Opte por outros hotéis na redondeza. Melhores e mais baratos. O preço não se justifica pelo atendimento."
out. de 2022,5,"Quarto confortável, tranquilo e bom café da manhã","Localização excelente com opções de bares, restaurantes, padaria, sorveteria e farmácia a poucos minutos de caminhada. Bom café da manhã. Fiquei no quarto luxo, que estava em excelente estado de conservação."
out. de 2022,5,Atenção a cada detalhe,"Estive hospedada no hotel para um evento da empresa. Fiquei encantada com o carinho como fui recebida por toda a equipe. Todos muito corteses e dispostos a ajudar. Quarto impecável, comida deliciosa...experiência memorável! Obrigada a toda a equipe do Clarion Faria Lima."
out. de 2022,5,"Quarto confortável, tranquilo e bom café da manhã","Fui bem recebido ao chegar. Todos da recepção foram prestativos e solicitos, tiraram todas as minhas dúvidas. Quarto e banho bastante confortáveis. Café da manhã abundante e variado. Fiquei muito satisfeito."
jun. de 2022,1,Hotel está péssimo,"Localização do hotel é excelente, mas os quartos e o lobby estão horríveis. Precisa de uma reforma urgente. Enxoval do quarto velho. Serviço do restaurante ruim. Limpeza zero. A unica coisa boa e a localização"
jun. de 2022,1,Funcionário sem respeito e mal educado. XxxXxxxxEstávamos num grupo de 9 mulheres.,"Fomos desrespeitadas pelo funcionário que fazia atende na recepção na sexta-feira dia 17/06 de manhã.  Interrompeu atendimento da última mulher do grupo para atender um homem q queria fazer checkout.  Mesmo pedindo que terminasse a atendimento da nossa amiga pois queríamos sair ele nos ignorou nos deixando esperando q ele terminasse o atendimento ao homem, que tbm, nos ignorou. Lamentável!!!!  Somos 9 mulheres indignadas com o que vimos, ninguém recomenda esse hotel."
jun. de 2022,5,Quarto moderno e café da manhã excelente,"Quarto muito confortável e com bastante espaço, muito bem localizado. Café da manhã com uma excelente variedade. Atendimento top, todas as solicitações foram muito bem atendidas. Gostei também das redondezas do hotel, tem conveninencia, café e alguns restaurantes."
jun. de 2022,5,Excelente!,Ótimo atendimento e localização perfeita! O maior diferencial é os funcionário que dão um toque de personalização individual para cada hospede. O hotel tem localização excepcional e os quartos muito confortável !
jun. de 2022,3,"Bom atendimento e boa localização, mas limpeza precária","O quarto é bom, o atendimento da equipe foi agradável e atencioso. A localização é ótima, perto de muitos restaurantes.  Mas precisam melhorar a limpeza e manutenção dos quartos e especialmente dos banheiros."
mai. de 2022,3,"A localizaçãoé ótima, mas …….","Ponto Forte = Localização. É perfeita, fica há poucos metros de vários bons restaurantes. É possível ir a pé a muitos desses restaurantes, mesmo à noite.  Pontos Fracos : Limpeza e Conservação. Ficamos na suite 505. As paredes do quarto estavam sujas em vários pontos. Há necessidade urgente de pintura em todas as paredes do quarto. Os azulejos dentro do box estão encardidos e rejuntes com limo e mofo, o que, convenhamos, é injustificável para qualquer tipo de hotel, pior ainda para um hotel de rese internacional."
mar. de 2022,4,Muito Honesto e Front-Desk perfeito,"Embora um pouquinho antigo, o Clarion da Jerônimo da Veiga, na melhor rua do melhor bairro de SP, é imbatível na localização e atendimento em especial da front-desk Mariane.    Que profissional diferenciada!! Retorno com certeza!!!!"
mar. de 2022,1,Decepcionante!! Clarion Faria Lima,"Nas duas noites que hospedei no Clarion Faria Lima não conseguimos dormir devido ao nosso vizinho de quarto 1507 ter feito festa particular com várias pessoas, conversa e música bem alta das 4 horas da manhã até as 07:30….    Reclamamos na recepção, onde o atendente informou que enviaria o segurança. O segurança veio e ficamos observando (a porta dos quartos eram praticamente encostadas uma na outra).    O segurança veio e deu somente um “toque” na porta e saiu… um absurdo! Com a música alta, é claro que ninguém escutou.    Ligamos novamente na recepção, isso era 04:42 horas da manhã do dia 20/03 (hoje), e reclamamos novamente devido o suposto segurança não ter feito absolutamente nada para resguardar a ordem.    O rapaz da recepção (não me lembro o nome agora), disse que não tinha o que fazer, perguntou se poderia nos trocar de quartos… mas como nos trocar de quartos às 05:00 da manhã praticamente , com sono, pijamas, arrumar mala para deixar o vizinho tranquilo com sua festa particular dentro de um quarto de hotel??!! Lastimável !    Por fim, falamos que iríamos chamar a polícia e parece que com isso o atendente resolveu subir ao quarto.    O atendente subiu com outra pessoa (acompanhei pelo olho mágico que tem na porta dos quartos)… essa outra pessoa era mais um participante da festa …. Que chegou e entrou no quarto.    Eu fique observando e escutei a conversa entre o atendente e o dono da festa….    O atendente disse “… está tendo reclamação de hóspedes… o dono da festa respondeu que sempre ficava no hotel e nunca tinha tido reclamação, mas que iria abaixar o som.  O atendente concluir dizendo que se mantivessem o som, barulho, os hóspedes iriam chamar a polícia…    Veja que despreparo do Hotel em situações como esta… não sabem colocar o respeito e boa ordem como prioridade.    Esses detalhes aconteceram na noite de sábado para domingo, mas na noite anterior (sexta pra sábado), também tivemos os mesmos problemas com o barulho da festa particular do vizinho, que começou as 5:30 e foi até 08:00 da manhã!!    Não recomendo o Hotel, é um desserviço aos hóspedes, são despreparados, não colocam a harmonia e respeito dos hóspedes como prioridade.    Se você tiver a sorte de tudo passar bem em sua estadia , que sorte mesmo, porque se tiver problema que dependam do hotel, certamente terá decepções!"
mar. de 2022,4,Excelente hotel,"Ótimo hotel! Atendimento da recepção muito educado e cordeal. Quarto espaçoso, com pequena área de trabalho. Dentro do armário tem tábua de passar e ferro. No banho um ótima ducha e secador de cabelo. Café da manhã de qualidade e com muitas variedades. O único ponto a desejar é a acústico entre os quartos, ouvimos de tudo, de sexo a crianças gritando.  A localização é ótima, fácil de deslocar para vários pontos de SP e no entorno maravilhosos restaurantes."
fev. de 2022,5,Hospedagem impecável!,"Me hospedei no Clarion numa viagem romântica para comemorar meu aniversário!  O hotel não deixou nada a desejar!  Quarto muito espaçoso, limpo, cama muito confortável, uma vista incrível, atendimento super atencioso, café da manhã excelente.  O hotel ainda fez uma pequena surpresa no dia do meu aniversário.  A localização é excelente, numa área nobre da cidade com vários bares e restaurantes bem próximos, conseguíamos fazer muitas coisas a pé, inclusive durante a noite.  Quando voltar a SP, com ctz retornarei ao Clarion!"
fev. de 2022,4,Hotel com ótimo custo benefício,"Estivemos em outubro de 2021 no Hotel Clarion. Ficamos na Suíte, quarto muito amplo, com dois ambientes (60m2), ótimo para família.  Boa piscina e academia na cobertura.  Café da manhã nota 8,5, bom mas falta mais variedade de sucos, café expresso, garrafas de água mineral, e maior variedade de frutas e frios.  Bem localizado, com comércio e restaurantes próximos.  Sugestão:  > espaço kids para crianças.  > melhorar os amenites.  Recomendo."
jan. de 2022,4,"Ótima localização ! Hotel no centro do Bairro Itaim Bibi , com restaurantes maravilhosos ao redor.",O quarto amplo e confortável. Ficamos no apartamento família. O ponto negativo foi o café da manhã que era um buffet mas servido por dois funcionários. Dava uma sensação de implorar a comida . Sugiro mudar esta sistemática. Quando chegava muita gente formava fila.
dez. de 2021,4,Boa opção de hospedagem próximo à Faria Lima.,"Este hotel em uma transversal à Av. Faria Lima, próximo ao Shopping Iguatemi.    Foi minha primeira hospedagem do local. Já tinha me hospedado em hotéis de nível equivalente em São Paulo, e gostei bastante do Clarion Faria Lima.    A localização é excelente. Em uma rua tranquila cheia de restaurantes em um bairro muito agradável.    Ficamos em um dos quartos reformados. Era bastante confortável, com Internet que funcionou bem. Só o banheiro era um pouco mais antigo, mas com um banho muito bom.    O café da manhã foi muito bom. Por causa da pandemia, funcionários servem os produtos atrás de um balcão, com bastante variedade. Pode-se pedir omeletes e tapiocas. O café é servido na mesa.    O atendimento foi bastante cordial.    Recomendo."
nov. de 2021,4,Localização é o ponto alto,"Check in rápido principalmente se já for cadastrado como era meu caso. Lobby pequeno, quarto confortável com todos essenciais satisfatórios . Café da manhã bom e com bom atendimento. Tem pequena piscina e ginástica no topo, com aparelhos em bom estado. Se ficar no Itaim próximo a inúmeros bares e restaurantes , sem comprometer o sossego esse hotel satisfaz, pois fica numa quadra muito tranquila e a pé chega se a uma variedade enorme de locais agradáveis para beber/comer . Pequenas falhas ocorridas não comprometeram a estada."
nov. de 2021,5,Agradecimento pelo excelente atendimento,"Boa noite!    Estivemos hospedados com minha família neste feriados de 15 de novembro de 2021, e o excelentes atendimento já começou com a funcionária Camila. Liguei fazendo uma reserva e disse a mesma que estávamos indo para comemorar a aniversário do meu esposo e ela deixou o quarto muito perfeito para nos receber, sem contar a cabaca que ela solicitou que fosse instalado para nosso filho que por sinal amou a surpresa. Os funcionários da recepção e do restaurante , também foram muito atenciosos e acolhedores.  Já estivemos hospedados no hotel Clarion no ano passado, mas desta vez o atendimento superou todas às nossas expectativas.  Parabéns a Camila e todos os funcionários, pelo excelente atendimento e carinho.  Com certeza, voltaremos a nos ver em breve.    Sucesso e fiquem com Deus!!    Lucienne e família ."
out. de 2021,5,Viajem a São Paulo,"Viajando a São Paulo a negocia, nos hospedamos no Clarion, com uma equipe prestativa e atenciosa, ótimo quarto (limpo e amplo) e café da manhã com boa variedade. Localizado em uma região com muitos restaurantes pertos e de fácil acesso."
