Data da opinião,Nota,Título,Conteúdo
20 de dez.,5,EXCELENTE,"atendimento excelente, quartos limpos, café da manhã satisfatório, ambiente agradável, elevador rápido, só o estacionamento pago que não concordo, mas muito bem atendido e com segurança. recepção muito ágil e atenciosos."
jul. de 2022,5,"Foi Ótimo! Viagem de negócios, com alguns dias para família.","Passei 5 dias em SP, dos quais 2 eram pra negocios, e outros 3 dias com a familia. Entao uni uma viagem a trabalho, mas aproveitei e levei a familia pra passar fim de semana. FOI OTIMO! Indico a estadia neste hotel. E certamente voltarei noutras ocasioes. Fiquei em um quartro triplo, camas confortáveis, chuveiro bom, bom tamanho mesmo para 1 cama King + 1 cama solteiro. Tudo otimo. Se ficar em um quarto com 1 cama, será ainda melhor, com mais espaço. Pessoal da recepção foi maravilhoso. Em especial a Alessandra, pois precisei de uma atencao quanto a algumas necessidades de trabalho, e correu tudo otimo pelo bom atendimento feito. Cafe da Manha é bom, poderia sim ter alguns outros itens diferenciados.. .bolos diferentes, maior variedade de pães... mas possuem um bom café…"
3 de dez.,1,"Nunca enviam a Nota Fiscal, sempre tem que ligar pedindo","Todas as vezes que me hospedo no hotel, tenho que ligar pedindo a NF. Eu tinha um prazo pra fazer o acerto das despesas e vencia no final de semana. Ao ligar para o hotel fui informado que só emitiriam a nota na segunda-feira."
out. de 2022,2,Precisa de uma reforma geral,"O antigo Tryp Nações Unidas mudou de nome, mas não foi reformado. Paredes sujas, pia entupida, fluxo de agua no chuveiro fraco, piscina interditada, esteira quebrada na academia, ovos mexidos secos, café fraco e ar condicionado que refrigera pouco. Colchão ainda confortável e roupa de cama boa."
out. de 2022,2,Antiquado e desgastado,"É o antigo Tryp Nações Unidas que mudou de nome e não foi reformado. Paredes sujas, pia entupida, fluxo de agua no chuveiro fraco, piscina interditada, esteira quebrada na academia, ovos mexidos secos, café fraco e ar condicionado que refrigera pouco. Colchão ainda confortável e roupa de cama boa."
out. de 2022,3,"O Wi-Fi não funciona, que tem que trabalhar esquece esse hotel, fizemos várias reclamações mas não foi resolvido.","O Wi-Fi não funciona, que tem que trabalhar esquece esse hotel, fizemos várias reclamações mas não foi resolvido.  Quando chega no hotel na recepção do estacionamento ficam apressado a fazer o cadastro do carro, não tem paciência.."
out. de 2022,1,PROPAGANDA ENGANOSA!!!!,"Impossível ser um MELIÁ.  PROPAGANDA ENGANOSA  Hotel sem manutenção, quartos antigos, carpete dos corredores exala ácaro, chuveiros não esquentam e saem pouca água, toalhas péssima qualidade/lixa, os cartões de porta  dos quartos não funcionam e ainda fazem descaso quando vc solicita para validar, fechaduras emperram. Limpeza dos quartos à desejar. Café da manhã fraco , Room Service itens todos errados, qualidade ruim e frio. Internet não funciona.  EXISTEM OUTRAS OPÇÕES PRÓXIMAS COM CUSTO BENEFÍCIO MUITO MELHORES!!!!"
out. de 2022,3,Decepção,"O hotel não representa a rede Melia!  Meu filho fez a reserva e depois, se decepcionou.  Eu fiquei triste com a escolha!  O café da manhã, tinha uma variedade, mas a limpeza deixava a desejar!  O atendimento do balcão, com um pouco caso e sinceramente, ,, não gosto de reclamar, criticar, mas como também tenho um negócio, serve de alerta. A chave, nunca funcionava, todas as vezes, tinha que descer, para refazer, e com demora conseguia . Espero ter ajudado. As vezes passa despercebido, detalhes, que não são detalhes!  Obrigado!"
set. de 2022,2,Não indico,"Péssimo atendimento. O check in não é feito no horário. Tive problemas para conseguir um quarto com cama de casal que já havia reservado mesmo chegando no horário e não tinha quarto vago, quando voltei mais tarde não havia quartos mais com cama de casal. Atendente sem preparo para resolver o problema. Não indico."
set. de 2022,3,Uma experiência bem mais ou menos,"Reservei um quarto triplo, a trabalho, e tivemos alguns contratempos durante nossa estada.    Já no check in, perdemos entre 30 e 40 minutos na fila do check in, além de um atendimento bastante lento quando da nossa vez de sermos atendidas.    Ao acessarmos o apartamento, tivemos muita dificuldade em utilizar os cartões para abertura das portas. Além de haver quase um ""macete"" para acertarmos o tempo certo para destravar a mesma, somente um cartão funcionou da primeira vez. A porta, inclusive, estava com a trava com algum problema, pois ela era acionada espontaneamente quanto a porta era aberta.    Estávamos em 3 no apartamento, um tempo frio e chuvoso na cidade, e o apartamento só dispunha de 2 cobertores. Solicitamos um terceiro, fomos informadas de que a entrega demoraria, porém, o mesmo não foi estregue. Somente no dia seguinte, na recepção do hotel. conseguimos o terceiro cobertor, que nos foi entregue em mãos ainda na recepção, e não no apartamento. Além disso, havia embalagem de biscoito caída por trás da mesa de cabeceira, cabelo no lençol cobre leito e os itens de higiene disponibilizados no banheiro estavam desfalcados.    Ainda na primeira noite, após nosso check in, descemos ao restaurante do hotel para jantar, e o bufê estava com rechaults vazios, mesas faltandos copos e talheres e as sobremesas, expostas, amolecidas. Além disso, a qualidade da comida servida, deixou muito a desejar (um suposto escondidinho com consistência de mingau, super apimentado e sagado).    Como diz o meu título, uma experiência bem mais ou menos (muito mais pra menos)"
