Data da opinião,Nota,Título,Conteúdo
nov. de 2022,2,Só vale se você precisa ficar na Vila Olimpia,"A escolha foi pela localização, fica ao lado do salão onde tivemos um casamento para ir. É tipo “flat”, para uma noite estaria bem OK se não fosse algumas coisas ruins: - internet não funciona bem no quarto e nem no hall, download em +-5mbs, não dá para fazer video conf ou trabalhar em ferramentas online - todas as tomadas são padrão antigo… pedi adaptador e falaram q não tem. Falei q podiam avisar e a recepcionista respondeu somente “é, deveríamos avisar”… - tem varanda mas a porta está chumbada, bem como todas as janelas. - não tem restaurante, dizem q fechou na pandemia e nunca mais abriu. Café da manhã vem numa caixinha entregue no quarto. Se estes pontos não incomodam vc, OK. Pelo menos o quarto é espaçoso."
set. de 2022,1,Fui enganado Não tem Café da Manha,"Nunca vi , um hotel que disse tem café da manhã , mas vem um Kit pronto da padraria da esquina!! Que absurdo, paguei por um café da manhã decente, fui enganado, nunca mais , os funcionários falaram que o restaurante na pandemia fechou e agora o café é assim, porem quando vc faz a reserva está escrito que tem café da manhã, kit é horrível! Ridículo!!"
jul. de 2022,2,Experiência,"Não gostei do modelo do cafe ser em caixas box, meu cafe com leite veio frio , teve muitos itens que não utilizei e outros que gostaria repetir , a chave magnetica inumeras vezes não funcionou inclusive me deixou presa no elevador bem irritante , colcháo muito mole para meu gosto e a noite muito barulhento."
jun. de 2022,5,superou as expectativas,"Embora tenha sido apenas 1 diária, superou todas as expectativas - excelente custo-benefício ótima localização para o evento que que fomos. iremos outras vezes quando for preciso estadia em São Paulo."
jun. de 2022,4,"Boas acomodações, porém parece mais um loft do que um hotel","Boas acomodações, porém divide o espaço com moradores, café da manhã trazem no quarto em um caixinha, não tem restaurante. tem cozinha, escritório, parece um antigo apartamento. mas é limpo e o atendimento é muito bom e muito bem localizado."
jun. de 2022,3,Hotel velho,"Hotel precisa investir em rejuvenecer o ambiente. Atualizar eletros e acomodações, cama razoável, quarto sem ar-condicionado quente, móveis inteiros mas com idade bem avançada, com aquele cheirinho e aspecto de velho... penso que poderia melhorar, para competir com outros hotéis!"
jun. de 2022,5,Excelente custo benefício,Ótimo atendimento e me surpreendeu positivamente o quarto para quem viaja a Negocios. Muito bom para trabalhar dentro do quarto com boa internet e mesa e cadeiras confortáveis. Localização excelente tb.
jun. de 2022,5,Excelente,Melhorar estacionamento / Valet Se terceirizada avisar hospede e emitir recibo pois meu veiculo foi avariado e entrei em contato e aguardo posição dos mesmos para resolução do problema Avisar na entrada sobre
mai. de 2022,1,PÉSSIMO,"PÉSSIMO. Agora servem café no quarto com uns kits ridículos. Mandam tudo errado e quando vc pede para trocar, os funcionários são grosseiros. A recepcionista, inclusive, desligou o telefone na minha cara."
mar. de 2022,1,"Hotel velho, necessita de reforma","Hotel velho, não tem cafe, ar velho, colcha velho. O café é catering de aviao. O ar condicionado é barulhento, restaurante está fechado, as TVs são velhas. Enfim, parece um hotel que parou no tempo, com nenhum conforto pelo preço cobrado. Administração deve rever urgentemente"
