Data da opinião,Nota,Título,Conteúdo
uma avaliação Ontem,5,Excelente,"Excelente experiência, boa recepção, funcionários mt educados principalmente Ezequiel e Diego. Certamente será recomendado aos amigos.,a Fernanda é doce em pessoa , meus filhos ficaram encantados por ela. Estão de parabéns todos desde o momento do check in ate o momento yo check out, obrigada por tudo já estamos com saudades"
24 de dez.,5,Hotel excelente,"Ótimo atendimento, recepção super atenciosa, café da manhã excelente, quarto confortável, ar condicionado, ótima localização, próximo de mercados, catedral. super recomendo!! Viemos no mês de dezembro"
23 de dez.,5,Passeio,"Adorei a estadia, foi tudo maravilhoso, todos funcionários muito atenciosos. Não tivemos nenhum problema nós dois dias que ficamos. Voltaremos com toda certeza! Meu filho se divertiu muito e adorou os mimos! Foi perfeito!❤️"
23 de dez.,4,Excelente localização e atendimento.,"Hotel com excelente localização e atendimento. Café da manhã muito bom, quarto confortável. Único inconveniente é o pessoal vendendo quotas de outros emprendimentos da rede. Apesar de educados, são inconvenientes. Impossível passar pela recepção sem ser abordado. Muito chato."
23 de dez.,5,Excelente!,"Hotel excelente. Localização excepcional. Funcionários super atenciosos. Pontos a melhorar: -Ficamos 1 diária e praticamente em todo o período um dos elevadores estava em manutenção, por isso acabava demorando muito para subir e descer pois tinha apenas 1 elevador funcionando. -Café da manhã com horário marcado é complicado. Você fica preso naquele horário específico e é muito ruim. O hóspede precisa ficar livre para tomar o café a hora que quiser sem agendamento prévio, OU, essa informação deveria estar clara no momento da reserva pois não é o padrão de 99% dos hotéis."
23 de dez.,4,Maravilhoso,"Profissionais super educados, simpáticos, atenciosos, quarto excelente, café da manhã muito bom também, a única coisa que nos incomodou um pouco foi a televisão que não havia Netflix e a qualidade da tela era um pouco ruim, então nós limitava aos canais normais ou celular mesmo, mas fora isso foi incrível."
21 de dez.,5,Laghetto Vivace Canela,"Minha terceira vez em Gramado/Canela, e minha primeira vez na rede Laghetto. Foi uma experiência sensacional, ótima localização, quartos, recepção, café da manhã muitos bons, recomendo. Minha única critica é a cobrança diária do estacionamento, uma cobrança que não deveria existir até porque no valor da diária deveria ter direito ao estacionamento gratuito, acredito pelo potencial da rede Laghetto não precisa cobrar o valor diário do estacionamento, até porque o veículo fica estacionado em qualquer lugar dentro do hotel, vagas apertadas e sem nenhum privilégio. As boas lembranças não podem ser ofuscadas pelo valor do estacionamento, uma sugestão é deixar o veiculo na rua em frente ao hotel."
21 de dez.,5,Adoramos,"Ficamos apenas 1 dia, mas foi uma ótima experiência . Minha filha de 4 anos amou a brinquedoteca e adoramos o café da manhã também. Ótima localização e funcionários simpáticos e solícitos. Nada a reclamar"
20 de dez.,5,Laghetto Vivace Canela,"O atendimento de todos os funcionários (recepção, restaurante, camareiras) do hotel é impecável. Os quartos são maravilhosos, cama e travesseiros macios, limpeza impecável. A localização é maravilhosa, fica realmente no coração de Canela. Tudo perfeito! Um elogio em especial à recepcionista Fernanda que nos recebeu com tanto carinho e simpatia, sempre esclareceu nossas dúvidas e é realmente uma profissional excelente. Com certeza voltarei e indicarei a rede Laghetto para todos que me perguntarem."
20 de dez.,5,Natal Luz,"Hospedar-me no Laghetto Vivace é como estar em casa. A equipe toda é excelente: o Eduardo, a Fernanda e o Guilherme, sempre atenciosos e atentos às necessidades dos clientes. O hotel é super bem localizado, com um excelente café da manhã e acomodações. E a cidade de Canela é linda, e muito próxima à de Gramado."
18 de dez.,5,Ótima experiência amamos,"Nota 10 Hotel ótimo , o quarto espaçoso, funcionários solícitos, s contar o café da manhã que é excelente, perto da igreja de pedra no centro, da para andar a pé deixamos o carro no estacionamento do hotel, das próximas hospedagens vai ser sempre rede Laghetto."
17 de dez.,5,Viagem,Fomos muito bem atendidos e recepcionados! As acomodações são muito boas e limpas! Café da manhã excelente! Os funcionários são bem atenciosos! A limpeza do quarto foi impecável. Com certeza voltaremos em uma próxima oportunidade!
16 de dez.,5,Otimo,"Hotel excelente, os quartos são super limpos e a estrutura é bem aconchegante. Todos os funcionárias são super atenciosos e educados. O café da manhã também é muito gostoso. Pretendemos voltar mais vezes para Gramado e ficar novamente neste hotel."
15 de dez.,5,Passeio em família FANTÁSTICO,"Tudo excelente! Atendimento cordial de todos os funcionários, instalações novas, TV smart nos quartos e ótima localização do hotel, com várias facilidades no entorno (caminhando) tais como farmácia, lanches, restaurantes, supermercados, lojas e igreja."
15 de dez.,5,Hotel laghetto vivace canela,"Hotel maravilhoso, comprometimento dos funcionários, gentis e carismáticos, café da manhã excelente, com variedades e qualidades muito boas, sala de jogos e academia de primeira mão, além do sistema de faxina magnífico"
15 de dez.,5,Experiência única.,"Exelente experiência, encontramos dedicação e atenção em cada detalhe. Café da manhã completo, cheio de opções. Quartos completos e camas super confortáveis. Profissionais super educados e dispostos a atender no que for preciso."
15 de dez.,5,Atendimento espetacular,"Ótimo hotel, desde recepção, comida, camareira. Tudo ótimo. O quarto muito bem preparado, colchão muito bom. Climatizado, ótima orientação solar. Profissionais muito bem preparados e educados. Indico!"
14 de dez.,5,Ótima hospedagem!,"O hotel é ótimo, o quarto impecável e a equipe muito atenciosa e prestativa.  Ótima localização, no centro de Canela, com mercado e farmácias muito próximos ao hotel, excelente para quem tem criança.  Gostamos muito!"
13 de dez.,5,Hotel Laghetto Vivace Canela,"Hotel excelente, atendimento nota 10, limpo, organizado e com um excelente café da manhã e uma excelente localização.  Pontos de melhoria, faltou a piscina pelo preço da diária.  Com certeza na próxima visita a Canela ficarei nele.  Cidade linda e bem organizada com fogos de natal bem lindos."
11 de dez.,5,Um dos melhores de Canela,"Excelente local! A equipe do hotel é muito atenciosa e preparada, agradeço Fernanda pelo atendimento cordial e zeloso. Hotel bem localizado, com toda a infraestrutura necessária a volta, recomendado para que vai com crianças pequenas"
9 de dez.,5,Acolhimento,"Experiência excelente. O hotel apresenta ambientes ,limpos e amplos sua localização é ótima. O quarto estava atendendo nossas necessidades ,amplo e limpo. O atendimento da recepção foi maravilhoso,os funcionários Ezequiel ,Fernanda e Eduardo foram atenciosos,solícitos e muito queridos."
9 de dez.,5,Uma estadia perfeita,"Tivemos uma ótima estadia desde o moleque chegamos até nossa saída. Pessoas altamente educadas e atenciosas. Quando solicitadas prontamente estavam disponíveis a ajudar e Com extrema simpatia e educação. Na saída fomos atendidos com extrema agilidade e educação por Ezequiel, Eduardo e Fernanda"
9 de dez.,5,Trabalho,"Experiência excelente  Otimo hotel, muito limpo e cuidado.  Excelente restaurante  Boa localização  Ótimo Estacionamento  Excelente atendimento  Bom chuveiro  Obrigada por tudo atendimento  Showwwwwwwwweeeeeee"
8 de dez.,5,Experiência incrível,"Foi tudo maravilhoso, começando com a recepção do Márcio, que nos atendeu tão bem, de forma atenciosa, e prestativa. O Hotel é limpo, organizado, e todas as comidas estavam deliciosas. Todos os funcionários são de uma generosidade e gentileza sem igual. Além da cidade ser belíssima! Fomos no Natal Luz, e foi uma experiência sem igual."
8 de dez.,4,Visita a passeio.,"Não achei legal cobrar estacionamento.    Não gostei do café da manhã ser com hora marcada.    Um dia, o nosso quarto não foi limpo. Aliás, a limpeza pode ser bem melhor.    A localização do hotel é ótima.    Os funcionários são atenciosos."
8 de dez.,5,Recomendo,Boa localização.  Local bom e bem centralizado em Canela.  Bom atendimento e atenção dos funcionários.  Bar ao lado com atendimento e música agradável.  Bom cafe da manhã.  Limpeza boa. Ambiente familiar. Recomendo para passeios e festividades.
8 de dez.,5,Top,"Hotel super bem localizado, recepcionistas atenciosos, tudo muito bom, café da manhã maravilhoso e quarto aconchegante, com certeza quando voltar ficarei em algum hotel da rede Laghetto. Gostei e recomendo."
8 de dez.,5,Vale o custo benefício,"Tudo muito bom , ficamos hospedadas a negócios e tudo saiu conforme precisávamos. - única coisa se eu pudesse dar de dica seria melhorar o chuveiro e no apartamento tinham alguns pernilongos tb mas em sumo foi tudo mto bom"
7 de dez.,5,Viagem à gramado/canela,"Excelente. Atendimento exemplar, cortes, pontual e solicito. Café da manhã gostoso. Limpeza do quarto muito boa! Atendentes bem humorados e dispostos. Boa vontade no atendimento e criatividade em resolver problemas."
7 de dez.,5,Maravilhosa !!!,"Ótima acomodação e localização, os funcionários do hotel são excelentes, em destaque a Fernanda e o Ezequiel, super educados e prestativos. É nossa segunda vez no hotel, e com certeza voltaremos amor"
6 de dez.,5,A escolha certa,"Toda vez que viajo a Canela, faço questão de ficar hospedado no hotel Laghetto Vivace e não é pela excelente localização, pelo ótimo café da manhã ou pelo conforto de seus quartos e sim pela maravilhosa recepção que tive desde a minha primeira hospedagem. É surpreendente toda a atenção, cordialidade, simpatia e prestatividade que o Sr. Leandro e a Sra. Fernanda nos recebem, a sensação é de encontrarmos amigos de longa data os quais posso contar e conversar, realmente recomendo!"
5 de dez.,5,Viagem em família,"Excelente atendimento do início ao fim. Fomos atendidos pela Fernanda e Ezequiel. Parabéns!! Super recomendo. Café da manhã e acomodações se destacam na qualidade, além da localização que torna a experiência muito mais tranquila."
5 de dez.,5,Família,Quero deixar aqui meu agradecimento a todos que nos atendeu com tanto carinho  Hotel no centro  Limpeza nota 1000  Atendimento em especial a Fernanda e Ezequiel que nos deu toda atenção do começo ao fim  Café da manhã muito bom  Voltarei com certeza
5 de dez.,5,Família,"Ótimo hotel!! Café da manhã muito bom, com ótima localização próximo da catedral. Agradeço o ótimo atendimento da Fernanda e Ezequiel meus parabéns pelo excelente atendimento  Voltarem com certeza até a próxima pessoal"
5 de dez.,5,Hospedagem em Canela,"Amamos o hotel, bem localizado, café da manhã maravilhoso, limpeza do quarto admirável, funcionários atenciosos e muito receptivos. Sera nossa opção no próximo retorno. Ficamos encantados por Canela, local maravilhoso"
4 de dez.,5,Laghetto vivace,"Muito bom o hotel, os profissionais do hotel foram todos muito atenciosos, tivemos problema com ar condicionado e foi prontamente resolvido, o hotel está de parabéns, o restaurante junto hotel tem um excelente cardápio e é muito bom."
4 de dez.,5,Experiência maravilhosa,"Ótimo atendimento, lugar muito bom, muito bem localizado perto de tudo, farmácia, mercado, igreja de pedra e restaurantes, brinquedoteca muito boa, bem equipada, quarto muito confortável e os funcionários educados e muito atenciosos"
4 de dez.,5,"Sensacional, voltarei sempre!","Estrutura e atendimento maravilhoso!!  Área kids excelente, com muitos brinquedos novos e de qualidade, nossas crianças adoraram!  Equipe muito atenciosa, Bruna, Franciele, Fernanda e da WAM o Val que foi um querido!!"
3 de dez.,5,Férias,"O hotel é simplesmente o melhor que já fui em Canela. A localização é muito bem centralizada permitindo acessar restaurantes, lojas, mercado, farmácia e tudo o que precisar sem precisar de um veículo. Quando a estrutura interna o hotel oferece academia, sala de jogos, sala de estar com lareira e área kids, além de dispoibilizar bicicletas para empréstimo. O atendimento da equipe é excepcional, todos atendem com cordialidade e prontidão. Além de tudo o estabelecimento conta com algumas parcerias que proporcionam descontos para diversas atrações e restaurantes."
nov. de 2022,5,EXCELENTE - Marco Lacerda e Elciane,"Adoramos os 8 dias que passamos no Laghetto Vivace Canela, para comemorar o aniversário da minha esposa.  O atendimento de toda a equipe, Fernanda, Leandro, Márcio, Diego, Ezequiel, o Mangueirense, a Lourdes que deixava o quarto arrumadinho e cheiroso,  o pessoal do café da manhã, tanto garçons como da cozinha. Foi tudo maravilhoso , deixamos amigos. Voltaremos."
nov. de 2022,5,Espetacular,"Nota mil. Ambiente muito agradável, harmonioso e tranquilo. Um excelente atendimento de toda a equipe de funcionários desde a portaria a equipe de restaurante e limpeza Um lugar para o carro possibilitando total tranquilidade para passeio. Um ambiente onde podemos indicar com excelência."
nov. de 2022,5,1 noite mas valeu como muitas!,"Chegando no hotel, as primeiras impressões já são ótimas. Dos manobristas ao recepcionistas e concierges, todos prestaram atendimento de excelência. O restaurante do hotel é ótimo, ambiente aconchegante e sofisticado. Áreas comuns nota 10: academia, living, área kids e sala de jogos. Limpeza dos quartos nota MIL. Localização então, nem se fala, fica a duas quadras da avenida com os principais restaurantes. Café da manhã tranquilo com horário agendado. Estadia excelente, mas com certeza a cortesia do atendimento e cuidado com os clientes foi o ponto alto. Retornaremos sempre que possível."
nov. de 2022,5,Ótimo!,"Excelente serviço de quarto, colaboradores simpáticos e sempre dispostos a mudar. Café da manhã farto e acomodações em boas condições! Hotel muito limpo, academia de bom tamanho, excelente sala de jogos!"
nov. de 2022,5,Hotel laghetto canela,"Agradeço a todos pelo atendimento e em especial ao Rodrigo que nos deu um atendimento excepcional.  Parabéns a toda equipe.  Com certeza voltaremos e ficaremos hospedados no mesmo hotel.  Excelente em tudo, rapidez no atendimento e excelência no que fazem."
nov. de 2022,5,Viagem maravilhosa,"Muito bem atendido desde a chegada, recepção, café, cuidados com meu carro, na hora da saída muito bem atendido por parte da recepção...  Voltarei nesse hotel todas as vezes que voltar na serra Gaúcha.."
nov. de 2022,5,Excelente serviço,"Melhor estadia possível! Hotel excelente, serviço, atenção dos funcionários e café da manhã de primeira qualidade. Recomendo muitíssimo! Limpeza também é ótima. Localização excelente. Hotel bastante agradável."
nov. de 2022,5,Excelente semana em Canela no Natal Luz !11,"Estive hospedado no Laghetto Canela na semana de 13/11/22 a 20/11/2022. Excelente custo benefício do hotel em Canela . Otima localização e quartos espaçosos e muito bem cuidados pelos serviços das excelentes camareiras. Ponto forte o atendimento prestativo e educado dos funcionários da recepção , em especial do Diego , do João , do Ezequiel e do Eduardo. Café da manhã está bom mas pode melhorar um pouco com mais variedades . Pretendo voltar com minha família em breve para o Laghetto Canela"
nov. de 2022,5,Super Reconendamos,"Atendimento excelente. Todos muito educados. Quarto confortável, cama, travesseiro, edredom de ótimas qualidades. Chuveiro muito bom. Adoramos a estadia e recomendamos de olhos fechados. Café da manhã super completo."
nov. de 2022,5,Viagem de Lua de Mel.,"Tudo excelente, desde a chegada até a partida. Fomos muito bem recebidos com uma lembrança da lua de mel e também por ocasião do meu aniversário! Café da manhã excepcional, além da excelente localização!"
nov. de 2022,5,10 anos de casados,"Excelente, maravilhoso. Um dos melhores hotéis que ficamos. Limpeza e organização 10. Obrigado a família agradece.  Quartos aconchegante, recepção atenciosa e um cafe da manhã maravilhoso. Muito obrigado por toda atenção."
nov. de 2022,4,Ótimo hotel!! Local perfeito!,"Ótima localização, quartos e estrutura. A única coisa que ficou a desejar foi a lotação no café da manhã. Chegou uma excursão ou algo do tipo e ficou inviável servir qualquer coisa, de tanta gente. O rapaz que cuida da entrada queria limitar os locais de sentar para deixar todos eles juntos, mas era muita gente. Achei desconfortável. A ressaltar que o café era ótimo, assim como todo restante do hotel, mas essa organização não foi boa."
nov. de 2022,4,Vale a pena,"Quarto muito bom. O ponto alto é o atendimento. Pessoal simpático e prestativo. Café da manhã é farto, mas não varia de um dia para outro. Fica num local estratégico, com facilidade para conhecer Canela, Gramado e outras cidades da serra gaúcha."
nov. de 2022,5,Viagem de férias,"Ótimo atendimento, ótimo café da manhã, atenção dos funcionários. Laghetto tem um ótimo padrão de hospedagem. Proximidade dos pontos turísticos da cidade. Sempre que viemos à Gramado ou Canela nos hospedamos na rede Laghetto."
