Data da opinião,Nota,Título,Conteúdo
uma avaliação Hoje,5,Réveillon top,"A melhor festa de réveillon que já participei. Perfeito em todos os sentidos. Organização, decoração, buffet e o pessoal da recreação top, muito atenciosos e cuidadosos com as crianças. Garçons atenciosos"
uma avaliação Hoje,5,Recreação top .,"Recanto cataratas top demais, a Cacau então nem se fala, animação pura, nota 1.000 para ela e para toda a equipe, eu recomendo de olhos fechados, quando estamos desanimados ela nos anima, nos incentiva a participar das provas, anima a todos. O quati também é demais, animado, prestativo, anima a todos também. Esse hotel é o melhor que eu já frequentei."
dez. de 2022,5,Viagem de Fim de Ano,"Top demais.    Recreadora Cacau e Cenoura são muito Top. Atendente de Bar, Godoy e Guto são os melhores.    Parabéns ao chef do resto. Café da manhã excelente. Pratos da piscina ótimos e jantar excepcional.    Melhor resort do Brasil!!!!"
dez. de 2022,5,Lugar maravilhoso com a melhor recreação!!!,Dias incríveis com a família e amigos! Equipe muito simpática!! E a recreação é a melhor do Brasil!!! Os recreadores são sensacionais e absolutamente cuidadosos! Nossas filhas em ótimas mãos!! As refeições são muito boas! A única reclamação é que o risoto leva farinha no preparo! Pessimo para quem ama risoto e não pode com glúten! Dica: risoto legítimo italiano não leva farinha de trigo! 😉
dez. de 2022,5,Pacote de Natal 2022,"Estadia perfeita no Recanto Cataratas! Recreação TOP, sempre envolvendo e fazendo as crianças/adolescente se divertirem!! Ceia de Natal maravilhosa com decoração impecavel e comida deliciosa! Recomendo muito passar o Natal no Recanto Cataratas!"
dez. de 2022,5,Um lugar que você vai querer voltar,"Todo ano, eu e minha família passamos o fim de ano no Recanto, pois é tudo de bom. A comida é uma delícia, os quartos são muito confortáveis e a equipe toda é excelente, um salve ao pessoal da recreação que torna tudo muito divertido, abraços pra Cacau!"
dez. de 2022,5,Avaliação do garçom da parte da piscina,"Fomos super bem atendidos pelo garçom hevertom com H, aqui na área da piscina!!!! Um lugar super bom para passar com a família. Voltaremos com toda certeza, uma ótima experiência, super aconchegante e comida boa"
dez. de 2022,5,Ceia de Natal em família,"Parabenizo toda equipe , passamos uma semana maravilhosa, como sempre atendimento excelente, a ceia de natal no Maestra foi além do que esperávamos, vcs são 10, ano que vem estaremos novamente aí 👏👏"
dez. de 2022,5,Pacote de natal Recanto Cataratas,"Gostaria de deixar meu grande elogio ao Resort Recanto Cataratas de Foz do Iguaçu, que nos atendeu com toda atenção durante nossa estadia. Contratamos o pacote de natal e foi tudo perfeito! Dias maravilhosos, agradecimento especial ao metre Darlon, que é um exemplo de profissional e excelente no que faz! Recanto Cataratas, o melhor resort de Foz do Iguaçu, já estamos ansiosos para a próxima!"
dez. de 2022,5,Melhor lugar,"Não tem como não aproveitar a estadia no Recanto. O pessoal da recreação, O tio Quati e a Tia Cacau são muito legais, nos enturmaram e não deixam a galera parada. A comida é uma delícia, eu saí rolando de todas as refeições. Pessoal da recepção é bem atencioso. Realmente vale a pena!"
dez. de 2022,5,Adolescente,"Fiquei com a recreação de adolescentes com a tia raya e a tia peppa foi muito divertido ela são super simpáticas, fizemos várias atividades como vira vira com refrigerante, boliche e até assistimos o show do Diogo Portugal"
dez. de 2022,5,Natal 2022 no Recanto Cataratas,Natal em família tudo perfeito  Superou as expectativas  Uma festa natalina incrível !  Funcionários exemplares muito atenciosos e eficientes  Boa comida e atrações para toda a família  Com certeza voltaremos mais vezes neste lugar incrível !  Super indico
dez. de 2022,5,Hotel Recanto - agradecimento ao Darlon e Wesley Siqueira,"Boa noite, eu e minha familia gostaremos de agradecer ao maitre Darlon e ao garçom Wesley Siqueira pelo atendimento excepcional, o de sempre, hotel Recanto Cataratas é o melhor de Foz graças, também, a esses profissionais excelentes que o hotel possui!"
dez. de 2022,5,Hotel Recanto Cataratas,"Excelente hotel, café da manhã completo, jantar top, com música ao vivo, piscinas aquecidas, bar molhado, piscina coberta.Um hotel completo e cheio de atrações.Super indico para passar momentos em família de férias ou a trabalho."
dez. de 2022,5,Férias de natal,Sem palavras foi simplesmente maravilho curtimos muito uma das melhores férias que já tivemos ótima sopesarem comida muito boa bem variada com um cardápio especial de natal foi simplesmente perfeita  Nossa filha amou os monitores que sempre muito pronto estavam ali pra atender e os colaboradores sempre muito simpáticos a recepção muito boa também com certeza iremos voltar outras vezes
dez. de 2022,5,Recreação adolescente,"Foi muito legal, as brincadeiras, as pessoa, me diverti muito com as tias peppa e raya e fiz muitas amizades elas são incríveis amei, fizemos muitas brincadeiras, jogamos beach tênis volei na piscina e campeonatos valendo brindes"
dez. de 2022,5,Hotel excelente,"Atendimento muito bom, quartos excelentes, pessoal do bar Collection tem um atendimento muito diferenciado principalmente o Douglas, Rhigans e Lucas Matheus.  Podem reservar o hotel sem medo, não vão se arrepender."
