Data da opinião,Nota,Título,Conteúdo
24 de dez.,5,Passeio de natal com a família,"Uma excelente hospedagem. Excelentes apartamentos, ficarmos no 1703 com 2 suítes.    Agradecimento especial ao excelente atendimento da Sra Priscila na recepção, do Sr João e Sr Milton, mensageiros e manobristas.    Feliz natal e ano novo.    Imagens da varanda."
20 de dez.,4,Ótimo custo/benefício.,"Embora a manutenção esteja a desejar (tampa do vaso solta, puxador do box de vidro solta e pequenos detalhes). A equipe de atendimento na recepção tanto o manobrista como o Luciano que fez o checkout foram perfeitos."
18 de dez.,5,Recomendo a todos,"O Luciano nós recepcionou muito bem, encontramos nele a confiança para resolver qualquer problema. Muito simpático e atencioso, demonstra a preocupação do BLUE TREE TOWERS com seus hóspedes. Nota 10!!!"
10 de dez.,5,Estadia muito boa,"Hospedagem muito boa, quarto e chuveiro bons. Atendimento dos funcionários excelente, educados, atenciosos, solícitos. Café da manhã bom. Academia boa, apesar de poucas esteiras. Retornaremos com certeza."
6 de dez.,3,Atendimento na Recepção,"Foi o melhor atendimento em recepção que tive em hotéis pelas capitais por qual passei, em especial a forma cordial, simpática e prestativa da Sra Priscila. Atendimento realmente diferenciado e extremamente educado."
4 de dez.,5,Bom atendimento da recepção - funcionário Felipe,"Reservei a diária por aplicativo, quando cheguei era o dobro do preço do balcão. Funcionário de front desk Felipe, fez compensar minha frustração com up grade bem legal ;).  A vista do 15º andar é linda"
3 de dez.,5,Semana de trabalho,"Localização excepcional! Atendimento muito bom! A recepcionista Marcela resolveu o problema de reserva, que não estava confirmada, com a maior presteza e tranquilidade! Me hospedarei novamente aqui, com certeza!"
2 de dez.,5,Viagem a trabalho,"O s colaboradores Luciano e João do turno da noite ,foram muito atenciosos em nós receber !  É muito bom saber que temos pessoas comprometidas e djspoatas e efetuar o seu trabalho com carinho!  Parabéns Blue Tree de POA!"
nov. de 2022,5,Hotel blue tree porto alegre,"Muito bom hotel , quartos cômodo y confortável cafe de mañana maravilhoso con muitas variedades .    Chegamos 2:00 da madrugada y fomos recibidos por Luciano, o atendimento dele foi maravilhoso!    O hotel têm estacionamento fechado .    …………….."
nov. de 2022,4,.,"No 123 realizamos a reserva de um quarto com cama de casal, porém eles reservaram um quarto com duas camas de solteiro. Como o hotel estava cheio, não conseguiram fazer a troca.  O atendimento é de primeira qualidade, muito atenciosos, principalmente os meninos que levam e buscam os veículos do estacionamento."
nov. de 2022,5,Ótima experiência,"Atendimento super bom. Cama e chuveiros bons, tudo super limpo, vista linda. Café da manhã excelente com muitas variedades . Ótima experiência. Super bem localizado, adoramos tudo  Quarto bem espaçoso."
nov. de 2022,5,Muito bom,"Hotel com boa localização, atendimento ótimo! Tanto o pessoal da recepção, café e os manobristas muito simpáticos. Com certeza, ao voltar para Porto Alegre escolherei esse hotel novamente!  Próximo a shopping e o estádio beira rio"
nov. de 2022,5,Excelente,"Atendimento e acomodações excelentes, ótimo café da manhã e estrutura muito boa. Gostaria de parabenizar o atendimento e acolhimento de toda equipe de recepção e manobristas, foram muito cordiais e simpáticos."
nov. de 2022,5,Luciano,"O colaborador Luciano se mostrou um excelente profissional,prestou um atendimento,gentil,profissional é muito competente.  Recomendo o hotel e principalmente o colaborador da recepção Luciano  Obrigada!  Sucesso  Atenciosamente  Alcione Macêdo"
nov. de 2022,2,Muito abaixo do esperado,"Pelo preço e reputação do hotel, qualidade muito baixa. Quarto sem manutenção. Quarto sem black-out na janela. Acústica muito ruim. Chuveiro velho, portas não fecham direito. Chegou a despencar um pequeno lustre do teto do banheiro. Elevadores dando problemas, um deles com alarme constantemente ligado. Experiência muito ruim."
nov. de 2022,5,Muito Agradecida,"Eu sou muito agradecida pelos funcionários do Hotel, todos, pelo excelente profissionalismo e superior trato ao visitante. Eu realmente fiquei muito satisfeita com tudo que vivênciei no Hotel.  Muito Obrigada e se eu tiver sorte, volto numa outra oportunidade.  Daniela"
nov. de 2022,5,CONGRESSO BRASILEIRO DE OTORRINO,"Otimo atendimento, boa localização, excelente tratamento com os hospedes. Hotel com entrada e atendimento eficientes. Ficamos felizes com o quarto, o restaurante e as atendentes muito atenciosas conosco. Secador, tomadas 220 e 110 para uso."
nov. de 2022,5,Avaliação,"Avaliação ótima. Atendente Luciano . Café da manhã bem distribuido. O jantar também estava muito bem servido. Quarto silencioso, limpo e agradável o ambiente. Apenas no banheiro tem um vazamento no quarto 510"
nov. de 2022,5,Amei Tudo!,"O prédio e os funcionários são excelentes, todos muito educados e cordiais, o café da manhã 5 estrelas de tão divino! Recomendo de olho fechado!    E a visão da cobertura é maravilhosa💕    Ah é a limpeza é de tirar o chapéu 🎩    E o manobrista então , super simpático e gente boa !"
nov. de 2022,5,Elogio,"Hotel Blue tree é maravilhoso, a recepção do Sr. Milton baiano é sensacional. Localização perfeita, próximo do shopping Praia de Belas, próximo do Gasômetro, Ótimo atendimento dos funcionários, vista perfeita. Super recomendo."
nov. de 2022,4,Viagem,"Pouca manutenção no banheiro do quarto, lixeira quebrada, porta shampoo com o vidro solto.  Piso da piscina extremamente sujo.  Ramal 9 bastante demorado para atender.  Atendentes atenciosos.  Café da manhã muito bom."
nov. de 2022,4,Boa experiência.,"Sempre uma ótima alternativa de hospedagem em Porto Alegre. Pessoal atencioso, quartos amplos e claros. Apenas duas sugestoes: colocar smartvs em todos os quartos e atentar, no café, da manhã, pela maior rapidez na reposição dos itens de alimentação."
nov. de 2022,5,Viagem,"Atendimento de qualidade. Todos os funcionários atenciosos e simpáticos. Sr. Milton Baiano, carismático demais. Hotel muito limpo, academia bem equipada. Ambiente da piscina é excelente, sem contar a vista da cobertura!! Parabéns a toda equipe!"
nov. de 2022,5,Avaliação hosdagem,"O Blue Tree Tower é um ótimo hotel. Excelente atendimento, todos os funcionários são muito atenciosos e simpáticos. A estrutura é muito boa: academia muito bem equipada, piscina, restaurante e um café da manhã maravilhoso."
nov. de 2022,1,Atendimento imperdoável.,"Apartamento 1604 ficou sem água quente para banho, dificuldades de comunicação (ninguém avisou nada), foram disponibilizar outro apartamento para o banho somente na hora do checkout, pelo que, não foi possível usufruir por compromissos profissionais com data e hora já marcados. O apartamento foi locado, sem toalhas de banho, por este motivo, solicitamos na recepção, no dia anterior à saída. Estofados manchados."
nov. de 2022,5,Visita rápida a Porto Alegre,"Eu e meu namorado fomos no dia 5 desse mês para Porto Alegre ver o jogo do Internacional no Beira Rio e fomos muito bem atendidos nesse hotel, baianinho se não me engano era o manobrista, muito gentil e engraçado, o café da manhã foi sensacional, e os quartos atendem bem ao conforto e descanso. Nota 10!"
nov. de 2022,5,Ótimo,"Ótimo atendimento, vista maravilhosa. O hotel conta com uma cobertura incrível, com piscina aquecida, academia, sauna e uma vista linda do por do sol! Quartos bem confortáveis e limpos, tudo muito bom."
out. de 2022,5,Atendimento Impecável,"Equipe de atendimento gentil deixando a estadia agradável. Quarto confortável, limpo e amplo. Bom café da manhã e o restaurante serve vários pratos. Localização boa, próximo ao Shopping Praia de Belas."
out. de 2022,5,Elogio,"Deixo meus elogios ao funcionário Milton Baiano pela sua atenção sempre que venho ao. Hotel blue tree Porto Alegre. Além de cuidar dos hóspedes, cuida também do patrimônio e boa apresentação do lobby.  Também muito boas as recepcionistas Tassiana e Pricila , atenciosas , eficientes e simpáticas.  Silvia e Roberto Plein.  Investidores do Millenium"
out. de 2022,5,Bem localizado e excelente estrutura,Hotel muito bem localizado próximo da orla e com excelente estrutura! Restaurante de boa qualidade e quartos limpos e com bom espaço! Com certeza retornarei em outras oportunidades ao Blue Tree Em Porto Alegre!
