Data da opinião,Nota,Título,Conteúdo
24 de dez.,1,Decepcionante,"O hotel terceirizou o estacionamento, mas a cada vez que você entra ou sai do estacionamento paga mais uma diária. Se você precisar ir até o shopping a tarde e voltar, vai pagar mais uma diária, se sair pra jantar, mais uma diária. Um absurdo sem tamanho!"
14 de dez.,5,Excelente!,"O hotel fica bem próximo ao aeroporto e disponibiliza transfer gratuito na chegada. Também é possível pedir transfer para o aeroporto, mas esse é pago. Farto café da manhã. Possui bar e restaurante. Ótimas instalações, tudo novo e muito limpo. Agilidade no check-in e check-out e funcionários gentis e simpáticos."
nov. de 2022,5,Ótima experiência,"Excelente opção para congresso na Fiergs, achei melhor estruturado que o outro Ibis (Assis) de frente para o centro de convenções, e funcionários simpáticos e prestativos, principalmente a recepcionista Laurien e o subgerente Gean, que nos ajudaram bastante. Minha avaliação é 5 estrelas para o padrão Ibis, que é considerado 5 estrelas."
jul. de 2022,5,Boa localização e o café da manhã vale a pena,"Excelente localização . Café da manhã farto e variado . Usamos a sala de ginástica e o Estacionamento, que é pago à parte . As Instalações estavam limpas. Há um shopping nas proximidades , com praça de alimentação , porém optamos por pedir delivery (iFood ) e gostamos muito da pizza da Osteria Trinitá, sabor Rural"
jun. de 2022,2,Hotel antigo e precisando de manutenção.,"Hotel antigo, quarto barulhento e o ar condicionado não funcionou (quarto 169). O chuveiro é bom. A única vantagem é estar localizado perto do aeroporto. Não compensa pelo valor cobrado pela diária. Pelo mesmo valor da diária dá para ficar hospedado em hotéis mais distantes do aeroporto, porém bem melhores."
mai. de 2022,3,Bom hotel,"Hotel bom. Bem limpo, quarto confortável, banheiro ótimo!  Apesar do café da manhã ser cobrado a parte, quando me hospedei o valor foi de 35 reais por pessoa + valor do apto.  Não há funcionários pra ajudar com a bagagem e o estacionamento também é pago.  No geral, fiquei satisfeita com o hotel."
mai. de 2022,3,Pratico para o viajante,"Perto do aeroporto com transfer gratuito (aeroporto-hotel) e pago (R7 - hotel -aeroporto).  Bom café da manhã e bom serviço no restaurante a noite.  Equipe simpática e eficiente  Boa qualidade de internet, sem quedas de velocidade nos horários de pico.  Precisa trocar as toalhas que estavam bem puídas."
mai. de 2022,5,Voltaria,"Recepção com ótimo atendimento check in rápido, preço bem acessível, queria ter feito academia mas não deu tempo, quarto bom, bem equipado com canais infantis, cama confortável e grande, banheiro bem equipado. em geral foi tudo bom. Não provei o café, mas achei bem grande o bife com bastante opções."
abr. de 2022,3,Hotel bom,"Hotel padrão Ibis, com destaque para: café da manhã muito bom, perto do aeroporto (tem transfer aeroporto x hotel gratuito), funcionários atenciosos, boa limpeza e roupa de cama. Ponto negativo: poderia melhorar as tolhas."
abr. de 2022,3,Suficiente Pela Localização,"Hotel tem um preço bom por ser ao lado do aeroporto, o que é muito prático, mas as instalações são antigas, e os quartos estão precisando de uma atualização.  Prós: localização excelente em relação ao aeroporto, com transfer grátis do aeroporto para o hotel, e R$7 por pessoal do hotel para o aeroporto; chuveiro excelente, com bastante pressão; funcionários muito educados e prestativos.  Contras: quartos antigos; lençóis não muito bons, com manchas, e toalhas piores ainda, quase a ponto de ter furos (e no dia que fomos esqueceram de disponibilizar a toalha de rosto); refeições com preços altos e pouca variedade pelo valor (na época a janta foi R$59, e o café R$29, livre por pessoa)."
