Data da opinião,Nota,Título,Conteúdo
uma avaliação Hoje,3,Vale pela localização!,"A localização e o café da manhã compensam! Porém, achamos o mobiliário bem desgastado e o ar condicionado bem antigo fazendo um grande barulho à noite o que atrapalhou um pouco o sono. Os funcionários são bem cordiais e prestativos. A limpeza do chão do quarto deixou um pouco a desejar, parecia que estava melado o chão, não sei se é devido a cera… a comida servida no restaurante do hotel achamos com um preço um pouco salgado."
2 de dez.,5,Ótima Experiência,"Hotel bem localizado ao lado do parcao, próximo a vários lugares interessantes todos funcionários muito solícitos e sempre dispostos a ajudar O quarto é simples mas muito confortável! Café da manhã é uma delícia e bem variado"
1 de dez.,5,Reunião,"Muito bom o hotel, recomendo. Fui fazer uma reunião de negociões pela empresa e fui muito bem atendido, comida muito boa além. No geral não tenho nada a reclamar sobre o hotel. Acho uma ótima opção .."
nov. de 2022,5,Boa localização,"Hotel bem localizado, próximo a calçada da fama, comércios em geral e ao Shopping Moinhos. Oferece buffet no jantar com preço único. Quarto espaçoso e sugiro quartos ao final do corredor pois estes tem vista para o Parcao (Parque Moinhos)."
set. de 2022,5,José Augusto Almeida,Qualidade e servicos contantes nas ocasioes que retorno a esta unidade da rede Quality. O que mantém minha escolha e preferência pelo mesmo. Ressalvo como sugestão experimentar e ampliar possibilidades do cardápio do restaurante.
ago. de 2022,1,Péssimo do início ao fim!,"A começar pela falta de sensibilidade ao informar que não tinham quarto disponível para check in antecipado, mesmo nos colocando a favor da cobrança extra (nosso voo saiu muito cedo do SDU e chegamos mortos de cansados no hotel). Nos foi “sugerido” aproveitar o café da manhã pela recepcionista (péssima profissional), e ao tomar uma xícara de café com leite e comermos 4 pães de queijo, nos foi cobrado 45,00 por pessoa (no caso, o casal), isso criou um clima desconfortável e desonesto por parte da recepção (não pagamos, e a tal recepcionista, fez um drama ao dizer que “assinaria” nossa “despesa”. Ao fazer o Check in, subimos para o quarto, e o pesadelo continuou, a descrição do hotel dizia q teríamos uma TV LCD 37 polegadas, além de não ser a tv prometida (A TV ERA TELA PLANA BEM…"
jul. de 2022,5,Excelente hospedagem,"Hotel muito bem localizado, no bairro Moinhos de Vento, na frente do Parque Moinhos de Vento! Atendentes simpáticos e muito prestativos. Foram muito solícitos nos pedidos que fiz! Agradeço pelas boas indicações de serviços na região."
jul. de 2022,2,Poderia ser muito melhor,"Pelo preço cobrado (em relação aos demais hotéis de POA), o hotel deveria ser muito melhor. O quarto onde fiquei era muito antigo, com mofo na parede e partes se soltando. Além disso, era possível ouvir claramente o que os hóspedes do quarto ao lado, ou do corredor, estavam conversando. Nenhuma flexibilidade em relação ao horário de check in e café da manhã apenas mediano. De modo positivo, a localização é boa, os funcionários são simpáticos e há um restaurante interessante."
jul. de 2022,3,Decepcionou,"Pontos Positivos: 1) Localização: O Hotel está localizado em uma das regiões mais nobres de Porto Alegre, em frente ao Parque Moinhos de Vento. Possui várias opções de restaurantes e lanchonete, comércios e farmácias, além de um shopping agradável. 2) Atendimento: A equipe do hotel é extremamente educada e atenciosa. O check-in foi realizado de forma rápida. As funcionárias da limpeza foram bastante agradáveis e limparam o quarto de maneira bastante eficiente e rápida. 3) Café da Manhã: O Café da manhã é bastante completo, com diversas opções de alimentos e bebidas. O espaço do café da manhã é bastante agradável e, mesmo em um final de semana com a cidade lotada, não houve falta de mesas ou filas desagradáveis. Pontos Negativos: 1) O hotel parece ter passado por uma…"
jul. de 2022,2,Um dos piores,"Além da propaganda de serviços no site serem totalmente enganosas, a estrutura do hotel é péssima. Paguei por um apartamento de nível superior, ou seja, mais caro, e anexarei as fotos aqui. Infelizmente não consigo anexar o cheiro de jaula de urso que tinha no meu quarto, no da minha sogra e no do meu filho."
