Data da opinião,Nota,Título,Conteúdo
uma avaliação Ontem,5,PARA QUEM QUER FICAR NO MEIO DA MOVIMENTAÇÃO. Excelente opção.,"Hotel muito bem localizado. Melhor localização para quem quer ficar no meio da movimentação de Gramado. Muita coisa pode ser feita a pé. Se tem crianças pequenas, use o carrinho (você pode alugar carrinho, berço, cadeirinha etc. na cidade). Café da manhã muito farto, academia e piscina de alto nível, brinquedoteca como poucas, grande e com atenciosos monitores. Atendimento em todo o hotel, nota 10. Restaurante DUO, uma dos melhores de Gramado, fica no próprio hotel. Quartos não são muito modernos, mas são bons o suficiente. Tudo bem mantido e funcional. Vale muito a pena!"
19 de dez.,5,Top,"O hotel fica muito bem localizado e os funcionários são extremamente atenciosos . Estive com uma cadeirante e não pouparam esforços para seu conforto. As instalações do quarto são antigas e as amenidades como shampoo e sabonete poderiam ser melhores , mas não compromete o todo. Café da manhã muito bom. O concierge nos indicou o serviço de transfer privado do Sr Mário que foi excelente!"
8 de dez.,2,"Hotel Serrazul, Gramado","Decepcionei-me com tudo, desde o atendimento, ao quarto. Recepcionistas sem simpatia, o Guilherme me perguntou se eu queria ir para o quarto sem estar pronto, visto que, havíamos chegado, deixado nossa bagagem na recepção pq não estava na hora do checkin, fomos almoçar, retornamos e o quarto ainda não estava limpo, e estávamos cansados da viagem. Ficamos sentados num sofá em frente a recepção, observando a chegada de hóspedes que se aproximavam do balcão, com malas, faziam o check-in e iam para os quartos. Finalmente fomos chamados, entregaram nossa chave, e outra decepção: o quarto horrivel, móveis velhos, cortinas tb, não condizente com o hotel. Senti-me frustrada, pois havia me hospedado há 35 anos atrás neste hotel e tinha uma outra imagem. Tem vários outros hotéis…"
6 de dez.,5,Sem igual!,"Excelente localização, perfeito para famílias, próximo à rua coberta, Catedral São Pedro, ótimos restaurantes. Limpeza, atendimento, acomodações, piscina, sala de recreação infantil tudo maravilhoso sem falar no fantástico café da manhã! Adorei ver que diversos funcionários são da 3ª idade! Parabéns! Retornaremos sempre!"
nov. de 2022,5,Conforto,Hotel muito confortável. Localização maravilhosa bem no centro da cidade. Bons restaurantes e muitas atrações nas imediações. Quartos superiores com vista magnífica da cidade enfeitada para o natal. Banheiro e quarto amplo com roupas de cama e banho de qualidade. O café da manhã é maravilhoso.
nov. de 2022,4,Estadia em Gramado,O hotel é bom o café da manhã e excelente meio antigo o banheiro precisa de alguns reparos na torneira e na descarga do banheiro. A piscina não é condizente para deficientes. Escada com degraus muito alto  Causando muito desconforto para cadeirante
nov. de 2022,5,Excelente localização,"A localização do hotel é excelente, aconchegante, perto da rua coberta, Hard Rock e muitos outros pontos turísticos. Os quartos são confortáveis e bem limpos. Tem piscina aquecida. Café da manhã ótimo (poderia ter um pouco mais de variação no cardápio por dia, para não ficar repetitivo). Atendimento excelente. Com certeza voltaria a me hospedar neste hotel. Recomendo."
out. de 2022,5,O melhor de Gramado.,"O hotel é simplesmente perfeito. Funcionários prestativos, e sempre bem humorados. Higienização maravilhosa. Atendimento rápido, café da manhã impecável. Localização excelente , dispensa aluguel de veículos. Já quero voltar!"
set. de 2022,3,Check In ATRASADO,"Horário do check in é 14:00 horas, no entanto, não foi o que aconteceu. Houve atraso com diversos hóspedes que chegaram nesse mesmo dia.    A justificativa que nos foi dada era de que os quartos ainda não estavam limpos.    Esperamos por cerca de 1 hora no saguão do hotel na esperança de poder ir para o quarto para primeiro tomar um banho e depois seguir para um passeio que já estava agendado. Infelizmente, cansamos de esperar e fomos do jeito que estávamos para o passeio e voltamos para o check in somente por volta das 19:00 horas.    Ficamos muito chateados com essa questão, pois não houve nem um pedido de desculpas pelo ocorrido.    Ademais, o quarto estava limpo, a localização do hotel é ótima e o café da manhã é bom."
set. de 2022,3,"Demora check-in, cama ruim","Check-in previsto para as 14:00, chegando lá fui informada que havia acontecido um evento no hotel e atrasaria a liberação do quarto em função do mesmo não estar limpo ainda, detalhe sem previsão de horário, estou gestante de 5 meses e precisei aguardar até as 16:00 horas para ter acesso ao quarto, a cama é péssima tem uma divisória no meio terrível, a localização é boa, café da manhã bom, não retornaria."
set. de 2022,5,Hotel Ótimo,"O Hotel é ótimo , café da manhã maravilhoso ; o atendimento também muito bom ; bem localizado ; tem academia , brinquedoteca ; o que quarto é ótimo também , bem quente para os dias frios que fazem em Gramado ; da para vir com família e amigos ; tem lugar para jogar baralho , conversar"
