Data da opinião,Nota,Título,Conteúdo
uma avaliação Ontem,5,Me senti em casa,"Ficamos hospedados na semana que antecedeu o natal. Excelente atendimento, educação e cordialidade. Quartos limpos, novos e organizados. Toda a equipe nos tratou como se fôssemos amigos/hóspedes de longa data...nos sentimos muito bem recebidos."
uma avaliação Ontem,5,"Hotel confortável, funcionários atenciosos, quarto aconchegante. Ótima estadia em Gramado.","Excelente hotel feito por funcionários atenciosos, cordiais, prestativos, eficientes, simpáticos e gentis. Quarto confortável, roupas de cama e banho novos e limpos. Ótima localização, serviço de quarto e restaurante com cardápio variado e completo. Café da manhã incluso na diária completo com muitas opções de pães, frutas, doces e afins! Agradecimentos especiais à Cláudia e Carol, sempre simpáticas e com uma dica melhor que a outra! Recomedadissimo."
uma avaliação Ontem,5,Melhor Hotel de Gramado,Hotel maravilhoso em Gramado. Tive uma experiência espetacular. Vale a pena informar que o atendimento é excelente!!! Quando voltar a Gramado irei me hospedar lá novamente. Parabéns a toda a equipe do hotel.
25 de dez.,5,Excelente,"Adoramos o hotel em tudo. Localização excelente! Atendimento inicial e durante toda estadia. Todos muito simpáticos e muito atenciosos. Café da manhã excelente com muita variedade. Em especial a Helena, que fez a limpeza e arrumação do quarto, muito fofa e atenciosa."
25 de dez.,5,Satisfeito,"Hotel nos recepcionou com muito carinho e atenção. Hospedamos em uma suite silenciosa, com roupas de cama aconchegante, excelente café da manhã e uma ceia de natal divertida com papai noel que entregou presente para as crianças. Todos os colaboradores atenciosos, muito educados e alegres. Estamos super satisfeitos com nossa experiência. Karina e família Uberaba/MG"
uma avaliação Ontem,5,Me senti em casa,"Ficamos hospedados na semana que antecedeu o natal. Excelente atendimento, educação e cordialidade. Quartos limpos, novos e organizados. Toda a equipe nos tratou como se fôssemos amigos/hóspedes de longa data...nos sentimos muito bem recebidos."
uma avaliação Ontem,5,"Hotel confortável, funcionários atenciosos, quarto aconchegante. Ótima estadia em Gramado.","Excelente hotel feito por funcionários atenciosos, cordiais, prestativos, eficientes, simpáticos e gentis. Quarto confortável, roupas de cama e banho novos e limpos. Ótima localização, serviço de quarto e restaurante com cardápio variado e completo. Café da manhã incluso na diária completo com muitas opções de pães, frutas, doces e afins! Agradecimentos especiais à Cláudia e Carol, sempre simpáticas e com uma dica melhor que a outra! Recomedadissimo."
uma avaliação Ontem,5,Melhor Hotel de Gramado,Hotel maravilhoso em Gramado. Tive uma experiência espetacular. Vale a pena informar que o atendimento é excelente!!! Quando voltar a Gramado irei me hospedar lá novamente. Parabéns a toda a equipe do hotel.
25 de dez.,5,Excelente,"Adoramos o hotel em tudo. Localização excelente! Atendimento inicial e durante toda estadia. Todos muito simpáticos e muito atenciosos. Café da manhã excelente com muita variedade. Em especial a Helena, que fez a limpeza e arrumação do quarto, muito fofa e atenciosa."
25 de dez.,5,Satisfeito,"Hotel nos recepcionou com muito carinho e atenção. Hospedamos em uma suite silenciosa, com roupas de cama aconchegante, excelente café da manhã e uma ceia de natal divertida com papai noel que entregou presente para as crianças. Todos os colaboradores atenciosos, muito educados e alegres. Estamos super satisfeitos com nossa experiência. Karina e família Uberaba/MG"
25 de dez.,5,Melhor experiência de Gramado,"Tudo desse hotel é impecável! Equipe, quartos, localização, atendimento, café da manhã! Sem contar o chocolate quente que pra mim foi o melhor de Gramado! Parabéns pelo serviço e obrigada por cuidar tão bem da minha família nessa viagem! Tudo perfeito!"
22 de dez.,4,Muito bom,"Hotel muito bem localizado (apesar de não ser possível se locomover a pé). As camas são muito confortáveis, quartos silenciosos, pequenos, banheiro pequeno, mas tudo bem limpinho. Os funcionários muito atenciosos e prestativos. O que achei muito bom, para quem viaja com bebes, é que o hotel disponibiliza uma pequena copa, com pia e microondas, bom para lavar mamadeiras, chupetas e esterelizar. Vi outras mamaes ali preparando frutinhas e aquecendo papinhas. No cardapio do quarto servem tambem uma sopinha e mais dois pratos kids. Disponibilizam berço e banheira para dar banho dos bebes. O cafe da manhã é bem servido, com muitas opções e vc pode chegar até as 10:20h. Na recepção sempre disponível chazinho, café e chocolate quente. Enfim, Achei o valor muito condizente com o que oferecem. Gostei bastante principalmente para quem viaja com crianças. Me hospedaria novamente."
20 de dez.,5,Tudo melhor que o desejado,Hotel nota 1000 atendimento impecável funcionários muitos prestativos e educados café da manhã muito sortido e bom vale muito a pena o hotel num todo e muito bom desde a estrutura ate a parte humana atende o que eles propõem oferecer
19 de dez.,5,Equipe e hotel espetaculares,"Viemos ao Hotel Fioreze Primo para curtimos em família o Natal Luz em Gramado.  Gostaríamos de ressaltar toda a estrutura física do Hotel. Todo novo, conservado, excelente ambiente, limpo, muito limpo e organizado. Café da manhã maravilhoso e com opções de almoço e jantar a parte.  Na recepção tem cafezinho, Chocolate Quente, biscoitinho.  Mas além dessa importância física queremos ressaltar os EXCELENTES PROFISSIONAIS DO FIOREZE PRIMO.  Equipe da manhã, tarde, noite, madrugada, todos dispostos o tempo todo para ajudar em absolutamente tudo.( inclusive na indicação de profissionais para transporte como o Carlos Eduardo e Ronaldo)  Simpatia, empatia, sorriso no rosto. Dá para perceber que gostam de trabalhar no local.  Obrigada a toda a equipe envolvida para fazer o nosso Natal Luz ainda mais iluminado !!  Que seja um Natal de Luz e um Ano de 2023 com muita prosperidade.  Parabéns Hotel Fioreza Primo pelos excelentes profissionais contratados.  Que eles sejam merecidamente reconhecidos.  Obrigada por tudo !!"
19 de dez.,5,Viagem de Lua de mel,"Hotel incrível, hospedagem sem palavras. funcionários foram super prestativos com a gente. Nos ajudaram com indicações de restaurantes que foram os melhores. Fora que o café da manha é sensacional.  Vale muito a pena, hotel fica bem localizado e perto de td praticamente."
17 de dez.,5,Avaliação,"Atendimento excelente de toda a equipe do hotel, café da manhã completo, opções variadas. Boa estrutura e ótima localização, poucos minutos de caminhada até a rua coberta e outros pontos turísticos centrais."
17 de dez.,5,Excelente experiência,"Hotel muito bom, instalações aconchegantes e funcionários muito educados e prestativos! Recomendo demais a hospedagem no Fioreze!  O hotel possui um café da manhã super gostoso e oferece um chocolate quente delicioso na recepção!"
17 de dez.,5,Viagem de Natal 🥰,"Quarto excelente, cama aconchegante, roupas de cama limpíssima, serviço de quarto impecável.  Atendentes gentis, atenciosos e muito prestativo.  Recepção sempre com cafezinho, chás, chocolate quente, água saborizada e uma bolachinha caseira que amamos 😍🥰café da manhã repleto de variedades, ambiente climatizado. Sem contar a localização que é ótima."
17 de dez.,5,Tudo é muito bom no hotel,"Excelente opção em gramado . Café da manhã espetacular, equipe de recepção e todos os funcionários muito agradáveis. Ambiente limpo e voltarei com certeza. Aptos muito aconchegantes e chuveiro ótimo."
16 de dez.,5,Férias,"Hotel maravilhoso!!!! Café da manhã delicioso, ótima recepção, quartos limpinhos. Funcionários do hotel extremamente dedicados aos hóspedes, atendimento perfeito! E se precisarem de sugestões a Cláudia da ótimas dicas, uma simpatia de pessoa."
16 de dez.,5,O melhor hotel de gramado!,"Hotel MARAVILHOSO! Super recomendo, todos me atenderam super bem! Os quartos são perfeitos demais, chuveiro excelente, café da manhã muuuuuito bom! Muitas variedades, bem localizado, tudo perfeito! Recomendo!"
