Data da opinião,Nota,Título,Conteúdo
dez. de 2022,5,Review,"Estrutura impecável do hotel, muito moderno e aconchegante. Toda a parte de serviços e recepção, excelente, apenas senti falta de mais receptividade dos funcionários, são educados, porém sem o carisma que faz querer retornar.  E estrutura dos bares poderia servir com comanda acoplada ao quarto, pagando somente ao final"
dez. de 2022,5,Hotel excelente.,"Simplesmente excelente, voltarei outras vezes. Quartos aconchegantes, vista muito lindo, atendimento diferenciado, área de lazer completa, serviço de quarto muito bom, ótimo café da manhã e várias opções de almoço/jantar. Notal 10!"
dez. de 2022,4,Bom hotel,"O hotel é bom e suas instalações estão bem conservadas. O atendimento no hotel também é muito atencioso e prestativo, sempre querendo auxiliar no que for possível para que o hóspede se sinta em casa. O projeto do hotel, no entanto, mereceria uma crítica, já que o café da manhã é servido em um ambiente que parece um porão, já que existe uma parede (que guarnece a piscina), impedindo o hóspede de ter a visão completa do mar que está em frente. Um lugar que poderia ser magnífico, tornou-se um lugar sufocado. As tapiocas, no entanto, são muito bem feitas e por pessoas que sempre apresentam um sorriso no rosto."
nov. de 2022,4,Poderia melhorar!,"Poderia ser melhor!  Ficamos 3 noites na suíte Júnior! Muito espaçosa, frente ao mar!  No primeiro dia, 3 cápsulas de café! Usamos uma e nunca a terceira foi reposta ! As xícaras de café, no primeiro dia, estavam embrulhadas em filme plástico, nos outros dias não!  O café da manhã era farto, mas os itens não eram gostosos! Bolo ressecado, leite amarelo, suco de polpa industrializado!  A suíte era muito boa, ampla, com banheira de hidromassagem! Duas varandas ! Cama super king! Muito silenciosa!  Os funcionários eram atenciosos e ágeis em atender o q for pedido!  A Praia do hotel é feia e praticamente inacessível pelo hotel!"
out. de 2022,5,Top!,"Não há muito o que falar do Luzeiros, senão elogiar. É um hotel grande, colado ao mar, com uma boa área de piscina. O atendimento foi muito bom, quarto amplo, chuveiro sensacional, ótimo café da manhã. Boas opções de restaurante no entorno. O único porém fica para a localização, um pouco mais distante do centro e de opções comerciais, o que exige a utilização do carro. Mas tudo foi maravilhoso."
set. de 2022,4,Ótima estadia.,"O Staff do hotel é be atencioso, possui restaurante com serviço de quarto que funciona a qualquer momento. Café da manhã muito bom. Piscina com vista para o mar, muito próximo à praia. Quarto amplo, banheiro amplo, limpeza diária, recomendo o hotel."
set. de 2022,5,Excelente hotel,"Boas acomodações. Localização boa. Perto de dois restaurantes famosos em São Luís ( a pizzaria Vignoli e o restaurante Cabana do Sol).  A vista dos quartos é linda.  É ótimo terminar a noite no bar da piscina, que fecha às 22 horas.  Ótimo café da manhã. Tapioca concorrida.  Peça corrida pelo Uber X (as outras categorias do Uber em São Luís são precárias e não valem a pena tendo em vista o X ser excelente na cidade) ou requisite táxi na recepção do hotel. É a melhor maneira de se locomover em São Luís.  Caso utilizem táxi, combine o valor com o taxista. Eles quase não usam taxímetro.  No lado do hotel também há os táxis executivo que são bem mais caros que o comum."
set. de 2022,5,EXCELENTE HOTEL!,"Começamos muito bem nosso passeio nos Lençois, ao reservar esse hotel em São Luis. Foi uma excelente experiência. Estávamos em familia, éramos 6 pessoas, e todos nós elogiamos desde a equipe de funcionários, a limpeza dos quartos, o café da manhã, tudo enfim muito bem cuidado e elaborado para nos proporcionar uma ótma impressão do hotel."
set. de 2022,4,Boa opcao,Boa opção em São Luís  Localização ok  Café da manhã ok  Limpeza no geral adequada - alguns pontos a melhorar principalmente na área da piscina (mesas)  Serviço de  Restaurante e piscina demorado  Para quem gosta de correr tem um local agradável // beira mar // muito bom
set. de 2022,5,Excelente custo benefício,"Hotel em uma localização bastante agradável, com vista para o mar e uma piscina bem bacana. Oferecem vários serviços, possui spa e academia. Quarto amplo e confortável, limpo, chuveiro bom, internet funcionou super bem. Senti apenas que os travesseiros não eram tão bons, e tivemos que pedir mantas pois não ficam à disposição no quarto. Atendimento bastante cordial. Preço bom. O café da manhã com vários itens, preparam também tapioca e omeletes na hora. Recomendo."
set. de 2022,5,Só elogios.,"Uma das melhores estadias que tive no nordeste. Quarto perfeito, chuveiro perfeito, café da manhã digno de resort, piscina sensacional. A localização também é muito boa. Excelente custo benefício, com certeza voltarei."
ago. de 2022,5,EXCELENTE OPÇÃO!,"Quartos bem mobiliados, espaçosos, silenciosos e limpos.  Cama muito confortável.  Funcionários simpáticos e solícitos.  Café da manhã muito farto, com direito a várias opções de sucos, frutas, pães, tapioca e omeletes feitos na hora.  Quartos com vista frontal ou lateral para o mar.  TV's com opções de canal a cabo.  Piscina maravilhosa!!"
ago. de 2022,4,"Um dos melhores de São Luis, se não for o Melhor!","Quartos extremamente confortáveis, limpeza impecável com ótima vista pro mar, TV com boas opções de canais, serviço de quarto excelente sempre que solicitei.  Café da manhã bom, mas nada além do normal em comparação a outros hotéis do mesmo padrão, ótima piscina    Ótima estadia, recomendo"
