Data da opinião,Nota,Título,Conteúdo
25 de dez.,3,Caro demais para estrutura mediana.,"Para o preço cobrado na alta estação, deveria ter oferecido mais. Quartos limpos e camas confortáveis, mas pequenos. Televisão muito antiga, sem Netflix ou possibilidade de outros aplicativos. Atendimento muito bom. Um pouco distante do centro."
20 de dez.,4,Excelente !,"Pessoal receptivo e atencioso, comida saborosa, boa limpeza. Area de lazer boa, piscina climatizada. WIFI funcionava bem nos quartos e nas areas comuns.  Não tem comercios ao lado, mas a localização é bem proxima do centro, cerca de 1km.    Em geral, atendeu minhas expectativas."
17 de dez.,5,Excelente hotel,"Melhor hotel do RS! Muito bem localizado, limpo, ordenado, café da manhã farto e sem filas, piscina e sauna limpíssimas. Restaurante serve almoço e jantar com diligência. Voltarei sempre que possível."
14 de dez.,5,Sensacional,"Hospedagem excelente, hotel completo e confortável, serviço de quarto rápido e sem detalhes. Ótima localização . Cafe da manhã muito variado e saboroso. Piscina, academia, sala de jogos em perfeita qualidade. Recomendo muito."
13 de dez.,5,Férias incríveis,"Hotel maravilhoso, bem localizado, perto de vários pontos da cidade, café da manhã, quartos, atendimento recepcionistas , dos concierge jakeline e Emanuel e a vendedora Pietra da brocker excelente, super indico o hotel, me senti em casa.. volto em breve!"
8 de dez.,5,Sensacional,"Hotel bem localizado , bonito , funcionários educados e prestativos , comida muito boa no café da manhã … room service muito bom até as 23 horas … funcionários Jeferson ,Felipe são excepcionais .tudo funciona no hotel … a nossa experiência foi excelente ."
3 de dez.,5,Hotel maravilhoso,"O hotel possui uma estrutura maravilhosa, café da manhã bem diversificado, atendentes cordiais e excelente serviço de quarto. Possui uma boa localização com acesso rápido a rua coberta e centro de Gramado. Seria incrível se fosse pet friendly."
2 de dez.,5,Gramado,"Simplesmente apaixonada pelo acolhimento do hotel, todos muito simpáticos, localização excelente de fácil acesso a tudo, banheiro funciona perfeitamente, água quentinha, cama excelente e roupa de cama também, super indico, o tamanho do quarto bem confortável também. Voltaremos em breve."
nov. de 2022,4,Otimo hotel,"gostei do hotel como todo. Tive so um pequeno problema com o ar condicionado mas logo foi resolvido. a ducha do banheiro não estava funcionando. a piscina aquecida e coberta é otima para relaxar apos os passeios, cafe da manha uma delicia , com tortas maravilhosas.... boa localização, na Av das Hortencias...um meio termo para as atrações de gramado. Todos atenciosos no hotel, o serviço de quarto muito bom, quarto todos os dias foi arrumado. Fui a pé ate o centro (borges de medeiros) sem nenhum problema. a cidade é encantadora, limpa, organizada, muito bem enfeitada para o natal Luz, porem ja cheia de turista devido a epoca."
out. de 2022,5,Excelente em todos os aspectos,Todos os serviços são excelentes...e a cortesia e simpatia da equipe é um diferencial à mais!!! Mesmo com uma grande ocupação não perdeu o padrão de qualidade o que garante conforto e tranquilidade para os hóspedes
set. de 2022,5,Padrão de qualidade Laghetto,"Essa é a segunda unidade Laghetto que conhecemos e o padrão de qualidade se mantém. É chover no molhado falar da qualidade da infra estrutura, quartos, café da manhã, etc, pois se trata de um hotel quatro estrelas e esses itens são nada mais que obrigacao nesse padrão. O destaque positivo, o plus, fica por conta do atendimento e da simpatia e eficiência da equipe do hotel.    Além do mais, o posicionamento estratégico entre Gramado e Canela favorece bastante se a intenção do visitante é aproveitar as atrações de ambas as cidades."
ago. de 2022,1,Decepção total,"Se você querer ir à Gramado nossa sentir lá hospedes neste hotel, por fora é uma graça, quando você chegar uma decepção total, os quartos são velhos e mal cheirosos, o banheiro é péssimo , sem ventilação e apertado , o café da manhã é uma pobreza só"
ago. de 2022,5,Ótima escolha e custo benefício.,"Funcionários sempre atenciosos, estrutura, limpeza e conservação impecáveis, localização boa, cerca de 1.1km do centro, alguns programas fizemos a pé. Café da manhã bom, mais perto do final de semana fica melhor. Somente a cama do nosso quarto que deixou a desejar, estava desconfortável, devido ao desgaste de molas, acredito que seja fácil de resolver.No geral, adoramos a estadia."
jul. de 2022,5,Bom custo/benefício,"Hotel de facil acesso, rodeado de bons restaurantes, quartos amplos e limpos, pessoal atencioso, principalmente Simon, da recepção sempre pronto para ajudar, cafe da manhã variado e farto. Excelente custo-benefício. Recomendo. Voltaremos"
jul. de 2022,5,"Hotel bem localizado, aconchegante, bons funcionários.","Funcionários bem treinado para o atendimento, acomodações aconchegantes, comida boa. O hotel não é dos mais luxuosos da rede, mas eu não o trocaria por nenhum outro. Fui muito bem atendido, em um quarto muito confortável, com serviços bem executados pelo pessoal de recepção, camareira, mensageiros e cozinha. Não precisaria falar do café da manhã, que em Gramado sempre é excelente. O único ponto negativo é a cobrança de estacionamento, que em Gramado é caro e eu acredito que deveria estar incluso na diária."
