Data da opinião,Nota,Título,Conteúdo
14 de dez.,5,Excelente!! Melhor custo X benefício de Gramado,Funcionários educados e prestativos. Quarto limpo e confortável. Café da manhã 5 estrelas e localização PERFEITA. A vista do meu quarto (luxo) era perfeita. Amei tudo! Já fiquei num Laghetto e nada se compara . Voltarei sempre à esse hotel.
12 de dez.,5,Ótima estadia. Vale muito a pena,"O hotel é excelente tornou as nossas férias ainda melhor. O quarto é espaçoso e tem limpeza diária, a estrutura do hotel é completa e a cordialidade dos funcionários torna ainda melhor. A localização é excelente, porém para chegar ao centro é necessário subir/descer uma ladeira, portanto com idosos e crianças por ser um pouco restrito. O café da manhã é excelente, tanto que dispensamos a visita em um café colonial. Possui estacionamento gratuito"
nov. de 2022,5,Excelente hotel,"Café da manhã excelente, tipo café colonial. Quarto para 4 pessoas bem espaçoso. Limpeza diária. Estrutura do hotel e localização. Estacionamento dentro do hotel. Equipe do hotel muito atenciosa, em especial a camareira Bruna que sempre atendeu nossos pedidos e inclusive deixando um bilhete muito gentil pra nós no quarto. Obrigada Bruna!"
nov. de 2022,5,Cordialidade e conforto,"Ótima localização em Gramado, quarto confortável, bela decoração, funcionários atenciosos e prestativos e café da manhã farto e muito saboroso. Minha segunda vez no hotel e com certeza voltarei. É encantador!!! Área verde bem gostosa!!!"
nov. de 2022,4,"Viagem em família, para comemorar aniversário do meu marido e da minha filha.","O hotel tem uma excelente localização, bem próximo do centro e de varios restaurantes excelentes, fizemos quase tudo a pé, apesar da pequena ladeira que nos tira o fôlego rsrsrs, mas compensa. Ficamos em um chalé, achei o sofá cama desconfortável, tivemos problema com o aquecedor do quarto, relatamos todos os dias e o problema não foi resolvido em sua totalidade. O quarto tem ar condicionado quente/frio, aquecedor em todos os cômodos do chalé. Precisa melhorar a limpeza embaixo das camas. Os atendentendes em sua maioria educados e solícitos, mas não em sua totalidade. O café da manhã simples, pode melhorar bastante, principalmente nas opções salgadas. A área externa é lindíssima, lazer para as crianças, piscina aquecida. Fizemos uma refeição no restaurante do hotel, não…"
nov. de 2022,5,Muitos pontos positivos! Recomendo!,"Estivemos esse mês de outubro 2022 no hotel Recanto da Serra com meu esposo e nossas filhas de 1 e 4 anos e gostamos muito do hotel. Não tenho críticas a fazer aos serviços e instalações, somente ressalto que a entrada do hotel fica em uma descida bem íngreme que me obrigava a fazer certo esforço para entrar e sair do hotel com o carrinho da minha bebê, porém se isso não é um problema pra você, o hotel será excelente. Ressalto que as instalações internas do hotel são bem acessíveis com elevador e rampas. O espaço kids e as piscinas são uma alegria para a criançada! O café da manhã era bem servido e destaco a simpatia da colaboradora Bruna que dava muita atenção as minhas filhas no café da manhã. O quarto que ficamos era grande e a limpeza foi impecável! A estrutura do hotel é muito boa e fica SUPER perto do centro. Fizemos muita coisa andando. Já o restaurante do hotel não achamos os 3 pratos que pedimos muito apetitoso, só recomendo caso esteja com muita preguiça de almoçar ou jantar fora. Indicamos o hotel e voltaríamos nele. Fomos muitos bem recebidos! Agradeço!"
nov. de 2022,5,Hotel excepcional,"Ficamos no hotel recanto da serra no mês de agosto. O hotel oferece estacionamento, quartos excelentes e um café da manhã recheado de ótimas opções, para todos os gostos.    Atendimento nota 10.    Minha filha de 1 ano se encantou pelos patos e coelhos!!! Voltaremos com certeza!!"
out. de 2022,5,DESCANSO E COMEMORAR ANIVERSÁRIO NO PARAÍSO,"Melhor hotel de gramado!  Sem dúvidas : - O melhor café da manhã de todos os hotéis de gramado e canela!  Ótimas acomodações e laser em todos os ambientes do hotel!  Ótima localização!  No meio da natureza e no centro de gramado!  Perto de tudo!  É maravilhoso, um mimo!  O hotel, é um sonho de paraíso!  Todos funcionários sãoresponsáveis, maravilhos, gentis, receptivos, na verdade uma maravilhosa família!  Um agradecimento especial ao sr. fábio ( gerente) e a fabi, sempre prestativos e ótimos anfitriões!  O chá de bergamotas, nas recepções do hotel, é simplesmente maravilhoso!  E o bolo dos deuses(familia Kopriva), no café da manhã, é sensacional, o melhor bolo , todo de frutas (só frutas), E sim o sabor é dos deuses , porque todos hóspedes elogiaram e não esquecem mais o sabor das frutas!!!  Enfim, em todo o hotel um perfume sensacional, com uma fragrância inesquecível!  Recomendo o hotel recanto da serra à todos!  O verdadeiro paraíso!  Nossa segunda casa!  Um aniversário inesquecível!  Voltaremos sempre!"
out. de 2022,4,Uma delícia de hotel,"O quarto muito espaçoso, com calefação. Boa iluminação. Ficamos em uma acomodação para cadeirante. O banheiro é grande e tem barras bem localizadas. O café da manhã é excelente. Os funcionários são muito receptivos e educados. O restaurante é muito bom também. Limpeza nota 10. Bem localizado."
out. de 2022,3,Custo benefício não vale,"Consideramos o valor da diária elevada em relação ao que o hotel oferece.  Localização é boa, no entanto para quem tem crianças pequenas terá dificuldade, pois tem uma elevada subida em ambas as ruas de saída do hotel.  Check-in foi bom, recepção daquele dia boa.  Mas check-out foi decepcionante, os rapazes da recepção do hotel descomprometidos, de má vontade para explicar alguma informação ou prestatividade.  Elevador no dois dias estava apresentando problemas.  Restaurante com atendimento bom.  Brinquedoteca boa.  Quartos precisam.de atualização.  O valor da diária não compensa em relação aos hotéis de mesmo valor de diária."
out. de 2022,5,Sensacional,"Hotel cheiroso, aconchegante e distante uma quadra do centro! Tem playground para crianças, sala de recreação, piscina externa é térmica e até mirante! O café da manhã é SENSACIONAL!!! Possui estacionamento interno e o atendimento é nota 10."
out. de 2022,1,Falta de consideração,"Ficamos hospedado no hotel, mais especificamente no quarto 9 entre os dias 20/09 até 23/09, jurando que iriamos conseguir descansar durante nossas férias em nossa segunda ida a este hotel. Porém, devido as obras que estavam acontecendo exatamente na frente do nosso quarto, acordamos todos os dias as 07:30 com um barulho muito alto de furadeira, marteladas, carga e descarga de materiais pesados, dentro do que se pode imaginar para uma obra.    É completamente compreensível uma obra em qualquer estabelecimento, porém, em um hotel e com início as 07:30 simplesmente não rola. Já no primeiro dia sugerimos que pelo menos o início fosse reajustado para as 09:00 e caso não fosse possível, que tentassem trocar nosso quarto. A única ação realizada foi perguntar após a gente ter solicitado a troca se era isso mesmo que gostaríamos, o que simplesmente não aconteceu e nem voltaram a falar com a gente nos dias seguintes sobre esse ponto que deixamos registrado.    Pelo descaso ao hóspede, que pagou o mesmo valor de diária, não conseguiu descansar e não foi informado previamente sobre essas reformas onde nada foi feito em relação aos pontos acima, foi a segunda e última vez que nos hospedamos neste hotel. Não indico!"
out. de 2022,5,Férias,"Recomendo!!!,  Café muuuito bom  Restaurante bar muito agradável  Quarto limpo e organizado.  Instalações bem conservadas  Funcionários educados e corteses  Localização perfeita.  Ótimo custo benefício  Volto com certeza."
set. de 2022,5,Incrível,"Hotel muito aconchegante, impressão de que em qualquer cômodo em que se dirija terá um sofá, ou algo do tipo para que possa relaxar. Funcionários muito simpáticos e prestativos. A piscina interna é uma delícia nos dias mais frios e o jogo de disco na sala de jogos é viciante. Fui com meu namorado, contratei o pacote para o seu aniversário com bolo, balões e doces, tudo muito lindo e caprichoso. Destaque também para o café da manhã, bem diversificado e tudo muito saboroso. Foram dias incríveis, muito obrigado a todos!"
set. de 2022,5,Hotel maravilhoso,"Hotel muito bem localizado, café da manhã sensacional, limpeza perfeita, quarto amplo, equipe super simpática e atenciosos, piscina aquecida e uma grande área verde. Sempre que for a Gramado, voltarei sem dúvidas."
