Data da opinião,Nota,Título,Conteúdo
23 de dez.,5,Maravilhosoooo,"O Hotel é sensacional!! Conta com uma equipe qualificada e sempre disposta a ajudar e orientar. O café da manhã é maravilhoso, as áreas de lazer promovem uma sensação de bem estar. A suíte que ficamos é encantadora, elegante e muitoooo confortável. Foram 2 dias incríveis com o meu marido. Recomendo e muito o hotel, não é apenas uma hospedagem, é uma experiência."
abr. de 2022,5,Melhor hotel em Gramado,"O hotel é um dos melhores em que já me hospedei. Os funcionários são extremamente prestativos e educados! O ambiente é maravilhoso, os quartos são super confortáveis e limpos! A calefação na acomodação é excelente para os dias frios que pegamos. A lareira tanto na parte externa quando interna do hotel o torna ainda mais aconchegante! Café da manhã surreal, com uma variedade deliciosa e diferente a cada dia. Sem contar nos mimos que recebemos. Simplismente apaixonada e anciosa para voltar!"
21 de dez.,5,Viagem no final de semana,"Equipe muito atenciosa e prestativa desde a chegada no hotel até o fim de nossa estada. Quarto impecável, café da manhã muito bom e hotel super aconchegante e vibe de Gramado. Adoramos tudo, super indico e voltaremos com certeza."
20 de dez.,5,A melhor experiência de hospedagem em Gramado,"Simplesmente perfeito! Desde o primeiro minuto fomos bem recepcionados Os funcionários do hotel são extremamente atenciosos, educados e preparados para ajudar em qualquer momento Quarto super confortável e café da manhã espetacular"
19 de dez.,5,Primeira viagem como casal,"Perfeito a estadia, ótima recepção super atenciosos, ótima localização em gramado e pertinho de canela, um café da manhã maravilhoso, super recomendo, amamosss, ainda mais época de Natal com uma ornamentação incrível! Vai ficar para sempre em nossa memória e voltaremos assim que pudermos!"
18 de dez.,5,Final de semana inesquecível em Gramafo nessa cabana única.,"Cabana rústica e luxuosa, romântica e também perfeita para família. Quero voltar logo! Amei a adega, o colchão, as toalhas, piso aquecido, área externa, atendimento, perto da natureza…. Com tudo isso se torna uma experiência inesquecível."
15 de dez.,5,Romântico,"Fomos muito bem atendidos, muito carinho e atenção aos detalhes! Todos os colaboradores muito atentos, inclusive fomos muito bem recebidos pelo próprio Matheus e sua esposa. Voltaremos com certeza. Recomendo!"
13 de dez.,5,Ótima hospedagem,"Simplesmente sensacional, do início ao fim muito atenciosos e preocupados com a gente, não temos palavras para agradecer a hospedagem proporcionada e com certeza vamos voltar, já recomendamos para todos amigos!"
13 de dez.,5,Lugar aconchegante,"Cabanas aconchegantes, o local é bonito e limpo, possuem espaços com lareiras. Funcionários são prestativos e educados, principalmente o rapaz da recepção que nós deu muita atenção em todos os momentos e as funcionárias que ficam no atendimento do café da manhã tbm foram ótimas."
12 de dez.,5,Experiência incrível!,"Lugar tranquilo e de fácil acesso. Excelente localização para quem quer passear em Granado e em Canela, mas é necessário o uso de carro.  Café da manhã muito bom,  Cordialidade dos funcionários.  Estacionamento gratuito.  Quarto confortável.  Decoração de natal encantadora!"
12 de dez.,5,Uma excelente experiência,"Excelente hotel, o atendimento foi excepcional, o quarto confortável, o café da manhã é farto em opçõesequalidadedos produtos, a decoração de Natal estava impecável. O localização do hotel é muito boa e há disponibilidade de estacionamento no local."
12 de dez.,5,Maravilha,"Hotel escelente, atendimento ótimo,lugar lindo, café da manhã muito bom, super indico .lugar bem localizado fácil acesso ao centro de Gramado e canela. Com profissionais com um excelente atendimento"
9 de dez.,5,Natal luz romântico,"O melhor hotel que já fiquei! Fomos absolutamente bem recebidos, fomos mimados, tratados como se fôssemos os únicos hóspedes. Além disso, a decoração de natal do hotel é única. Não vejo a hora de voltar!"
6 de dez.,5,Maravilhosa.,"Ambiente super agradável, café da manha maravilhoso e profissionais extremamente educados e gentis. Ótima localização. Os quartos são super confortáveis e limpos.. decoração maravilhosa.. Amamos tudo tudo.."
4 de dez.,5,Melhor Hotel para passar a lua de mel em Gramado,"O Tio Müller surpreende em todos os quesitos, tem ótimos funcionários, fica próximo do centro de gramado em uma rua calma e bem decorada no Natal Luz, o café da manhã é delicioso e farto, eles disponibilizam bicicletas da qual usei para passear por Gramado sem precisar pegar Uber, e também fui pedalando para Canela (apesar de ser mais longe para ir de bike haha). Com certeza voltarei nesse hotel sempre que possível ♡."
3 de dez.,5,Elogio,"Simplesmente maravilhoso, hotel muito limpo, banheiro limpo de vdd, acredito ser o banheiro mais limpo que já vi em viajem, funcionários sem igual, em especial Rafael e Jean, tive vontade de coloca-los no potinho e trazer na mala.  Parabéns, vcs tem um hotel maravilhoso, obrigada por cada cuidado nos detalhes e na limpeza, e por ter os melhores funcionários que já vi.    Gratidão 🙏"
3 de dez.,5,Atendimento de excelência,"Lugar maravilhoso, funcionários atenciosos. Comida excelente, sem contar as acomodações perfeitas, escolhemos o hotel para passar nossa lua de mel e não nos arrependemos, tudo foi perfeito. Voltaremos e indicaremos."
3 de dez.,5,5 estrelas,"O atendimento é incrível! A cabana um aconchego! Melhor experiência! Decidimos passar a lua de mel em gramado por ser uma cidade romântica, mas não só a cidade, o hotel exala romantismo! Tudo muito lindo e satisfatório! Desde o café da manhã ao quarto, tudo impecável!"
nov. de 2022,5,Passeio turístico.,"Atendimento e cordialidade de toda a equipe muito bom, a localização do hotel excelente, acomodações assim como a limpeza perfeitos, café da manhã muito bom.  Vocês estão de parabéns então merecidamente recebam minha nota dez."
nov. de 2022,5,Melhor estadia em Gramado,"Excelente estadia! Desde o café da manhã magnífico até o ótimo atendimento de todos os funcionários. Tudo perfeito, e claramente com muito carinho com os hóspedes, ganhamos mimos tanto no check-in quanto na noite anterior ao check-out! Recomendo muito e voltarei sempre que possível!"
nov. de 2022,5,Impecável!!,"Segunda vez no hotel, novamente uma agradável estadia.  Todos são muito educados e corteses, o atendimento sem dúvida é um diferencial.  Mas a qualidade dos quartos, ambiente e limpeza não ficam para trás. Tudo excelente.  Nessa ocasião ainda nos surpreenderam mais ainda, nos concederam um upgrade maravilhoso.  Muito obrigado.  Com certeza retornaremos mais vezes!"
nov. de 2022,5,Férias em familia,"Instalações muito aconchegantes, serviço maravilhoso, funcionários super prestativos!!! Fomos em família com nossa bebê e tinha um berço ótimo pra ela, sempre pedia frutas a tarde pra ela e eles fizeram tudo para facilitar nossa estadia!"
nov. de 2022,5,Férias em gramado mais que perfeitas,Super indico para todos que querem desfrutar de um lugar aconchegante e hospitaleiro:  - excelente atendimento  - quarto muito confortável  - café da manhã maravilhoso    Equipe nota mil...Parabéns  Até breve
nov. de 2022,5,Hotel cabanas tio Muller,"Hotel muito bom, bonito, limpo com funcionários super atenciosos e receptivos, trazendo tranquilidade e paz que esperavamos para nossa hospedagem, junto com a cidade que e um encanto, recomendo demais.  Estão de parabéns."
nov. de 2022,5,Hotel família,"Achamos tudo maravilhoso, o hotel, o atendimento humanizado, em 4 dias construimos amigos maravilhosos, o lugar aconchegante, o café delicioso, todos que nos atenderam são pessoas queridissimas . Tudo excelente, espero voltar muitas vezes."
nov. de 2022,5,Super recomendo,"Ótima localização, próximo a vários pontos turísticos, hospedagem agradável, quarto impecável, ótimo serviço de recepção, café da manhã surpreendente. Muito bem decorado, funcionários atenciosos, serviço de quarto rápido e de boa qualidade."
nov. de 2022,5,Lindíssimo lugar,"Excelente atendimento super confortável,lugar muito lindo ,funcionários muito atenciosos ,café da manhã de excelente qualidade,muito limpo e organizado,na entrada e saída teve mimos ,sempre muito educados os funcionários."
nov. de 2022,5,Maravilhoso,"Ótimo atendimento, pessoas bem receptivas e educadas. Café da manhã maravilhoso. Chalé aconchegante. Lugar para ficar maravilhoso, ótimo para casais, familia com crianças, idosos etc. Super recomendo, quem for não vai se arrepender."
nov. de 2022,5,Super hotel !!,"Recomendamos o hotel cabanas tio Müller, ambiente muito agradável, e, pessoal muito receptivo, atencioso !!!! Hotel maravilhoso, experiência espetacular !!! Café da manhã, espetacular, hotel lindo !!!!"
nov. de 2022,5,Hotel com excelência,"Excelente hotel. A hospedagem foi maravilhosa, a recepção é muito atenciosa com os hóspedes e um café da manhã impecável. Boa localização e de fácil acesso. Recomendo a todos e voltaremos em breve."
nov. de 2022,5,Maravilhoso,"Foi tudo muito bom, impecável, amamos o café da manhã e a localização pra nós foi muito boa além de ser a rua mais linda do natal, toda iluminada! fiquei encantada... funcionários muito educados, prestativos e gentis, sem defeitos! obrigada pessoal e até uma próxima :)"
nov. de 2022,5,Experiência nota 1.000,"Ficamos hospedados em uma Suíte Master. Experiência incrível. Solicitamos o pacote adicional ""Sublime"" onde tivemos direito a café da manhã, fondue de chocolate no quarto, etc... uma maravilha. Não existem palavras para expressar nossa satisfação. Atendimento nota 1.000."
nov. de 2022,5,A melhor experiência que tivemos!,"Apartamento impecável! Super recomendamos. Tivemos uma experiência perfeita., num lugar lindo e muito aconchegante. Já estamos nos organizando para voltar no ano que vem. E recomendamos a todos que não conhecem para conhecer."
nov. de 2022,5,Lua de mel!,"Café da manhã muito bom!  Atendimento espetacular!  Quarto do hotel sensacional!  A única coisa ruim a relatar na minha experiência, é que meu quarto ficou próximo a uma lareira de fora do quarto e alguns dias chegávamos e estava com cheiro de fumaça lá dentro do quarto.  Mesmo assim não retiro nenhum ponto da minha nota."
nov. de 2022,5,Um espetáculo.,"Roupas de cama limpas e cheirosas, quarto extremamente limpo , funcionário educados e muito prestativo e atencioso e café da manhã espetacular.... nós também pedimos café no quarto e v várias comidas maravilhosas recomendo para todos terem está experiência."
nov. de 2022,5,Uma das melhores hospedagens!,"Quarto com lareira pronta para acender.  Atendimento bom demais.  Quarto aconchegante.  Hotel muito bem localizado, com estrutura boa demais.  Uma das melhores hospedagens que já frequentei. Não tem nada a reclamar.  Atendimento 24 horas e com preço justíssimo"
nov. de 2022,5,Hotel maravilhoso!!!,"Super indico, atendimento maravilhoso, funcionários simpáticos, apartamento limpo, café da manhã perfeito!  Voltarei sempre que puder.  Ótima localização, não fica dentro do centro de Gramado, mas a localização é ótima."
