Data da opinião,Nota,Título,Conteúdo
22 de dez.,5,Hotel canto verde. O melhor,"Hotel maravilhoso desde a recepção até aos aposentos. Piscina aquecida, ambiente externo lindo. O café é maravilhoso 😋, uma delícia com bolos e tortas, sendo que dona Noeli ❤️ que recepciona no café ☕ e provavelmente quem proporciona o banquete maravilhoso é muito simpática e educada. Parabéns 🌹🌹🌹"
18 de dez.,4,Bom custo benefício,"Localizado próximo a canela, sendo uma boa opção para quem está de carro, uma vez que não é possível fazer passeios a pé, ficando distante do centro de gramado. Ficamos na suíte master, quarto antigo mas muito aconchegante, com banheira de hidromassagem excelente. Possui tv com Netflix. Ponto negativo: é possível ouvir barulho dos carros passando na rodovia, inclusive a noite. Quarto não possui isolamento acústico. Para quem tem problemas com barulho não recomendo."
18 de dez.,5,"Atendimento maravilhoso, quarto espaçoso e limpo, foi uma excelente estadia!","Muito atenciosos, ambiente maravilhoso, um excelente local! A comida estava muito boa, o ambiente da piscina muito confortável e a piscina estava aquecida. Os quartos são espaçosos e bem limpos. A estadia foi excelente"
17 de dez.,5,Nosso lugar preferido em Gramado/Canela!,"Terceira vez que ficamos neste hotel (2011, 2016 e agora em 2022). O lugar é um dos nossos preferidos. Muito limpo, quartos ótimos, muito bonito, atendimento primoroso, tudo perfeito! Sempre que viermos a Gramado/Canela esta será sempre nossa opção!"
12 de dez.,5,Hotel Canto Verde,"Hotel com instalações maravilhosas, funcionários muito simpáticos e solícitos, café da manhã sensacional. E, para terminar, pet friendly! Tatalaram nossa princesa com muito amor e carinho! Sem defeito nenhum!"
2 de dez.,5,Família do seu Sudario,"Um lugar maravilhoso e pessoas muito simpáticas. Amamos a Miss simpatia, o pessoal foi super receptivo. A comida era maravilhosa e o serviço de quarto também. O hotel fica bem pertinho de canela também é isso ajudou muito a gente."
nov. de 2022,5,PET FELIZ NO CANTO VERDE,"* Trouxemos pela primeira vez nossa filhote de Golden e fomos muito bem recebidos, com carinho e nos deixaram confortáveis com a presença da “Nala” no pátio do Hotel.    * As pessoas que trabalham aqui sempre com alegria e disposição para nos ajudar.    * O café da manhã excelente.    Resumindo, nota 10 com louvor. Voltaremos"
nov. de 2022,5,Férias Gramado - Hotel Canto Verde,"Noeli e Mariana são mulheres especiais. Carinho e atenção são sinônimos destas pessoas maravilhosas. Os demais da equipe também são espetaculares, parabéns Hotel Canto Verde por ter estas pessoas fantásticas compondo a equipe do Local."
nov. de 2022,5,Hospedagem maravilhosa,"Nossa hospedagem no Hotel Canto Verde foi maravilhosa desde o primeiro contato até a saída com aquele kit viagem super fofo. A receptividade, limpeza, café da manhã delícia (só faltou o ""cuxcux"" kkkk) tudo impecável. Obg e até a próxima.    Sim, lembrei de algo que amei na nossa suíte. O banheiro com dois chureiros (separados), duas privadas (separadas) e duas pias. Geeeeeente só quem tem que dividir o banheiro com dois homens (marido e filho) sabe o valor dessas coisas.  Kkkk ameeeei."
nov. de 2022,5,Impecável,"Estadia Impecável. Local totalmente aconchegante, além da notável preocupação com os hóspedes em cada detalhe, do início ao fim.  Além de ser pet friendly, muito bem preparado pra receber os filhos de 4 patas 🐾. Recomendo e com certeza voltaremos mais vezes"
