Data da opinião,Nota,Título,Conteúdo
out. de 2022,5,Adorável.,"A pousada é adorável, muito bem cuidada, percebe-se o capricho em cada detalhe. A equipe é mto atenciosa, com realce para a moça do café da manhã (não perguntei seu nome, desculpe) e para a Priscila (que me ajudou a colher um limão a noite, com chuvisco caindo, para ajudar em uma indigestão). Tivemos a oportunidade de ficar em dois quartos (com lareira e sem), sendo ambos mto bons, limpos e aquecidos. A cama é fantástica, daquelas de abraça. o café da manhã é mto bom, não é lotado de coisa, mas não falta nada...e td saboroso e variado, portanto, na medida. A louça usada no café da manhã é mto bonita. Pegamos dias de chuva e a pousada disponibilizou guarda-chuvas para usarmos na cidade, acredito que isso seja usual em Gramado, mas, mesmo assim, é uma gentileza que merece…"
set. de 2022,5,Jardim Encantador,"Lugar impecável!! Um jardim de fato encantador. Ane e Marcio que nos atenderam o tempo todo, extremamente atenciosos e educados. Quarto delicioso, ficamos na suíte com hidro para 3 pessoas. Café da manhã maravilhoso. Chá e café disponível na recepção todo tempo. Ambiente familiar, romântico e acolhedor."
jul. de 2022,5,Charme e conforto,"Além da pousada ser um charme e super aconchegante, fica muito bem localizada. Ficamos no quarto com hidro e ela funcionou corretamente. Apenas tivemos dificuldade para acender a lareira. É possível ir a pé para a maioria dos pontos turísticos e restaurantes. O café da manhã também é bem servido, com diferentes opções salgadas, doces, café, sucos e chá."
jul. de 2022,5,A mais adorável,"Não conhecíamos a pousada e superou muito nossa expectativa. Simplesmente adorável, desde o atendimento, com pessoal sempre sorrindo e amável, passando pelo melhor café da manhã que ja tivemos, roupas de cama de qualidade, calefação e conforto e os jardins… ahhh os jardins. São secretos mesmo. Vale muito a pena descobrir."
jun. de 2022,4,Pousada Charmosa e Maravilhosa,"Pousada com estilo caseiro. Muito bonita, charmosa, aconchegante e gostosa. Bem localizada (embora não dá para ir a região da rua coberta a pé), café da manhã delicioso, atendimento cuidadoso. Tem um imenso jardim na propriedade lindo. O quarto Suite família para 4 pessoas é muito gostoso e confortável, com forno de micro-ondas, talheres, pratos...cansou do dia do passeio? tem um supermercado pequeno a 1 quarteirão de distância, e só comprar algo para esquentar no micro-ondas sem precisar fazer todas as refeições fora. Acho que o único defeito é que o sistema de aquecimento só funciona quando a temperatura está inferior a 10 graus."
jun. de 2022,5,Um achado formidável,"pousada de gramado! A cidade vem perdendo sua essência, muitos prédios, hotéis…  As pousadas tem um charme único, é o jardim secreto não deixa a desejar, um ambiente familiar, ficamos hospedados diferenças vezes nesse pousada! A equipe é muito atenciosa, recomendo super essa pousada"
jun. de 2022,5,Muito bom!,"A pousada é uma fofura! Atendimento impecável, natureza pra todo lado, bicicletas a disposição dos hóspedes, excelente localização. E o café da manhã? Digno de café colonial de Gramado. Já me hospedei em dezenas de hotéis pelo Brasil e outros países, mas nunca havia tomado um café tão gostoso. Fartura de opções e opções incríveis. Torta de limão, cheescake e torta de nozes me jogaram no chão de tão deliciosas. Fica chá a disposição o dia todo. Parabéns! Recomendo e voltarei!!!"
mai. de 2022,5,Tive que voltar,"A primeira vez q estive nesta pousada foi agosto/2014, fiquei encantada na época e avaliei aqui no trip, em uma segunda visita em gramado não me hospedei neste hotel, e me senti órfã, era bom o que fiquei, mas o Jardim Secreto era único....voltei agora dia 15/05/2022, ainda estou hospedada e posso falar, não troco esta pousada por nenhum hotel 5 estrelas, está pousada é única em todos os sentidos, o lugar é LINDO, parece um livro de contos de fadas, o atendimento maravilhoso, todos muito educados, prestativos, amáveis....me sinto em casa e o café da manhã......ahhhh o café da manhã é um capítulo aparte.....inesquecível, fiquei com ele na minha memória nesses 8 anos, e continua delicioso.....e quem já veio e como eu fica morrendo de saudades dos quitutes, add eles no Instagram, eles postam várias receitas que eles servem na pousada, já testei váriaaassss e todas ficam igualzinho. Vale a visita!!"
mai. de 2022,5,Pousada muito boa!!,"Pousada muito boa, bem localizada, muito limpa e bem organizada. Café da manhã sensacional!!! Muita variedade e opções sem glúten e sem lactose.. muito bom!!!! Atendentes atenciosos e valor justo! Com certeza uma ótima opção para passear em Gramado."
abr. de 2022,5,Estádia perfeita!!,"Estádia IMPECÁVEL!! Ótima localização, atendimento nota mil, quartos e banheiros incríveis, café da manhã perfeito e o jardim lindíssimo.. tudo é tão gostoso que vale vir pra Gramado só para aproveitar a pousada rs. Vale tanto para casais tanto quanto para a família. Super indico :)"
abr. de 2022,5,Nota 1000,"Pousada maravilhosa, limpeza impecável, funcionários todos uma graça! Café da manhã farto e bem servido ! Quartos super quentinhos ! Bike para passear e super perto do centro! Voltaremos com certeza !!"
abr. de 2022,5,Excelente pousada,"Adoramos a pousada! Quanto à localização: excelente, próxima do centro turístico de gramado (rua coberta), do lago negro, mini-mundo. Quanto ao quarto: aconchegante, com ar condicionado e calefação. Cama gostosa! Banheiro: ducha maravilhosa, ducha higiênica. Ponto negativo: secador fraco, desses de hotel mesmo. Melhor levar o seu, bivolt ou 220v. Café da manhã: perfeito! Tudo fresco e feito na hora, bolos fofinhos, ovos e cachorro quente, opções sem glúten e sem lactose. O hotel ainda oferece bicicletas gratuitas para os hóspedes. Dias de chuvas, estão disponíveis sombrinhas.  Adoramos o atendimento também, pessoal agradável e muito educados.  Enfim, indicaremos para os amigos e voltaremos quando possível."
